Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-0.860432,-0.7411351,-0.1099183,0.9977931,-0.1045627,0.04378121,-40.98257,-27.96062,6.617311
0.034593105,-1.233441,0.612242,-0.1710097,1.002645,-0.1115262,0.03468441,-41.35884,-27.57703,6.603427
0.039535046,-0.9226002,0.9064545,-0.3542839,1.009445,-0.1060969,0.04043576,-41.35884,-27.57703,6.603427
0.049418926,-0.3630867,1.141824,-0.1710097,1.011849,-0.1109352,0.04286755,-41.35884,-27.57703,6.603427
0.059302807,0.1342586,1.318352,0.01226447,1.006025,-0.1114251,0.04190156,-41.35884,-27.57703,6.603427
0.069187164,0.8802766,1.082982,0.1344473,1.007496,-0.1065441,0.04284041,-41.34551,-27.59135,5.825193
0.079071045,1.626294,1.082982,0.1344473,1.004067,-0.1103179,0.05055032,-41.34551,-27.59135,5.825193
0.091425419,1.937135,0.3768721,-0.1099183,0.9982897,-0.1026447,0.0418484,-41.34551,-27.59135,5.825193
0.101309299,1.812799,-0.3292377,-0.4764667,0.9987841,-0.09772582,0.04519055,-41.34551,-27.59135,5.825193
0.111193657,1.626294,-0.6234501,-0.5375581,1.003652,-0.09135476,0.04853034,-41.03069,-27.2179,5.82704
0.121077538,1.688463,-0.6822926,-0.6597409,1.004637,-0.09493072,0.03748834,-41.03069,-27.2179,5.82704
0.130961418,1.750631,-0.7411351,-0.9041064,1.00707,-0.09298053,0.03796217,-41.03069,-27.2179,5.82704
0.140845299,1.501958,-0.2703952,-0.843015,1.012887,-0.09195343,0.04229189,-41.03069,-27.2179,5.82704
0.150729179,0.8802766,0.965297,-0.6597409,1.013381,-0.09051512,0.04084242,-41.03069,-27.2179,5.82704
0.16061306,-0.05224587,1.553722,-0.2931925,1.008472,-0.1020988,0.04714734,-41.72315,-27.96389,5.821918
0.170496941,-0.7982638,1.494879,-0.2931925,1.006496,-0.1063552,0.05534226,-41.72315,-27.96389,5.821918
0.180381298,-0.9226002,0.729927,-0.2321011,0.9977722,-0.1089093,0.04620775,-41.72315,-27.96389,5.821918
0.190265179,-0.3630867,-0.3292377,-0.1099183,0.9933958,-0.1068594,0.05244439,-41.72315,-27.96389,5.821918
0.200149059,1.004613,-0.6234501,-0.1099183,0.9953532,-0.104973,0.04858972,-41.72315,-27.96389,5.821918
0.21003294,1.750631,-0.7411351,0.01226447,0.9992288,-0.1064271,0.04956331,-41.72982,-27.95673,6.211035
0.219916821,2.310144,-0.3880802,0.1344473,1.007967,-0.1009801,0.05675954,-41.72982,-27.95673,6.211035
0.229800224,2.558817,0.02381719,0.01226447,1.008471,-0.09512328,0.05769236,-41.72982,-27.95673,6.211035
0.239684105,2.496649,0.847612,0.1344473,1.009935,-0.09070049,0.0605572,-41.72982,-27.95673,6.211035
0.249567986,1.937135,1.730249,-0.04882693,1.011914,-0.07949736,0.06098376,-41.72982,-27.95673,6.211035
0.259451866,0.5694358,2.024462,-0.2931925,1.003137,-0.08868174,0.06438664,-41.03873,-27.96686,6.226765
0.269336224,-0.7982638,1.906777,-0.5375581,1.005082,-0.0921877,0.05815459,-41.03873,-27.96686,6.226765
0.279220104,-1.668618,1.730249,-0.7819237,1.00318,-0.08248089,0.05569877,-41.03873,-27.96686,6.226765
0.289103985,-2.103795,2.436359,-0.5986494,1.009003,-0.08746255,0.04899767,-41.03873,-27.96686,6.226765
0.298987866,-2.352468,3.260154,-0.4764667,0.9935209,-0.08326508,0.03453122,-41.03873,-27.96686,6.226765
0.311342716,-2.538972,2.200989,-0.04882693,1.000301,-0.08418049,0.03935277,-41.40834,-27.59044,5.823763
0.321226597,-2.663309,1.141824,0.01226447,0.9983355,-0.09049258,0.04034428,-41.40834,-27.59044,5.823763
0.331110478,-2.663309,0.4945571,-0.2321011,0.9959257,-0.09059566,0.03312824,-41.40834,-27.59044,5.823763
0.340994358,-2.041627,0.2591871,-0.2931925,1.003187,-0.09745607,0.03124748,-41.40834,-27.59044,5.823763
0.350878239,-2.2903,0.3768721,-0.4153753,0.9949194,-0.09982415,0.03461649,-41.40834,-27.59044,5.823763
0.360762119,-2.414636,-0.4469227,-0.7819237,0.9978068,-0.1056445,0.03657287,-41.4097,-28.34655,5.834372
0.370646,-2.787645,-0.3880802,-0.9041064,1.012404,-0.09594873,0.03557863,-41.4097,-28.34655,5.834372
0.380530357,-2.849813,1.730249,-0.7208322,1.017235,-0.09730409,0.04328571,-41.4097,-28.34655,5.834372
0.390414238,-2.538972,2.848256,-0.7819237,1.008485,-0.1081507,0.03323123,-41.4097,-28.34655,5.834372
0.400298119,-1.917291,3.907421,-0.4153753,1.009447,-0.1041204,0.04234946,-41.4097,-28.34655,5.834372
0.410181999,-1.233441,4.437004,-0.2321011,1.000708,-0.111057,0.03323708,-41.40303,-28.35371,5.445254
0.42006588,-0.6739275,6.26112,-0.1099183,1.023478,-0.1123256,0.04913977,-41.40303,-28.35371,5.445254
0.429949761,-0.3009185,8.026395,-0.04882693,1.004546,-0.1187408,0.040975,-41.40303,-28.35371,5.445254
