Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
57.395632267,-1.60645,-0.03502529,0.6842698,0.9867294,0.03251395,-0.2026747,-34.3068,-30.26821,23.93254
57.405519962,-1.60645,-0.2115527,0.623178399999998,0.9804072,0.02961912,-0.2017054,-34.3068,-30.26821,23.93254
57.415408135,-1.233441,-0.0938677799999998,0.745361200000002,0.9852631,0.03457249,-0.195473,-34.3068,-30.26821,23.93254
57.425296307,-1.171273,-0.1527103,0.867544000000001,0.9852806,0.03794516,-0.1978946,-34.29902,-30.27657,23.47857
57.435184002,-1.171273,-0.2703952,0.6842698,0.9833368,0.03696791,-0.1983728,-34.29902,-30.27657,23.47857
57.445072174,-1.171273,-0.3880802,0.745361200000002,0.9857529,0.03354729,-0.1988337,-34.29902,-30.27657,23.47857
57.454959869,-1.233441,-0.1527103,0.6842698,0.9857429,0.02963015,-0.2002567,-34.29902,-30.27657,23.47857
57.464848042,-1.171273,-0.2703952,0.745361200000002,0.9867322,0.03299371,-0.2031581,-34.29902,-30.27657,23.47857
57.474735737,-1.109105,-0.2703952,0.623178399999998,0.9852598,0.02961672,-0.201219,-34.66931,-30.2782,23.08088
57.484622955,-0.984768300000001,-0.4469227,0.6842698,0.9862202,0.02868406,-0.1983277,-34.66931,-30.2782,23.08088
57.494511128,-0.922600200000001,-0.5057651,0.562087,0.9838024,0.03161773,-0.1978643,-34.66931,-30.2782,23.08088
57.504398823,-0.922600200000001,-0.5057651,0.562087,0.9842839,0.03014874,-0.1983373,-34.66931,-30.2782,23.08088
57.514286995,-0.860432000000003,-0.5057651,0.623178399999998,0.9867091,0.02766606,-0.2012075,-34.66931,-30.2782,23.08088
57.524175167,-0.5495912,-0.3880802,0.867544000000001,0.989135,0.02667299,-0.2021616,-34.66999,-30.65626,23.08618
57.534062863,-0.860432000000003,-0.0938677799999998,0.6842698,0.9867113,0.03262902,-0.1949806,-34.66999,-30.65626,23.08618
57.543951035,-0.5495912,-0.03502529,0.6842698,0.9832984,0.02825321,-0.1949624,-34.66999,-30.65626,23.08618
57.55383873,-0.4252549,0.02381719,0.5009956,0.9808969,0.0325758,-0.1993152,-34.66999,-30.65626,23.08618
57.563726902,-0.1765822,-0.1527103,0.562087,0.9847779,0.0266097,-0.2069754,-34.66999,-30.65626,23.08618
57.576086521,0.0720904500000002,-0.3292377,0.3788128,0.9905848,0.02521646,-0.2016716,-35.42391,-30.6452,23.06902
57.585974693,0.3829313,-0.3292377,0.3177214,0.98914,0.0291293,-0.2007312,-35.42391,-30.6452,23.06902
57.595862389,0.3829313,-0.2703952,0.3788128,0.9832883,0.02433606,-0.1963853,-35.42391,-30.6452,23.06902
57.605750561,0.3207631,-0.1527103,0.6842698,0.9861915,0.02140144,-0.1968481,-35.42391,-30.6452,23.06902
57.615637779,0.5694358,0.0826596800000002,0.5009956,0.985723,0.02627186,-0.1968733,-34.67666,-30.6491,23.4753
57.625525951,1.066781,-0.1527103,0.562087,0.9833199,0.02911204,-0.2026614,-34.67666,-30.6491,23.4753
57.635413647,1.253286,-0.1527103,0.5009956,0.9828464,0.03351709,-0.2012414,-34.67666,-30.6491,23.4753
57.645301819,1.128949,-0.3292377,0.562087,0.9823666,0.03547303,-0.200771,-34.67666,-30.6491,23.4753
57.655189514,1.004613,-0.1527103,0.3788128,0.9794278,0.03216365,-0.1945056,-34.67666,-30.6491,23.4753
57.665077686,0.880276599999999,-0.2703952,0.623178399999998,0.9867063,0.02818177,-0.1992864,-34.67067,-31.03432,23.09149
57.674965382,0.5694358,-0.2115527,0.562087,0.9842725,0.02922519,-0.1949662,-34.67067,-31.03432,23.09149
57.684853554,0.3207631,-0.3292377,0.5009956,0.9867159,0.02961385,-0.2012173,-34.67067,-31.03432,23.09149
57.694741249,0.3829313,-0.3292377,0.5009956,0.9866751,0.02290446,-0.1939697,-34.67067,-31.03432,23.09149
57.704629421,0.2585949,-0.3292377,0.5009956,0.9891082,0.02534879,-0.1930174,-34.67067,-31.03432,23.09149
57.714517593,0.7559403,-0.2703952,0.562087,0.9896078,0.0277466,-0.1954335,-34.67666,-30.6491,23.4753
57.724405289,0.693772100000003,0.02381719,0.562087,0.9881504,0.03074308,-0.1906411,-34.67666,-30.6491,23.4753
57.734292507,0.7559403,0.2003446,0.623178399999998,0.9905949,0.03212001,-0.1959354,-34.67666,-30.6491,23.4753
57.744180679,0.693772100000003,0.3768721,0.623178399999998,0.9901186,0.03106797,-0.2012208,-34.67666,-30.6491,23.4753
57.754068375,0.5694358,0.2003446,0.562087,0.9847601,0.03020531,-0.1944896,-34.67666,-30.6491,23.4753
57.763956547,0.631603899999999,0.2591871,0.1955387,0.9862033,0.026801,-0.1939899,-34.66999,-30.65626,23.08618
57.773844242,0.693772100000003,0.1415022,0.25663,0.9828051,0.02531811,-0.1959099,-34.66999,-30.65626,23.08618
57.783732414,0.818108400000001,0.3180296,0.4399042,0.9896004,0.02829109,-0.1915889,-34.66999,-30.65626,23.08618
57.79609251,0.818108400000001,0.2591871,0.3177214,0.9915617,0.03065007,-0.1964078,-34.66999,-30.65626,23.08618
57.805980205,0.7559403,0.671084500000001,0.562087,0.9837906,0.03020004,-0.1949716,-34.66999,-30.65626,23.08618
57.815868378,0.4450994,0.671084500000001,0.5009956,0.9876657,0.02825177,-0.1944765,-35.05362,-30.64357,23.46672
57.825756073,0.3207631,0.847612000000001,0.3177214,0.9876662,0.03073685,-0.1911226,-35.05362,-30.64357,23.46672
57.835644245,0.1964268,0.906454499999998,0.25663,0.9847376,0.0223854,-0.1963738,-35.05362,-30.64357,23.46672
57.84553194,0.4450994,0.847612000000001,0.25663,0.9832764,0.01993196,-0.1978059,-35.05362,-30.64357,23.46672
57.855420113,0.4450994,0.5533996,0.3177214,0.9847596,0.0287157,-0.1964058,-35.05362,-30.64357,23.46672
57.865307808,0.5694358,0.4357146,0.3788128,0.9832938,0.02728651,-0.1944766,-35.03849,-30.28103,22.61833
57.875195503,0.5072676,0.4945571,0.3177214,0.9881849,0.03500334,-0.1988383,-35.03849,-30.28103,22.61833
57.885083199,0.7559403,0.671084500000001,0.1955387,0.9881595,0.02969008,-0.1959259,-35.03849,-30.28103,22.61833
57.894971371,0.693772100000003,0.5533996,0.1955387,0.9891219,0.02526249,-0.198788,-35.03849,-30.28103,22.61833
57.904859066,0.818108400000001,0.729926999999997,0.1955387,0.9901213,0.03453413,-0.1973909,-35.03849,-30.28103,22.61833
57.914747238,0.818108400000001,0.5533996,0.1955387,0.988133,0.02338853,-0.1939704,-34.66999,-30.65626,23.08618
57.924634933,0.7559403,0.612241999999999,0.1955387,0.9832798,0.0228968,-0.1949353,-34.66999,-30.65626,23.08618
57.934523106,0.7559403,0.788769499999999,0.1344473,0.9871684,0.02384863,-0.1958975,-34.66999,-30.65626,23.08618
57.944410801,0.7559403,0.729926999999997,0.1344473,0.9837669,0.02338278,-0.1949372,-34.66999,-30.65626,23.08618
57.954298973,0.880276599999999,0.906454499999998,0.1344473,0.9842748,0.0292108,-0.1959279,-34.66999,-30.65626,23.08618
57.964186668,0.880276599999999,1.024139,0.25663,0.984758,0.02723329,-0.1978411,-34.29833,-29.89851,23.47327
57.974074841,0.693772100000003,0.612241999999999,0.1344473,0.9867028,0.02919882,-0.196406,-34.29833,-29.89851,23.47327
