Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
17.813256264,-15.23143,5.88008199999999,5.254312,1.135098,-0.1317247,0.1689629,-41.46335,-29.26761,19.54546
17.823252201,-13.93923,16.68221,7.63217200000002,1.149328,-0.1102673,0.1995614,-41.46335,-29.26761,19.54546
17.833249092,-14.30843,28.31528,9.339353,1.163186,-0.1208982,0.2292117,-41.47657,-28.87691,20.76894
17.843245029,-12.64703,40.30445,9.94906,1.161299,-0.123645,0.2517087,-41.47657,-28.87691,20.76894
17.85324192,-9.63190200000001,52.7091,10.31489,1.173996,-0.1246897,0.2693942,-41.47657,-28.87691,20.76894
17.863237858,-6.61677399999998,65.1137399999999,10.68071,1.187558,-0.1198728,0.2885123,-41.47657,-28.87691,20.76894
17.873234272,-4.340044,77.8744999999998,10.98556,1.201764,-0.1232779,0.310503,-41.47657,-28.87691,20.76894
17.883231163,-2.370981,90.7539700000001,11.65624,1.218203,-0.1159876,0.3281797,-41.4521,-29.65451,18.77348
17.8932271,-1.201849,103.218,12.63177,1.229977,-0.09366392,0.3525608,-41.4521,-29.65451,18.77348
17.903223515,-1.694115,115.9194,12.63177,1.256891,-0.09931782,0.3668727,-41.4521,-29.65451,18.77348
17.913219452,-1.755648,128.4427,12.26595,1.273585,-0.1056464,0.3826382,-41.4521,-29.65451,18.77348
17.923216343,-1.140316,140.9661,12.20498,1.301104,-0.1176232,0.3950363,-41.4521,-29.65451,18.77348
17.93321228,-0.4019172,153.074,12.93663,1.318874,-0.1292232,0.4165442,-42.19223,-29.31301,14.83138
17.943208694,0.951813900000003,164.8851,14.0341,1.349092,-0.129642,0.4117059,-42.19223,-29.31301,14.83138
17.953204632,2.551678,175.8653,14.88769,1.381902,-0.1382003,0.4145223,-42.19223,-29.31301,14.83138
17.963201523,4.766874,185.421,15.13157,1.386281,-0.1382937,0.3948931,-42.19223,-29.31301,14.83138
17.973197937,6.98206999999997,194.0864,15.43643,1.419328,-0.1338497,0.3843057,-42.19223,-29.31301,14.83138
17.983194351,6.73593800000001,201.2087,15.80225,1.434905,-0.1323244,0.4110784,-43.99693,-28.60893,9.718355
17.993190765,5.320673,207.5001,16.83875,1.457172,-0.1503327,0.4129585,-43.99693,-28.60893,9.718355
18.003186703,5.81293900000002,213.1979,18.48497,1.478509,-0.1964914,0.4205905,-43.99693,-28.60893,9.718355
18.013183594,7.10513699999998,218.0054,20.55797,1.501528,-0.2021521,0.4425663,-43.99693,-28.60893,9.718355
18.023179531,10.61253,221.9227,23.05777,1.49925,-0.1847207,0.4406514,-43.99693,-28.60893,9.718355
18.033175945,11.22786,225.7806,24.70398,1.474961,-0.1621289,0.4660525,-45.47749,-27.9254,1.89864
18.043171883,9.68953300000002,228.9856,25.67952,1.472505,-0.1612713,0.4588779,-45.47749,-27.9254,1.89864
18.053168774,8.88960099999997,231.8939,25.98437,1.428995,-0.1275063,0.4723452,-45.47749,-27.9254,1.89864
18.063164711,6.92053700000001,233.7932,26.89893,1.411518,-0.1306576,0.4843409,-45.47749,-27.9254,1.89864
18.073161125,7.53587,235.9299,27.93543,1.365981,-0.1196455,0.4585743,-45.47749,-27.9254,1.89864
18.083158016,7.22820399999999,237.2356,28.4232,1.304615,-0.09569868,0.4467107,-46.18888,-28.00457,-6.814463
18.093153954,5.87447300000001,237.5324,27.69155,1.267075,-0.09514482,0.4290687,-46.18888,-28.00457,-6.814463
18.103150368,2.982411,236.5827,26.59408,1.25679,-0.1181039,0.4381855,-46.18888,-28.00457,-6.814463
18.113146782,0.0903486900000002,233.7932,27.50864,1.200585,-0.1352767,0.4354165,-46.18888,-28.00457,-6.814463
18.123143196,-0.2788507,230.9443,27.14281,1.157421,-0.1720804,0.4364583,-46.18888,-28.00457,-6.814463
18.133139133,3.290077,228.3921,27.08184,1.140228,-0.2166584,0.4345855,-44.32153,-25.84804,-15.84243
18.143136025,11.59706,224.7123,27.69155,1.082546,-0.2071994,0.4246335,-44.32153,-25.84804,-15.84243
18.153131962,16.45819,220.0234,26.59408,0.989451,-0.1533606,0.4554108,-44.32153,-25.84804,-15.84243
18.163128376,13.99686,214.0288,26.47214,0.957227,-0.04528138,0.4937252,-44.32153,-25.84804,-15.84243
18.173125267,4.213075,208.3904,28.66708,0.8712994,0.09282737,0.4780465,-44.32153,-25.84804,-15.84243
18.183121204,-23.84608,202.0397,27.08184,0.8587983,0.1366485,0.5144287,-39.87428,-24.74397,-24.13615
18.193117619,-50.24384,195.3328,23.36263,0.8170896,0.09969371,0.4958465,-39.87428,-24.74397,-24.13615
18.203113556,-60.08915,186.7267,21.83836,0.7464635,-0.03286296,0.4476676,-39.87428,-24.74397,-24.13615
18.213110447,-57.7508900000001,176.8743,23.11874,0.6582268,-0.1619327,0.3937756,-39.87428,-24.74397,-24.13615
18.223106384,-52.15137,167.1405,25.13078,0.5929323,-0.2152018,0.3426954,-39.87428,-24.74397,-24.13615
18.233102799,-46.98257,157.8221,26.65505,0.5574843,-0.2481059,0.3284084,-36.50371,-23.25389,-30.82727
