Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
22.421699047,-3.417045,5.108501,-5.78139599999999,0.9649234,-0.08075824,-0.1064134,-39.0451,-29.27622,23.88539
22.431696892,-5.386109,9.20381500000001,-4.866835,0.9791501,-0.08581813,-0.1059584,-39.42155,-29.27576,24.26961
22.44169426,-5.75530800000001,13.59589,-4.135185,0.9943334,-0.08986531,-0.1031123,-39.42155,-29.27576,24.26961
22.451691628,-6.43217400000002,17.45379,-3.403537,1.006859,-0.08240329,-0.1112719,-39.42155,-29.27576,24.26961
22.461689472,-7.04750599999997,21.78652,-2.184121,1.038447,-0.1035764,-0.1036643,-39.42155,-29.27576,24.26961
22.47168684,-6.80137299999998,26.11924,-1.391501,1.058827,-0.098695,-0.09221523,-39.42155,-29.27576,24.26961
22.481684208,-6.43217400000002,30.57067,-0.598881400000002,1.087703,-0.1054004,-0.09082811,-39.40413,-30.03975,23.88667
22.491682053,-5.632242,35.02209,0.5595631,1.110627,-0.1063264,-0.08225346,-39.40413,-30.03975,23.88667
22.501679421,-4.216978,39.41417,1.90092,1.129485,-0.09797262,-0.05979542,-39.40413,-30.03975,23.88667
22.511676788,-3.540112,44.16236,3.181306,1.136284,-0.07052028,-0.04832852,-39.40413,-30.03975,23.88667
22.521674633,-3.970845,48.19832,4.644604,1.1375,-0.05734514,-0.044984,-39.40413,-30.03975,23.88667
22.531672001,-5.263042,52.64975,5.681107,1.144682,-0.05031672,-0.03590538,-39.76395,-30.43653,22.27341
22.541669369,-5.693775,56.98247,6.53469799999998,1.134351,-0.0451974,-0.03828157,-39.76395,-30.43653,22.27341
22.551667214,-6.49370699999998,61.4932499999998,7.022464,1.130771,-0.0359519,-0.02918476,-39.76395,-30.43653,22.27341
22.561664581,-8.46277000000003,65.8259699999999,7.26634699999998,1.136613,-0.03514875,-0.007180659,-39.76395,-30.43653,22.27341
22.571661949,-9.20116899999999,70.5148099999999,7.937025,1.14039,-0.05445039,-0.000482208,-39.76395,-30.43653,22.27341
22.581659317,-8.70890300000002,75.2036400000001,8.54673300000003,1.144709,-0.07664381,0.00765177,-40.1395,-30.07261,20.65609
22.591657162,-7.04750599999997,80.07054,9.40032399999997,1.151965,-0.09986074,0.00381649,-40.1395,-30.07261,20.65609
22.60165453,-5.570708,84.9967899999999,10.31489,1.149638,-0.105002,0.03110071,-40.1395,-30.07261,20.65609
22.611651898,-4.709243,90.1010900000001,11.41236,1.145195,-0.1015566,0.04546485,-40.1395,-30.07261,20.65609
22.621649742,-3.601645,95.0866900000002,12.02207,1.144228,-0.1013433,0.07083101,-40.1395,-30.07261,20.65609
22.63164711,-2.063314,100.369,12.9976,1.147756,-0.1068109,0.1028909,-41.62775,-30.10456,18.19396
22.641644478,-1.140316,105.8295,13.42439,1.144544,-0.116895,0.1229993,-41.62775,-30.10456,18.19396
22.651642322,0.4595481,111.3492,14.0341,1.15028,-0.1366,0.1344802,-41.62775,-30.10456,18.19396
22.66163969,4.028476,116.9877,14.39993,1.150524,-0.1497902,0.1263473,-41.62775,-30.10456,18.19396
22.671637058,7.16667,122.3294,14.70478,1.143541,-0.1411417,0.1306645,-41.62775,-30.10456,18.19396
22.681634903,7.843536,127.4931,14.82672,1.152806,-0.1149976,0.1531347,-42.7561,-29.00953,13.72901
22.691632271,5.81293900000002,132.1226,14.21701,1.159132,-0.1143121,0.1612592,-42.7561,-29.00953,13.72901
22.701629639,4.705341,136.2772,13.24148,1.168854,-0.1388635,0.1655558,-42.7561,-29.00953,13.72901
22.711627483,6.305205,140.0758,12.81469,1.170465,-0.1464664,0.1808694,-42.7561,-29.00953,13.72901
