Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
18.418916702,3.966942,-17.02993,-7.30566500000003,-0.07414971,-0.142491,0.1715522,-26.51468,-12.64377,-37.06471
18.428914547,9.44340000000003,-33.47054,-12.54915,-0.08503649,-0.1341522,0.1505117,-26.51468,-12.64377,-37.06471
18.438913345,12.2124,-49.79244,-18.2804,-0.04908314,-0.1286263,0.1456619,-26.51468,-12.64377,-37.06471
18.44891119,12.95079,-63.1467199999998,-22.85321,0.03338766,-0.1603032,0.1699336,-25.03563,-11.49853,-37.89817
18.458909512,14.48913,-73.65209,-25.41398,0.07948034,-0.2009642,0.1937926,-25.03563,-11.49853,-37.89817
18.468907833,15.84286,-83.1484799999997,-27.54796,0.1073896,-0.2074738,0.2186315,-25.03563,-11.49853,-37.89817
18.478906155,17.81192,-90.4488099999999,-29.80388,0.1525289,-0.196985,0.2582719,-25.03563,-11.49853,-37.89817
18.488903999,18.73492,-94.6034800000003,-31.26718,0.2071107,-0.195875,0.3146485,-25.03563,-11.49853,-37.89817
18.498901844,19.59638,-98.1646200000002,-31.633,0.2431785,-0.2208944,0.3701069,-26.14949,-12.25733,-36.67695
18.508900643,21.68851,-104.634,-32.24271,0.2369526,-0.2261698,0.3911764,-26.14949,-12.25733,-36.67695
18.518898487,23.16531,-116.6826,-34.43765,0.2403913,-0.2275114,0.3964351,-26.14949,-12.25733,-36.67695
18.528896332,23.84218,-132.9451,-37.30328,0.2725059,-0.2248717,0.4030785,-26.14949,-12.25733,-36.67695
18.538894653,22.91918,-152.2346,-41.14444,0.3514906,-0.2528352,0.4158696,-26.14949,-12.25733,-36.67695
18.548892975,24.39598,-170.4558,-44.25395,0.4875116,-0.3077731,0.4376611,-29.88772,-13.39874,-33.40916
18.558891297,32.27223,-183.5727,-46.57084,0.6046108,-0.3412526,0.4556515,-29.88772,-13.39874,-33.40916
18.568889141,41.56374,-191.8226,-48.39996,0.6576534,-0.3628509,0.4766219,-29.88772,-13.39874,-33.40916
18.578886986,49.2554,-199.0636,-50.65588,0.6945866,-0.3314893,0.4784638,-29.88772,-13.39874,-33.40916
18.588885784,56.20865,-204.4647,-52.9118,0.7516841,-0.2065427,0.4678034,-29.88772,-13.39874,-33.40916
18.598883629,52.45513,-206.0672,-55.28965,0.8228217,-0.04988058,0.4939607,-33.97798,-16.04749,-28.13653
18.608881951,44.33274,-205.5331,-54.55801,0.8821788,0.03297418,0.4986216,-33.97798,-16.04749,-28.13653
18.618879795,30.42623,-205.355,-51.87529,0.9129779,0.001392097,0.4856545,-33.97798,-16.04749,-28.13653
18.628878593,16.82739,-204.9989,-47.91219,0.9563828,-0.07844735,0.4822494,-33.97798,-16.04749,-28.13653
18.638876438,7.28973700000001,-206.7794,-43.5223,1.008549,-0.1583286,0.4553788,-33.97798,-16.04749,-28.13653
18.648874283,-0.0942510000000003,-208.2633,-39.86405,1.103616,-0.2129029,0.4461342,-38.45202,-18.68162,-20.80266
18.658872127,-2.863246,-210.3999,-35.71804,1.164464,-0.2363137,0.4115766,-38.45202,-18.68162,-20.80266
18.668870926,-5.139976,-212.0618,-32.60853,1.222929,-0.2619644,0.402867,-38.45202,-18.68162,-20.80266
18.678868771,-6.98597300000001,-213.4863,-31.02329,1.256639,-0.2666744,0.3994594,-38.45202,-18.68162,-20.80266
18.688867092,-4.64771,-216.9287,-32.30368,1.242392,-0.2342881,0.4114403,-42.92943,-21.30922,-12.69479
18.698865414,2.120945,-219.006,-34.37668,1.237935,-0.1784183,0.4195695,-42.92943,-21.30922,-12.69479
18.708863735,10.12027,-217.5816,-36.81551,1.249524,-0.1216149,0.3889057,-42.92943,-21.30922,-12.69479
18.71886158,11.16633,-213.9611,-39.37629,1.285328,-0.08276381,0.3620331,-42.92943,-21.30922,-12.69479
18.728859425,6.92053700000001,-211.7057,-41.14444,1.317622,-0.06429946,0.3452219,-42.92943,-21.30922,-12.69479
