Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
57.512213707,0.1324666,0.3252608,-0.3053944,1.005992,-0.08679295,-0.05814729,-36.54711,-36.67952,1.042998
57.522211075,0.0709334099999999,0.02849902,-0.1834529,1.002573,-0.086357,-0.05622714,-36.54711,-36.67952,1.042998
57.532209396,-0.05213305,0.1472038,-0.2444236,1.00785,-0.08184418,-0.05240889,-36.93758,-35.92162,1.036161
57.542206764,0.1324666,0.02849902,-0.2444236,1.004954,-0.08340748,-0.05766777,-36.93758,-35.92162,1.036161
57.552203655,0.009400181,0.02849902,-0.3663651,1.009826,-0.08328053,-0.05432627,-36.93758,-35.92162,1.036161
57.562201977,0.1324666,0.0878513899999999,-0.3053944,1.003512,-0.08435959,-0.05240068,-36.93758,-35.92162,1.036161
57.572199345,-0.05213305,0.02849902,-0.1834529,1.007509,-0.08965231,-0.05527774,-36.93758,-35.92162,1.036161
57.582196236,0.2555331,-0.03085335,-0.3663651,1.005054,-0.08874647,-0.057188,-36.553,-36.30297,0.589468
57.592193604,0.009400181,0.0878513899999999,-0.3053944,1.004026,-0.08581603,-0.05335836,-36.553,-36.30297,0.589468
57.602191925,0.1324666,-0.2089105,-0.4273359,1.002566,-0.0858054,-0.04904863,-36.553,-36.30297,0.589468
57.612189293,0.0709334099999999,-0.2089105,-0.3053944,1.001582,-0.08536083,-0.05143991,-36.553,-36.30297,0.589468
57.622186184,0.1324666,-0.0902057099999998,-0.5492774,1.003098,-0.08826847,-0.05383468,-37.30079,-36.31187,0.1969051
57.632183552,0.1939999,-0.2089105,-0.671218900000002,1.007372,-0.08235712,-0.05432223,-37.30079,-36.31187,0.1969051
57.642181873,0.0709334099999999,-0.2089105,-0.4273359,1.006477,-0.08682722,-0.06293389,-37.30079,-36.31187,0.1969051
57.652178764,0.009400181,-0.2089105,-0.3663651,1.008373,-0.08380833,-0.05575933,-37.30079,-36.31187,0.1969051
57.662176132,0.0709334099999999,-0.2682628,-0.4273359,1.004918,-0.0814425,-0.05527534,-37.30079,-36.31187,0.1969051
57.6721735,-0.1136663,-0.0902057099999998,-0.4273359,1.005957,-0.08479284,-0.05192626,-36.18443,-35.92307,0.2032194
57.682171822,-0.1136663,-0.03085335,-0.4273359,0.999199,-0.08839814,-0.05957077,-36.18443,-35.92307,0.2032194
57.692168713,0.0709334099999999,-0.1495581,-0.3663651,1.004494,-0.08487,-0.05718803,-36.18443,-35.92307,0.2032194
