Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
25.267988205,-0.2488386,6.351208,1.871783,0.4464532,-0.4712456,0.9280001,-20.94817,-15.91589,-31.33627
25.277898789,-0.9301572,6.70071999999997,1.626331,0.4496224,-0.4615786,0.9145908,-20.94817,-15.91589,-31.33627
25.287808895,-0.2488386,7.807507,1.687694,0.4555107,-0.4814943,0.8932766,-20.57391,-15.91586,-31.33821
25.300196648,2.538374,9.78807399999997,2.853589,0.4520019,-0.4903625,0.8745239,-20.57391,-15.91586,-31.33821
25.310106754,5.139772,11.88514,3.467218,0.4390091,-0.4701795,0.8709372,-20.57391,-15.91586,-31.33821
25.320016861,7.55535600000002,12.75892,3.835396,0.4175044,-0.4419117,0.8573999,-20.57391,-15.91586,-31.33821
25.329926491,10.03288,12.58417,3.344493,0.3961841,-0.3972109,0.8334067,-20.57391,-15.91586,-31.33821
25.339836598,11.7052,12.40941,2.730864,0.3893546,-0.3711952,0.817798,-20.94332,-16.29048,-31.33511
25.349747181,12.20071,11.59388,2.301323,0.3914036,-0.3533217,0.8001323,-20.94332,-16.29048,-31.33511
25.359657288,12.13877,10.37059,1.871783,0.3842425,-0.3355229,0.7902338,-20.94332,-16.29048,-31.33511
25.369567394,11.33358,8.15701899999998,1.319517,0.3790213,-0.3225859,0.7730825,-20.94332,-16.29048,-31.33511
25.379477024,11.33358,5.652184,0.767250500000003,0.3716381,-0.2985613,0.7488228,-20.94332,-16.29048,-31.33511
25.389387131,11.39551,3.14735,0.03089567,0.3595492,-0.2754777,0.7414058,-20.57529,-15.91743,-31.72368
25.399297714,11.08582,1.399791,-0.766822200000002,0.3613247,-0.2628641,0.7385924,-20.57529,-15.91743,-31.72368
25.409207821,10.65226,-0.3477675,-0.5213705,0.3890542,-0.2606374,0.7273073,-20.57529,-15.91743,-31.72368
25.419117928,11.58133,-0.988539100000001,-0.03046724,0.4132182,-0.2597429,0.7482167,-20.57529,-15.91743,-31.72368
25.429027557,10.03288,-2.619594,0.2149844,0.3881302,-0.2337923,0.7639866,-20.57529,-15.91743,-31.72368
25.438938141,7.05985200000002,-7.454507,-0.214556,0.3605009,-0.219142,0.7571374,-20.19619,-16.29199,-31.72448
25.448848248,5.015896,-12.52243,-0.214556,0.3678396,-0.2141698,0.7633447,-20.19619,-16.29199,-31.72448
25.458758354,2.228683,-14.6195,-0.950910899999997,0.3730256,-0.1898125,0.7730622,-20.19619,-16.29199,-31.72448
25.468667984,-1.4876,-17.06608,-3.221339,0.3723672,-0.1908824,0.7552953,-20.19619,-16.29199,-31.72448
25.478578091,-2.354732,-19.04665,-4.080419,0.4060678,-0.2477922,0.7325172,-20.19619,-16.29199,-31.72448
25.488488674,-0.1869005,-18.69714,-3.221339,0.4203521,-0.2760925,0.7571648,-19.45114,-15.91577,-31.34405
25.498398781,-2.354732,-20.96896,-3.098613,0.4142688,-0.2613958,0.8010134,-19.45114,-15.91577,-31.34405
25.508308888,-5.451635,-24.23107,-3.528153,0.4271649,-0.274312,0.803689,-19.45114,-15.91577,-31.34405
25.518218517,-5.389697,-26.03688,-3.528153,0.4230279,-0.3000836,0.7992342,-19.45114,-15.91577,-31.34405
25.528129101,-3.655432,-26.67765,-3.957693,0.4190689,-0.332104,0.8048193,-19.45114,-15.91577,-31.34405
25.538039208,-0.4346527,-26.15339,-4.9395,0.4321267,-0.3924927,0.8153399,-20.9371,-16.66351,-30.94849
25.547949314,2.66225,-25.0466,-5.36904,0.4353902,-0.4276458,0.8539684,-20.9371,-16.66351,-30.94849
25.557859421,4.334577,-25.62912,-4.080419,0.4567341,-0.4611149,0.8934011,-20.9371,-16.66351,-30.94849
25.570247173,6.502409,-23.99806,-1.073637,0.4938439,-0.4467693,0.9526932,-20.9371,-16.66351,-30.94849
25.58015728,5.077834,-23.00778,0.1536215,0.4875551,-0.4329156,0.9278753,-20.9371,-16.66351,-30.94849
25.59006691,6.997913,-22.94953,-1.319088,0.5146106,-0.468104,0.9024225,-20.93411,-16.66011,-30.11331
25.599977016,9.04186800000002,-18.34762,-0.4600076,0.5344769,-0.5250116,0.9133834,-20.93411,-16.66011,-30.11331
25.6098876,10.40451,-14.56125,0.6445247,0.5168915,-0.5247352,0.9154685,-20.93411,-16.66011,-30.11331
25.619797707,10.83807,-12.93019,1.503605,0.5039834,-0.5025569,0.9224579,-20.93411,-16.66011,-30.11331
25.629707813,10.90001,-11.64865,1.933146,0.4918793,-0.4819203,0.9107033,-20.93411,-16.66011,-30.11331
25.639617443,13.06784,-10.89137,2.914952,0.4743675,-0.4662442,0.8903229,-22.04905,-17.0314,-29.27114
25.649528026,18.33258,-8.095279,4.387662,0.4716614,-0.4256835,0.8646896,-22.04905,-17.0314,-29.27114
25.659438133,21.80111,-4.600161,3.099041,0.4522071,-0.4090494,0.8467344,-22.04905,-17.0314,-29.27114
25.66934824,22.97793,-1.745815,1.012702,0.458325,-0.4312846,0.8450892,-22.04905,-17.0314,-29.27114
25.679258346,25.82708,0.933775699999999,2.117234,0.4739788,-0.4232801,0.8550811,-22.04905,-17.0314,-29.27114
25.68916893,26.81809,1.982311,3.589944,0.4786225,-0.3704244,0.8453069,-22.72388,-17.77882,-28.81555
25.69907856,24.09282,1.458043,3.099041,0.4785984,-0.3204413,0.8538028,-22.72388,-17.77882,-28.81555
25.708988666,20.74816,1.516295,2.301323,0.471631,-0.2993754,0.818956,-22.72388,-17.77882,-28.81555
25.718898773,21.11979,0.642515800000001,3.958122,0.4765447,-0.3183261,0.7990978,-22.72388,-17.77882,-28.81555
25.728808403,26.01289,-1.046791,6.596727,0.455422,-0.3059571,0.8041772,-22.72388,-17.77882,-28.81555
25.738719463,28.55235,-3.143862,7.578534,0.4394918,-0.264101,0.873266,-22.7225,-17.77725,-28.43008
25.748629093,29.04786,-2.50309,5.614921,0.4597911,-0.2303086,0.8896288,-22.7225,-17.77725,-28.43008
25.7585392,27.37553,0.9920276,2.853589,0.4657332,-0.2187373,0.862762,-22.7225,-17.77725,-28.43008
25.768449306,21.49142,1.574547,1.871783,0.4719327,-0.2299589,0.8343006,-22.7225,-17.77725,-28.43008
25.77835989,19.0139,2.331823,3.896759,0.5109357,-0.1929429,0.8663571,-22.7225,-17.77725,-28.43008
25.78826952,18.02289,7.28324000000001,6.10582399999999,0.5217154,-0.1842554,0.926335,-22.41386,-17.4008,-27.98315
25.798179626,15.79312,8.97254599999999,5.246743,0.4920462,-0.2084495,0.913484,-22.41386,-17.4008,-27.98315
25.808089733,13.56335,6.70071999999997,4.14221,0.4907129,-0.2671745,0.9054226,-22.41386,-17.4008,-27.98315
25.818000317,13.68722,11.30262,4.878565,0.5413821,-0.3368679,0.9011286,-22.41386,-17.4008,-27.98315
