Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
15.974791527,2.600312,-2.736098,0.889976299999999,0.04652713,-0.08823975,0.7628338,-13.80227,-22.26645,-27.17741
15.984701633,6.006905,-6.63897900000002,0.705887599999999,0.06304351,-0.06882404,0.7272787,-13.80227,-22.26645,-27.17741
15.994611263,8.732179,-9.37682200000001,-0.889547900000002,0.07566301,-0.06651394,0.7684709,-13.80227,-22.26645,-27.17741
16.00452137,8.42248799999999,-11.88166,-2.116806,0.09137609,-0.09286445,0.7916779,-13.80227,-22.26645,-27.17741
16.014431477,7.43147999999999,-14.56125,-2.484983,0.1209447,-0.09871832,0.8072107,-13.42454,-22.64259,-27.56367
16.024341583,6.93597599999999,-16.42531,-2.423621,0.158333,-0.09520792,0.833297,-13.42454,-22.64259,-27.56367
16.034251213,9.22768300000001,-17.18258,-1.809992,0.1761203,-0.08806208,0.8595887,-13.42454,-22.64259,-27.56367
16.04416132,10.83807,-19.92043,-1.809992,0.1736495,-0.05493543,0.8958442,-13.42454,-22.64259,-27.56367
16.054071426,10.52838,-24.11457,-1.687266,0.1727407,-0.04174097,0.9180278,-13.42454,-22.64259,-27.56367
16.06398201,10.77613,-27.43493,-2.178169,0.1701628,-0.05378766,0.9386182,-13.04268,-23.01401,-26.79352
16.07389164,7.80310800000002,-29.18249,-3.405427,0.1644944,-0.0469282,0.9660853,-13.04268,-23.01401,-26.79352
16.083801746,0.5563561,-29.6485,-4.694048,0.1727678,-0.05318588,0.9549234,-13.04268,-23.01401,-26.79352
16.093711853,0.3705419,-30.9883,-6.10539499999999,0.1877891,-0.06575003,0.9268517,-13.04268,-23.01401,-26.79352
16.10362196,1.671241,-30.11452,-5.675855,0.2024475,-0.05411273,0.8917421,-13.04268,-23.01401,-26.79352
16.11353159,5.573338,-30.46403,-5.062225,0.1678879,-0.01984068,0.8519567,-14.47031,-23.32289,-25.94992
16.123441696,9.22768300000001,-33.37663,-5.79858000000001,0.1418876,-0.005575424,0.8604549,-14.47031,-23.32289,-25.94992
16.133351803,10.03288,-34.77468,-5.553129,0.1519653,-0.02700056,0.9120761,-14.47031,-23.32289,-25.94992
16.143261433,10.21869,-36.05622,-5.307677,0.1701846,-0.03695143,0.9128016,-14.47031,-23.32289,-25.94992
16.153171539,11.39551,-39.55134,-6.16675799999997,0.1880027,-0.02783838,0.944388,-14.47031,-23.32289,-25.94992
16.163081646,10.65226,-42.34743,-6.47357199999998,0.23566,-0.007125686,0.9906605,-14.85047,-22.63277,-25.11491
16.172991753,11.58133,-42.11442,-5.98266900000002,0.2731527,0.006195231,1.038418,-14.85047,-22.63277,-25.11491
16.185379505,18.58033,-40.13386,-7.27128999999997,0.2945914,0.003258988,1.075173,-14.85047,-22.63277,-25.11491
16.195289612,21.55335,-38.6193,-8.25309699999997,0.2822683,0.03646459,1.056782,-14.85047,-22.63277,-25.11491
16.205199242,13.43947,-39.26008,-9.35762899999997,0.2665825,0.08209313,1.011136,-15.95167,-24.0654,-24.26947
16.215109348,-3.779308,-37.80378,-10.03262,0.2518685,0.1021255,0.9825956,-15.95167,-24.0654,-24.26947
16.225019455,-17.09599,-35.5902,-10.46216,0.2414618,0.08241259,0.9460685,-15.95167,-24.0654,-24.26947
16.234929085,-20.19289,-34.07565,-9.78716900000001,0.2427358,0.03574958,0.9202974,-15.95167,-24.0654,-24.26947
16.244839191,-15.36172,-35.00768,-8.13037100000001,0.2646203,0.005479915,0.9208537,-15.95167,-24.0654,-24.26947
16.254749298,-9.78729900000003,-36.40573,-7.27128999999997,0.298936,0.0281453,0.9082033,-17.07146,-24.0621,-23.42845
16.264659405,-15.54754,-34.94943,-8.55991099999998,0.3380551,0.03326599,0.866582,-17.07146,-24.0621,-23.42845
16.274569988,-28.24484,-35.70671,-8.37582199999997,0.3268245,0.016539,0.7532571,-17.07146,-24.0621,-23.42845
16.284479618,-32.20887,-38.6193,-8.25309699999997,0.27273,-0.02307136,0.724684,-17.07146,-24.0621,-23.42845
16.294389725,-30.84624,-39.20182,-9.48035400000003,0.2654862,-0.08797643,0.8481994,-17.07146,-24.0621,-23.42845
16.304299831,-27.50158,-36.05622,-9.78716900000001,0.3365577,-0.1252784,0.9639721,-17.45404,-23.31137,-23.04334
16.314209461,-22.4846,-26.85241,-10.15535,0.4303474,-0.1268286,1.000547,-17.45404,-23.31137,-23.04334
16.324119568,-19.44963,-19.92043,-9.35762899999997,0.4513383,-0.1107339,0.9682891,-17.45404,-23.31137,-23.04334
16.334029675,-19.75933,-21.08547,-8.31446000000002,0.443785,-0.06874897,0.948472,-17.45404,-23.31137,-23.04334
16.343939781,-19.32576,-25.92038,-8.06900800000002,0.4298748,-0.04342029,1.004468,-17.45404,-23.31137,-23.04334
16.353849411,-20.93615,-28.77472,-7.148564,0.4273437,-0.05299472,1.127828,-19.68642,-24.4369,-23.41367
16.363759518,-27.43964,-27.08542,-5.246314,0.4575979,-0.05849189,1.210579,-19.68642,-24.4369,-23.41367
16.373669624,-39.14594,-21.55148,-2.300895,0.5008961,-0.06805663,1.22548,-19.68642,-24.4369,-23.41367
16.383579254,-49.05602,-15.37677,0.2149844,0.5055335,-0.1100779,1.151693,-19.68642,-24.4369,-23.41367
16.393490315,-53.88719,-8.85255399999999,-0.5213705,0.5140586,-0.1447456,1.084161,-19.68642,-24.4369,-23.41367
16.403399944,-57.4176600000001,-5.47394,0.460436,0.4623706,-0.2077688,0.929128,-20.4384,-24.0608,-23.02547
16.413310051,-51.96711,-8.27003499999999,3.589944,0.4042858,-0.2823516,0.8043272,-20.4384,-24.0608,-23.02547
16.423220158,-35.6774,-12.63893,7.701259,0.3881258,-0.3257326,0.7989058,-20.4384,-24.0608,-23.02547
16.433129788,-16.91018,-14.67775,10.89213,0.3940117,-0.341011,0.8304402,-20.4384,-24.0608,-23.02547
16.443039894,0.494418,-15.78454,11.99666,0.4094597,-0.3323775,0.8687674,-20.4384,-24.0608,-23.02547
16.45542717,8.54636400000002,-17.88161,9.54214699999998,0.4058129,-0.2003505,0.9061728,-20.82939,-23.00287,-23.86197
16.465337277,4.148763,-20.5612,7.51716999999999,0.3979597,-0.1358342,0.9311633,-20.82939,-23.00287,-23.86197
16.475246906,4.272639,-21.60973,5.124017,0.4047756,-0.1277107,0.9854121,-20.82939,-23.00287,-23.86197
16.485157967,9.97093999999998,-16.94958,3.405856,0.4586588,-0.1406449,0.9795459,-20.82939,-23.00287,-23.86197
16.495067597,13.37753,-14.56125,4.019485,0.4495984,-0.1267436,0.9705994,-20.82939,-23.00287,-23.86197
16.504977703,8.91799300000002,-13.68747,3.467218,0.4584176,-0.07980365,0.9319378,-21.96025,-22.25194,-23.40873
16.51488781,0.742170199999999,-11.35739,1.442243,0.5346758,-0.03422893,0.9353774,-21.96025,-22.25194,-23.40873
16.52479744,-1.673414,-4.483657,-0.582733500000001,0.5677433,-0.02439943,0.8813593,-21.96025,-22.25194,-23.40873
16.534707546,1.733179,0.700767799999999,-1.748629,0.5389768,0.002350902,0.8731607,-21.96025,-22.25194,-23.40873
16.544617653,5.75915199999997,2.681334,-3.405427,0.5018438,0.0275054,0.8578265,-21.96025,-22.25194,-23.40873
16.554527283,7.74116999999998,3.43861,-6.35084600000001,0.4557378,0.006615615,0.8672367,-21.89059,-22.94053,-23.85665
16.564437389,6.19271900000002,1.807555,-8.25309699999997,0.4310172,-0.0101694,0.868794,-21.89059,-22.94053,-23.85665
16.574347496,-0.06302445,-1.454555,-8.31446000000002,0.4083136,-0.03909326,0.862089,-21.89059,-22.94053,-23.85665
16.584257603,-7.309776,-6.75548299999999,-7.82355600000003,0.4095698,-0.04991629,0.8288744,-21.89059,-22.94053,-23.85665
16.594168186,-11.70738,-12.11466,-7.45537899999998,0.4098437,-0.08440793,0.8151976,-21.89059,-22.94053,-23.85665
16.604077816,-14.12296,-17.47384,-7.33265300000001,0.4134862,-0.11108,0.8053831,-22.25702,-23.31175,-23.01837
16.613987923,-16.41467,-21.84274,-7.08720199999999,0.4237867,-0.1531253,0.8069284,-22.25702,-23.31175,-23.01837
16.623898029,-16.04304,-24.40583,-7.63946799999999,0.4423552,-0.177777,0.7768226,-22.25702,-23.31175,-23.01837
16.633808136,-14.92816,-24.75534,-6.90311299999998,0.452044,-0.1855065,0.7589157,-22.25702,-23.31175,-23.01837
16.643717766,-15.42366,-24.46408,-5.062225,0.4690989,-0.1711763,0.769897,-22.25702,-23.31175,-23.01837
16.653627872,-17.40568,-22.48351,-3.344064,0.4885723,-0.174142,0.8057091,-23.01442,-22.62505,-23.01659
16.663537979,-15.79529,-20.96896,-2.607709,0.4965205,-0.1942185,0.8419939,-23.01442,-22.62505,-23.01659
