Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
16.278600216,-11.21187,0.1182482,-2.178169,0.126734,-0.04917777,0.8098879,-18.59871,-25.73614,-20.52414
16.288512707,-10.15893,-3.260366,-2.484983,0.1051759,-0.07605094,0.8219123,-18.59871,-25.73614,-20.52414
16.298424721,-7.86721900000001,-5.706948,-2.423621,0.1188378,-0.106378,0.831187,-18.59871,-25.73614,-20.52414
16.308337689,-4.64644,-8.32828599999997,-1.441814,0.1340546,-0.1159136,0.825701,-18.59871,-25.73614,-20.52414
16.318250179,-2.478608,-9.84283699999999,-0.766822200000002,0.1548957,-0.08159979,0.8478242,-18.59871,-25.73614,-20.52414
16.328162193,-1.983104,-11.18263,-1.319088,0.1706585,-0.03476246,0.8662364,-17.84672,-26.11224,-20.91235
16.338074684,-3.469617,-12.81369,-1.687266,0.1930531,-0.007702307,0.8882968,-17.84672,-26.11224,-20.91235
16.347987175,-5.575511,-15.14377,-1.380451,0.1991179,0.001742145,0.9185537,-17.84672,-26.11224,-20.91235
16.357900143,-7.00008600000001,-16.60007,-1.748629,0.2199457,0.006541227,0.9524842,-17.84672,-26.11224,-20.91235
16.370290756,-4.894192,-17.93986,-1.99408,0.2581888,-0.02389818,0.9744952,-18.21475,-26.4853,-20.52378
16.38020277,-2.045042,-17.82336,-2.853161,0.2787119,-0.06876551,0.9682446,-18.21475,-26.4853,-20.52378
16.390115261,0.43248,-17.7651,-3.03725,0.2753283,-0.1112271,0.9223779,-18.21475,-26.4853,-20.52378
16.400027752,1.113798,-20.15343,-2.546346,0.2442821,-0.1341776,0.8720956,-18.21475,-26.4853,-20.52378
16.40994072,1.918993,-24.17282,-2.300895,0.2200514,-0.1307166,0.8497753,-18.21475,-26.4853,-20.52378
16.419852257,3.219692,-31.33781,-2.730435,0.2270736,-0.116153,0.836363,-18.59871,-25.73614,-20.52414
16.429765225,1.857055,-37.51252,-3.834968,0.2788729,-0.1011252,0.8984046,-18.59871,-25.73614,-20.52414
16.439677715,-0.8682191,-38.67756,-2.914524,0.3714184,-0.08501683,0.9773623,-18.59871,-25.73614,-20.52414
16.449589729,-0.9301572,-36.34748,-1.625903,0.4258756,-0.06887185,1.061474,-18.59871,-25.73614,-20.52414
16.45950222,4.334577,-32.5611,-0.828185100000001,0.4944281,-0.056008,1.13343,-18.59871,-25.73614,-20.52414
16.469415188,14.67823,-28.13395,-2.239532,0.5275723,-0.06808091,1.15657,-19.34263,-25.73097,-19.23535
16.479327679,26.07483,-23.24079,-4.387233,0.5174519,-0.0761858,1.113876,-19.34263,-25.73097,-19.23535
16.489239693,36.72818,-18.05636,-5.859943,0.4735764,-0.04375514,1.021827,-19.34263,-25.73097,-19.23535
16.499152184,40.44446,-17.99811,-6.71902399999997,0.3750898,-0.03046752,0.9224735,-19.34263,-25.73097,-19.23535
16.509064674,32.51639,-18.58063,-7.27128999999997,0.3365867,-0.1008908,0.8047217,-19.34263,-25.73097,-19.23535
16.518977642,17.52738,-24.87184,-6.10539499999999,0.2875352,-0.09891434,0.6491371,-19.71852,-25.35274,-18.33514
16.528889656,3.591321,-35.3572,-5.79858000000001,0.2174147,-0.03233692,0.6603125,-19.71852,-25.35274,-18.33514
