Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
72.529192448,0.1661467,0.07249729,-0.2375236,0.9632763,0.2168103,-0.1385531,-20.34649,14.36552,18.91977
72.539051056,0.2903785,0.310533,-0.2375236,0.9588246,0.213828,-0.1447444,-20.34649,14.36552,18.91977
72.548909664,0.849421699999999,0.1915152,-0.1762206,0.9606661,0.2196711,-0.1480757,-20.34649,14.36552,18.91977
72.558769226,0.911537699999999,0.1915152,-0.3601296,0.9641077,0.21873,-0.1476535,-20.34172,14.00271,19.30762
72.568627834,1.470581,0.2510241,-0.1762206,0.961194,0.2108985,-0.1529493,-20.34172,14.00271,19.30762
72.578486919,1.408465,0.608077699999999,0.007688423,0.9642329,0.2197421,-0.1375836,-20.34172,14.00271,19.30762
72.588345528,0.973653600000002,0.608077699999999,0.007688423,0.9617476,0.219221,-0.1409069,-20.34172,14.00271,19.30762
72.598204136,1.097885,0.5485688,0.0689914200000002,0.9622214,0.2133622,-0.1471927,-20.34172,14.00271,19.30762
72.608063221,1.284233,0.846113400000001,0.007688423,0.9617208,0.2187252,-0.1433067,-20.33972,13.63457,19.3114
72.617921829,1.284233,0.727095499999998,-0.05361458,0.9636512,0.218735,-0.1452509,-20.33972,13.63457,19.3114
72.627781391,0.973653600000002,0.727095499999998,-0.05361458,0.964115,0.2192203,-0.1466911,-20.33972,13.63457,19.3114
72.637639999,0.787305800000002,0.667586600000001,0.1302944,0.9568864,0.2172335,-0.1403752,-20.33972,13.63457,19.3114
72.647499084,0.973653600000002,0.4890598,0.007688423,0.9572258,0.2215892,-0.1475313,-20.33972,13.63457,19.3114
72.657357693,0.911537699999999,0.4890598,-0.05361458,0.9628285,0.2182825,-0.1342215,-21.09119,14.37949,19.30772
72.667216301,0.787305800000002,0.667586600000001,0.007688423,0.9578016,0.2186889,-0.1437304,-21.09119,14.37949,19.30772
72.677075863,0.787305800000002,0.5485688,0.1302944,0.9592595,0.2211402,-0.1422929,-21.09119,14.37949,19.30772
72.689398765,0.600958099999998,0.5485688,0.1915974,0.9553317,0.2240308,-0.1407749,-21.09119,14.37949,19.30772
72.699258327,0.3524944,0.4890598,0.2529004,0.9623061,0.2177805,-0.1370935,-20.72223,14.73798,18.91793
72.709116936,0.1661467,0.4890598,0.007688423,0.9627229,0.2172759,-0.142854,-20.72223,14.73798,18.91793
72.718976021,0.5388422,0.4295509,0.3142034,0.9652674,0.2139081,-0.1386059,-20.72223,14.73798,18.91793
72.728834629,0.5388422,0.370042,0.3755064,0.9601516,0.2201478,-0.1495019,-20.72223,14.73798,18.91793
72.738693237,0.725189899999998,0.2510241,0.4368094,0.9580453,0.2119232,-0.1318109,-20.72223,14.73798,18.91793
72.748552799,0.5388422,0.2510241,0.4368094,0.9577468,0.2255084,-0.1417552,-21.46969,14.74661,18.9218
72.758410931,0.1040308,0.370042,0.4981124,0.9603244,0.2182442,-0.1384989,-21.46969,14.74661,18.9218
72.768270492,0.1040308,0.1915152,0.620718400000002,0.9563885,0.2157621,-0.1422973,-21.46969,14.74661,18.9218
72.778129101,0.2282626,0.01298836,0.620718400000002,0.9628068,0.2168116,-0.1371088,-21.46969,14.74661,18.9218
72.787987709,0.1040308,0.01298836,0.4981124,0.9632251,0.221678,-0.138032,-21.46969,14.74661,18.9218
72.797846794,0.1040308,0.01298836,0.620718400000002,0.9598296,0.2187265,-0.1384878,-21.46969,14.74661,18.9218
72.807705402,-0.3307806,-0.2250474,0.620718400000002,0.9574022,0.2177337,-0.1379823,-21.09395,14.37415,18.92364
72.817564964,-0.765591999999998,-0.2845563,0.682021400000003,0.9588963,0.2226365,-0.1317327,-21.09395,14.37415,18.92364
72.827423573,-1.138287,-0.5225921,0.620718400000002,0.9579058,0.2187186,-0.1360644,-21.09395,14.37415,18.92364
72.837282658,-0.951939799999999,-0.5225921,0.682021400000003,0.9613388,0.2163102,-0.1375713,-21.09395,14.37415,18.92364
72.847141266,-0.579244300000001,-0.582100999999999,0.620718400000002,0.960435,0.2050936,-0.1419658,-21.09395,14.37415,18.92364
72.859464645,0.04191487,-0.641609900000002,0.4981124,0.9609574,0.2099897,-0.1352232,-20.3457,13.62299,18.47922
72.86932373,0.04191487,-0.582100999999999,0.5594154,0.9617627,0.216296,-0.1423694,-20.3457,13.62299,18.47922
72.879182339,-0.2065488,-0.641609900000002,0.4981124,0.9598208,0.2128653,-0.1442875,-20.3457,13.62299,18.47922
72.889041901,-0.2686647,-0.582100999999999,0.620718400000002,0.9628495,0.2148709,-0.1356881,-20.3457,13.62299,18.47922
72.898900509,-0.3307806,-0.5225921,0.4368094,0.9632201,0.222653,-0.1375446,-21.09194,14.006,18.92741
72.908759594,-0.3928965,-0.820136700000001,0.4368094,0.9598281,0.2177497,-0.1394544,-21.09194,14.006,18.92741
72.918618202,-0.2686647,-0.820136700000001,0.682021400000003,0.9569442,0.2123677,-0.1404171,-21.09194,14.006,18.92741
72.92847681,-0.1444329,-0.879645599999998,0.4368094,0.9549437,0.2133144,-0.1427766,-21.09194,14.006,18.92741
72.938335896,-0.1444329,-0.820136700000001,0.3142034,0.9599524,0.2006971,-0.1453505,-21.09194,14.006,18.92741
72.948194504,0.2903785,-0.879645599999998,0.4368094,0.9681244,0.210006,-0.1477844,-20.72424,15.10613,18.91416
72.958054066,0.04191487,-0.998663500000001,0.3142034,0.9587907,0.2216299,-0.1403652,-20.72424,15.10613,18.91416
72.967912674,-0.579244300000001,-0.641609900000002,0.3142034,0.9572243,0.2206123,-0.1484979,-20.72424,15.10613,18.91416
72.977771282,-0.951939799999999,-0.582100999999999,0.4981124,0.955864,0.2137947,-0.1466192,-20.72424,15.10613,18.91416
72.987630367,-1.076172,-0.2845563,0.3755064,0.9626809,0.215311,-0.147662,-20.72424,15.10613,18.91416
72.997488976,-0.765591999999998,-0.04652058,0.4368094,0.9655727,0.2128835,-0.1529949,-20.72424,15.10613,18.91416
73.007348061,-0.1444329,0.2510241,0.3755064,0.9587711,0.2172303,-0.1456733,-20.72223,14.73798,18.91793
73.017206669,-0.2686647,-0.1655384,0.2529004,0.9613503,0.2153371,-0.1375796,-20.72223,14.73798,18.91793
73.027066231,-0.2686647,0.1320062,0.2529004,0.9589475,0.2089808,-0.139995,-20.72223,14.73798,18.91793
73.03938961,-0.3928965,-0.04652058,0.4368094,0.9598114,0.2153038,-0.1428292,-20.72223,14.73798,18.91793
73.049248695,-0.579244300000001,-0.1060295,0.4368094,0.9657261,0.2153684,-0.1395585,-21.09796,15.11045,18.91609
73.059107304,-0.579244300000001,0.07249729,0.2529004,0.9572944,0.2152618,-0.1480649,-21.09796,15.11045,18.91609
73.068965912,-0.703476100000001,0.310533,0.2529004,0.9622258,0.2118988,-0.1481635,-21.09796,15.11045,18.91609
73.078824997,-0.2686647,0.1320062,0.4981124,0.9612461,0.2153074,-0.1452456,-21.09796,15.11045,18.91609
73.088683605,-0.0823169599999999,0.310533,0.2529004,0.9618828,0.209495,-0.1395533,-21.09796,15.11045,18.91609
73.098543167,0.04191487,0.370042,0.2529004,0.960395,0.2002,-0.1491946,-20.71947,14.74333,19.30202
73.108401775,0.787305800000002,0.5485688,0.2529004,0.962434,0.2031701,-0.140573,-20.71947,14.74333,19.30202
73.118260384,0.911537699999999,0.608077699999999,0.1915974,0.9603157,0.2167771,-0.1404279,-20.71947,14.74333,19.30202
73.128119469,0.4146104,0.4890598,0.1302944,0.96525,0.2153678,-0.1385934,-20.71947,14.74333,19.30202
73.137978077,0.2282626,0.4890598,0.1915974,0.9603895,0.2138688,-0.1375783,-20.71947,14.74333,19.30202
73.147837162,0.3524944,0.4890598,0.2529004,0.9643666,0.2090393,-0.1371966,-19.97276,14.3612,18.91784
73.15769577,0.5388422,0.4890598,0.3142034,0.965302,0.2065945,-0.1425017,-19.97276,14.3612,18.91784
73.167555332,0.849421699999999,0.727095499999998,0.1302944,0.9632366,0.2163108,-0.1419111,-19.97276,14.3612,18.91784
73.17741394,0.4767263,0.4295509,0.0689914200000002,0.9612737,0.2206857,-0.1384918,-19.97276,14.3612,18.91784
73.187272549,0.2903785,0.4890598,0.1915974,0.9589172,0.2148308,-0.13707,-19.97276,14.3612,18.91784
73.197131634,0.4146104,0.608077699999999,0.2529004,0.9580186,0.2158214,-0.1303401,-20.34172,14.00271,19.30762
73.209455013,0.1040308,0.310533,0.3755064,0.9564009,0.2196714,-0.1379517,-20.34172,14.00271,19.30762
73.219314098,-0.0823169599999999,0.2510241,0.3142034,0.9628603,0.2134093,-0.1361798,-20.34172,14.00271,19.30762
73.229172707,-0.0823169599999999,0.1320062,0.3142034,0.9570187,0.2143419,-0.1332135,-20.34172,14.00271,19.30762
73.239032269,-0.641360199999998,-0.2845563,0.2529004,0.960373,0.220211,-0.1332118,-20.34172,14.00271,19.30762
73.248890877,-1.573099,-0.582100999999999,0.3142034,0.9578741,0.2235918,-0.134106,-20.72022,14.36983,18.9217
73.258749485,-2.31849,-1.058172,0.2529004,0.9569037,0.2157738,-0.1403878,-20.72022,14.36983,18.9217
73.26860857,-1.697331,-0.998663500000001,0.2529004,0.9653577,0.2046575,-0.1401229,-20.72022,14.36983,18.9217
73.278467178,-1.076172,-1.117681,0.4368094,0.9598201,0.2123768,-0.1447708,-20.72022,14.36983,18.9217
73.28832674,-1.138287,-1.17719,0.2529004,0.959756,0.2260289,-0.1374667,-20.72022,14.36983,18.9217
73.298185349,-1.697331,-1.534244,0.1915974,0.9617859,0.2143497,-0.1423862,-21.09119,14.37949,19.30772
73.308044434,-1.014056,-1.296208,0.1302944,0.9569085,0.1972225,-0.156358,-21.09119,14.37949,19.30772
73.317903042,-0.02020105,-1.355717,0.2529004,0.9648115,0.2056134,-0.1434614,-21.09119,14.37949,19.30772
73.32776165,-0.889823900000002,-1.17719,0.1302944,0.9552167,0.2298568,-0.1440785,-21.09119,14.37949,19.30772
73.337620735,-2.31849,-1.296208,0.007688423,0.9613199,0.212399,-0.142396,-21.09119,14.37949,19.30772
73.347479343,-2.566953,-1.17719,0.007688423,0.9641291,0.1982305,-0.1641196,-19.96799,13.9984,19.30569
73.357338905,-1.324635,-0.5225921,-0.1149176,0.9662495,0.1904829,-0.158944,-19.96799,13.9984,19.30569
73.367197514,-0.765591999999998,0.1320062,-0.1149176,0.9606081,0.2157488,-0.1557752,-19.96799,13.9984,19.30569
73.377056599,-1.262519,0.608077699999999,-0.1149176,0.958599,0.2196224,-0.156193,-19.96799,13.9984,19.30569
73.389379978,-2.132142,1.381694,-0.1762206,0.9644029,0.2152614,-0.1649382,-19.96799,13.9984,19.30569
73.399239063,-1.573099,1.917274,0.1302944,0.9650141,0.205536,-0.1645498,-20.72223,14.73798,18.91793
73.409097672,-1.510983,2.809908,-0.1762206,0.9629813,0.2196555,-0.1576928,-20.72223,14.73798,18.91793
73.41895628,-1.883678,3.226471,0.007688423,0.9596125,0.2171999,-0.1557487,-20.72223,14.73798,18.91793
73.428815842,-2.070026,3.524015,0.0689914200000002,0.9616203,0.2211376,-0.1485561,-20.72223,14.73798,18.91793
73.43867445,-2.629069,3.881069,0.007688423,0.9568734,0.2172298,-0.1413335,-20.72223,14.73798,18.91793
73.448533535,-2.691185,4.059596,0.1302944,0.9648319,0.2192895,-0.1299287,-20.72022,14.36983,18.9217
73.458392143,-3.188113,4.297632,-0.05361458,0.9588487,0.2255523,-0.1326658,-20.72022,14.36983,18.9217
73.468250752,-3.250229,4.000087,-0.05361458,0.9635583,0.2051733,-0.1281129,-20.72022,14.36983,18.9217
73.478109837,-2.939649,3.702542,-0.1149176,0.9686879,0.2038197,-0.1119047,-20.72022,14.36983,18.9217
73.487968445,-2.380606,3.047944,-0.2375236,0.9549074,0.2070923,-0.115035,-20.72022,14.36983,18.9217
73.497828007,-0.951939799999999,1.976783,-0.05361458,0.9586697,0.211613,-0.08629853,-20.71821,14.00169,18.92547
73.507686615,-2.380606,0.965131299999997,-0.4827355,0.942196,0.2494575,-0.07711876,-20.71821,14.00169,18.92547
73.5175457,-5.921213,-1.534244,-0.4214326,0.9428043,0.2377783,-0.07866359,-20.71821,14.00169,18.92547
73.527404308,-8.96489200000003,-3.379021,-0.3601296,0.9506189,0.2393088,-0.07828285,-20.71821,14.00169,18.92547
73.53726387,-10.45567,-4.807235,-0.2375236,0.9588093,0.2129823,-0.1107281,-20.71821,14.00169,18.92547
73.547122002,-10.26933,-6.05692300000003,0.0689914200000002,0.9716551,0.212643,-0.1018093,-20.34373,14.37086,19.30386
73.559445381,-10.57991,-7.48513700000001,0.1302944,0.9606898,0.2232307,-0.1073141,-20.34373,14.37086,19.30386
73.569304943,-9.58605199999997,-8.85384299999998,0.007688423,0.9573789,0.2027271,-0.1170239,-20.34373,14.37086,19.30386
73.579163551,-7.34987899999998,-9.865495,0.0689914200000002,0.9500931,0.2017006,-0.1140535,-20.34373,14.37086,19.30386
73.589022636,-5.98332900000001,-11.29371,0.0689914200000002,0.9548777,0.2090367,-0.1154974,-20.34373,14.37086,19.30386
73.598881245,-5.05159,-12.18634,-0.2375236,0.9563479,0.2022153,-0.1213263,-20.3365,13.6408,19.75949
73.60874033,-3.933504,-13.2575,-0.1762206,0.9549534,0.1944115,-0.1228099,-20.3365,13.6408,19.75949
73.618598938,-3.063881,-14.26916,-0.1762206,0.9637306,0.2115694,-0.1098518,-20.3365,13.6408,19.75949
73.628457546,-4.119852,-15.10228,0.007688423,0.9515211,0.235743,-0.1228914,-20.3365,13.6408,19.75949
73.638317108,-6.231793,-15.63786,-0.2988266,0.9294378,0.2505279,-0.1507246,-20.3365,13.6408,19.75949
73.648175716,-6.85295199999998,-15.2213,0.2529004,0.9563664,0.2219675,-0.174351,-20.71223,14.01327,19.75765
73.658034801,-5.300054,-14.5667,0.5594154,0.956752,0.2268246,-0.1776699,-20.71223,14.01327,19.75765
73.66789341,-6.10756099999998,-14.44768,0.5594154,0.9400116,0.2261582,-0.1860625,-20.71223,14.01327,19.75765
73.677752972,-7.53622700000002,-14.50719,0.620718400000002,0.9255943,0.226455,-0.2026265,-20.71223,14.01327,19.75765
73.68761158,-8.09526999999998,-14.09063,0.8659304,0.9342843,0.2245471,-0.2128297,-20.71223,14.01327,19.75765
73.697470188,-8.09526999999998,-14.5667,0.3142034,0.922985,0.2473805,-0.1961831,-19.96201,14.00998,20.13787
73.707329273,-9.83451600000002,-14.20965,-0.1149176,0.9015706,0.2438036,-0.1911161,-19.96201,14.00998,20.13787
73.717187881,-10.08298,-14.50719,-0.911856500000002,0.9087695,0.2005119,-0.2035641,-19.96201,14.00998,20.13787
73.727046966,-5.921213,-12.66241,-2.812249,0.9703833,0.1257814,-0.1638618,-19.96201,14.00998,20.13787
73.739370346,2.961363,-12.12683,-4.651339,1.005432,0.08126243,-0.1800714,-19.96201,14.00998,20.13787
73.749229431,9.35930300000001,-14.68572,-5.81609599999999,1.022424,0.1108059,-0.1278315,-19.96201,14.00998,20.13787
73.759088039,9.54565000000002,-16.29246,-6.06130799999997,0.9919461,0.1900759,-0.06874498,-19.96201,14.00998,20.13787
73.768947601,7.185245,-20.75563,-5.87739899999999,0.9431755,0.2895011,-0.04181322,-19.96201,14.00998,20.13787
73.77880621,-1.076172,-24.80224,-6.06130799999997,0.9564863,0.3587051,-0.04525249,-19.96201,14.00998,20.13787
73.788664818,-7.28776300000003,-28.49179,-5.632187,0.9464921,0.2913184,-0.0840147,-19.96201,14.00998,20.13787
73.798523903,-9.399704,-30.87215,-5.754793,0.9425826,0.2157449,-0.1143071,-20.33252,14.02053,20.5879
73.808382511,-6.16967699999999,-32.35987,-4.528733,0.937147,0.1647709,-0.198999,-20.33252,14.02053,20.5879
73.818242073,-1.759447,-34.68072,-3.793097,0.8842006,0.2456692,-0.1716848,-20.33252,14.02053,20.5879
73.828100681,-0.2065488,-36.76353,-4.46743,0.9066943,0.2914062,-0.09638513,-20.33252,14.02053,20.5879
73.837959766,1.222117,-37.1801,-5.08046,0.920417,0.2842113,-0.1009542,-20.33252,14.02053,20.5879
73.847818375,2.961363,-39.02487,-4.651339,0.8789419,0.2738384,-0.1737682,-19.57707,13.65534,21.41999
73.857676983,1.097885,-42.95246,-4.712642,0.8726597,0.2717161,-0.2058029,-19.57707,13.65534,21.41999
73.867536068,5.073304,-43.36903,-5.264369,0.925459,0.1858108,-0.1406717,-19.57707,13.65534,21.41999
