Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
169.918784142,-0.3928965,0.608077699999999,0.1302944,0.9895237,-0.09083482,-0.09887473,-43.40765,-30.10536,-7.520255
169.928643227,-0.3307806,0.608077699999999,0.1302944,0.9841415,-0.09234747,-0.1002484,-43.77737,-30.83734,-7.510783
169.938502312,-0.4550124,0.786604499999998,0.3142034,0.9875789,-0.08743113,-0.0949847,-43.77737,-30.83734,-7.510783
169.948361874,-0.579244300000001,0.965131299999997,0.1302944,0.9827481,-0.09087466,-0.0935073,-43.77737,-30.83734,-7.510783
169.958220959,-0.5171283,0.727095499999998,0.1915974,0.990554,-0.0864173,-0.09118495,-43.77737,-30.83734,-7.510783
169.968079567,-0.4550124,1.084149,0.3142034,0.983654,-0.08698084,-0.09540416,-43.77737,-30.83734,-7.510783
169.977939129,-0.4550124,1.381694,0.4368094,0.9857066,-0.08351859,-0.08534101,-43.77737,-30.83734,-7.510783
169.987798214,-1.014056,1.322185,0.3142034,0.9871044,-0.08206079,-0.08918222,-43.77737,-30.83734,-7.510783
169.997657299,-1.014056,1.262676,0.3142034,0.9847883,-0.09132174,-0.08778976,-43.77737,-30.83734,-7.510783
170.007516861,-0.951939799999999,1.262676,0.3755064,0.9828175,-0.09231954,-0.08968689,-43.77737,-30.83734,-7.510783
170.017375946,-0.703476100000001,1.143658,0.2529004,0.9901133,-0.08884893,-0.08976158,-43.77737,-30.83734,-7.510783
170.027235508,-0.641360199999998,1.262676,0.5594154,0.9852716,-0.09083086,-0.0877925,-43.40242,-30.46727,-7.068389
170.037094593,-0.641360199999998,1.262676,0.2529004,0.987267,-0.0908025,-0.08494551,-43.40242,-30.46727,-7.068389
170.046953678,-0.765591999999998,1.02464,0.3142034,0.9862324,-0.09375657,-0.09166449,-43.40242,-30.46727,-7.068389
170.05681324,-0.5171283,1.084149,0.2529004,0.9852499,-0.08790766,-0.08680913,-43.40242,-30.46727,-7.068389
170.066672325,-0.765591999999998,0.965131299999997,0.1915974,0.9862584,-0.08935508,-0.08587732,-43.40242,-30.46727,-7.068389
170.07653141,-0.3307806,0.727095499999998,0.1915974,0.9799292,-0.09184393,-0.08580812,-43.40443,-30.09912,-7.07216
170.088855743,-0.3307806,0.667586600000001,0.1302944,0.9813748,-0.09330189,-0.08871622,-43.40443,-30.09912,-7.07216
170.098714829,0.04191487,0.4295509,0.007688423,0.9833225,-0.09035777,-0.08680233,-43.40443,-30.09912,-7.07216
170.108573914,0.1040308,0.1915152,0.1302944,0.9789388,-0.09136782,-0.08626918,-43.40443,-30.09912,-7.07216
170.118433476,0.1661467,0.1320062,0.2529004,0.9842731,-0.09133347,-0.08969931,-43.40443,-30.09912,-7.07216
170.128292561,-0.0823169599999999,0.370042,-0.05361458,0.9895787,-0.08886622,-0.09310851,-43.41041,-30.1107,-7.904338
170.138152123,-0.2065488,0.310533,0.007688423,0.9838716,-0.09375395,-0.08540124,-43.41041,-30.1107,-7.904338
170.148011208,-0.0823169599999999,0.1320062,0.007688423,0.9862873,-0.09618203,-0.08976894,-43.41041,-30.1107,-7.904338
170.157870293,-0.02020105,0.07249729,0.007688423,0.9896163,-0.08983196,-0.0912004,-43.41041,-30.1107,-7.904338
170.167729855,-0.1444329,0.01298836,-0.1149176,0.989617,-0.09373757,-0.09458777,-43.41041,-30.1107,-7.904338
170.17758894,0.04191487,0.01298836,-0.05361458,0.9842421,-0.09036588,-0.09112831,-43.4084,-30.47885,-7.900567
170.187448502,-0.0823169599999999,0.1915152,0.007688423,0.9866847,-0.08790404,-0.08922555,-43.4084,-30.47885,-7.900567
