Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
114.63,-5.472303,-3.994478,0.687287899999998,0.9922995,-0.05703144,-0.04495868,-53.70708,-32.19923,-12.11815
114.64,-5.844999,-4.053987,0.871196900000001,0.994198,-0.05654249,-0.04881521,-53.70708,-32.19923,-12.11815
114.65,-6.09346200000002,-4.232514,0.9938028,0.9932835,-0.05750941,-0.04497674,-54.07358,-32.92497,-11.66058
114.66,-5.90711500000001,-4.47055,0.871196900000001,0.9942147,-0.05409661,-0.04544041,-54.07358,-32.92497,-11.66058
114.67,-5.90711500000001,-4.292023,0.687287899999998,0.9941806,-0.05508276,-0.04880264,-54.07358,-32.92497,-11.66058
114.68,-6.71462200000002,-4.351532,0.5646819,0.9980855,-0.04723893,-0.04256251,-54.07358,-32.92497,-11.66058
114.69,-6.90096900000002,-4.292023,0.4420759,0.9971239,-0.04919571,-0.04304451,-54.07358,-32.92497,-11.66058
114.7,-7.46001199999999,-4.411041,0.4420759,0.9922076,-0.05754587,-0.05214971,-53.70387,-32.19299,-11.67005
114.71,-7.77059199999999,-4.768095,0.687287899999998,0.9960987,-0.05458824,-0.0512218,-53.70387,-32.19299,-11.67005
114.72,-8.57809800000003,-4.768095,0.871196900000001,0.9989275,-0.055569,-0.05989599,-53.70387,-32.19299,-11.67005
114.73,-8.453866,-4.708585,0.748590899999999,0.9963657,-0.05952957,-0.07187288,-53.70387,-32.19299,-11.67005
114.74,-7.77059199999999,-5.244166,1.055106,0.9934049,-0.06395689,-0.07761844,-53.70387,-32.19299,-11.67005
114.75,-6.21769399999998,-5.065639,0.932499900000001,0.9935098,-0.06343874,-0.06946918,-54.07483,-32.18333,-11.28404
114.76,-4.478448,-5.422693,0.809893800000003,0.994872,-0.07273208,-0.08538061,-54.07483,-32.18333,-11.28404
114.77,-2.677086,-5.660728,0.809893800000003,0.9983848,-0.06535314,-0.07243001,-54.07483,-32.18333,-11.28404
114.78,-1.310536,-5.60122,0.809893800000003,0.9963396,-0.05953699,-0.07378937,-54.07483,-32.18333,-11.28404
114.79,-1.186305,-5.54171,0.809893800000003,0.9874427,-0.05671171,-0.07795151,-54.07483,-32.18333,-11.28404
114.8,-1.124189,-5.54171,0.809893800000003,0.9892313,-0.05137184,-0.08559914,-54.07759,-32.18867,-11.66812
114.81,-1.186305,-5.482202,0.748590899999999,0.9937422,-0.05667247,-0.08235377,-54.07759,-32.18867,-11.66812
114.82,-0.7514933,-4.827603,0.809893800000003,0.9907967,-0.06402482,-0.08956182,-54.07759,-32.18867,-11.66812
114.83,-0.627261499999999,-4.887112,0.5033789,0.9868572,-0.06455512,-0.09190615,-54.07759,-32.18867,-11.66812
114.84,-0.06821817,-4.827603,0.5646819,0.9840724,-0.0689323,-0.08471541,-54.07759,-32.18867,-11.66812
114.85,0.1181296,-4.530058,0.4420759,0.9912751,-0.05816486,-0.0852064,-54.44855,-32.17901,-11.28211
114.86,-0.1303341,-4.351532,0.3807729,0.9907614,-0.05719973,-0.08614933,-54.44855,-32.17901,-11.28211
114.87,-0.3787977,-3.934969,0.3194699,0.9897434,-0.05770791,-0.0894935,-54.44855,-32.17901,-11.28211
114.88,-0.999956799999998,-3.994478,0.3807729,0.9942009,-0.0596062,-0.08717706,-54.44855,-32.17901,-11.28211
114.89,-1.124189,-3.696934,0.3807729,0.9951588,-0.0600916,-0.0891116,-54.44855,-32.17901,-11.28211
114.9,-1.186305,-3.458898,0.3194699,0.992196,-0.06159016,-0.09243643,-54.07483,-32.18333,-11.28404
