Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
55.865921974,-2.753301,-0.582100999999999,0.5594154,0.9924552,-0.04366975,0.0140934,-45.68165,-12.345,1.272905
55.875781059,-2.691185,-0.760627799999999,0.4368094,0.995311,-0.03976057,0.01168969,-45.68165,-12.345,1.272905
55.885640621,-2.815417,-0.939154599999998,0.4981124,0.9899368,-0.04029451,0.01176178,-46.05859,-12.34692,0.8267403
55.895499229,-2.877533,-0.879645599999998,0.4368094,0.988484,-0.03932683,0.01370745,-46.05859,-12.34692,0.8267403
55.905358314,-2.877533,-1.17719,0.5594154,0.9890373,-0.04418646,0.01413775,-46.05859,-12.34692,0.8267403
55.915217876,-2.566953,-0.998663500000001,0.682021400000003,0.9909669,-0.0446651,0.01171021,-46.05859,-12.34692,0.8267403
55.925076961,-2.380606,-1.415226,0.5594154,0.9889649,-0.04908937,0.004513415,-46.05859,-12.34692,0.8267403
55.93493557,-2.070026,-1.117681,0.620718400000002,0.9914784,-0.05148961,0.007332531,-46.05859,-12.34692,0.8267403
55.944794655,-1.635215,-1.296208,0.4981124,0.994902,-0.04706541,0.01115467,-46.06382,-11.98501,0.3748732
55.954654217,-1.262519,-1.415226,0.4981124,0.9934441,-0.05391085,0.005846484,-46.06382,-11.98501,0.3748732
55.966978073,-1.076172,-1.17719,0.5594154,0.9898961,-0.04567657,0.004049744,-46.06382,-11.98501,0.3748732
55.976837158,-0.765591999999998,-1.236699,0.5594154,0.9962398,-0.0466012,0.00203473,-46.06382,-11.98501,0.3748732
55.986695766,-0.579244300000001,-1.17719,0.743324399999998,0.9883949,-0.04228158,0.004578991,-45.68487,-12.35124,0.8248081
55.996555328,-0.827707900000002,-0.939154599999998,0.743324399999998,0.9888233,-0.03936523,0.002680702,-45.68487,-12.35124,0.8248081
56.006414413,-0.641360199999998,-0.760627799999999,0.682021400000003,0.9913178,-0.04567666,0.000675085,-45.68487,-12.35124,0.8248081
56.016273499,-0.3928965,-0.820136700000001,0.743324399999998,0.9917859,-0.04665479,-0.001735839,-45.68487,-12.35124,0.8248081
56.026132107,-0.0823169599999999,-0.641609900000002,0.743324399999998,0.9928812,-0.05100683,0.003003815,-45.68487,-12.35124,0.8248081
56.035991669,0.2903785,-0.4630831,0.620718400000002,0.9913663,-0.04810398,0.002091507,-46.05537,-12.34069,1.274837
56.045850754,0.1040308,-0.4035742,0.5594154,0.9918395,-0.04566307,0.003063762,-46.05537,-12.34069,1.274837
56.055710316,0.04191487,-0.2845563,0.2529004,0.9904388,-0.04468055,0.008842411,-46.05537,-12.34069,1.274837
56.065568924,-0.4550124,-0.1060295,0.4368094,0.988062,-0.04663538,0.01221418,-46.05537,-12.34069,1.274837
56.075428009,-1.324635,0.01298836,0.4368094,0.9884375,-0.04422233,0.005999604,-46.05537,-12.34069,1.274837
56.085287094,-2.132142,-0.04652058,0.4981124,0.9914777,-0.04318992,0.01459058,-46.05738,-11.97254,1.271067
56.095146656,-2.566953,0.07249729,0.4368094,0.9948021,-0.04855857,0.002517901,-46.05738,-11.97254,1.271067
56.105005264,-2.442722,0.07249729,0.3142034,0.9908952,-0.04907958,0.002569187,-46.05738,-11.97254,1.271067
56.114864349,-2.132142,-0.1060295,0.4368094,0.9924529,-0.05392317,0.004902108,-46.05738,-11.97254,1.271067
56.124723911,-1.945794,-0.04652058,0.2529004,0.9948159,-0.04806642,0.003959456,-46.05738,-11.97254,1.271067
