Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
34.565392971,0.725189899999998,0.9056224,0.1915974,0.9995738,-0.08467828,-0.03810769,-39.47488,-33.42569,8.371351
34.575249195,0.2903785,0.965131299999997,0.1915974,0.99809,-0.08274303,-0.03759101,-39.47488,-33.42569,8.371351
34.585105419,0.1040308,0.9056224,0.1302944,0.9946273,-0.0827843,-0.0404172,-39.47488,-33.42569,8.371351
34.59496212,-0.3307806,0.846113400000001,0.4368094,0.9990241,-0.08177055,-0.03999211,-39.47488,-33.42569,8.371351
34.607282162,-0.2686647,0.786604499999998,0.4368094,0.9965402,-0.08570883,-0.04621954,-39.84493,-34.09631,8.380196
34.617138863,-0.579244300000001,1.084149,0.3142034,0.9969766,-0.08181376,-0.04667209,-39.84493,-34.09631,8.380196
34.626995563,-0.703476100000001,0.965131299999997,0.3755064,0.9931022,-0.08232549,-0.04422519,-39.84493,-34.09631,8.380196
34.636851311,-0.765591999999998,0.9056224,0.2529004,0.9970713,-0.08373965,-0.0414185,-39.84493,-34.09631,8.380196
34.646708012,-0.5171283,1.084149,0.1915974,0.9965554,-0.08423982,-0.04381136,-39.84493,-34.09631,8.380196
34.656563759,-0.2065488,0.786604499999998,0.0689914200000002,0.9970663,-0.08276464,-0.040931,-39.47689,-33.05754,8.36758
34.66642046,-0.1444329,0.9056224,-0.1149176,0.995091,-0.08669305,-0.04572799,-39.47689,-33.05754,8.36758
34.676277161,0.1040308,0.667586600000001,-0.3601296,0.998477,-0.08569719,-0.04768465,-39.47689,-33.05754,8.36758
34.686132908,0.2903785,0.5485688,-0.4214326,0.9965894,-0.08764772,-0.0443198,-39.47689,-33.05754,8.36758
34.695989609,0.3524944,0.608077699999999,-0.3601296,1.001995,-0.08808137,-0.04296291,-39.47689,-33.05754,8.36758
34.70584631,0.1661467,0.4890598,-0.4827355,0.999945,-0.08519584,-0.04722214,-39.48166,-32.69474,7.979727
34.715702057,-0.02020105,0.4890598,-0.3601296,0.9994689,-0.08519644,-0.04625696,-39.48166,-32.69474,7.979727
34.725558758,-0.1444329,0.4295509,-0.4827355,0.9980277,-0.08520192,-0.04431966,-39.48166,-32.69474,7.979727
34.735414505,-0.0823169599999999,0.310533,-0.6666446,0.9956169,-0.09253696,-0.0481808,-39.48166,-32.69474,7.979727
34.745271206,0.1040308,-0.04652058,-0.6053416,0.9951365,-0.09546817,-0.05011549,-39.48166,-32.69474,7.979727
34.755127907,-0.2065488,-0.2250474,-0.4827355,0.9966805,-0.09201579,-0.04148277,-39.84661,-33.78952,8.377053
