Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
29.081593514,0.04191487,0.846113400000001,0.1915974,0.9966331,0.02856269,0.0611258,-38.54136,-36.10427,6.281089
29.091451168,0.1661467,0.846113400000001,0.2529004,0.9971519,0.02662254,0.06158123,-38.54136,-36.10427,6.281089
29.101308346,0.1661467,1.02464,0.2529004,0.9981025,0.03004091,0.06255493,-38.54136,-36.10427,6.281089
29.111165524,-0.02020105,0.9056224,0.2529004,0.998054,0.02807417,0.05726782,-38.54136,-36.10427,6.281089
29.121023655,0.2282626,0.786604499999998,0.1915974,0.9971454,0.02662068,0.06110211,-38.54136,-36.10427,6.281089
29.130880833,0.2903785,0.608077699999999,0.1302944,0.996196,0.02417918,0.06109504,-38.16763,-36.10859,6.279158
29.14073801,0.4146104,0.786604499999998,0.1915974,1.000514,0.02468222,0.05528735,-38.16763,-36.10859,6.279158
29.150595188,0.5388422,0.786604499999998,0.007688423,0.9990922,0.02468231,0.058662,-38.16763,-36.10859,6.279158
29.16045332,0.4146104,0.667586600000001,-0.05361458,1.000637,0.019835,0.06003668,-38.16763,-36.10859,6.279158
29.170310497,1.03577,0.4295509,-0.05361458,0.9935828,0.02508625,0.04963915,-38.16763,-36.10859,6.279158
29.180167675,1.284233,0.370042,-0.05361458,0.9916828,0.02362044,0.05252906,-38.16763,-36.10859,6.279158
29.190024853,1.222117,0.2510241,-0.05361458,0.9951057,0.0275562,0.05586788,-38.5386,-36.09893,6.665172
29.199882984,1.284233,0.310533,-0.1149176,0.9974817,0.0290226,0.05201279,-38.5386,-36.09893,6.665172
29.212204933,1.222117,0.310533,-0.1149176,0.9941637,0.02999905,0.06069392,-38.5386,-36.09893,6.665172
29.222062111,0.725189899999998,0.2510241,-0.2988266,0.9950356,0.0329067,0.05543483,-38.5386,-36.09893,6.665172
29.231919289,0.4767263,0.310533,-0.3601296,0.9956151,0.03244856,0.0616523,-38.16319,-36.41003,6.666383
29.241776943,0.4146104,0.5485688,-0.2375236,0.9950985,0.0270659,0.05490545,-38.16319,-36.41003,6.666383
29.251634598,0.2282626,0.4890598,-0.2988266,0.99813,0.02663115,0.06156736,-38.16319,-36.41003,6.666383
29.261491776,0.3524944,0.370042,-0.2988266,0.9985344,0.02221726,0.05146116,-38.16319,-36.41003,6.666383
29.27134943,0.4767263,0.310533,-0.1762206,0.9990879,0.02614575,0.05963281,-38.16319,-36.41003,6.666383
29.281206608,0.3524944,0.2510241,-0.1149176,0.9937282,0.02659241,0.06162977,-38.91508,-36.09996,6.283021
29.291064262,0.4146104,0.01298836,0.0689914200000002,0.9912834,0.02266526,0.05827707,-38.91508,-36.09996,6.283021
29.300921917,-0.2065488,0.01298836,0.2529004,0.9897641,0.02703155,0.05833558,-38.91508,-36.09996,6.283021
29.310779095,-0.3307806,0.01298836,0.2529004,0.9946745,0.02708017,0.0597036,-38.91508,-36.09996,6.283021
29.320636273,-0.2065488,-0.1060295,0.3142034,0.9961143,0.02610879,0.05679969,-38.91508,-36.09996,6.283021
29.330493927,-0.2686647,0.01298836,0.4981124,0.9942085,0.02073549,0.05582311,-38.53692,-36.40572,6.668314
29.340351582,-0.3307806,-0.3440652,0.743324399999998,0.9970347,0.03098318,0.05682771,-38.53692,-36.40572,6.668314
29.350208759,-0.765591999999998,-0.4630831,0.682021400000003,0.9956136,0.0314717,0.06068568,-38.53692,-36.40572,6.668314
29.360066414,-0.703476100000001,-0.2845563,0.4368094,0.9941261,0.02657072,0.05491513,-38.53692,-36.40572,6.668314
29.369924069,-0.703476100000001,-0.2250474,0.5594154,0.9941897,0.02561242,0.05873973,-38.53692,-36.40572,6.668314
29.379781246,-0.3307806,-0.3440652,0.5594154,0.9922537,0.02169514,0.05681746,-38.16687,-35.7351,6.65947
29.392103195,0.1040308,-0.5225921,0.4368094,0.9887555,0.02408491,0.05353309,-38.16687,-35.7351,6.65947
29.401960373,0.04191487,-0.5225921,0.620718400000002,0.9898487,0.01826757,0.05682281,-38.16687,-35.7351,6.65947
29.411817551,0.3524944,-0.701118900000002,0.743324399999998,0.992378,0.0178248,0.06253342,-38.16687,-35.7351,6.65947
29.421675682,0.1661467,-0.641609900000002,0.620718400000002,0.9922695,0.01925854,0.05583828,-38.16687,-35.7351,6.65947
29.43153286,0.3524944,-0.641609900000002,0.682021400000003,0.9908838,0.01292196,0.05628374,-38.53692,-36.40572,6.668314
29.441390038,0.3524944,-0.701118900000002,0.8659304,0.9904274,0.017321,0.06255697,-38.53692,-36.40572,6.668314
29.451247215,0.2282626,-0.641609900000002,0.988536299999999,0.9933323,0.01929129,0.06205299,-38.53692,-36.40572,6.668314
29.461105347,-0.02020105,-0.5225921,0.743324399999998,0.9897974,0.02313521,0.05734382,-38.53692,-36.40572,6.668314
29.470962525,-0.2065488,-0.5225921,0.620718400000002,0.9956446,0.02611005,0.05824399,-38.53692,-36.40572,6.668314
29.480819702,-0.2065488,-0.4630831,0.743324399999998,0.9976416,0.02711528,0.06205761,-38.16963,-35.74044,6.275387
29.490677834,-0.5171283,-0.4630831,0.3755064,0.9969921,0.03292392,0.0554071,-38.16963,-35.74044,6.275387
29.500535011,-0.3307806,-0.1655384,0.1915974,0.9974696,0.03829544,0.05927922,-38.16963,-35.74044,6.275387
29.510392189,-0.3928965,-0.3440652,-0.05361458,0.9990373,0.03150183,0.06063714,-38.16963,-35.74044,6.275387
29.520249844,-0.5171283,-0.2250474,-0.05361458,0.9980446,0.03051263,0.05872614,-38.16963,-35.74044,6.275387
29.530107498,-0.951939799999999,-0.1060295,-0.1762206,0.9998845,0.03098487,0.05055751,-38.16595,-36.41538,6.2823
29.539964676,-1.262519,0.01298836,-0.1762206,1.002963,0.0183578,0.04992787,-38.16595,-36.41538,6.2823
29.552286625,-0.641360199999998,-0.2250474,-0.05361458,1.001153,0.007641428,0.05130083,-38.16595,-36.41538,6.2823
29.562144279,0.1661467,-0.2250474,0.1915974,0.9991955,0.006647341,0.05036194,-38.16595,-36.41538,6.2823
29.572001457,0.787305800000002,-0.760627799999999,0.4981124,1.002206,0.009624201,0.05849054,-38.16595,-36.41538,6.2823
29.581859112,1.03577,-0.760627799999999,0.804627399999999,1.006037,0.0159823,0.0580104,-38.5386,-36.09893,6.665172
29.591716766,1.222117,-0.939154599999998,0.3755064,0.9986601,0.01492972,0.05427307,-38.5386,-36.09893,6.665172
29.601573944,0.849421699999999,-0.939154599999998,0.2529004,1.005012,0.01937788,0.05757447,-38.5386,-36.09893,6.665172
29.611431122,0.911537699999999,-0.939154599999998,0.3142034,1.001264,0.01206705,0.06331658,-38.5386,-36.09893,6.665172
29.621288776,0.973653600000002,-1.236699,0.3142034,1.004049,0.02083829,0.05999652,-38.5386,-36.09893,6.665172
29.631146431,0.725189899999998,-1.236699,0.2529004,1.003554,0.02132057,0.06000764,-38.53692,-36.40572,6.668314
29.641003609,0.5388422,-0.879645599999998,0.1302944,0.9987398,0.02032293,0.06485983,-38.53692,-36.40572,6.668314
29.650860786,0.2903785,-0.820136700000001,0.0689914200000002,0.9987369,0.02276325,0.06679726,-38.53692,-36.40572,6.668314
29.660718918,0.2903785,-0.582100999999999,0.0689914200000002,0.9927977,0.02366804,0.06257675,-38.53692,-36.40572,6.668314
29.670576096,0.2903785,-0.582100999999999,0.1302944,0.9976307,0.02418281,0.05867862,-38.53692,-36.40572,6.668314
29.680433273,0.2903785,-0.4035742,0.1302944,0.9883677,0.02655063,0.06314342,-39.2868,-36.46379,6.288723
29.690290451,0.04191487,-0.2250474,0.1302944,0.987378,0.02751518,0.06316566,-39.2868,-36.46379,6.288723
29.700148582,-0.3307806,-0.04652058,0.1302944,0.9897549,0.03386407,0.06366457,-39.2868,-36.46379,6.288723
29.71000576,-0.3307806,0.1320062,0.2529004,0.9892815,0.02702911,0.05882164,-39.2868,-36.46379,6.288723
29.719862938,-0.3928965,0.2510241,0.2529004,0.9911779,0.02605275,0.05351517,-39.2868,-36.46379,6.288723
29.732184887,0.1661467,0.2510241,0.2529004,0.9927065,0.02364205,0.05586904,-38.53767,-36.77921,6.288002
29.742042065,0.2282626,0.2510241,0.3142034,0.9921358,0.02556735,0.05158063,-38.53767,-36.77921,6.288002
29.751900196,0.600958099999998,0.1915152,0.0689914200000002,0.9980236,0.02953019,0.05632215,-38.53767,-36.77921,6.288002
29.761757374,0.5388422,0.01298836,-0.1149176,0.9971446,0.02613225,0.0606188,-38.53767,-36.77921,6.288002
29.771614551,0.2903785,-0.04652058,-0.05361458,0.9955557,0.02754936,0.05298621,-38.53767,-36.77921,6.288002
29.781472206,0.3524944,0.07249729,-0.1762206,1.000031,0.02907383,0.05964408,-38.5406,-35.73078,6.661401
29.791329861,0.2282626,0.310533,-0.4214326,0.9981335,0.02467926,0.06011324,-38.5406,-35.73078,6.661401
29.801187038,-0.02020105,0.1320062,-0.4214326,0.9952468,0.02173768,0.06108796,-38.5406,-35.73078,6.661401
29.811044693,0.1040308,0.1915152,-0.5440385,1.00059,0.01884514,0.0557162,-38.5406,-35.73078,6.661401
29.820902348,0.1661467,0.1915152,-0.4214326,1.002561,0.01984294,0.05761334,-38.5406,-35.73078,6.661401
29.830759525,0.2282626,0.1915152,-0.3601296,0.9942338,0.02025448,0.05725627,-38.54136,-36.10427,6.281089
29.84061718,0.2282626,0.1320062,-0.1762206,0.9992188,0.01788321,0.06195722,-38.54136,-36.10427,6.281089
29.850474358,-0.02020105,0.1320062,-0.1149176,1.000599,0.0203123,0.05764526,-38.54136,-36.10427,6.281089
29.860332012,-0.2065488,0.01298836,-0.1762206,1.001049,0.0207939,0.0552469,-38.54136,-36.10427,6.281089
29.870189667,-0.2686647,-0.2250474,0.0689914200000002,1.003,0.02569175,0.05909403,-38.54136,-36.10427,6.281089
29.880046844,0.1040308,-0.04652058,0.1915974,1.004035,0.02425177,0.06194233,-38.90865,-36.76955,6.674016
29.889904022,-0.02020105,-0.1655384,0.1915974,0.9990423,0.02613276,0.05627896,-38.90865,-36.76955,6.674016
29.902225971,-0.3307806,-0.1060295,0.3142034,0.9908203,0.01827433,0.05632982,-38.90865,-36.76955,6.674016
29.912083626,-0.02020105,-0.2250474,0.2529004,0.9922732,0.02170071,0.05825483,-38.90865,-36.76955,6.674016
29.92194128,0.1661467,-0.1655384,0.2529004,0.9947381,0.02172781,0.05965752,-38.90865,-36.76955,6.674016
29.931798458,0.1661467,0.01298836,0.3755064,0.9903833,0.01828488,0.06016973,-38.91508,-36.09996,6.283021
29.941655636,0.2903785,-0.1060295,0.5594154,0.9932499,0.02073245,0.05727433,-38.91508,-36.09996,6.283021
29.951513767,0.1661467,0.07249729,0.4368094,0.9957618,0.01735535,0.05912684,-38.91508,-36.09996,6.283021
29.961370945,0.04191487,0.310533,0.3755064,0.9913131,0.02511487,0.06261012,-38.91508,-36.09996,6.283021
29.971228123,0.04191487,0.310533,0.2529004,0.9966316,0.02319176,0.0562885,-38.91508,-36.09996,6.283021
29.9810853,0.1661467,0.370042,0.007688423,0.9926639,0.02558279,0.05444843,-38.91032,-36.46276,6.670875
29.990943432,0.04191487,0.2510241,-0.05361458,0.991214,0.02411014,0.05445667,-38.91032,-36.46276,6.670875
30.00080061,0.1040308,0.2510241,-0.1762206,0.9971315,0.02173447,0.05578988,-38.91032,-36.46276,6.670875
30.010657787,0.04191487,0.310533,-0.2988266,0.9951527,0.02415201,0.05631768,-38.91032,-36.46276,6.670875
30.020515919,-0.02020105,0.310533,-0.2375236,0.9981306,0.01833146,0.05430932,-38.91032,-36.46276,6.670875
30.030373096,0.1661467,0.2510241,-0.05361458,0.9986762,0.02128123,0.06103523,-38.16486,-36.10324,6.66324
30.040230274,0.3524944,-0.1655384,-0.2375236,0.9985676,0.02271497,0.05434009,-38.16486,-36.10324,6.66324
30.050087452,0.5388422,-0.1060295,-0.2988266,0.9971706,0.02174561,0.05866461,-38.16486,-36.10324,6.66324
30.059945583,0.4146104,-0.1655384,-0.05361458,0.9936689,0.0216932,0.05296368,-38.16486,-36.10324,6.66324
30.072267056,0.5388422,-0.1655384,-0.3601296,1.000081,0.02322932,0.05815645,-38.16486,-36.10324,6.66324
30.08212471,0.725189899999998,-0.3440652,-0.1149176,0.9951527,0.02415201,0.05631768,-38.9183,-36.10619,5.834924
30.091981888,0.5388422,-0.2845563,0.007688423,0.9936334,0.02412424,0.0525055,-38.9183,-36.10619,5.834924
30.101839542,0.600958099999998,-0.2845563,-0.05361458,0.9926841,0.02168274,0.05249843,-38.9183,-36.10619,5.834924
30.111697197,0.5388422,-0.4035742,-0.05361458,0.9951665,0.02464416,0.05775924,-38.9183,-36.10619,5.834924
30.121554375,0.4146104,-0.4035742,0.007688423,0.99365,0.02217607,0.05200963,-38.9183,-36.10619,5.834924
30.131412029,0.4767263,-0.2250474,0.007688423,0.9965636,0.02561351,0.05343471,-38.91911,-35.36366,6.27548
30.141269207,0.725189899999998,-0.582100999999999,-0.1762206,0.9941094,0.02412483,0.05154033,-38.91911,-35.36366,6.27548
30.151126862,0.4146104,-0.5225921,-0.1762206,0.9946383,0.02462871,0.05489144,-38.91911,-35.36366,6.27548
30.160984516,0.2282626,-0.701118900000002,-0.1762206,0.9941326,0.02657258,0.05539425,-38.91911,-35.36366,6.27548
30.170841694,-0.1444329,-0.5225921,-0.1762206,0.9937015,0.02609655,0.05922997,-38.91911,-35.36366,6.27548
30.180698872,-0.2686647,-0.701118900000002,-0.1149176,0.9957083,0.02515175,0.06206859,-38.91032,-36.46276,6.670875
30.190557003,-0.3307806,-0.701118900000002,-0.05361458,0.9942143,0.02464297,0.05968959,-38.91032,-36.46276,6.670875
