Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
23.491346359,-13.29406,37.62416,30.49687,1.007045,-0.1098216,-0.1764435,-35.54878,-33.49874,8.115685
23.501234055,-13.16973,38.38912,30.92451,0.9987525,-0.1224874,-0.1778317,-35.54878,-33.49874,8.115685
23.511122227,-11.55336,38.56565,31.53542,0.9754438,-0.1208799,-0.1711335,-36.64746,-31.6859,6.378137
23.521010399,-9.68831099999998,38.15375,31.16887,0.9593646,-0.1289178,-0.1571644,-36.64746,-31.6859,6.378137
23.530898094,-9.00446099999999,38.5068,30.80233,0.9530224,-0.1321845,-0.1484986,-36.64746,-31.6859,6.378137
23.540786266,-7.88543400000003,39.68365,30.92451,0.9417708,-0.141062,-0.1249013,-36.64746,-31.6859,6.378137
23.550674915,-7.26375199999999,41.74314,31.7187,0.9304907,-0.1517507,-0.09215752,-36.64746,-31.6859,6.378137
23.560562611,-6.89074399999999,44.97948,32.94053,0.9206435,-0.1762278,-0.06944174,-37.32274,-30.93516,5.508712
23.570450783,-7.76109800000001,47.9216,35.262,0.9433612,-0.1965736,-0.05921375,-37.32274,-30.93516,5.508712
23.580338478,-10.55867,51.45215,38.49984,0.9937598,-0.2091039,-0.04370365,-37.32274,-30.93516,5.508712
23.59022665,-15.09694,56.33607,41.55441,1.060174,-0.2156785,-0.01858702,-37.32274,-30.93516,5.508712
23.600115299,-22.61929,62.8087500000001,44.18134,1.090735,-0.2006991,0.0102273,-37.32274,-30.93516,5.508712
23.610002994,-33.18788,69.5167900000001,46.38063,1.095979,-0.2021036,0.04727128,-38.79185,-29.81826,3.318337
23.619891167,-44.62682,76.6955700000001,48.21337,1.085672,-0.2048449,0.09055631,-38.79185,-29.81826,3.318337
23.629778862,-57.18479,81.8737100000002,48.7021,1.083233,-0.1903303,0.1164499,-38.79185,-29.81826,3.318337
23.639667034,-64.9558100000001,86.2869000000003,49.06865,1.100187,-0.1871617,0.1352091,-38.79185,-29.81826,3.318337
23.649555683,-67.69121,90.2293500000002,47.90792,1.128418,-0.1653263,0.1336881,-38.79185,-29.81826,3.318337
23.659443378,-68.7480700000001,93.1714699999999,43.69261,1.157646,-0.1252457,0.1474655,-39.85428,-27.66555,-0.4998059
23.669331551,-63.1529299999999,95.3486400000002,36.60601,1.163025,-0.1125668,0.1493312,-39.85428,-27.66555,-0.4998059
23.679219246,-54.63589,97.4669700000001,27.50339,1.156377,-0.08561517,0.1270651,-39.85428,-27.66555,-0.4998059
23.689107418,-46.67837,101.7036,21.27207,1.141418,-0.0936088,0.07899639,-39.85428,-27.66555,-0.4998059
23.698995113,-42.5131,106.2933,19.25605,1.117907,-0.07338031,-0.004331901,-39.85428,-27.66555,-0.4998059
23.708883762,-37.35314,108.7647,19.6226,1.076,-0.03004187,-0.07529395,-41.22263,-25.89584,-4.838617
23.721243858,-33.74739,103.5866,15.52948,1.06031,0.0201699,-0.1390471,-41.22263,-25.89584,-4.838617
23.73113203,-30.57681,95.4663199999998,11.8029,1.054723,0.05799577,-0.1830084,-41.22263,-25.89584,-4.838617
23.741019726,-30.51464,86.8753300000003,8.68724300000001,1.076167,0.06237715,-0.2128233,-41.22263,-25.89584,-4.838617
23.750907898,-29.51995,75.22451,4.288662,1.062201,0.08112261,-0.2312089,-41.22263,-25.89584,-4.838617
23.760796547,-34.86642,66.5746699999998,0.01226447,1.076109,0.0204473,-0.2486806,-40.76958,-24.46789,-9.131539
23.770684242,-44.93766,58.98399,-1.820477,1.036673,-0.0120573,-0.2456756,-40.76958,-24.46789,-9.131539
23.780572414,-57.24696,55.15923,-3.958676,1.011709,-0.06343058,-0.2324595,-40.76958,-24.46789,-9.131539
23.79046011,-69.6805900000003,51.98173,-5.974692,0.9576214,-0.118721,-0.2245469,-40.76958,-24.46789,-9.131539
23.800348282,-79.8761700000001,48.3335,-7.44088499999998,0.9137437,-0.1626951,-0.2075423,-40.76958,-24.46789,-9.131539
23.810236931,-86.7146699999999,45.50906,-8.54052999999998,0.8761845,-0.2196731,-0.2125872,-40.70221,-24.16143,-13.02801
23.820124626,-89.9474099999998,41.86082,-9.82344899999998,0.8547072,-0.2566893,-0.215791,-40.70221,-24.16143,-13.02801
23.830012798,-90.9421000000003,38.09491,-11.96165,0.838169,-0.2688735,-0.2186338,-40.70221,-24.16143,-13.02801
23.839900494,-89.3257299999998,34.56436,-14.71076,0.8187411,-0.275223,-0.2224712,-40.70221,-24.16143,-13.02801
23.849788666,-81.0573700000002,28.68011,-18.0097,0.788484,-0.3303611,-0.233769,-39.2179,-22.77276,-15.1556
23.859676361,-68.18855,21.08943,-21.61409,0.7796553,-0.3581286,-0.2355624,-39.2179,-22.77276,-15.1556
23.86956501,-59.7336800000002,14.55791,-24.97412,0.7663964,-0.372558,-0.1927026,-39.2179,-22.77276,-15.1556
23.879453182,-48.41908,7.90871000000001,-25.89049,0.7536733,-0.3614298,-0.134101,-39.2179,-22.77276,-15.1556
23.889340878,-38.78301,-0.03502529,-25.95158,0.764877,-0.315425,-0.08478583,-39.2179,-22.77276,-15.1556
23.89922905,-34.24474,-8.21413099999998,-25.7683,0.7954576,-0.2891235,-0.04785306,-39.18054,-22.43408,-17.30104
23.909117222,-30.82549,-15.98134,-24.42429,0.8405094,-0.291144,-0.01412714,-39.18054,-22.43408,-17.30104
23.919005394,-29.27128,-23.21896,-22.9581,0.8875469,-0.2854851,0.0123484,-39.18054,-22.43408,-17.30104
23.928893566,-31.07416,-28.22058,-22.59155,0.9417458,-0.3064573,0.05002785,-39.18054,-22.43408,-17.30104
23.941253662,-31.75801,-29.92701,-22.65264,1.007956,-0.3754474,0.0696886,-39.18054,-22.43408,-17.30104
23.951141357,-27.34407,-29.80932,-22.40828,1.030971,-0.447353,0.08402485,-38.422,-23.58647,-17.65709
23.96102953,-21.43809,-28.63247,-21.43081,1.030277,-0.5092303,0.08193213,-38.422,-23.58647,-17.65709
23.970918179,-13.35623,-26.74951,-19.35371,1.025813,-0.552411,0.05954198,-38.422,-23.58647,-17.65709
23.980805874,-3.595831,-23.86623,-16.6046,0.9996496,-0.5645996,0.0225429,-38.422,-23.58647,-17.65709
23.990694046,5.79156200000001,-22.21864,-15.56604,0.971224,-0.5240782,-0.007030372,-38.422,-23.58647,-17.65709
24.000581741,13.06524,-21.27716,-15.93259,0.9637219,-0.4625299,-0.02802953,-38.06673,-23.88437,-16.41188
24.010469913,15.8628,-20.80642,-17.21551,0.9775782,-0.3766527,-0.01498195,-38.06673,-23.88437,-16.41188
24.020358562,12.56789,-18.98231,-18.31516,1.015712,-0.2819218,0.007185991,-38.06673,-23.88437,-16.41188
24.030246258,4.299526,-16.62861,-19.23153,1.053774,-0.1986763,0.04287768,-38.06673,-23.88437,-16.41188
24.04013443,-7.69893,-13.86301,-20.27008,1.08072,-0.1067588,0.07081817,-38.06673,-23.88437,-16.41188
24.050022125,-19.63522,-10.74436,-21.67518,1.097413,-0.05872745,0.06097601,-38.45147,-23.8705,-15.9665
24.059910297,-28.33876,-9.92056299999999,-22.77483,1.107229,-0.03902633,0.0445363,-38.45147,-23.8705,-15.9665
24.069798946,-30.63898,-7.62570600000002,-22.83592,1.088354,-0.03087623,0.03341248,-38.45147,-23.8705,-15.9665
24.079686642,-26.22504,-7.037281,-22.71373,1.057317,-0.03894401,0.01081466,-38.45147,-23.8705,-15.9665
24.089574814,-17.95668,-7.86107600000001,-22.10282,1.018481,-0.06520765,-0.02468493,-38.45147,-23.8705,-15.9665
24.099462986,-7.69893,-7.74339099999999,-21.36972,0.979027,-0.1060551,-0.02596614,-38.06809,-24.64049,-16.40128
24.109350681,2.931826,-5.507376,-19.96462,0.9560569,-0.151296,-0.02576364,-38.06809,-24.64049,-16.40128
24.119238853,13.25174,-3.271362,-18.86498,0.9339949,-0.2115695,-0.02115586,-38.06809,-24.64049,-16.40128
24.129127502,22.7013,-1.741457,-17.52097,0.9255764,-0.2513031,-0.008941617,-38.06809,-24.64049,-16.40128
24.139015198,30.78316,-2.094512,-14.16094,0.9177107,-0.2820086,-0.01168092,-38.06809,-24.64049,-16.40128
24.151375294,34.51325,-4.153999,-12.81693,0.9040494,-0.3123882,-0.02597057,-37.70626,-25.00857,-15.5443
24.161262989,32.21303,-9.214453,-12.57256,0.8802263,-0.3344839,-0.04127547,-37.70626,-25.00857,-15.5443
24.171151161,24.75285,-17.0405,-10.80091,0.8724634,-0.3409571,-0.05183185,-37.70626,-25.00857,-15.5443
24.18103981,15.42763,-24.74887,-9.21253599999998,0.8904867,-0.3284614,-0.06053108,-37.70626,-25.00857,-15.5443
24.190927506,7.097093,-30.80964,-8.17398199999999,0.9405116,-0.3222874,-0.06435277,-37.70626,-25.00857,-15.5443
24.200815678,0.3829313,-34.51672,-8.29616499999998,1.027974,-0.2937014,-0.06247409,-38.10083,-26.12051,-14.62903
24.210703373,-4.714858,-33.69292,-9.02926199999999,1.119772,-0.2539654,-0.03082972,-38.10083,-26.12051,-14.62903
24.220591545,-7.94760199999998,-28.16173,-9.88454100000001,1.202329,-0.20364,0.02383483,-38.10083,-26.12051,-14.62903
24.230480194,-9.12879799999998,-19.57073,-10.80091,1.216144,-0.1249663,0.04365166,-38.10083,-26.12051,-14.62903
24.240367889,-10.12349,-10.8032,-12.20601,1.17462,-0.0645528,0.03993271,-38.10083,-26.12051,-14.62903
24.250256062,-10.24782,-4.624739,-13.48893,1.079542,-0.06223213,0.0196142,-37.73957,-26.80363,-13.76764
24.260143757,-7.57459399999998,-3.918629,-14.71076,0.9687583,-0.1050589,0.00671978,-37.73957,-26.80363,-13.76764
24.270031929,-4.217513,-7.09612300000002,-16.5435,0.9210793,-0.1241624,0.02551802,-37.73957,-26.80363,-13.76764
24.279920578,0.3207631,-10.56783,-17.64315,0.9049773,-0.1300655,0.0519802,-37.73957,-26.80363,-13.76764
24.28980875,6.288907,-14.21606,-18.13188,0.9005747,-0.1452672,0.04435728,-37.73957,-26.80363,-13.76764
24.299696446,15.61413,-18.92346,-16.97114,0.8995801,-0.1635269,0.02809711,-38.11597,-26.48306,-13.78064
24.309584618,24.62852,-23.04244,-15.01622,0.8981669,-0.1692688,0.002154777,-38.11597,-26.48306,-13.78064
24.319472313,29.66413,-26.92604,-13.24457,0.897348,-0.1513166,-0.03496779,-38.11597,-26.48306,-13.78064
24.329360962,28.79378,-30.69196,-12.87802,0.9085552,-0.1575848,-0.06185495,-38.11597,-26.48306,-13.78064
24.339249134,23.44732,-32.63376,-12.38929,0.9197281,-0.1646326,-0.07575335,-38.11597,-26.48306,-13.78064
24.349136829,16.11148,-33.45755,-12.38929,0.9488874,-0.1544715,-0.07625246,-37.75539,-27.54424,-12.91395
24.359025002,9.33514699999999,-32.10418,-13.18348,0.9765629,-0.1555792,-0.08150552,-37.75539,-27.54424,-12.91395
24.371384621,6.102402,-29.04437,-16.17696,1.004694,-0.1510221,-0.06610709,-37.75539,-27.54424,-12.91395
24.38127327,6.97275699999999,-25.80803,-18.19297,0.9979782,-0.1266326,-0.06431429,-37.75539,-27.54424,-12.91395
24.391161442,13.12741,-23.51318,-19.10934,0.9449795,-0.1438568,-0.05082173,-37.75539,-27.54424,-12.91395
