Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
109.631817341,0.3829313,-1.270717,-0.1710097,0.9854617,-0.04224381,-0.1869089,-45.8556,-20.08988,5.617921
109.641705036,-0.1765822,-1.682615,-0.04882693,0.9966196,-0.03924351,-0.1801785,-45.8556,-20.08988,5.617921
109.651593685,-1.419945,-1.447245,-0.2321011,0.9956543,-0.0343002,-0.1753954,-45.8556,-20.08988,5.617921
109.661481857,-2.414636,-1.270717,-0.2321011,0.9927598,-0.03390818,-0.1821335,-45.8556,-20.08988,5.617921
109.671370506,-2.476804,-1.035347,-0.3542839,0.996146,-0.03483845,-0.1787585,-45.8556,-20.08988,5.617921
109.681258202,-1.295609,-0.5057651,-0.2321011,0.999081,-0.03399257,-0.1869351,-45.486,-20.4663,6.020923
109.691146851,-0.114414,-0.03502529,-0.1710097,1.000085,-0.03022117,-0.1951287,-45.486,-20.4663,6.020923
109.701035023,0.4450994,0.2591871,-0.04882693,1.003461,-0.03357898,-0.1912605,-45.486,-20.4663,6.020923
109.713395595,-0.487423,1.494879,-0.4764667,1.001023,-0.03101719,-0.1831006,-45.486,-20.4663,6.020923
109.723284244,-1.171273,1.906777,-0.5375581,0.9893684,-0.03145235,-0.181188,-45.486,-20.4663,6.020923
109.73317194,-1.233441,1.730249,-0.4153753,0.984504,-0.03784499,-0.1859704,-45.10904,-20.47183,6.029503
109.743060589,-0.611759299999997,1.259509,-0.3542839,0.9873842,-0.05008914,-0.1902335,-45.10904,-20.47183,6.029503
109.752948761,0.7559403,0.612241999999999,-0.4153753,0.9820276,-0.0584286,-0.1950067,-45.10904,-20.47183,6.029503
109.76283741,1.564126,-0.3292377,-0.3542839,0.9786684,-0.04771625,-0.1955456,-45.10904,-20.47183,6.029503
109.772725105,1.253286,-0.4469227,-0.3542839,0.9864457,-0.04382164,-0.1945946,-45.10904,-20.47183,6.029503
109.782613754,0.5072676,-0.5646076,-0.4153753,0.9864488,-0.03388852,-0.1816599,-45.48656,-20.78135,6.025343
109.792501926,-0.611759299999997,-0.3880802,-0.4153753,0.9908562,-0.02867019,-0.1903378,-45.48656,-20.78135,6.025343
109.802390575,-1.482114,-0.4469227,-0.781923700000001,0.9922863,-0.03149407,-0.183589,-45.48656,-20.78135,6.025343
109.812278271,-1.730786,-0.4469227,-0.843015,0.9932734,-0.02512972,-0.1812155,-45.48656,-20.78135,6.025343
