Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
33.408311844,-0.114414,-0.5646076,-0.2931925,0.9749246,-0.0247019,-0.2201931,-43.40815,-16.89287,17.1145
33.418200016,-0.1765822,-0.0938677799999998,-0.3542839,0.977343,-0.02315956,-0.2144271,-43.40815,-16.89287,17.1145
33.428087711,0.0720904500000002,0.1415022,-0.3542839,0.9778454,-0.02326839,-0.2216398,-43.40815,-16.89287,17.1145
33.43797493,0.1342586,0.3768721,-0.4153753,0.9817408,-0.02036876,-0.2226118,-43.40815,-16.89287,17.1145
33.447863102,0.1342586,0.5533996,-0.4153753,0.9788507,-0.02000551,-0.2312735,-43.39969,-16.52316,16.65522
33.457751274,0.4450994,0.5533996,-0.659740900000002,0.9773843,-0.01993791,-0.2269473,-43.39969,-16.52316,16.65522
33.46763897,0.2585949,0.5533996,-0.659740900000002,0.9769133,-0.02152005,-0.2351155,-43.39969,-16.52316,16.65522
33.477527142,0.2585949,0.4357146,-0.843015,0.9759476,-0.01906182,-0.2336862,-43.39969,-16.52316,16.65522
33.487414837,0.1964268,0.671084500000001,-0.781923700000001,0.976895,-0.01941404,-0.2245459,-43.39969,-16.52316,16.65522
33.497303009,0.2585949,0.788769499999999,-0.781923700000001,0.9769021,-0.02642548,-0.2374953,-43.78443,-16.50928,17.10061
33.507190228,0.1964268,0.729926999999997,-0.720832200000002,0.9744735,-0.02690763,-0.2374956,-43.78443,-16.50928,17.10061
33.517077923,0.1964268,1.082982,-0.720832200000002,0.9686167,-0.0331617,-0.2331424,-43.78443,-16.50928,17.10061
33.526966095,0.00992228700000002,1.082982,-0.659740900000002,0.9706013,-0.02547507,-0.2399119,-43.78443,-16.50928,17.10061
33.53685379,-0.114414,1.141824,-0.843015,0.968653,-0.02741902,-0.2399043,-43.78443,-16.50928,17.10061
33.546741963,-0.4252549,0.847612000000001,-0.659740900000002,0.9676647,-0.02979431,-0.236046,-43.40679,-16.13675,17.10389
33.556630134,-0.3009185,0.3180296,-0.781923700000001,0.9657339,-0.02737012,-0.2370223,-43.40679,-16.13675,17.10389
33.56651783,-0.05224587,0.0826596800000002,-0.720832200000002,0.9725133,-0.03026927,-0.2345953,-43.40679,-16.13675,17.10389
33.576406002,0.4450994,-0.2703952,-0.843015,0.9705734,-0.02778755,-0.2317246,-43.40679,-16.13675,17.10389
33.58629322,1.004613,-0.682292600000002,-0.781923700000001,0.9764048,-0.02684674,-0.2331654,-43.40679,-16.13675,17.10389
33.59865284,1.750631,-0.5057651,-0.4153753,0.9773822,-0.0239054,-0.2317364,-43.78443,-16.50928,17.10061
33.608541012,2.185808,-0.3292377,-0.720832200000002,0.9783523,-0.02141505,-0.2279005,-43.78443,-16.50928,17.10061
33.618429184,2.310144,-0.0938677799999998,-0.781923700000001,0.978852,-0.02200364,-0.2346299,-43.78443,-16.50928,17.10061
33.628316879,2.496649,0.3180296,-0.720832200000002,0.977859,-0.02036828,-0.2230972,-43.78443,-16.50928,17.10061
33.638205051,2.620985,0.3768721,-0.659740900000002,0.9759209,-0.02138149,-0.2259798,-44.16139,-16.50376,17.09203
33.648092747,2.310144,0.4945571,-0.659740900000002,0.9832065,-0.01595316,-0.2202279,-44.16139,-16.50376,17.09203
33.657980919,2.061472,0.5533996,-0.659740900000002,0.9768746,-0.022271,-0.2202032,-44.16139,-16.50376,17.09203
33.667868137,1.937135,0.4357146,-0.781923700000001,0.976405,-0.01838885,-0.2211851,-44.16139,-16.50376,17.09203
33.677755833,2.061472,0.4945571,-0.904106400000002,0.9773871,-0.01647175,-0.2231174,-44.16139,-16.50376,17.09203
33.687644005,2.185808,0.3768721,-0.843015,0.9739736,-0.01935076,-0.2207021,-43.78443,-16.50928,17.10061
33.6975317,2.310144,0.2591871,-0.4764667,0.9725164,-0.02033615,-0.2216607,-43.78443,-16.50928,17.10061
33.707419872,2.310144,0.2591871,-0.4153753,0.972064,-0.01755735,-0.2312936,-43.78443,-16.50928,17.10061
33.717308044,1.937135,0.0826596800000002,-0.4764667,0.96913,-0.01741495,-0.2221602,-43.78443,-16.50928,17.10061
33.72719574,1.377622,-0.2703952,-0.3542839,0.9701224,-0.01556258,-0.2284204,-43.78443,-16.50928,17.10061
33.737083912,0.7559403,-0.6234501,-0.2931925,0.9672328,-0.01171878,-0.2322905,-43.78511,-16.88734,17.10592
33.74697113,0.0720904500000002,-0.85882,-0.1710097,0.9681837,-0.01308805,-0.2260305,-43.78511,-16.88734,17.10592
33.756858826,-0.487423,-1.153032,0.01226447,0.9681503,-0.01835097,-0.219752,-43.78511,-16.88734,17.10592
33.766746998,-0.736095699999999,-1.388402,0.1344473,0.9671947,-0.01595747,-0.2226507,-43.78511,-16.88734,17.10592
33.776634693,-0.798263799999999,-1.623772,0.3177214,0.9623688,-0.01164446,-0.2279681,-43.78511,-16.88734,17.10592
33.786522865,-1.171273,-1.976827,0.4399042,0.9676858,-0.01599438,-0.2250545,-43.79041,-16.12407,17.48443
33.796410561,-1.730786,-2.094512,0.6842698,0.9701353,-0.01216114,-0.2289185,-43.79041,-16.12407,17.48443
33.806298733,-2.041627,-2.74178,0.867544000000001,0.9633418,-0.0136517,-0.2318042,-43.79041,-16.12407,17.48443
33.818657875,-2.725477,-3.153677,1.234092,0.9652815,-0.01215155,-0.2289241,-43.79041,-16.12407,17.48443
33.828546047,-3.347158,-3.506732,1.539549,0.9711078,-0.01366705,-0.2317953,-43.79041,-16.12407,17.48443
33.838433742,-4.093176,-4.036314,1.661732,0.9754807,-0.009722573,-0.2279629,-43.78511,-16.88734,17.10592
33.848321915,-4.963531,-4.036314,1.600641,0.9837026,-0.01353377,-0.2212014,-43.78511,-16.88734,17.10592
33.85820961,-5.958221,-3.506732,1.845006,0.9871166,-0.01016062,-0.2231383,-43.78511,-16.88734,17.10592
33.868097782,-7.01508000000001,-3.212519,1.539549,0.9856321,-0.01395983,-0.2168688,-43.78511,-16.88734,17.10592
33.877985954,-7.38808899999998,-2.74178,1.356275,0.9822482,-0.01702582,-0.2269564,-43.78511,-16.88734,17.10592
33.88787365,-7.45025699999999,-2.565252,1.234092,0.9909562,-0.02333024,-0.2240292,-43.78511,-16.88734,17.10592
33.897760868,-6.64207099999998,-2.447567,1.11191,0.9909281,-0.03210967,-0.2249467,-43.78511,-16.88734,17.10592
33.90764904,-5.709548,-1.917985,0.989726799999999,0.9967915,-0.02390781,-0.2293097,-43.78511,-16.88734,17.10592
33.917536736,-4.279681,-0.976504999999998,1.050818,0.9909763,-0.02793571,-0.2389144,-43.78511,-16.88734,17.10592
33.927424908,-3.036318,-0.3292377,1.11191,0.9875596,-0.03477501,-0.2408074,-43.78511,-16.88734,17.10592
33.937312603,-2.041627,0.965297,1.295184,0.9880387,-0.03523415,-0.2388809,-43.40815,-16.89287,17.1145
33.947200775,-1.419945,2.318674,1.11191,0.9846761,-0.0284821,-0.243728,-43.40815,-16.89287,17.1145
33.95708847,-1.046937,3.024784,1.234092,0.978863,-0.02754704,-0.2471059,-43.40815,-16.89287,17.1145
33.966976643,-0.984768300000001,3.672051,0.928635399999997,0.9745212,-0.0232278,-0.2519418,-43.40815,-16.89287,17.1145
33.976863861,-1.171273,4.083949,0.806452599999999,0.9740523,-0.02183792,-0.2567586,-43.40815,-16.89287,17.1145
33.986752033,-0.922600200000001,4.025106,0.623178399999998,0.9648506,-0.02294461,-0.2668628,-43.78511,-16.88734,17.10592
33.996639729,-0.611759299999997,3.907421,0.5009956,0.962447,-0.01960311,-0.2716916,-43.78511,-16.88734,17.10592
34.006527901,0.00992228700000002,3.554366,0.25663,0.9590538,-0.01464782,-0.2664304,-43.78511,-16.88734,17.10592
34.016415596,0.5072676,3.083626,0.4399042,0.9580672,-0.01852709,-0.2654501,-43.78511,-16.88734,17.10592
34.026303768,1.066781,2.907099,0.3788128,0.9590216,-0.02290434,-0.2649459,-43.78511,-16.88734,17.10592
34.038663864,1.377622,2.671729,0.3788128,0.9585078,-0.02471452,-0.2557999,-43.40884,-17.27093,17.1198
34.048551559,1.564126,2.200989,0.806452599999999,0.9580025,-0.02508544,-0.2481038,-43.40884,-17.27093,17.1198
34.058438778,1.564126,1.671407,0.806452599999999,0.9555627,-0.02947756,-0.2490463,-43.40884,-17.27093,17.1198
34.06832695,1.43979,1.259509,0.806452599999999,0.9584602,-0.03138075,-0.2456669,-43.40884,-17.27093,17.1198
34.078214645,1.004613,0.612241999999999,0.867544000000001,0.9604056,-0.02792562,-0.2423157,-43.40884,-17.27093,17.1198
34.088102818,0.631603899999999,0.1415022,0.928635399999997,0.9710839,-0.02794672,-0.2423034,-43.78443,-16.50928,17.10061
34.097990513,0.5694358,-0.0938677799999998,0.745361200000002,0.9710511,-0.03371098,-0.2369842,-43.78443,-16.50928,17.10061
34.107878685,0.693772100000003,0.0826596800000002,0.745361200000002,0.9734858,-0.02978424,-0.2345967,-43.78443,-16.50928,17.10061
34.11776638,0.9424447,0.3768721,0.6842698,0.9788005,-0.03113337,-0.2264082,-43.78443,-16.50928,17.10061
34.127654552,1.066781,1.024139,0.5009956,0.9850831,-0.03296418,-0.2177352,-43.78443,-16.50928,17.10061
34.137541771,1.377622,1.494879,0.3177214,0.9821968,-0.02715102,-0.2201724,-43.77596,-16.13958,16.64134
34.147429943,1.315454,1.789092,0.5009956,0.9836557,-0.0246832,-0.2177787,-43.77596,-16.13958,16.64134
34.157317638,1.564126,1.847934,0.25663,0.9783034,-0.02508769,-0.2129735,-43.77596,-16.13958,16.64134
34.167205811,1.812799,1.671407,0.3177214,0.9724819,-0.02658736,-0.216339,-43.77596,-16.13958,16.64134
34.177093506,2.372312,0.906454499999998,0.5009956,0.9748883,-0.02546724,-0.2062425,-43.77596,-16.13958,16.64134
34.186981678,2.80749,0.5533996,0.5009956,0.9787967,-0.02016164,-0.2091504,-43.77608,-16.20259,16.64222
34.196869373,2.683153,0.671084500000001,0.4399042,0.9787837,-0.02256761,-0.2072146,-43.77608,-16.20259,16.64222
34.206757546,1.999303,0.612241999999999,0.745361200000002,0.9754153,-0.01378866,-0.2067819,-43.77608,-16.20259,16.64222
34.216645241,0.9424447,0.612241999999999,0.928635399999997,0.9724727,-0.02254795,-0.206741,-43.77608,-16.20259,16.64222
34.226532936,-0.05224587,0.729926999999997,0.867544000000001,0.9763783,-0.01772211,-0.2091655,-43.77608,-16.20259,16.64222
34.236420631,-0.984768300000001,1.082982,0.867544000000001,0.9778237,-0.02213628,-0.2110653,-43.78443,-16.50928,17.10061
34.246308804,-2.165963,1.200667,0.745361200000002,0.9788127,-0.02225326,-0.2187583,-43.78443,-16.50928,17.10061
34.258668423,-2.849813,1.024139,0.623178399999998,0.9749048,-0.02806019,-0.2168097,-43.78443,-16.50928,17.10061
34.268556595,-2.911981,0.906454499999998,0.623178399999998,0.9778228,-0.02909737,-0.2206485,-43.78443,-16.50928,17.10061
34.27844429,-2.60114,0.729926999999997,0.562087,0.9812098,-0.0325199,-0.2211083,-44.16139,-16.50376,17.09203
34.288332462,-2.041627,0.847612000000001,0.562087,0.9743778,-0.0417297,-0.2191458,-44.16139,-16.50376,17.09203
34.298219681,-1.357777,0.788769499999999,0.562087,0.9753683,-0.03737786,-0.2210904,-44.16139,-16.50376,17.09203
34.308107853,-0.798263799999999,0.965297,0.5009956,0.9787745,-0.03793624,-0.225412,-44.16139,-16.50376,17.09203
34.317995548,-0.114414,0.965297,0.5009956,0.9739083,-0.04182942,-0.2258788,-44.16139,-16.50376,17.09203
34.32788372,0.631603899999999,1.024139,0.745361200000002,0.9729556,-0.03796069,-0.2278231,-44.53835,-16.49823,17.08345
34.337771416,1.253286,1.024139,0.5009956,0.9719946,-0.03752217,-0.2311928,-44.53835,-16.49823,17.08345
34.347659588,1.688463,0.906454499999998,0.4399042,0.9671369,-0.03898061,-0.2316719,-44.53835,-16.49823,17.08345
34.357547283,2.061472,0.788769499999999,0.25663,0.9647242,-0.03757251,-0.2355291,-44.53835,-16.49823,17.08345
34.367435455,2.434481,0.4357146,0.01226447,0.9695864,-0.0341519,-0.2340981,-44.53835,-16.49823,17.08345
34.377322674,2.620985,0.4357146,0.1344473,0.971525,-0.03264455,-0.2307371,-44.14694,-16.51927,16.24895
34.387210846,2.80749,0.02381719,0.1344473,0.9686364,-0.02681701,-0.2322126,-44.14694,-16.51927,16.24895
34.397098541,2.869658,-0.5057651,0.01226447,0.9691195,-0.02879452,-0.2341257,-44.14694,-16.51927,16.24895
34.406986714,2.620985,-0.6234501,0.3177214,0.9729899,-0.02474121,-0.2230806,-44.14694,-16.51927,16.24895
34.416874409,1.937135,-0.5646076,0.3788128,0.9759017,-0.02524111,-0.2235557,-44.14694,-16.51927,16.24895
34.426762581,1.688463,-0.5646076,0.623178399999998,0.9802762,-0.02180515,-0.2211635,-44.15429,-16.89017,16.64337
34.436650276,1.191117,-0.5646076,0.4399042,0.9787992,-0.02813977,-0.2216141,-44.15429,-16.89017,16.64337
34.446538448,0.9424447,-0.4469227,0.3788128,0.9778308,-0.02914771,-0.2240147,-44.15429,-16.89017,16.64337
34.456426144,0.631603899999999,-0.4469227,0.25663,0.9754124,-0.02770365,-0.2254675,-44.15429,-16.89017,16.64337
34.466313839,0.1342586,-0.5646076,0.3788128,0.9744347,-0.02666311,-0.2211456,-44.15429,-16.89017,16.64337
34.478673458,0.1342586,-0.2115527,0.5009956,0.9817217,-0.02721478,-0.224501,-44.14626,-16.14121,16.24364
34.48856163,0.1964268,-0.0938677799999998,0.3788128,0.9802701,-0.02624521,-0.2249884,-44.14626,-16.14121,16.24364
34.498449326,0.5072676,0.0826596800000002,0.6842698,0.9831732,-0.02519796,-0.2197003,-44.14626,-16.14121,16.24364
34.508337498,0.3829313,0.3768721,0.6842698,0.981712,-0.02566046,-0.2182568,-44.14626,-16.14121,16.24364
34.518225193,0.3207631,0.5533996,0.867544000000001,0.9792681,-0.02753872,-0.2139218,-44.14626,-16.14121,16.24364
34.528113365,0.1342586,0.5533996,0.6842698,0.9734746,-0.02125444,-0.2178076,-43.77596,-16.13958,16.64134
34.538001061,-0.05224587,0.671084500000001,0.806452599999999,0.9724972,-0.02320031,-0.2177988,-43.77596,-16.13958,16.64134
34.547888756,-0.114414,0.5533996,0.6842698,0.971015,-0.02701389,-0.2124911,-43.77596,-16.13958,16.64134
34.557776451,-0.05224587,0.3768721,0.4399042,0.9792699,-0.03003818,-0.2182375,-43.77596,-16.13958,16.64134
34.567664623,0.4450994,0.3180296,0.3788128,0.9826642,-0.03300972,-0.2211042,-43.77596,-16.13958,16.64134
34.577552318,1.128949,0.2591871,0.1955387,0.9729792,-0.03014797,-0.2264198,-44.16014,-15.81065,17.08231
34.587440491,1.377622,0.788769499999999,-0.04882693,0.9749317,-0.03071786,-0.2317048,-44.16014,-15.81065,17.08231
34.597328186,1.564126,1.200667,0.0733558600000001,0.9758806,-0.0400365,-0.2359849,-44.16014,-15.81065,17.08231
34.607216358,1.43979,1.789092,-0.04882693,0.9671571,-0.04756795,-0.2523081,-44.16014,-15.81065,17.08231
34.617104053,0.818108400000001,2.318674,0.0733558600000001,0.969102,-0.04858883,-0.2551863,-44.16014,-15.81065,17.08231
34.626991749,0.00992228700000002,2.495202,0.0733558600000001,0.9603372,-0.06033739,-0.260427,-44.53767,-16.12017,17.07815
34.636879444,-0.611759299999997,2.318674,0.1955387,0.9554998,-0.05495701,-0.2594979,-44.53767,-16.12017,17.07815
34.646767616,-1.668618,1.436037,0.0733558600000001,0.9492092,-0.05208039,-0.2633669,-44.53767,-16.12017,17.07815
34.656655312,-2.228132,0.1415022,-0.1099183,0.9521048,-0.05148413,-0.2556719,-44.53767,-16.12017,17.07815
34.666543484,-2.60114,-1.09419,-0.04882693,0.9545043,-0.04633898,-0.2369392,-44.53767,-16.12017,17.07815
34.676431179,-2.2903,-2.27104,0.1955387,0.9627685,-0.03797651,-0.2302392,-43.02205,-16.15063,16.6585
34.686319351,-1.730786,-2.977149,0.1955387,0.9709919,-0.03532795,-0.2148537,-43.02205,-16.15063,16.6585
34.69867897,-0.5495912,-3.389047,0.562087,0.9734271,-0.02792067,-0.2076746,-43.02205,-16.15063,16.6585
34.708566666,0.3829313,-3.389047,0.562087,0.9802104,-0.02636538,-0.2004609,-43.02205,-16.15063,16.6585
34.718454361,1.253286,-2.918307,0.5009956,0.9811969,-0.02049517,-0.1985658,-43.02205,-16.15063,16.6585
34.728342533,1.874967,-2.447567,0.745361200000002,0.9806955,-0.02039353,-0.191834,-44.15236,-15.819,16.62834
34.738230228,2.372312,-1.859142,0.3788128,0.9894142,-0.0242776,-0.1898807,-44.15236,-15.819,16.62834
34.748118401,2.745321,-1.270717,0.1344473,0.9918553,-0.02387456,-0.1951701,-44.15236,-15.819,16.62834
34.758006096,2.80749,-1.09419,0.01226447,0.9899393,-0.02253933,-0.2038356,-44.15236,-15.819,16.62834
34.767894268,2.434481,-0.6234501,-0.2931925,0.9899489,-0.02011179,-0.2043288,-44.15236,-15.819,16.62834
34.777781963,1.874967,-0.1527103,-0.5375581,0.9962617,-0.02462184,-0.2119936,-43.77539,-15.82453,16.63692
34.787670135,1.43979,0.2591871,-0.5375581,0.9870601,-0.02174667,-0.2163469,-43.77539,-15.82453,16.63692
34.797557354,1.004613,0.729926999999997,-0.659740900000002,0.989931,-0.02995141,-0.211012,-43.77539,-15.82453,16.63692
34.807445526,1.066781,1.377194,-0.965197799999999,0.9797361,-0.03688516,-0.2201261,-43.77539,-15.82453,16.63692
34.817333221,0.9424447,1.847934,-0.720832200000002,0.9734304,-0.04336841,-0.2311616,-43.77539,-15.82453,16.63692
34.827221394,0.9424447,2.318674,-0.781923700000001,0.9637293,-0.04687292,-0.2388497,-43.78443,-16.50928,17.10061
34.837109089,1.066781,1.847934,-0.598649399999998,0.9632587,-0.04696545,-0.2451018,-43.78443,-16.50928,17.10061
34.846997261,0.7559403,1.494879,-0.5375581,0.9598537,-0.04940066,-0.2455743,-43.78443,-16.50928,17.10061
34.856884956,0.7559403,1.024139,-0.4153753,0.9657142,-0.05113191,-0.262872,-43.78443,-16.50928,17.10061
34.866773128,0.3829313,0.4945571,-0.3542839,0.9594194,-0.04275505,-0.2571504,-43.78443,-16.50928,17.10061
34.876660347,-0.1765822,0.02381719,-0.4764667,0.9623253,-0.04222352,-0.2537833,-43.78443,-16.50928,17.10061
34.886548519,-0.984768300000001,-0.2703952,-0.4153753,0.9598979,-0.04271286,-0.2542646,-43.78443,-16.50928,17.10061
34.896436214,-1.295609,-0.6234501,-0.3542839,0.9613844,-0.03295523,-0.2528694,-43.78443,-16.50928,17.10061
34.906324387,-1.419945,-1.153032,-0.4764667,0.965268,-0.03147329,-0.2509488,-43.78443,-16.50928,17.10061
34.918684006,-1.295609,-1.447245,-0.2931925,0.9744707,-0.02838285,-0.23845,-43.78443,-16.50928,17.10061
34.928572178,-0.860432000000003,-1.682615,-0.2321011,0.9701204,-0.02450741,-0.2403982,-44.52932,-15.81347,16.61976
34.938459873,-0.5495912,-1.623772,-0.2931925,0.9676588,-0.024781,-0.2264529,-44.52932,-15.81347,16.61976
34.948348045,0.1342586,-1.976827,-0.4153753,0.9705999,-0.0184996,-0.2293669,-44.52932,-15.81347,16.61976
34.958235264,0.880276599999999,-1.859142,-0.2931925,0.9773543,-0.02522241,-0.2221114,-44.52932,-15.81347,16.61976
34.968123436,1.315454,-1.623772,-0.4764667,0.9783235,-0.02670674,-0.2235456,-44.52932,-15.81347,16.61976
34.978011131,1.501958,-1.153032,-0.2321011,0.9812073,-0.02752818,-0.2129579,-43.78386,-16.19423,17.09619
34.987899303,1.688463,-0.799977499999998,-0.04882693,0.9782842,-0.0289473,-0.2105494,-43.78386,-16.19423,17.09619
34.997786999,1.315454,-0.682292600000002,-0.04882693,0.9763848,-0.02323674,-0.2197179,-43.78386,-16.19423,17.09619
35.007675171,1.191117,-0.741135099999998,-0.1710097,0.9817169,-0.02220868,-0.2153887,-43.78386,-16.19423,17.09619
35.017562866,1.128949,-0.682292600000002,-0.4153753,0.9788053,-0.02270425,-0.2163514,-43.78386,-16.19423,17.09619
35.027451038,0.693772100000003,-0.799977499999998,-0.3542839,0.9812482,-0.02280973,-0.223081,-44.53125,-16.88464,16.63479
35.037338734,0.693772100000003,-0.741135099999998,-0.4764667,0.9778584,-0.02086242,-0.2235756,-44.53125,-16.88464,16.63479
35.047225952,0.9424447,-0.5646076,-0.3542839,0.9831817,-0.02176776,-0.2182748,-44.53125,-16.88464,16.63479
35.057114124,1.253286,-0.2115527,-0.2321011,0.9807406,-0.02416174,-0.2158609,-44.53125,-16.88464,16.63479
35.067002296,1.253286,0.3768721,-0.1710097,0.9768679,-0.02620973,-0.2230688,-44.53125,-16.88464,16.63479
35.076889992,1.253286,0.4945571,-0.04882693,0.9763561,-0.03649218,-0.2268648,-44.16071,-16.1257,17.08673
35.086778164,1.066781,0.729926999999997,-0.04882693,0.9768494,-0.03455254,-0.227355,-44.16071,-16.1257,17.08673
35.096665859,0.9424447,0.4945571,0.0733558600000001,0.9734568,-0.03208952,-0.2259285,-44.16071,-16.1257,17.08673
35.106554031,0.4450994,0.3180296,0.01226447,0.971042,-0.03365344,-0.2331371,-44.16071,-16.1257,17.08673
35.116441727,-0.114414,-0.03502529,0.25663,0.9734722,-0.03268434,-0.2331393,-44.16071,-16.1257,17.08673
35.126328945,-0.3630867,-0.1527103,0.25663,0.9730072,-0.02982643,-0.2374825,-44.15361,-16.51211,16.63806
35.138689041,-0.114414,-0.6234501,0.01226447,0.9700927,-0.0327927,-0.2408373,-44.15361,-16.51211,16.63806
35.148577213,0.3207631,-0.5057651,0.01226447,0.9725395,-0.02943921,-0.2442179,-44.15361,-16.51211,16.63806
35.158464909,0.5072676,-0.3292377,-0.1099183,0.9720367,-0.03380639,-0.2432346,-44.15361,-16.51211,16.63806
35.168353081,0.7559403,0.2591871,-0.2321011,0.9778662,-0.03335252,-0.244673,-43.77665,-16.51764,16.64664
