Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
30.451015949,-1.295609,-3.094834,1.539549,0.9876438,0.01453532,-0.004443359,-26.71858,10.2189,17.62861
30.460902214,-1.171273,-3.447889,1.600641,0.9852129,0.01506302,-0.002044184,-26.71858,10.2189,17.62861
30.470789909,-1.109105,-3.742102,1.539549,0.9910253,0.01761569,0.006606104,-27.08041,10.58697,16.77164
30.480676174,-1.295609,-4.095157,1.845006,0.9847012,0.01821579,0.01332878,-27.08041,10.58697,16.77164
30.490562916,-1.60645,-4.095157,1.845006,0.9905094,0.01183801,0.010963,-27.08041,10.58697,16.77164
30.500449658,-1.419945,-4.153999,1.845006,0.9895067,0.01303677,0.02586436,-27.08041,10.58697,16.77164
30.510336876,-1.295609,-4.153999,1.783915,0.9924169,0.009063519,0.02107854,-27.08041,10.58697,16.77164
30.520223618,-0.922600200000001,-4.153999,1.783915,0.9924056,0.007144499,0.0230119,-27.08887,10.21726,17.23092
30.530109882,-0.5495912,-4.153999,1.722824,0.9899685,0.005223082,0.0244616,-27.08887,10.21726,17.23092
30.539997578,-0.1765822,-4.095157,1.783915,0.9967439,0.001851368,0.02785279,-27.08887,10.21726,17.23092
30.549883842,0.1342586,-3.977472,1.722824,0.9909388,-0.001245786,0.0153579,-27.08887,10.21726,17.23092
30.559770584,0.1342586,-3.977472,1.967189,0.9894788,-0.001715472,0.01632045,-27.08887,10.21726,17.23092
30.569657802,0.2585949,-3.859787,2.02828,0.9938309,-0.008090372,0.01395301,-26.7179,10.59696,17.62331
30.579544544,0.1342586,-3.683259,1.967189,0.9962555,-0.009076254,0.01347983,-26.7179,10.59696,17.62331
30.589431286,0.2585949,-3.624417,2.02828,0.994323,-0.00813448,0.01106827,-26.7179,10.59696,17.62331
30.599318504,0.5072676,-3.565574,1.783915,0.9894852,-0.007230104,0.005768065,-26.7179,10.59696,17.62331
30.609205246,0.5694358,-3.800944,1.845006,0.9919111,-0.01021411,0.001938534,-26.7179,10.59696,17.62331
30.619091511,0.693772100000003,-3.977472,1.845006,0.9899889,-0.009337067,-0.004800979,-25.96397,10.58591,17.64047
30.628978729,0.9424447,-4.271684,1.845006,0.9904681,-0.01477355,-0.01006309,-25.96397,10.58591,17.64047
30.641337395,1.191117,-4.507054,1.478458,0.9919124,-0.01619412,-0.007168746,-25.96397,10.58591,17.64047
30.651224136,1.315454,-4.624739,1.845006,0.9904507,-0.02113262,-0.01195466,-25.96397,10.58591,17.64047
30.661110878,1.999303,-4.918952,1.539549,0.9875448,-0.02465056,-0.01963492,-25.96397,10.58591,17.64047
30.670998096,2.993994,-5.272007,1.539549,0.9914511,-0.02231699,-0.02589425,-25.97039,11.35038,18.08383
30.680884838,3.429171,-5.683904,1.295184,0.9894943,-0.0227138,-0.02012342,-25.97039,11.35038,18.08383
30.690771103,3.988685,-5.97811599999998,0.989726799999999,0.9904553,-0.02215686,-0.01531593,-25.97039,11.35038,18.08383
30.700658798,4.734703,-6.27232800000001,0.989726799999999,0.9914341,-0.02320459,-0.02011873,-25.97039,11.35038,18.08383
30.710545063,5.16988,-6.801911,0.928635399999997,0.9914415,-0.0227536,-0.02252561,-25.97039,11.35038,18.08383
30.720431805,5.729393,-6.860754,0.989726799999999,0.9924055,-0.02370784,-0.02107693,-25.97176,10.59426,18.09444
30.730319023,6.04023399999999,-6.978438,0.928635399999997,0.9924201,-0.01981945,-0.02157748,-25.97176,10.59426,18.09444
30.740205765,6.59974800000002,-7.09612300000002,1.050818,0.9890186,-0.02227624,-0.02349262,-25.97176,10.59426,18.09444
30.750092506,6.66191600000002,-7.44917799999999,1.234092,0.9919336,-0.0198113,-0.02109715,-25.97176,10.59426,18.09444
30.759979725,6.66191600000002,-7.39033600000002,0.928635399999997,0.9865835,-0.01823923,-0.01437829,-25.97176,10.59426,18.09444
30.769866466,6.59974800000002,-7.56686399999999,0.989726799999999,0.9914479,-0.01184659,-0.009595849,-26.34093,10.59143,17.63189
30.779752731,5.97806599999998,-7.56686399999999,0.928635399999997,0.9885589,-0.006513191,-0.01154977,-26.34093,10.59143,17.63189
30.78963995,5.356384,-7.33149300000002,0.989726799999999,0.9992427,-0.004579312,-0.01106647,-26.34093,10.59143,17.63189
30.799526691,5.16988,-7.39033600000002,0.989726799999999,0.9915129,0.00316965,-0.01496179,-26.34093,10.59143,17.63189
30.809413433,4.734703,-7.09612300000002,1.050818,0.9905564,0.003579407,-0.02025508,-26.34093,10.59143,17.63189
30.819300175,3.988685,-7.21380900000002,0.928635399999997,0.9939652,0.009473588,-0.01643362,-26.33957,11.34755,17.62128
30.829187393,2.993994,-6.801911,0.928635399999997,0.9973701,0.01091333,-0.01739887,-26.33957,11.34755,17.62128
30.839074135,2.12364,-6.27232800000001,1.050818,0.9954225,0.004486177,-0.0241015,-26.33957,11.34755,17.62128
30.8489604,1.315454,-5.80158899999998,0.867544000000001,0.9963933,0.006475195,-0.02122492,-26.33957,11.34755,17.62128
30.861319065,0.5694358,-4.977794,0.928635399999997,1.001241,0.002025549,-0.02504429,-26.33957,11.34755,17.62128
30.871206284,0.3207631,-4.271684,1.11191,0.9953848,-0.005725324,-0.02308809,-25.96261,11.34202,17.62986
30.881093025,-0.114414,-3.447889,1.234092,1.003143,-0.009672203,-0.02546393,-25.96261,11.34202,17.62986
30.890979767,-0.611759299999997,-2.329882,0.989726799999999,1.007483,-0.01646932,-0.02350097,-25.96261,11.34202,17.62986
30.900866985,-1.046937,-1.623772,1.11191,1.004095,-0.01602601,-0.02687351,-25.96261,11.34202,17.62986
30.910753727,-1.544282,-0.741135099999998,0.806452599999999,1.004568,-0.01793879,-0.0244587,-25.96261,11.34202,17.62986
30.920639992,-1.60645,-0.03502529,0.867544000000001,0.9972738,-0.02181998,-0.02444738,-25.59275,11.72291,18.08711
30.930527687,-1.482114,0.3768721,0.806452599999999,0.9938848,-0.02136947,-0.02733904,-25.59275,11.72291,18.08711
