Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-0.2387504,-0.03502529,-0.04882693,1.003559,0.0524702,0.09204818,-42.13273,-29.62452,11.2223
57.924102306,-30.39835,-11.15782,-8.15453,1.014313,0.06490836,0.07853176,-43.05942,-26.72009,14.21058
57.933986664,-21.01096,-10.56939,-10.04836,1.01604,0.002066795,0.07740851,-43.05942,-26.72009,14.21058
57.946341991,-4.039054,-10.8636,-10.35382,1.022523,-0.08654219,0.07978734,-42.68053,-25.65445,14.20414
57.956225872,9.078428,-11.2755,-8.765444,1.026867,-0.106302,0.06161714,-42.68053,-25.65445,14.20414
57.966110706,18.15498,-11.39319,-6.443971,1.020708,-0.0753982,0.04317896,-42.68053,-25.65445,14.20414
57.975994587,19.58485,-12.86425,-4.67232,1.020349,-0.04285091,0.03772395,-42.68053,-25.65445,14.20414
57.985878468,13.98971,-13.09962,-3.206127,1.032672,-0.002760344,0.01733669,-42.68053,-25.65445,14.20414
57.995763302,6.840374,-11.80508,-3.267219,1.043023,0.04847119,0.02526522,-42.70179,-26.32608,15.38121
58.005647182,-1.552328,-8.921803,-3.817041,1.055299,0.07890192,0.01021686,-42.70179,-26.32608,15.38121
58.01553154,-7.396135,-5.626622,-4.855595,1.048502,0.08639215,0.02171338,-42.70179,-26.32608,15.38121
58.025415897,-8.266489,-3.390608,-6.016331,1.024175,0.06540791,0.01553979,-42.70179,-26.32608,15.38121
58.035300255,-6.277108,-2.507971,-7.177068,0.9935127,0.03265591,0.003166482,-42.70179,-26.32608,15.38121
58.045184135,-3.417373,-3.508293,-7.177068,0.9919702,0.007824495,0.003290209,-42.32662,-26.70847,15.45995
58.05506897,-1.676664,-4.096718,-5.710874,0.9938521,0.00371861,0.02206902,-42.32662,-26.70847,15.45995
58.06495285,-1.054982,-4.037875,-4.305772,0.9914244,0.01318395,0.03596514,-42.32662,-26.70847,15.45995
58.074836731,-2.111841,-3.802505,-2.90067,0.9977859,0.03374551,0.04404412,-42.32662,-26.70847,15.45995
58.084721565,-3.914718,-3.155238,-1.801025,1.004663,0.06158154,0.05016325,-42.32662,-26.70847,15.45995
58.094605446,-6.401444,-1.801861,-1.006837,1.021703,0.07814013,0.05250356,-41.94966,-26.71399,15.46853
58.104489803,-8.142153,-0.03658645,-0.8235629,1.040202,0.08770598,0.04333875,-41.94966,-26.71399,15.46853
58.114374161,-9.199012,1.964058,-1.006837,1.055765,0.07454721,0.01216307,-41.94966,-26.71399,15.46853
58.124258518,-8.266489,4.200073,-1.12902,1.052349,0.05426548,-0.009379767,-41.94966,-26.71399,15.46853
58.134142399,-5.966267,5.612292,-1.55666,1.036753,0.02882391,-0.01936828,-41.94966,-26.71399,15.46853
58.144027233,-1.863168,6.789142,-1.801025,1.011947,0.009788406,-0.02555226,-41.57201,-26.34146,15.4718
58.153911114,2.364266,7.142197,-1.434477,1.00027,-0.002448545,-0.03127476,-41.57201,-26.34146,15.4718
58.166266441,7.151215,7.083354,-0.7013801,0.9987931,-0.002316218,-0.02262053,-41.57201,-26.34146,15.4718
58.176150799,9.264933,7.259881,0.1538994,1.000739,0.005113597,-0.01399928,-41.57201,-26.34146,15.4718
58.186035156,9.637941,7.201039,1.131362,1.010995,0.01614221,-0.02414269,-41.57201,-26.34146,15.4718
58.195919037,8.518915,6.730299,1.681184,1.016418,0.0389894,-0.02617566,-41.94256,-27.10041,15.01986
58.205803394,7.959401,5.965347,1.49791,1.042656,0.05071063,-0.02043401,-41.94256,-27.10041,15.01986
58.215687275,7.959401,6.553772,1.07027,1.061991,0.0616245,0.02810585,-41.94256,-27.10041,15.01986
58.225572109,7.524224,8.554416,1.49791,1.052185,0.06375896,0.07184774,-41.94256,-27.10041,15.01986
58.23545599,5.410507,10.20201,2.475372,1.038953,0.0526447,0.1084388,-41.94256,-27.10041,15.01986
58.245340824,2.23993,11.20233,4.063749,1.039343,0.04727502,0.1402072,-42.31884,-26.71682,15.00598
58.255224705,-1.676664,11.79075,5.652125,1.050988,0.05025998,0.1459764,-42.31884,-26.71682,15.00598
58.265109062,-4.598567,13.02644,6.201948,1.070939,0.06632586,0.1483225,-42.31884,-26.71682,15.00598
58.27499342,-6.090603,14.96825,5.591033,1.087512,0.06734417,0.1209237,-42.31884,-26.71682,15.00598
58.284877777,-5.717595,16.08625,4.491388,1.090096,0.08923552,0.08715157,-42.31884,-26.71682,15.00598
58.294761658,-1.738832,17.49847,2.719738,1.118312,0.1061943,0.08517427,-42.31285,-27.10204,14.62217
