Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
241.740019798,0.460846,-0.1097958,0.3998652,0.4160387,-0.1596888,0.9050877,-11.32014,-23.73027,-19.34883
241.750151157,0.460846,-0.1687023,0.2777469,0.4155816,-0.1630712,0.9060443,-10.95069,-24.08898,-18.96042
241.76028204,0.460846,-0.05088932,0.338806,0.4131292,-0.1602042,0.9041139,-10.95069,-24.08898,-18.96042
241.770413399,0.0874903200000003,0.00801719700000001,0.2777469,0.4184761,-0.1587546,0.8993053,-10.95069,-24.08898,-18.96042
241.780543804,0.1497163,0.1258302,0.338806,0.4164753,-0.1557699,0.9099227,-10.95069,-24.08898,-18.96042
241.790675163,0.1497163,0.0669237099999997,0.3998652,0.4184706,-0.1620193,0.9128097,-10.95069,-24.08898,-18.96042
241.800806522,0.3363941,0.3614563,0.2166877,0.4165083,-0.1591616,0.9094329,-10.95744,-23.72646,-18.96625
241.810936928,-0.03696159,0.4203628,-0.02754898,0.4164846,-0.1558006,0.9065448,-10.95744,-23.72646,-18.96625
241.821068287,0.02526437,0.3614563,-0.1496673,0.4169874,-0.157728,0.9070246,-10.95744,-23.72646,-18.96625
241.831199169,-0.03696159,0.4203628,0.03351019,0.4160041,-0.1572298,0.9094358,-10.95744,-23.72646,-18.96625
241.841330528,-0.2236394,0.1847367,0.03351019,0.4155222,-0.1563096,0.9046111,-10.95744,-23.72646,-18.96625
241.851461887,-0.4103173,0.0669237099999997,0.0945693599999997,0.4111824,-0.1592735,0.9016982,-10.9549,-24.08177,-18.51813
241.861592293,-0.2236394,-0.1687023,0.2166877,0.4136162,-0.1620791,0.9103844,-10.9549,-24.08177,-18.51813
241.86919117,0.0874903200000003,-0.2276089,0.03351019,0.4087766,-0.16125,0.8992749,-10.9549,-24.08177,-18.51813
241.879321575,0.0874903200000003,-0.2865154,0.2166877,0.4088089,-0.1674533,0.9089127,-10.9549,-24.08177,-18.51813
241.889452934,0.0874903200000003,-0.4632349,0.2777469,0.4103074,-0.1689813,0.8992623,-10.9549,-24.08177,-18.51813
241.899584293,0.1497163,-0.4043284,0.1556285,0.4098353,-0.1685625,0.8925063,-11.31339,-24.09279,-19.343
241.909714699,0.2741682,-0.5221414,0.2166877,0.4112801,-0.1694444,0.9007115,-11.31339,-24.09279,-19.343
241.919846058,0.3363941,-0.6399544,0.338806,0.4127251,-0.1670442,0.8973426,-11.31339,-24.09279,-19.343
241.929977417,0.585297899999999,-0.2865154,0.338806,0.4166327,-0.1717653,0.9069934,-11.31339,-24.09279,-19.343
241.940108299,0.523072,-0.2865154,0.2166877,0.4185563,-0.1674606,0.8997694,-11.31339,-24.09279,-19.343
241.950239182,0.647523899999999,-0.4043284,0.2166877,0.4126908,-0.1659931,0.9065131,-11.317,-24.08661,-18.9639
241.960370064,0.523072,-0.2276089,0.3998652,0.4131559,-0.164982,0.9108595,-11.317,-24.08661,-18.9639
241.970501423,-0.0991875400000002,-0.5221414,0.583042699999998,0.4155603,-0.160656,0.9055669,-11.317,-24.08661,-18.9639
241.980632782,-0.1614135,-0.2276089,0.338806,0.4126059,-0.1577403,0.9094259,-11.317,-24.08661,-18.9639
241.990763187,-0.1614135,-0.1687023,0.3998652,0.416548,-0.1625753,0.9065304,-11.317,-24.08661,-18.9639
242.000894547,0.02526437,-0.1687023,0.338806,0.417444,-0.1538748,0.9046212,-10.9678,-23.35776,-18.59298
242.011025906,-0.2858654,-0.1097958,0.1556285,0.4150582,-0.1582622,0.903158,-10.9678,-23.35776,-18.59298
242.021156788,-0.2236394,-0.1097958,0.1556285,0.4135698,-0.1562984,0.9075014,-10.9678,-23.35776,-18.59298
242.03128767,-0.2236394,0.0669237099999997,-0.0886081499999998,0.4136563,-0.1636185,0.9007302,-10.9678,-23.35776,-18.59298
242.041418552,-0.0991875400000002,-0.1687023,0.1556285,0.4117244,-0.1641439,0.8978288,-10.9678,-23.35776,-18.59298
242.051549912,0.02526437,-0.2865154,0.1556285,0.416089,-0.1631375,0.8983247,-10.94394,-24.4515,-18.95458
242.061681271,-0.03696159,-0.5221414,0.2777469,0.4121477,-0.1601811,0.9074894,-10.94394,-24.4515,-18.95458
242.069279194,0.39862,-0.581047900000002,0.3998652,0.4179939,-0.1587715,0.8978565,-10.94394,-24.4515,-18.95458
242.079410553,0.460846,-0.2276089,0.338806,0.4189547,-0.1591952,0.9036487,-10.94394,-24.4515,-18.95458
242.089540958,0.585297899999999,-0.2865154,0.2777469,0.4135786,-0.1582034,0.9108751,-10.94394,-24.4515,-18.95458
242.099672318,0.02526437,-0.3454219,0.0945693599999997,0.4165536,-0.1640008,0.9094226,-10.96059,-23.37012,-19.35119
242.109803677,-0.2858654,-0.6399544,0.0945693599999997,0.4131446,-0.1621311,0.905075,-10.96059,-23.37012,-19.35119
242.119934559,-0.2236394,-0.6399544,0.0945693599999997,0.4204062,-0.1600991,0.909441,-10.96059,-23.37012,-19.35119
242.130065441,-0.2236394,-0.581047900000002,-0.0886081499999998,0.4233454,-0.1624959,0.9094434,-10.96059,-23.37012,-19.35119
242.140196323,-0.4725433,-0.4043284,-0.1496673,0.4184945,-0.1620982,0.9041237,-10.96059,-23.37012,-19.35119
242.150327683,-0.5347692,-0.05088932,-0.2107265,0.4233728,-0.1621172,0.8978631,-10.95384,-23.73264,-19.34536
242.160459042,-0.2858654,0.0669237099999997,-0.02754898,0.4200154,-0.1669829,0.897844,-10.95384,-23.73264,-19.34536
242.170589447,-0.2858654,-0.1097958,-0.0886081499999998,0.4190453,-0.1688735,0.9036281,-10.95384,-23.73264,-19.34536
242.180720806,-0.2858654,-0.05088932,0.03351019,0.4180622,-0.1674381,0.9026635,-10.95384,-23.73264,-19.34536
242.190852165,-0.03696159,0.1847367,0.0945693599999997,0.4185608,-0.1702896,0.9079667,-10.95384,-23.73264,-19.34536
