Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
54.56361866,-0.2788507,-0.05515479,-0.1720861,1.005439,-0.1083203,-0.0198547,-43.92648,-26.79868,13.77334
54.573616505,-0.4019172,-0.2925643,-0.2330568,1.007406,-0.1092358,-0.01794359,-43.92648,-26.79868,13.77334
54.583613873,-0.3403839,-0.3519166,-0.1720861,1.000651,-0.1127621,-0.01697375,-43.93184,-26.78833,14.99884
54.593611717,-0.2173175,-0.2925643,-0.1720861,1.009915,-0.1130738,-0.01794698,-43.93184,-26.78833,14.99884
54.603610039,-0.4019172,-0.411269,-0.2330568,1.010448,-0.1154973,-0.01842585,-43.93184,-26.78833,14.99884
54.613607407,-0.4634504,-0.4706214,0.01082622,1.006073,-0.1160653,-0.01793951,-43.93184,-26.78833,14.99884
54.623605251,-0.4019172,-0.708030899999999,-0.3549984,1.011395,-0.1140032,-0.01651359,-43.93184,-26.78833,14.99884
54.633602619,-0.2788507,-0.648678499999998,-0.2940276,1.009169,-0.1252151,-0.01554967,-43.54726,-27.16969,14.55215
54.643600464,0.0903486900000002,-0.767383199999997,-0.2940276,1.007111,-0.1194332,-0.01650472,-43.54726,-27.16969,14.55215
54.653598308,0.2134152,-0.708030899999999,-0.1720861,1.007977,-0.1135629,-0.01411486,-43.54726,-27.16969,14.55215
54.663595676,-0.03271778,-0.767383199999997,-0.2940276,1.005118,-0.1170298,-0.01506614,-43.54726,-27.16969,14.55215
54.673593521,-0.0942510000000003,-0.9454404,-0.05014454,1.00908,-0.1203092,-0.01028644,-43.54726,-27.16969,14.55215
54.683590889,0.02881546,-0.767383199999997,-0.2330568,1.007464,-0.1120757,-0.009807165,-43.55005,-26.79914,13.38912
54.69358921,0.3980148,-0.589326100000003,-0.05014454,1.011378,-0.1129922,-0.01220663,-43.55005,-26.79914,13.38912
54.703587055,0.2749484,-0.648678499999998,-0.05014454,1.007417,-0.1096864,-0.01411488,-43.55005,-26.79914,13.38912
