Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
34.1746521,0.3364816,0.8351307,-0.903735200000002,0.9970171,-0.0764594,-0.07775592,-49.1898,-6.420443,6.403981
34.184649944,0.2749484,0.775778400000001,-0.7817937,0.9969784,-0.07458657,-0.08541355,-49.1898,-6.420443,6.403981
34.194647312,0.2134152,0.597721199999998,-0.964705900000002,1.000389,-0.0744797,-0.08111234,-49.1898,-6.420443,6.403981
34.204645157,-0.03271778,0.597721199999998,-0.964705900000002,0.9983681,-0.07062772,-0.08063123,-49.1898,-6.420443,6.403981
34.214643002,-0.1557842,0.4790165,-1.025677,1.001354,-0.07400541,-0.08446418,-49.1898,-6.420443,6.403981
34.224641323,-0.0942510000000003,0.3009594,-0.964705900000002,0.9969771,-0.07462607,-0.08972073,-49.5741,-6.03963,6.786174
34.234638214,-0.2173175,0.4196641,-1.025677,0.9944965,-0.07222783,-0.08780272,-49.5741,-6.03963,6.786174
34.244636536,0.02881546,0.3009594,-1.086647,1.000895,-0.0754416,-0.08111297,-49.5741,-6.03963,6.786174
34.25463438,0.3364816,0.4790165,-1.086647,0.9950469,-0.07563609,-0.08971711,-49.5741,-6.03963,6.786174
34.264632225,0.2134152,0.657073599999999,-1.086647,0.9934939,-0.07082053,-0.09115136,-49.5741,-6.03963,6.786174
34.274629593,0.0903486900000002,0.716426,-0.964705900000002,0.9964632,-0.07316086,-0.0878059,-49.18363,-6.797529,6.793011
34.284627914,0.2134152,0.775778400000001,-1.086647,0.9984306,-0.07407194,-0.08541622,-49.18363,-6.797529,6.793011
34.294625759,0.2134152,0.657073599999999,-1.025677,0.9984493,-0.0750303,-0.08398027,-49.18363,-6.797529,6.793011
34.304623604,0.4595481,0.775778400000001,-0.903735200000002,1.002292,-0.07203434,-0.08350917,-49.18363,-6.797529,6.793011
34.314621449,0.705681,0.657073599999999,-0.964705900000002,1.000362,-0.07301364,-0.08015552,-49.16174,-7.935328,7.186097
34.324618816,0.767214200000001,0.5383689,-0.8427644,0.9999187,-0.0755223,-0.08781132,-49.16174,-7.935328,7.186097
34.334617138,1.013347,0.4196641,-0.964705900000002,0.9983767,-0.07113104,-0.08254543,-49.16174,-7.935328,7.186097
34.344614983,1.136414,0.2416071,-0.903735200000002,0.9983577,-0.07018585,-0.08541709,-49.16174,-7.935328,7.186097
34.354612827,1.136414,0.3009594,-1.025677,0.9959348,-0.07060561,-0.07296979,-49.16174,-7.935328,7.186097
34.364610195,0.890280700000001,0.1229023,-1.025677,0.9923865,-0.06343923,-0.07870835,-49.16174,-7.935328,7.186097
34.37460804,1.136414,-0.05515479,-1.025677,0.9959778,-0.07311781,-0.08206216,-49.16174,-7.935328,7.186097
34.384606361,1.013347,-0.1738595,-0.903735200000002,0.9974947,-0.07597718,-0.07919261,-49.16174,-7.935328,7.186097
34.394604206,1.136414,-0.2925643,-0.8427644,1.000417,-0.07594577,-0.08206916,-49.16174,-7.935328,7.186097
34.404601574,0.951813900000003,-0.4706214,-0.964705900000002,1.00129,-0.0706007,-0.08398636,-49.16174,-7.935328,7.186097
34.414599419,1.07488,-0.5299737,-0.903735200000002,1.001814,-0.07250778,-0.08111534,-49.15218,-8.318953,6.801123
34.424597263,0.951813900000003,-0.5299737,-0.7817937,0.9939843,-0.07070994,-0.080145,-49.15218,-8.318953,6.801123
34.434595585,0.705681,-0.3519166,-0.720822899999998,0.9992047,-0.06334838,-0.08350603,-49.15218,-8.318953,6.801123
34.44459343,0.4595481,-0.4706214,-0.7817937,1.000169,-0.0628741,-0.08685786,-49.15218,-8.318953,6.801123
34.454590798,0.0903486900000002,-0.3519166,-0.659852100000001,0.9972546,-0.06343955,-0.08924552,-49.15218,-8.318953,6.801123
34.464588642,-0.03271778,-0.2925643,-0.720822899999998,0.9987831,-0.06670567,-0.07776151,-49.18194,-6.800798,6.406009
34.474586487,-0.2173175,0.004197581,-0.598881400000002,0.9987627,-0.06579999,-0.08494034,-49.18194,-6.800798,6.406009
34.484584808,-0.1557842,-0.2925643,-0.659852100000001,1.000241,-0.06677336,-0.08829271,-49.18194,-6.800798,6.406009
34.494582176,-0.1557842,-0.1738595,-0.598881400000002,1.002273,-0.07106721,-0.08398796,-49.18194,-6.800798,6.406009
34.504580021,0.1518819,-0.1738595,-0.4769399,0.9978981,-0.07164398,-0.08445876,-49.18194,-6.800798,6.406009
34.514577866,0.3980148,0.004197581,-0.4159691,0.9949648,-0.07126424,-0.08971809,-49.55051,-7.180697,6.792258
34.52457571,0.705681,0.06354995,-0.4769399,1.001822,-0.07304183,-0.08637954,-49.55051,-7.180697,6.792258
34.534573078,0.951813900000003,0.1229023,-0.3549984,0.9994153,-0.07449456,-0.08063206,-49.55051,-7.180697,6.792258
34.5445714,1.25948,0.2416071,-0.4769399,0.9958476,-0.06639177,-0.09019946,-49.55051,-7.180697,6.792258
34.554569245,1.321013,0.3009594,-0.2330568,0.994378,-0.06590855,-0.08732555,-49.55051,-7.180697,6.792258
34.564567089,1.505613,0.3603118,-0.2940276,0.9963085,-0.06488975,-0.08637203,-49.52037,-8.638728,6.800033
34.574564934,1.567146,0.5383689,-0.2330568,0.9992392,-0.06535288,-0.09020563,-49.52037,-8.638728,6.800033
34.584562302,1.44408,0.4196641,-0.1720861,0.9992308,-0.06484517,-0.08781287,-49.52037,-8.638728,6.800033
34.594560623,1.136414,0.716426,0.01082622,1.000693,-0.06478997,-0.08494397,-49.52037,-8.638728,6.800033
34.604558468,0.767214200000001,0.8351307,-0.05014454,0.9982017,-0.06195424,-0.08829039,-49.52037,-8.638728,6.800033
34.614556312,0.2749484,0.716426,0.0717969800000001,1.00026,-0.06771854,-0.08542105,-49.52692,-8.321765,6.798342
34.62455368,0.1518819,0.657073599999999,0.1327677,0.995336,-0.06485633,-0.08062743,-49.52692,-8.321765,6.798342
34.634551525,-0.3403839,0.4196641,0.1327677,0.9979273,-0.0730442,-0.07823696,-49.52692,-8.321765,6.798342
34.644549847,-0.2788507,0.06354995,0.0717969800000001,0.9949493,-0.07020493,-0.08014681,-49.52692,-8.321765,6.798342
34.654547691,-0.1557842,-0.2332119,0.1327677,0.9949874,-0.0720997,-0.07488205,-49.52692,-8.321765,6.798342
34.664545059,-0.2173175,-0.411269,-0.1720861,0.9952922,-0.06237046,-0.07440651,-49.18194,-6.800798,6.406009
34.674542904,-0.4019172,-0.886087999999999,-0.2330568,0.993562,-0.07408917,-0.07679336,-49.18194,-6.800798,6.406009
34.684540749,-0.4634504,-1.064145,-0.2330568,0.9989118,-0.0734756,-0.07440996,-49.18194,-6.800798,6.406009
34.69453907,-0.4019172,-1.360907,-0.1720861,0.999297,-0.06817088,-0.07967633,-49.18194,-6.800798,6.406009
34.704536915,-0.4634504,-1.242202,-0.1720861,0.9987367,-0.06429881,-0.08015493,-49.18194,-6.800798,6.406009
34.714534283,-0.3403839,-1.538964,-0.1111153,0.9972923,-0.0653431,-0.0849379,-49.52692,-8.321765,6.798342
34.724532127,-0.4634504,-1.360907,0.01082622,1.003723,-0.07063159,-0.09260497,-49.52692,-8.321765,6.798342
34.734529972,-0.2173175,-0.9454404,0.1327677,1.002105,-0.06243324,-0.0959543,-49.52692,-8.321765,6.798342
34.744528294,0.2134152,-0.589326100000003,0.2547093,1.001176,-0.06490763,-0.0988235,-49.52692,-8.321765,6.798342
34.754525661,0.5210813,0.004197581,0.5595631,1.005441,-0.05851929,-0.1002683,-49.52692,-8.321765,6.798342
34.764523506,0.767214200000001,0.3009594,0.620533899999998,0.9986783,-0.06150275,-0.0930771,-48.77744,-8.316139,6.803904
34.774521351,0.767214200000001,0.8351307,1.047329,1.001745,-0.06929181,-0.1012162,-48.77744,-8.316139,6.803904
34.784519672,0.8287475,1.191245,1.169271,0.9983548,-0.07027363,-0.09498858,-48.77744,-8.316139,6.803904
34.794516563,0.8287475,1.606712,1.413154,1.00217,-0.06581163,-0.09356065,-48.77744,-8.316139,6.803904
34.804514885,0.8287475,1.903473,1.413154,1.000321,-0.07122422,-0.09690607,-48.77744,-8.316139,6.803904
34.81451273,1.013347,1.962826,1.291212,1.000856,-0.07357316,-0.08924919,-49.55837,-6.800342,6.79023
34.824510574,1.813279,2.081531,1.596066,0.999425,-0.07496276,-0.07871766,-49.55837,-6.800342,6.79023
34.834508896,2.120945,2.081531,1.352183,0.9959776,-0.0731222,-0.08254074,-49.55837,-6.800342,6.79023
34.844505787,2.305545,2.31894,1.413154,0.999948,-0.07691814,-0.08111095,-49.55837,-6.800342,6.79023
34.854504108,2.428612,1.903473,1.169271,0.998008,-0.07745994,-0.08302173,-49.16791,-7.55824,6.797067
34.864501953,2.613211,1.725416,1.1083,1.001402,-0.07635522,-0.07584929,-49.16791,-7.55824,6.797067
34.874499798,2.551678,1.369302,0.925387699999998,0.9949785,-0.07160516,-0.07392501,-49.16791,-7.55824,6.797067
34.884497166,2.120945,1.131893,0.925387699999998,0.9989216,-0.07393941,-0.07201698,-49.16791,-7.55824,6.797067
34.89449501,1.25948,1.191245,0.681504599999997,1.001264,-0.06909952,-0.07920095,-49.16791,-7.55824,6.797067
34.904493332,0.5210813,0.953835399999999,0.803446099999999,0.9983224,-0.0682033,-0.08111036,-48.81845,-6.411092,7.180765
34.914491177,-0.2173175,0.775778400000001,0.864416900000002,1.000344,-0.07204212,-0.08015575,-48.81845,-6.411092,7.180765
34.924489021,-0.4019172,0.894483100000001,0.986358399999998,1.001877,-0.07594762,-0.08542174,-48.81845,-6.411092,7.180765
34.934486389,-0.3403839,0.953835399999999,0.803446099999999,0.9983029,-0.06727128,-0.08541775,-48.81845,-6.411092,7.180765
34.944484711,-0.4019172,0.953835399999999,0.803446099999999,0.9959862,-0.07362551,-0.08445492,-48.81845,-6.411092,7.180765
34.954482555,-0.832649800000001,0.953835399999999,0.620533899999998,0.9969152,-0.0711643,-0.08302145,-49.53112,-7.948492,5.95781
