Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
28.906483173,0.2134152,0.06354995,0.01082622,0.9972957,0.08939599,-0.115128,-33.553,-39.14497,14.23716
28.916480541,0.1518819,0.1229023,-0.05014454,0.9943832,0.08888759,-0.1112942,-33.553,-39.14497,14.23716
28.926477909,0.02881546,0.004197581,-0.1111153,0.9944375,0.08595987,-0.1127293,-33.553,-39.14497,14.23716
28.9364748,0.2134152,0.004197581,-0.2330568,0.9919839,0.08688766,-0.1122467,-33.16253,-39.90287,14.244
28.946472168,-0.0942510000000003,0.06354995,-0.1720861,0.9933088,0.09421612,-0.1108152,-33.16253,-39.90287,14.244
28.956469059,-0.03271778,-0.1145072,-0.1720861,0.9895032,0.08928151,-0.1108072,-33.16253,-39.90287,14.244
28.966466427,-0.3403839,0.06354995,-0.2940276,0.993427,0.08788805,-0.1122495,-33.16253,-39.90287,14.244
28.976463795,-0.4019172,0.1822547,-0.2330568,0.9890077,0.08977959,-0.1084136,-33.16253,-39.90287,14.244
28.986461163,-0.2788507,0.004197581,-0.3549984,0.9933732,0.09083335,-0.1089001,-33.553,-39.14497,14.23716
28.996458054,-0.0942510000000003,0.1229023,-0.2940276,0.989612,0.08343043,-0.1131988,-33.553,-39.14497,14.23716
29.006455421,-0.03271778,0.2416071,-0.2940276,0.9915691,0.08296999,-0.1146378,-33.553,-39.14497,14.23716
29.016452312,0.2749484,0.1229023,-0.3549984,0.9910461,0.08492097,-0.1127231,-33.553,-39.14497,14.23716
29.02644968,0.2134152,0.1822547,-0.2940276,0.9904854,0.08877988,-0.1146374,-33.553,-39.14497,14.23716
29.036447048,0.3364816,0.3603118,-0.4159691,0.991478,0.08783199,-0.1141604,-33.553,-39.14497,14.23716
29.046443939,0.2134152,0.3009594,-0.4769399,0.9880595,0.08826356,-0.1127188,-33.553,-39.14497,14.23716
29.056441307,0.3364816,0.2416071,-0.4159691,0.9944465,0.08546972,-0.1132078,-33.553,-39.14497,14.23716
29.066438675,0.3364816,0.4196641,-0.4159691,0.9924437,0.08835456,-0.1122479,-33.553,-39.14497,14.23716
