Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
120.914308548,-4.036637,2.014357,0.3864476,0.9777938,-0.01719843,-0.2509822,-38.518,-19.16346,12.16152
120.924306393,-3.482838,1.955005,0.1425645,0.9778642,-0.02116352,-0.2595957,-38.518,-19.16346,12.16152
120.934303761,-3.421305,1.539538,0.2645061,0.9768923,-0.02111254,-0.2519368,-38.518,-19.16346,12.16152
120.944301605,-3.298238,1.361481,0.1425645,0.9719852,-0.01924818,-0.2500144,-37.75867,-19.54201,11.7176
120.954298973,-2.744439,1.064719,0.4474183,0.9735012,-0.02213827,-0.2504949,-37.75867,-19.54201,11.7176
120.964297295,-2.19064,0.708605100000002,0.1425645,0.9711308,-0.02554721,-0.2461827,-37.75867,-19.54201,11.7176
120.974294186,-1.267642,0.4711956,-0.04034774,0.9735399,-0.02401108,-0.2428373,-37.75867,-19.54201,11.7176
120.984292507,-0.4677098,-0.00362331,-0.1013185,0.9715089,-0.01969089,-0.2442705,-37.75867,-19.54201,11.7176
120.994290352,0.1476225,-0.656499400000002,-0.22326,0.9749299,-0.02004345,-0.2370978,-37.76234,-19.53493,12.55611
121.00428772,0.824488100000002,-1.012614,-0.22326,0.9759229,-0.02097817,-0.235185,-37.76234,-19.53493,12.55611
121.014285564,1.132154,-1.546785,-0.4061723,0.9733841,-0.01577509,-0.245232,-37.76234,-19.53493,12.55611
121.024282932,1.562887,-2.021604,-0.5281138,0.979699,-0.01465651,-0.2428504,-37.76234,-19.53493,12.55611
121.034280777,1.501354,-2.733832,-0.4671431,0.9709002,-0.01348218,-0.2547998,-37.38591,-19.53538,12.17189
121.044278145,1.43982,-3.030594,-0.4061723,0.9738968,-0.01727981,-0.251454,-37.38591,-19.53538,12.17189
121.054276466,1.501354,-3.030594,-0.4061723,0.9793181,-0.02059622,-0.2538554,-37.38591,-19.53538,12.17189
121.064274311,1.685953,-3.089946,-0.2842308,0.9796132,-0.01039878,-0.2552943,-37.38591,-19.53538,12.17189
121.074271679,0.9475545,-3.44606,-0.3452016,0.9727004,-0.005741735,-0.2624621,-37.38591,-19.53538,12.17189
