Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
37.958322048,-1.263382,-4.091116,-0.964705900000002,0.9744666,0.08249422,-0.2356876,-18.76182,20.80214,19.64906
37.968319416,-1.140316,-3.616297,-0.964705900000002,0.9763964,0.08349107,-0.237127,-18.76182,20.80214,19.64906
37.978316307,-1.324916,-3.378887,-0.964705900000002,0.9788479,0.08249744,-0.2447882,-18.76182,20.80214,19.64906
37.988313675,-0.832649800000001,-3.20083,-0.903735200000002,0.9772969,0.08737446,-0.2395224,-19.51469,20.80305,20.4175
37.998310566,0.3364816,-2.963421,-0.964705900000002,0.9773204,0.08579867,-0.2524436,-19.51469,20.80305,20.4175
38.008307457,0.951813900000003,-2.547954,-1.086647,0.9778358,0.08437736,-0.2495727,-19.51469,20.80305,20.4175
38.018304825,1.321013,-2.19184,-1.025677,0.973975,0.08234414,-0.2510012,-19.51469,20.80305,20.4175
38.028302193,1.197947,-1.776374,-0.720822899999998,0.9728749,0.08918262,-0.2447795,-19.51469,20.80305,20.4175
38.038299561,1.07488,-1.776374,-0.720822899999998,0.9678866,0.09544517,-0.2399867,-18.02189,21.19139,20.0396
38.048295975,0.705681,-1.657669,-0.5379106,0.9748133,0.08967614,-0.248133,-18.02189,21.19139,20.0396
38.058293343,0.644147799999998,-1.657669,-0.4159691,0.9728746,0.08917385,-0.2457367,-18.02189,21.19139,20.0396
38.06829071,0.3980148,-1.242202,-0.4769399,0.9769161,0.08143476,-0.2505275,-18.02189,21.19139,20.0396
38.078287125,0.5210813,-1.123497,-0.1720861,0.9723965,0.08867406,-0.2462143,-18.02189,21.19139,20.0396
38.088284493,0.5210813,-1.123497,-0.3549984,0.9743811,0.08676073,-0.2471744,-18.77138,21.18576,20.03403
38.09828186,0.4595481,-1.123497,-0.1720861,0.9719099,0.088682,-0.2442992,-18.77138,21.18576,20.03403
38.108278751,0.644147799999998,-0.886087999999999,-0.1720861,0.9724414,0.0862233,-0.2486066,-18.77138,21.18576,20.03403
38.118276119,0.705681,-0.826735599999998,-0.1720861,0.9695008,0.08714586,-0.2476446,-18.77138,21.18576,20.03403
38.12827301,0.5826145,-0.767383199999997,0.0717969800000001,0.9700423,0.08423215,-0.2486019,-18.77138,21.18576,20.03403
38.138270378,0.644147799999998,-0.708030899999999,0.01082622,0.971907,0.08858983,-0.2543492,-18.76182,20.80214,19.64906
38.148267269,0.951813900000003,-0.4706214,0.01082622,0.977358,0.08389074,-0.2486146,-18.76182,20.80214,19.64906
38.158264637,1.321013,-0.2332119,0.0717969800000001,0.9699786,0.08763687,-0.2481241,-18.76182,20.80214,19.64906
