Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-1.017249,6.354901,0.3766508,1.003527,-0.03645914,-0.18115,-37.35493,-36.02472,11.67695
59.881933212,0.704512,2.943187,-0.7734969,1.020387,-0.07403979,-0.02323962,-40.56647,-33.92868,7.449298
59.891930103,1.012178,2.230958,-0.7125261,1.014338,-0.08921473,-0.02226801,-40.57433,-33.54832,7.44727
59.901926517,3.165841,1.400025,-0.8954385,1.016799,-0.09066779,-0.02705769,-40.57433,-33.54832,7.44727
59.911923408,5.688704,0.3910346,-1.261263,1.010934,-0.08986003,-0.03231201,-40.57433,-33.54832,7.44727
59.921919346,7.657767,-0.5586032,-1.200292,1.012848,-0.08781703,-0.02561581,-40.57433,-33.54832,7.44727
59.93191576,8.0885,-0.9147174,-1.505146,1.012781,-0.08453082,-0.03805951,-40.176,-34.68658,7.456135
59.941912651,7.596234,-1.508241,-1.322234,1.01415,-0.07967507,-0.04141318,-40.176,-34.68658,7.456135
59.951908588,7.165501,-1.626946,-1.444175,1.016703,-0.08597257,-0.04476604,-40.176,-34.68658,7.456135
59.961905003,6.611702,-1.686298,-1.261263,1.018982,-0.07769284,-0.04764361,-40.176,-34.68658,7.456135
59.971901894,6.304036,-1.508241,-1.139321,1.012447,-0.06720582,-0.05577071,-40.176,-34.68658,7.456135
59.981898308,5.381037,-1.211479,-0.9564092,1.022528,-0.05930177,-0.06344753,-40.5586,-34.30904,7.451326
59.991894245,4.642639,-0.9147174,-0.8344677,1.020761,-0.06908622,-0.06679197,-40.5586,-34.30904,7.451326
60.001891136,3.781174,-0.4992509,-0.5905846,1.021358,-0.0748794,-0.06392006,-40.5586,-34.30904,7.451326
60.01188755,3.104308,-0.2618414,-0.1028186,1.018327,-0.06909922,-0.06295911,-40.5586,-34.30904,7.451326
60.021884441,2.119776,0.03492045,0.506889,1.017675,-0.06036514,-0.06296023,-40.5586,-34.30904,7.451326
60.031880379,1.073711,0.2723299,0.7507721,1.026124,-0.06882235,-0.04957264,-39.82484,-33.5427,7.452832
60.041876793,2.119776,0.6877965,0.6288306,1.015245,-0.08666717,-0.06438494,-39.82484,-33.5427,7.452832
60.051873684,3.71964,0.7471489,0.4459183,1.02446,-0.08388432,-0.04573726,-39.82484,-33.5427,7.452832
60.061869621,4.273439,0.9845583,0.3849475,1.01846,-0.07572431,-0.0438146,-39.82484,-33.5427,7.452832
60.071866512,3.71964,0.6284441,0.3849475,1.015039,-0.07535858,-0.04955164,-39.82484,-33.5427,7.452832
60.081862927,2.304376,0.2723299,0.3849475,1.021437,-0.07858114,-0.04381905,-40.93504,-34.30858,7.835547
60.091859818,0.7660452,0.09427282,0.6288306,1.025426,-0.08334859,-0.04238905,-40.93504,-34.30858,7.835547
60.101855755,-0.09542003,-0.1431367,0.506889,1.022107,-0.08826918,-0.04190342,-40.93504,-34.30858,7.835547
60.111852169,-0.7107523,-0.3211938,0.4459183,1.014241,-0.08453269,-0.04141209,-40.93504,-34.30858,7.835547
60.12184906,-1.018419,-0.7366604,0.263006,1.020105,-0.08537555,-0.03998637,-40.93504,-34.30858,7.835547
60.131845474,-1.141485,-0.7960127,0.2020352,1.018699,-0.08828826,-0.03663313,-40.20128,-33.54224,7.837053
60.141841412,-0.895352,-1.270832,0.1410645,1.017686,-0.08644787,-0.04572479,-40.20128,-33.54224,7.837053
