Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
193.077218533,-2.10698,-1.396303,2.424049,0.9528492,-0.005148178,-0.2605292,-46.17774,-26.35887,26.58553
193.0871315,-1.549538,-1.629311,2.301323,0.9542825,-0.01100098,-0.2706647,-46.17774,-26.35887,26.58553
193.097044468,-0.8682191,-2.037075,2.485412,0.9635736,-0.01771347,-0.2784779,-46.17774,-26.35887,26.58553
193.106957436,0.2466658,-2.386586,2.485412,0.9615657,-0.02117972,-0.2876054,-46.17774,-26.35887,26.58553
193.11687088,0.927984400000002,-1.396303,2.23996,0.9576165,-0.01637018,-0.2856162,-45.4403,-25.61119,26.19386
193.126783371,1.485427,-1.163295,1.81042,0.9586217,-0.01000222,-0.2754998,-45.4403,-25.61119,26.19386
193.136696816,1.609303,-0.813783199999999,1.687694,0.9540844,-0.007201621,-0.2855225,-45.4403,-25.61119,26.19386
193.14661026,1.547365,-0.4642715,1.319517,0.9535626,-0.005273617,-0.2864651,-45.4403,-25.61119,26.19386
193.156522751,1.671241,-0.3477675,1.38088,0.9476923,-0.005836376,-0.2873749,-45.4403,-25.61119,26.19386
193.166436195,2.104807,-1.105043,0.951339199999998,0.9520884,-0.009198204,-0.2917594,-45.8178,-25.2348,26.64437
193.176348686,2.104807,-1.512807,0.951339199999998,0.9495867,-0.007307231,-0.2950847,-45.8178,-25.2348,26.64437
193.186262131,2.042869,-1.920571,0.767250500000003,0.9515524,-0.004838593,-0.2912452,-45.8178,-25.2348,26.64437
193.196175098,1.857055,-2.21183,0.889976299999999,0.9521102,-0.007723443,-0.2879085,-45.8178,-25.2348,26.64437
193.206088066,1.918993,-2.21183,0.767250500000003,0.9535208,-0.003831977,-0.2888559,-45.8178,-25.2348,26.64437
193.216001034,1.547365,-2.21183,0.6445247,0.9436833,0.004795773,-0.284386,-45.81295,-25.60939,26.64552
193.225914002,1.237675,-2.21183,0.5217989,0.9437382,0.004336459,-0.279588,-45.81295,-25.60939,26.64552
193.235826969,1.113798,-2.21183,0.460436,0.9499625,0.01166437,-0.2839182,-45.81295,-25.60939,26.64552
193.245740414,1.175737,-2.328334,0.460436,0.9514161,0.01070026,-0.2863389,-45.81295,-25.60939,26.64552
193.255652905,0.927984400000002,-2.386586,0.5217989,0.946068,0.01064875,-0.2834088,-45.81295,-25.60939,26.64552
193.265566349,1.05186,-2.444838,0.3377102,0.9464465,0.006694944,-0.2988037,-45.81295,-25.60939,26.64552
193.275479794,1.423489,-2.50309,0.2149844,0.9508868,0.008721892,-0.2925892,-45.81295,-25.60939,26.64552
193.285392284,1.980931,-2.444838,0.0922585699999997,0.9562474,0.007316478,-0.2960092,-45.81295,-25.60939,26.64552
193.295305729,2.910002,-2.037075,-0.03046724,0.9612625,0.002564943,-0.2893651,-45.81295,-25.60939,26.64552
193.30521822,3.529382,-1.920571,0.1536215,0.9554357,-0.0004141366,-0.2888509,-45.81295,-25.60939,26.64552
193.315131664,3.962949,-1.978823,0.3377102,0.9539829,6.262888e-05,-0.2869136,-46.5617,-25.60971,26.58517
193.325044632,4.334577,-2.037075,0.1536215,0.954519,-0.009662826,-0.2937056,-46.5617,-25.60971,26.58517
193.3349576,4.706205,-2.328334,0.0922585699999997,0.9529148,-0.001459948,-0.2974774,-46.5617,-25.60971,26.58517
193.344870567,4.644268,-2.50309,0.03089567,0.9577977,0.004451416,-0.291241,-46.5617,-25.60971,26.58517
193.354783535,4.210701,-2.561342,-0.03046724,0.9572327,0.005869147,-0.2969883,-46.5617,-25.60971,26.58517
193.367174625,3.529382,-2.328334,-0.214556,0.9518498,0.008726393,-0.2940385,-45.43732,-25.60779,27.02904
193.37708807,3.467444,-1.978823,-0.09183015,0.9483926,0.00915339,-0.2968847,-45.43732,-25.60779,27.02904
193.387001038,3.777135,-1.804067,-0.03046724,0.9489366,0.005773557,-0.2954717,-45.43732,-25.60779,27.02904
193.396914005,4.396515,-2.095326,-0.03046724,0.9483517,0.01010769,-0.2997589,-45.43732,-25.60779,27.02904
