Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
62.413312435,8.36055000000001,1.516295,-2.853161,0.9490869,-0.01537221,-0.353233,-49.63385,-15.44338,24.12777
62.423225403,9.35155899999998,1.924059,-3.098613,0.9526955,-0.01815948,-0.3384,-50.00326,-15.818,24.13087
62.433137894,10.34257,3.030846,-3.221339,0.9583725,-0.02915628,-0.3222004,-50.00326,-15.818,24.13087
62.443050385,11.02389,4.195886,-3.098613,0.9631147,-0.04209422,-0.3040845,-50.00326,-15.818,24.13087
62.452963352,11.7052,4.137634,-3.03725,0.9590229,-0.04979345,-0.2829709,-50.00326,-15.818,24.13087
62.462875843,12.26265,3.43861,-2.607709,0.9588431,-0.05793145,-0.2623767,-50.00326,-15.818,24.13087
62.472788334,12.13877,2.564831,-2.362258,0.9619628,-0.06072478,-0.2475393,-48.89641,-14.69569,23.73611
62.485178948,11.02389,1.807555,-2.116806,0.974264,-0.05321445,-0.2312776,-48.89641,-14.69569,23.73611
62.495091915,8.85605400000001,0.817271699999998,-1.319088,0.9846588,-0.05106877,-0.2164745,-48.89641,-14.69569,23.73611
62.505004406,6.19271900000002,0.1765001,-0.582733500000001,0.9895621,-0.03490286,-0.1962455,-48.89641,-14.69569,23.73611
62.514916897,3.095816,-0.1147597,-0.1531931,0.9835068,-0.017513,-0.1941531,-48.89641,-14.69569,23.73611
62.524829388,-0.5585288,-0.4060195,0.3990731,0.9781039,-0.01173936,-0.1897432,-49.26743,-15.07215,23.28949
62.534742355,-4.088998,-0.1730116,0.6445247,0.9834177,-0.006339837,-0.1897564,-49.26743,-15.07215,23.28949
62.544654846,-6.87620999999998,-0.580775400000001,0.951339199999998,0.9760104,-0.01134765,-0.2026855,-49.26743,-15.07215,23.28949
62.55456686,-8.79629,-1.105043,1.258154,0.9720351,-0.0216737,-0.2209636,-49.26743,-15.07215,23.28949
62.564479351,-9.72536099999999,-1.687563,1.319517,0.9679769,-0.03496965,-0.2507844,-49.26743,-15.07215,23.28949
62.574391842,-9.04404300000003,-1.862319,1.319517,0.9664409,-0.04526789,-0.269565,-49.2612,-15.44518,23.67611
62.584304809,-7.37171500000001,-1.920571,1.564968,0.9743297,-0.0602579,-0.2807814,-49.2612,-15.44518,23.67611
62.5942173,-5.203883,-1.046791,1.564968,0.9742897,-0.0651568,-0.2904169,-49.2612,-15.44518,23.67611
62.604129791,-2.788299,0.1765001,1.749057,0.9730048,-0.08410487,-0.2948526,-49.2612,-15.44518,23.67611
62.614042759,-0.2488386,1.632799,1.749057,0.965731,-0.08709197,-0.2924045,-49.2612,-15.44518,23.67611
62.62395525,1.918993,2.739586,1.749057,0.9685404,-0.07297361,-0.288015,-49.26258,-15.44675,23.29065
62.633867741,2.786126,3.496862,1.626331,0.9631058,-0.06331398,-0.2821385,-49.26258,-15.44675,23.29065
62.643780708,2.476436,3.380358,1.564968,0.9620137,-0.05167836,-0.27965,-49.26258,-15.44675,23.29065
62.653693199,1.547365,3.555114,1.626331,0.9564589,-0.04061785,-0.2838464,-49.26258,-15.44675,23.29065
62.66360569,0.5563561,3.030846,1.626331,0.9519892,-0.04266008,-0.2929417,-49.26258,-15.44675,23.29065
62.673517704,-0.001086392,2.331823,1.994509,0.9477311,-0.06117763,-0.3007082,-50.0111,-15.44681,23.29454
62.683430195,0.1227897,1.458043,2.117234,0.9402766,-0.06181975,-0.3131277,-50.0111,-15.44681,23.29454
62.693343162,1.113798,0.9920276,2.178597,0.9417424,-0.06668004,-0.3189355,-50.0111,-15.44681,23.29454
62.703255653,2.166745,1.283287,1.994509,0.9357144,-0.0561053,-0.3221704,-50.0111,-15.44681,23.29454
62.713168144,2.476436,1.341539,1.81042,0.9374259,-0.04059822,-0.3278448,-50.0111,-15.44681,23.29454
62.723081112,2.600312,1.632799,1.503605,0.934295,-0.02903019,-0.3335007,-49.2658,-15.45041,22.39122
62.732993603,2.476436,1.807555,1.196791,0.9313293,-0.03005915,-0.3378015,-49.2658,-15.45041,22.39122
