Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,1.547365,-3.784633,-0.03046724,0.929191,0.133041,0.3595342,-32.39472,-33.89914,-0.9599714
0.019817829,0.1847278,-3.37687,0.3990731,0.9326188,0.1272329,0.3532218,-33.14462,-33.90077,-1.341547
0.027249813,-0.1249625,-3.784633,0.460436,0.938467,0.1238816,0.3473835,-33.14462,-33.90077,-1.341547
0.037158966,-0.1249625,-3.435122,0.2763473,0.961022,0.1222447,0.3514854,-33.14462,-33.90077,-1.341547
0.047067642,0.5563561,-2.444838,0.2149844,0.962591,0.1145114,0.3523797,-33.14462,-33.90077,-1.341547
0.056977272,1.361551,-1.512807,0.460436,0.9518493,0.1124335,0.3515049,-32.7736,-33.52431,-0.8949347
0.066886425,2.414498,-0.9302871,0.460436,0.9362462,0.1088456,0.3516253,-32.7736,-33.52431,-0.8949347
0.076795101,2.848064,-0.6972793,0.3377102,0.9195815,0.1188606,0.3595286,-32.7736,-33.52431,-0.8949347
0.086704254,2.910002,-0.7555313,-0.03046724,0.9195379,0.1266427,0.3643825,-32.7736,-33.52431,-0.8949347
0.096613407,2.414498,-0.9302871,-0.214556,0.9154997,0.1265279,0.3519349,-32.7736,-33.52431,-0.8949347
0.106523037,1.980931,-1.221547,-0.7054592,0.9302315,0.1228419,0.3536948,-32.77845,-33.14972,-0.8960886
0.116431713,1.795117,-1.105043,-0.214556,0.9333735,0.1078651,0.3564468,-32.77845,-33.14972,-0.8960886
0.126340866,2.228683,-0.8720351,-0.214556,0.9332623,0.1097584,0.3478177,-32.77845,-33.14972,-0.8960886
0.136250019,2.414498,0.0599962,-0.4600076,0.9311407,0.1228184,0.346964,-32.77845,-33.14972,-0.8960886
0.146158695,2.35256,0.7007678,-0.5827335,0.9362425,0.1161608,0.3598367,-32.77845,-33.14972,-0.8960886
0.156067848,2.166745,0.8755237,-0.8281851,0.9312587,0.1145871,0.3488287,-32.39796,-33.52272,-0.5114136
0.165977478,1.980931,0.8755237,-0.7054592,0.938939,0.1170497,0.3377304,-32.39796,-33.52272,-0.5114136
0.175886631,1.361551,0.0599962,-0.2759189,0.9518062,0.1065574,0.3404225,-32.39796,-33.52272,-0.5114136
0.185795307,1.609303,0.351256,-0.4600076,0.935906,0.1233028,0.3353994,-32.39796,-33.52272,-0.5114136
0.19570446,1.361551,-0.05650773,-0.5827335,0.9322373,0.1348393,0.3249466,-32.39796,-33.52272,-0.5114136
