Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
31.268946648,5.635276,0.875523700000001,1.503605,0.9903355,0.01233781,0.02973639,-25.3348,16.97334,11.56403
31.278857708,4.520391,0.293004,1.626331,0.9888937,0.01477158,0.03504767,-25.3348,16.97334,11.56403
31.288768292,3.157754,-0.05650773,1.81042,0.9844757,0.0112928,0.02930347,-25.3348,16.97334,11.56403
31.298679829,2.228683,-0.4060195,1.994509,0.9918967,0.01142975,0.03787859,-24.58628,16.97341,11.56013
31.308590889,1.237675,-1.221547,2.055871,0.9884722,0.01284927,0.0393602,-24.58628,16.97341,11.56013
31.318501949,0.618294100000002,-1.745815,2.055871,0.9875433,0.0128626,0.04417045,-24.58628,16.97341,11.56013
31.32841301,-0.06302445,-2.153579,2.117234,0.9886128,0.01097125,0.05087018,-24.58628,16.97341,11.56013
31.338324547,-0.8682191,-2.619594,1.871783,0.9916595,0.005213098,0.05512507,-24.58628,16.97341,11.56013
31.34823513,-1.859228,-2.677846,1.749057,0.9960321,0.001351189,0.04785652,-24.96192,16.97181,11.17661
31.358146191,-2.602484,-2.79435,1.626331,0.987904,-0.00743755,0.05555568,-24.96192,16.97181,11.17661
31.368056774,-3.221865,-3.027358,1.871783,0.9889352,-0.01520247,0.05165314,-24.96192,16.97181,11.17661
31.377968311,-3.71737,-3.260366,1.994509,0.9885108,-0.02102861,0.0511381,-24.96192,16.97181,11.17661
31.387879372,-3.779308,-3.784633,2.362686,0.985665,-0.02589769,0.05401293,-24.96192,16.97181,11.17661
31.400268078,-3.71737,-4.367153,2.730864,0.9877563,-0.03848565,0.05246925,-24.96054,16.97338,11.56208
31.410179615,-3.469617,-4.949672,2.669501,0.991303,-0.04764657,0.05381589,-24.96054,16.97338,11.56208
31.420090199,-3.221865,-5.18268,3.099041,0.9909277,-0.05344722,0.05810215,-24.96054,16.97338,11.56208
31.430001259,-2.974113,-5.240932,2.976315,0.991771,-0.04960259,0.04947711,-24.96054,16.97338,11.56208
31.439912796,-2.354732,-4.949672,2.792227,0.9931822,-0.04083263,0.05432407,-24.96054,16.97338,11.56208
31.44982338,-1.549538,-4.367153,2.730864,0.9981171,-0.0392844,0.0605308,-24.96539,17.34797,11.56092
31.45973444,-0.744343000000003,-4.308901,2.792227,0.997993,-0.03300758,0.05577218,-24.96539,17.34797,11.56092
31.469645977,-0.3727147,-4.308901,2.608138,0.9924716,-0.02144189,0.05542014,-24.96539,17.34797,11.56092
31.479556561,-0.744343000000003,-4.658412,2.362686,0.990945,-0.02344259,0.04725824,-24.96539,17.34797,11.56092
31.489467621,-1.363724,-5.532192,2.178597,0.9848632,-0.01826173,0.03246409,-24.96539,17.34797,11.56092
31.499379158,-2.10698,-6.11471200000003,2.117234,0.990283,-0.02256316,0.031425,-24.58467,16.97523,12.00984
31.509289742,-2.41667,-6.63897900000002,2.23996,0.9867706,-0.0241161,0.02088365,-24.58467,16.97523,12.00984
31.519200802,-2.664423,-7.33800299999997,2.608138,0.9911081,-0.02214266,0.01701542,-24.58467,16.97523,12.00984
31.529112339,-2.478608,-7.62926299999999,2.178597,0.9919335,-0.01391706,0.01178085,-24.58467,16.97523,12.00984
31.539022923,-2.478608,-7.862271,2.117234,0.9870071,-0.0174121,0.004120592,-24.58467,16.97523,12.00984
31.54893446,-2.41667,-8.095279,1.871783,0.9919495,-0.01732335,0.009357215,-24.96378,17.3498,12.01064
31.55884552,-2.41667,-7.97877500000003,1.503605,0.9871161,-0.02076998,0.01081943,-24.96378,17.3498,12.01064
31.568756103,-2.41667,-7.97877500000003,1.38088,0.9914242,-0.01881183,0.004070416,-24.96378,17.3498,12.01064
31.578667641,-2.41667,-8.27003499999999,1.258154,0.9949005,-0.02166788,0.005939872,-24.96378,17.3498,12.01064
31.588578224,-2.10698,-8.15353100000001,1.503605,0.9905685,-0.02656537,0.006907626,-24.96378,17.3498,12.01064
31.598489284,-1.859228,-7.74576700000002,1.503605,0.9954517,-0.0235806,0.009763299,-24.97024,17.72257,11.55977
31.608400822,-1.79729,-7.33800299999997,1.319517,0.9979285,-0.02255772,0.01406863,-24.97024,17.72257,11.55977
31.618311405,-1.735352,-6.988491,1.196791,0.9978693,-0.0196617,0.01168768,-24.97024,17.72257,11.55977
31.628222465,-1.859228,-6.28946699999999,1.258154,0.997575,-0.02688362,0.02220577,-24.97024,17.72257,11.55977
31.638134003,-1.921166,-5.706948,1.196791,0.9965305,-0.02254027,0.02080389,-24.97024,17.72257,11.55977
31.648044586,-1.859228,-5.124428,0.889976299999999,0.9965056,-0.02499226,0.01550605,-24.95893,16.9752,12.01179
31.657956123,-2.292794,-4.716664,0.828613499999998,1.000035,-0.02733295,0.02314034,-24.95893,16.9752,12.01179
31.667867184,-2.41667,-4.075893,0.889976299999999,1.001426,-0.02637827,0.01689178,-24.95893,16.9752,12.01179
31.68025589,-2.540546,-3.493374,0.705887599999999,0.9964628,-0.02306328,0.01359866,-24.95893,16.9752,12.01179
31.69016695,-2.664423,-3.143862,0.828613499999998,0.9955751,-0.02937009,0.01500533,-24.96564,17.72779,12.84466
31.700077534,-2.726361,-2.619594,0.889976299999999,0.9931218,-0.02989289,0.01358406,-24.96564,17.72779,12.84466
31.709989071,-2.788299,-2.619594,0.889976299999999,0.9902025,-0.03480019,0.009256941,-24.96564,17.72779,12.84466
31.719900131,-2.664423,-2.444838,0.951339199999998,0.9921338,-0.03234938,0.009735566,-24.96564,17.72779,12.84466
31.729811191,-2.912175,-2.386586,0.951339199999998,0.997039,-0.0332557,0.01016432,-24.96564,17.72779,12.84466
31.739722252,-3.159927,-2.328334,1.012702,0.9970061,-0.03668746,0.002939391,-25.33505,17.35317,12.84776
31.749632835,-3.71737,-2.619594,1.012702,0.992539,-0.03482588,-0.00132832,-25.33505,17.35317,12.84776
31.759544373,-4.02706,-3.027358,0.889976299999999,0.9865895,-0.03494206,-0.009436761,-25.33505,17.35317,12.84776
31.769455433,-4.088998,-3.493374,0.828613499999998,0.9889203,-0.02911711,-0.01374094,-25.33505,17.35317,12.84776
