Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
52.778840542,-3.469617,-0.05650773,1.196791,0.9710699,0.01294603,-0.2745017,-35.85079,-34.10309,25.721
52.788752556,-3.345741,0.293004,0.951339199999998,0.9775102,0.01209361,-0.2673646,-35.85079,-34.10309,25.721
52.79866457,-3.159927,0.817271699999998,0.889976299999999,0.9707174,0.008132795,-0.266848,-35.85079,-34.10309,25.721
52.80857563,-2.912175,0.759019800000003,0.767250500000003,0.9639462,0.005646744,-0.2624805,-35.85079,-34.10309,25.721
52.818487644,-2.540546,0.5842639,0.828613499999998,0.9698749,-0.001565018,-0.2649842,-35.85079,-34.10309,25.721
52.828399181,-2.540546,0.700767799999999,0.767250500000003,0.9658563,0.003696192,-0.2692333,-35.8524,-34.10492,25.27129
52.838311195,-2.168918,0.5842639,0.828613499999998,0.9628033,0.01286573,-0.2701043,-35.8524,-34.10492,25.27129
52.848223209,-2.354732,0.2347521,0.828613499999998,0.9648139,0.01486996,-0.2624271,-35.8524,-34.10492,25.27129
52.85813427,-2.10698,0.001744238,0.583161800000002,0.9632686,0.01237172,-0.2729929,-35.8524,-34.10492,25.27129
52.868046284,-1.859228,0.1765001,0.583161800000002,0.9710161,0.01828385,-0.2735053,-35.8524,-34.10492,25.27129
52.877958298,-1.79729,0.001744238,0.583161800000002,0.964172,0.01819883,-0.2734426,-36.2202,-34.47771,25.7241
52.887869358,-1.735352,-0.1147597,0.583161800000002,0.9622116,0.01817199,-0.2739048,-36.2202,-34.47771,25.7241
52.897781372,-1.4876,-0.3477675,0.889976299999999,0.9673273,0.001277707,-0.2716639,-36.2202,-34.47771,25.7241
52.910171509,-1.115971,-0.5225234,0.828613499999998,0.9702904,-0.001597163,-0.2721906,-36.2202,-34.47771,25.7241
52.920082569,-0.744343000000003,-0.4642715,0.583161800000002,0.9726826,0.008162181,-0.2659056,-36.2202,-34.47771,25.7241
52.929994583,-0.3727147,-0.5225234,0.2763473,0.9732146,0.008678525,-0.2611055,-35.85564,-33.72849,25.71984
52.93990612,-0.3107767,-0.4642715,0.1536215,0.9698398,0.004270332,-0.2615839,-35.85564,-33.72849,25.71984
52.949818134,-0.001086392,-0.2312636,0.3377102,0.9697837,0.008143581,-0.2625178,-35.85564,-33.72849,25.71984
52.959730148,0.3086039,-0.2312636,0.2763473,0.9733148,0.004828208,-0.2558504,-35.85564,-33.72849,25.71984
52.969641209,0.866046300000002,-0.3477675,0.2149844,0.9746056,0.007193956,-0.2702513,-35.85564,-33.72849,25.71984
52.979553223,1.113798,-0.5225234,0.2149844,0.9721443,0.01105722,-0.2673218,-35.8524,-34.10492,25.27129
52.989465237,1.237675,-0.580775400000001,0.2149844,0.9696772,0.01540528,-0.2643891,-35.8524,-34.10492,25.27129
52.999376297,1.423489,-0.5225234,-0.03046724,0.9702075,0.01153046,-0.2649,-35.8524,-34.10492,25.27129
53.009288311,1.175737,-0.2312636,0.0922585699999997,0.9701831,0.01151772,-0.2673006,-35.8524,-34.10492,25.27129
53.019200325,1.175737,-0.3477675,-0.03046724,0.969224,0.01200311,-0.2648878,-35.8524,-34.10492,25.27129
53.029111862,1.237675,-0.2312636,0.03089567,0.966281,0.01196158,-0.2658211,-36.21535,-34.85231,25.72525
