Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
242.660206795,-0.2957103,0.6214872,0.304673,0.4231057,0.06212142,0.8971979,-21.16162,-24.53888,-17.75197
242.670117855,-0.2957103,0.4467314,0.0592213600000001,0.4226199,0.06309258,0.8986494,-21.16162,-24.53888,-17.75197
242.680029392,-0.729276600000001,0.6214872,-0.002141545,0.4226818,0.0533687,0.8933023,-21.16162,-24.53888,-17.75197
242.689939976,-0.605400499999998,0.5049833,0.1819472,0.4266039,0.05537429,0.8966405,-20.79083,-24.16269,-17.36961
242.699851036,-0.4815244,0.5632352,-0.0635044499999998,0.4231845,0.05386975,0.8952216,-20.79083,-24.16269,-17.36961
242.709762573,-0.04795806,0.1554715,-0.0635044499999998,0.4148271,0.05520561,0.8924268,-20.79083,-24.16269,-17.36961
242.722151756,-0.1718342,-0.1357883,-0.002141545,0.4188488,0.05092163,0.898123,-20.79083,-24.16269,-17.36961
242.732062817,-0.2957103,-0.3105442,-0.1862303,0.4237575,0.04270012,0.8903403,-20.79083,-24.16269,-17.36961
242.741974354,-0.3576483,-0.1940403,-0.1862303,0.4247682,0.04614403,0.8975563,-21.15054,-25.2865,-17.3642
242.751885414,-0.1098961,-0.4853001,-0.0635044499999998,0.4183822,0.04946373,0.8985978,-21.15054,-25.2865,-17.3642
242.761796474,-0.1098961,-0.601804000000003,-0.0635044499999998,0.4188337,0.04847474,0.8937854,-21.15054,-25.2865,-17.3642
242.771707535,0.0759180499999999,-0.834811900000003,0.0592213600000001,0.4223533,0.04612895,0.9004595,-21.15054,-25.2865,-17.3642
242.781619072,-0.1718342,-0.776559899999999,0.0592213600000001,0.4257312,0.04614853,0.896107,-21.15054,-25.2865,-17.3642
242.791530132,-0.1718342,-0.718307900000001,0.1205843,0.4272325,0.04325799,0.8960738,-21.16509,-24.16272,-17.36766
242.801441669,0.01398,-0.718307900000001,0.1205843,0.428672,0.04472549,0.8951099,-21.16509,-24.16272,-17.36766
242.81135273,0.0759180499999999,-0.601804000000003,-0.002141545,0.4208052,0.05045858,0.8976217,-21.16509,-24.16272,-17.36766
242.821264267,0.5714225,-0.660055899999998,0.0592213600000001,0.4260772,0.05729974,0.8952177,-21.16509,-24.16272,-17.36766
242.831175327,0.633360499999997,-0.951315800000002,-0.002141545,0.42805,0.05586965,0.8951899,-21.16509,-24.16272,-17.36766
242.841086864,0.4475464,-0.951315800000002,-0.002141545,0.4256057,0.05583929,0.8952123,-21.53934,-24.16275,-17.36572
242.850997925,0.1997941,-0.834811900000003,0.0592213600000001,0.4291475,0.05204167,0.9023566,-21.53934,-24.16275,-17.36572
242.860909462,0.1378561,-0.776559899999999,-0.002141545,0.4304493,0.06173027,0.8976076,-21.53934,-24.16275,-17.36572
242.870820045,-0.1718342,-0.543552,-0.0635044499999998,0.4304386,0.06221251,0.8971307,-21.53934,-24.16275,-17.36572
242.880731106,-0.3576483,-0.3105442,0.0592213600000001,0.4299186,0.06316584,0.8952212,-21.53934,-24.16275,-17.36572
242.890642643,-0.2957103,-0.07753634,-0.0635044499999998,0.433846,0.06224738,0.895659,-21.15378,-24.91008,-16.91564
242.900553703,-0.2337722,0.1554715,0.1205843,0.4305361,0.05982422,0.9038361,-21.15378,-24.91008,-16.91564
242.91046524,-0.2957103,0.1554715,-0.1248674,0.4285508,0.05734539,0.8980761,-21.15378,-24.91008,-16.91564
242.920376301,-0.1718342,0.3884794,-0.0635044499999998,0.4305784,0.05009015,0.8965685,-21.15378,-24.91008,-16.91564
242.930287838,-0.5434625,0.5049833,-0.2475932,0.4360383,0.04532176,0.898887,-21.15539,-24.91191,-17.36535
242.940198898,-0.605400499999998,0.5049833,-0.4316819,0.4272062,0.04958577,0.9009178,-21.15539,-24.91191,-17.36535
242.950110435,-0.4815244,0.6214872,-0.370319,0.4280847,0.0529609,0.8951702,-21.15539,-24.91191,-17.36535
242.960021496,-0.2957103,0.4467314,-0.1862303,0.4305602,0.05203186,0.8970618,-21.15539,-24.91191,-17.36535
242.969933033,-0.1718342,0.796243100000002,-0.2475932,0.429098,0.05494278,0.9009359,-21.15539,-24.91191,-17.36535
242.979843616,-0.4195864,0.796243100000002,0.0592213600000001,0.4272788,0.04474549,0.9023253,-21.52804,-24.91011,-16.91369
242.989754677,-0.3576483,0.679739199999998,-0.002141545,0.4244191,0.03938143,0.9032764,-21.52804,-24.91011,-16.91369
243.00214386,-0.3576483,0.854494999999997,0.1819472,0.4258034,0.03886899,0.8946173,-21.52804,-24.91011,-16.91369
243.012055397,-0.2337722,0.854494999999997,0.1205843,0.422807,0.04660453,0.8975775,-21.52804,-24.91011,-16.91369
243.021966457,-0.04795806,1.029251,-0.1862303,0.4208012,0.04996869,0.8966581,-21.52804,-24.91011,-16.91369
243.031877995,-0.2337722,0.737991200000001,-0.002141545,0.4277125,0.04813747,0.9009034,-21.15192,-25.28807,-17.74967
243.041789055,-0.1098961,0.679739199999998,-0.1862303,0.4209125,0.04270954,0.8990095,-21.15192,-25.28807,-17.74967
243.051700592,-0.2337722,0.4467314,0.0592213600000001,0.4173737,0.05285023,0.89959,-21.15192,-25.28807,-17.74967
243.061611176,-0.2957103,0.3302274,-0.1248674,0.4172972,0.05720063,0.8972189,-21.15192,-25.28807,-17.74967
243.071522713,-0.2337722,0.2719754,-0.370319,0.4147892,0.05713714,0.8909996,-21.15192,-25.28807,-17.74967
243.081433773,-0.4195864,-0.01928438,-0.2475932,0.4147429,0.05564964,0.884748,-21.15539,-24.91191,-17.36535
243.09134531,-0.5434625,-0.4853001,-0.2475932,0.4124264,0.05275893,0.8938732,-21.15539,-24.91191,-17.36535
243.101256371,-0.2957103,-0.660055899999998,-0.1862303,0.4148124,0.05519797,0.8909864,-21.15539,-24.91191,-17.36535
243.111167908,0.01398,-0.718307900000001,-0.370319,0.4148832,0.05133236,0.8933608,-21.15539,-24.91191,-17.36535
243.121078968,0.1378561,-0.951315800000002,-0.2475932,0.4203475,0.04949312,0.8995401,-21.15539,-24.91191,-17.36535
243.130990505,-0.04795806,-1.06782,-0.0635044499999998,0.4249263,0.03744578,0.9027786,-21.15539,-24.91191,-17.36535
243.140901566,-0.2337722,-0.718307900000001,-0.002141545,0.417449,0.04654793,0.8995473,-21.15539,-24.91191,-17.36535
243.150813103,-0.1718342,-0.951315800000002,-0.1248674,0.4140448,0.04212444,0.8961882,-21.15539,-24.91191,-17.36535
243.160724163,0.01398,-1.242576,-0.1248674,0.4194054,0.04608487,0.8990459,-21.15539,-24.91191,-17.36535
