Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
52.782405853,0.2681995,0.1215233,-0.3164189,0.4554183,0.08668895,0.8821778,-20.32175,-26.59648,-17.1074
52.792315006,0.3920757,0.2380272,-0.2550561,0.4569517,0.08235168,0.8835753,-20.32175,-26.59648,-17.1074
52.802224636,0.0823853800000002,0.3545312,-0.1936931,0.4598195,0.08332967,0.8782735,-20.32175,-26.59648,-17.1074
52.812133789,-0.351181,0.4127832,-0.1323302,0.4530288,0.08083343,0.8807205,-20.32175,-26.59648,-17.1074
52.822042942,-0.1034288,0.3545312,-0.2550561,0.4539856,0.08424931,0.882655,-20.32175,-26.59648,-17.1074
52.831952572,-0.2273049,0.4710352,-0.0709673199999999,0.453519,0.08279141,0.8831298,-20.32175,-26.59648,-17.1074
52.841861725,-0.5369951,0.0632713699999997,-0.1936931,0.4511031,0.08326368,0.8865164,-20.32175,-26.59648,-17.1074
52.851770878,-0.846685299999998,0.0632713699999997,-0.0709673199999999,0.453633,0.07943608,0.8903087,-20.32175,-26.59648,-17.1074
52.861680508,-0.4750571,-0.05323255,-0.1936931,0.4496544,0.07886449,0.8831394,-20.32175,-26.59648,-17.1074
52.871589661,-0.351181,0.005019411,-0.1323302,0.4438,0.08026128,0.8860837,-19.57324,-26.59642,-17.11129
52.881498814,-0.351181,-0.1114845,-0.3164189,0.4476651,0.08126161,0.8826936,-19.57324,-26.59642,-17.11129
52.891407967,-0.2273049,0.1797753,-0.1936931,0.4467332,0.08029772,0.8860568,-19.57324,-26.59642,-17.11129
52.901317596,-0.2892429,-0.05323255,-0.3164189,0.4487025,0.080817,0.8879627,-19.57324,-26.59642,-17.11129
52.911226749,-0.2273049,-0.1114845,-0.2550561,0.449231,0.07255101,0.8821409,-19.57324,-26.59642,-17.11129
52.921135902,-0.2892429,-0.2279884,-0.1323302,0.4501989,0.07255806,0.8811716,-19.93295,-27.72023,-17.10588
52.931045532,-0.351181,-0.2279884,0.1744843,0.4501642,0.07546683,0.8811914,-19.93295,-27.72023,-17.10588
52.940954685,-0.660871200000003,-0.635752099999998,-0.00960441699999999,0.4467787,0.07154087,0.8802362,-19.93295,-27.72023,-17.10588
52.950863838,-0.2892429,-0.577500200000002,0.05175849,0.4492916,0.06624106,0.8806579,-19.93295,-27.72023,-17.10588
52.960773468,0.02044733,-0.868759999999998,-0.1323302,0.4546307,0.07116598,0.8825619,-19.93295,-27.72023,-17.10588
52.970682621,0.02044733,-0.868759999999998,0.1131214,0.46101,0.06881841,0.8820071,-20.31366,-27.3475,-17.5548
52.980591774,0.1443234,-0.810508,-0.0709673199999999,0.459071,0.07319292,0.8887764,-20.31366,-27.3475,-17.5548
52.990501404,0.0823853800000002,-0.5192482,-0.00960441699999999,0.45662,0.07413469,0.8892854,-20.31366,-27.3475,-17.5548
53.002887726,0.2062615,-0.05323255,-0.00960441699999999,0.46288,0.08343235,0.89073,-20.31366,-27.3475,-17.5548
53.012796879,-0.04149072,0.005019411,0.1744843,0.4615029,0.07468022,0.889244,-20.31366,-27.3475,-17.5548
53.022706509,-0.1034288,0.2962792,-0.1936931,0.4575403,0.08143402,0.8922065,-19.57485,-26.59825,-17.561
53.032615662,-0.1653668,0.3545312,-0.0709673199999999,0.4589548,0.08044954,0.8859448,-19.57485,-26.59825,-17.561
53.042524815,-0.413119,0.5292871,-0.3777819,0.4603537,0.07994474,0.8787262,-19.57485,-26.59825,-17.561
53.052434444,-0.413119,0.4127832,-0.4391448,0.4494808,0.08804243,0.87696,-19.57485,-26.59825,-17.561
53.062343597,-0.2273049,0.587539099999999,-0.5005077,0.4524598,0.08712712,0.8802875,-19.57485,-26.59825,-17.561
53.07225275,-0.4750571,0.3545312,-0.5618706,0.4559121,0.08133172,0.8763757,-19.9588,-25.84909,-17.56137
53.08216238,-0.660871200000003,0.2380272,-0.4391448,0.447174,0.07979097,0.8807677,-19.9588,-25.84909,-17.56137
53.092071533,-0.5989332,0.1215233,-0.4391448,0.4506152,0.07740442,0.8797597,-19.9588,-25.84909,-17.56137
53.101980686,-0.7847473,-0.2279884,-0.2550561,0.4462853,0.0739715,0.8826578,-19.9588,-25.84909,-17.56137
53.111890316,-0.4750571,-0.4027443,-0.0709673199999999,0.4501873,0.07352765,0.8811783,-19.9588,-25.84909,-17.56137
53.121799469,-0.5989332,-0.5192482,-0.1936931,0.446349,0.07400462,0.8888994,-19.9475,-26.59645,-17.10934
53.131708622,-0.5989332,-0.694004100000001,-0.3164189,0.4497109,0.07743049,0.8869705,-19.9475,-26.59645,-17.10934
53.141617775,-0.413119,-0.752256000000002,-0.1936931,0.4507768,0.07212265,0.8893261,-19.9475,-26.59645,-17.10934
53.151527405,-0.1653668,-0.635752099999998,-0.0709673199999999,0.4512269,0.0745476,0.8883778,-19.9475,-26.59645,-17.10934
53.161437035,0.0823853800000002,-0.4609963,-0.1323302,0.4551062,0.07848216,0.8898086,-19.9475,-26.59645,-17.10934
53.171346664,-0.04149072,-0.3444924,-0.1936931,0.4574659,0.08188315,0.885488,-19.9475,-26.59645,-17.10934
53.181255817,-0.351181,-0.4027443,-0.1936931,0.45508,0.07944411,0.8883748,-19.9475,-26.59645,-17.10934
53.19116497,-0.413119,-0.2862404,-0.2550561,0.4598867,0.08141343,0.8825815,-19.9475,-26.59645,-17.10934
53.2010746,-0.04149072,-0.05323255,-0.1323302,0.455023,0.07843885,0.8816464,-19.9475,-26.59645,-17.10934
53.210983753,-0.04149072,0.0632713699999997,-0.00960441699999999,0.4584842,0.07850175,0.885456,-19.9475,-26.59645,-17.10934
53.220892906,-0.1653668,-0.1697365,-0.2550561,0.4555781,0.08238187,0.8927112,-20.32336,-26.59831,-17.55711
53.230802536,-0.4750571,-0.1697365,-0.1323302,0.4580612,0.07462752,0.8873548,-20.32336,-26.59831,-17.55711
53.240711689,-0.413119,-0.05323255,-0.1936931,0.4604303,0.07559435,0.8810973,-20.32336,-26.59831,-17.55711
53.250620842,-0.2892429,-0.1114845,-0.1936931,0.4555911,0.07263251,0.8825628,-20.32336,-26.59831,-17.55711
53.260529995,0.1443234,-0.2279884,-0.1936931,0.4546321,0.06775204,0.8786979,-20.32336,-26.59831,-17.55711
53.270439625,-0.04149072,-0.05323255,-0.00960441699999999,0.4571298,0.06537119,0.8810597,-19.9491,-26.59828,-17.55906
53.282825947,0.0823853800000002,0.005019411,-0.00960441699999999,0.4570754,0.07900143,0.8917145,-19.9491,-26.59828,-17.55906
53.292735577,-0.351181,0.0632713699999997,-0.0709673199999999,0.4541115,0.0769978,0.8864468,-19.9491,-26.59828,-17.55906
53.30264473,-0.351181,0.005019411,-0.0709673199999999,0.4545043,0.08134408,0.8821507,-19.9491,-26.59828,-17.55906
53.312553883,-0.351181,0.1797753,-0.1323302,0.4545132,0.08183652,0.8835943,-19.9491,-26.59828,-17.55906
53.322463512,-0.1034288,0.2380272,-0.1936931,0.4530734,0.07792976,0.881661,-19.95234,-26.22185,-17.1105
53.332372665,-0.1653668,0.3545312,-0.1323302,0.4540777,0.07941923,0.885983,-19.95234,-26.22185,-17.1105
53.342281818,-0.1653668,0.2962792,-0.1936931,0.4516824,0.0740485,0.884529,-19.95234,-26.22185,-17.1105
53.352191448,-0.2273049,0.2380272,-0.1936931,0.4501219,0.07983506,0.8821812,-19.95234,-26.22185,-17.1105
53.362100601,-0.413119,0.005019411,-0.1936931,0.4506285,0.080826,0.8850641,-19.95234,-26.22185,-17.1105
53.372009754,-0.2273049,0.005019411,-0.1323302,0.4560506,0.07262329,0.8796775,-19.9588,-25.84909,-17.56137
53.381918907,-0.1653668,0.2380272,-0.2550561,0.4531254,0.07893248,0.8879092,-19.9588,-25.84909,-17.56137
53.391828537,-0.1034288,0.0632713699999997,-0.2550561,0.4512363,0.07211344,0.8864409,-19.9588,-25.84909,-17.56137
53.40173769,-0.2273049,0.005019411,-0.2550561,0.4481433,0.08174993,0.8822122,-19.9588,-25.84909,-17.56137
53.411646843,-0.351181,-0.05323255,-0.2550561,0.4462711,0.0764031,0.8841145,-19.9588,-25.84909,-17.56137
53.421556473,-0.2892429,-0.1114845,-0.4391448,0.4517296,0.06968281,0.8840193,-20.32336,-26.59831,-17.55711
53.431465626,0.0823853800000002,-0.1697365,-0.2550561,0.4517991,0.06923114,0.8902577,-20.32336,-26.59831,-17.55711
53.441374779,0.02044733,-0.1697365,-0.1936931,0.4547131,0.07169663,0.8912075,-20.32336,-26.59831,-17.55711
53.451284409,-0.04149072,-0.2862404,-0.3164189,0.4526735,0.07211637,0.8835466,-20.32336,-26.59831,-17.55711
53.461193562,-0.04149072,-0.4027443,-0.0709673199999999,0.4546147,0.07457227,0.8849855,-20.32336,-26.59831,-17.55711
53.471102715,0.1443234,-0.2862404,-0.1936931,0.4492461,0.07499792,0.8864785,-19.9491,-26.59828,-17.55906
53.481012344,0.3301376,-0.635752099999998,-0.1323302,0.4516744,0.07843456,0.8888797,-19.9491,-26.59828,-17.55906
53.490921497,0.1443234,-0.5192482,-0.1323302,0.4520203,0.08958577,0.8879905,-19.9491,-26.59828,-17.55906
53.50083065,-0.1653668,-0.635752099999998,-0.1936931,0.4500439,0.08759938,0.8836741,-19.9491,-26.59828,-17.55906
53.510739803,-0.351181,-0.4609963,-0.1323302,0.4509945,0.08906081,0.8827147,-19.9491,-26.59828,-17.55906
53.520649433,-0.2273049,-0.3444924,-0.2550561,0.4554019,0.08765598,0.8817043,-19.57324,-26.59642,-17.11129
53.530558586,-0.351181,-0.2279884,-0.2550561,0.4554148,0.08327246,0.8778337,-19.57324,-26.59642,-17.11129
53.540467739,-0.413119,-0.3444924,-0.2550561,0.4540172,0.08572917,0.8874661,-19.57324,-26.59642,-17.11129
53.550377369,-0.660871200000003,-0.3444924,-0.4391448,0.4534357,0.08811394,0.8812454,-19.57324,-26.59642,-17.11129
53.562763691,-0.846685299999998,-0.3444924,-0.3164189,0.446203,0.07880669,0.88029,-19.57324,-26.59642,-17.11129
53.572673321,-0.5989332,-0.4027443,-0.3777819,0.4580332,0.0711983,0.88061,-19.96018,-25.85065,-17.94683
53.582582474,-0.4750571,-0.3444924,-0.4391448,0.4532385,0.06533279,0.883016,-19.96018,-25.85065,-17.94683
53.592491627,-0.1034288,-0.4609963,-0.1936931,0.4532399,0.06728471,0.8854298,-19.96018,-25.85065,-17.94683
53.602401256,-0.1653668,-0.694004100000001,-0.1936931,0.4547696,0.06489679,0.8887609,-19.96018,-25.85065,-17.94683
53.612310886,-0.2892429,-0.635752099999998,-0.0709673199999999,0.458205,0.06299503,0.8877561,-19.96018,-25.85065,-17.94683
53.622220516,-0.2273049,-0.4027443,0.1744843,0.4556873,0.0682923,0.8868544,-20.32336,-26.59831,-17.55711
53.632129669,0.0823853800000002,-0.4027443,0.05175849,0.4551187,0.07702523,0.8893186,-20.32336,-26.59831,-17.55711
53.642038822,0.1443234,-0.4027443,-0.0709673199999999,0.4570706,0.07363304,0.8849565,-20.32336,-26.59831,-17.55711
53.651947975,0.2681995,-0.2862404,-0.2550561,0.4517421,0.06822588,0.8835293,-20.32336,-26.59831,-17.55711
53.661857605,0.1443234,-0.05323255,-0.4391448,0.4600661,0.07175069,0.8887576,-20.32336,-26.59831,-17.55711
53.671766758,-0.04149072,0.3545312,-0.4391448,0.4669254,0.06355092,0.8804768,-19.57324,-26.59642,-17.11129
53.681675911,-0.351181,1.286563,-0.623233500000001,0.4668515,0.06643929,0.8766555,-19.57324,-26.59642,-17.11129
53.691585541,-1.218314,2.276846,-0.807322200000002,0.4613493,0.07021007,0.869049,-19.57324,-26.59642,-17.11129
53.701494694,-1.837694,3.150625,-1.666403,0.4584442,0.07360286,0.8758207,-19.57324,-26.59642,-17.11129
53.711403847,-1.899632,3.674893,-2.157306,0.4624744,0.0727379,0.8863411,-19.57324,-26.59642,-17.11129
