Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
5.947464466,-3.906672,5.319641,1.845006,-0.0505903,0.2198725,0.6925977,-7.70075,-43.75676,-44.32551
5.957352161,-0.984768300000001,0.0826596800000002,3.861022,-0.07948394,0.2687449,0.6677909,-7.70075,-43.75676,-44.32551
5.967240334,3.740012,-6.62538299999997,4.410845,-0.0829002,0.2643907,0.6692518,-7.70075,-43.75676,-44.32551
5.977127552,10.08116,-11.39163,6.79340899999997,-0.06128259,0.2309301,0.7141711,-6.176412,-42.66019,-45.15018
5.987015724,15.17895,-15.62828,8.87051700000001,-0.04676109,0.2291621,0.7281433,-6.176412,-42.66019,-45.15018
5.996903419,19.46856,-19.04115,10.45889,-0.05205231,0.2607184,0.7534666,-6.176412,-42.66019,-45.15018
6.006791592,22.45263,-21.68906,11.61963,-0.0519336,0.3032626,0.7652748,-6.176412,-42.66019,-45.15018
6.01667881,22.63913,-23.10128,11.92509,-0.04316999,0.3528389,0.8251494,-6.176412,-42.66019,-45.15018
6.026566505,18.34953,-23.92507,12.10836,-0.03440488,0.3740408,0.8438081,-5.813901,-42.65021,-44.29852
6.038926601,13.62475,-23.74855,12.29163,-0.00871785,0.384182,0.8740841,-5.813901,-42.65021,-44.29852
6.04881382,10.76501,-25.51382,12.41382,-0.00627334,0.3671464,0.8424322,-5.813901,-42.65021,-44.29852
6.058701992,8.52696000000002,-27.86752,13.02473,0.03152944,0.3554855,0.849267,-5.813901,-42.65021,-44.29852
6.068589687,8.27828799999998,-28.63247,13.9411,0.03400473,0.3720945,0.8530332,-5.813901,-42.65021,-44.29852
6.07847786,9.27297899999999,-29.27974,14.6742,0.01071967,0.375542,0.8525084,-6.961962,-44.13035,-43.45996
6.088365078,10.019,-30.22122,16.44585,0.004399497,0.3591975,0.833347,-6.961962,-44.13035,-43.45996
6.09825325,9.58381899999998,-31.28038,17.85095,0.02431065,0.3615785,0.8323957,-6.961962,-44.13035,-43.45996
6.108140945,9.27297899999999,-32.75145,18.40077,0.07381354,0.3545483,0.8247927,-6.961962,-44.13035,-43.45996
6.118028164,10.019,-34.28135,19.68369,0.113642,0.3617595,0.8238398,-6.961962,-44.13035,-43.45996
6.127916336,8.58912800000003,-35.22283,20.17242,0.1331694,0.3903719,0.8184273,-8.791034,-43.71723,-43.05276
6.137804031,7.656606,-38.10611,19.19496,0.1264612,0.40775,0.8072706,-8.791034,-43.71723,-43.05276
6.147692204,5.294216,-39.51833,18.9506,0.1191009,0.3888598,0.8131288,-8.791034,-43.71723,-43.05276
6.157579422,2.372312,-40.98939,21.0277,0.1020421,0.3555005,0.794522,-8.791034,-43.71723,-43.05276
6.167467594,0.693772100000003,-41.81319,24.99864,0.09283639,0.3414815,0.7676508,-10.99775,-43.67664,-42.64884
6.17735529,3.11833,-45.52026,26.7092,0.1170257,0.318547,0.7677943,-10.99775,-43.67664,-42.64884
6.187242508,4.299526,-47.16785,27.99212,0.1335586,0.319817,0.7572264,-10.99775,-43.67664,-42.64884
6.19713068,1.43979,-48.3447,28.11431,0.192849,0.3361484,0.7499974,-10.99775,-43.67664,-42.64884
