Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-0.05224587,-3.212519,-0.9041064,0.9537691,0.07027185,0.2337733,-47.87848,-1.044314,8.029896
0.022245407,3.615676,-3.094834,-1.94266,0.9546892,0.0536706,0.2309727,-47.87207,-1.808785,7.586535
0.024716854,3.80218,-2.977149,-1.881569,0.9541924,0.05573441,0.2386565,-47.87207,-1.808785,7.586535
0.034603119,4.983376,-2.859464,-2.309208,0.9474055,0.05718711,0.2371987,-47.87207,-1.808785,7.586535
0.044489861,5.667225,-3.094834,-2.309208,0.9401487,0.06103234,0.2328427,-47.87207,-1.808785,7.586535
0.054376602,5.85373,-3.624417,-2.431391,0.9425412,0.05178994,0.2338539,-48.26348,-1.787746,8.421041
0.06426239,5.978066,-3.859787,-2.614666,0.9463957,0.05096659,0.2444427,-48.26348,-1.787746,8.421041
0.074149132,6.351075,-3.800944,-2.553574,0.9391445,0.05776227,0.2419956,-48.26348,-1.787746,8.421041
0.084035873,7.283597,-3.683259,-2.553574,0.9391434,0.05677399,0.2410387,-48.26348,-1.787746,8.421041
0.096393585,8.775634,-3.918629,-2.614666,0.9444888,0.05722163,0.2391189,-48.26348,-1.787746,8.421041
0.106280327,9.832492,-3.800944,-2.859031,0.9416177,0.06642184,0.2352217,-47.87984,-1.800432,8.040504
0.116167069,10.57851,-3.742102,-2.981214,0.9440814,0.07364933,0.2303788,-47.87984,-1.800432,8.040504
0.126053333,11.13802,-3.859787,-2.981214,0.9387699,0.08194517,0.2308117,-47.87984,-1.800432,8.040504
0.135940075,11.32453,-3.742102,-3.103397,0.9397827,0.09809879,0.2365023,-47.87984,-1.800432,8.040504
0.14582634,10.82718,-4.212842,-2.79794,0.9344655,0.1074261,0.2407774,-47.87984,-1.800432,8.040504
0.155712605,10.08116,-5.036636,-2.79794,0.939335,0.1132886,0.242677,-47.89361,-1.40686,8.878286
0.165599346,9.272979,-5.330849,-2.736848,0.9403247,0.1126703,0.2340247,-47.89361,-1.40686,8.878286
0.175486088,8.340456,-5.683904,-2.187026,0.9456586,0.1141853,0.2383514,-47.89361,-1.40686,8.878286
0.185372829,7.656606,-5.860431,-1.94266,0.9481198,0.1254091,0.2402211,-47.89361,-1.40686,8.878286
0.195259094,6.724084,-6.272328,-1.698295,0.9525073,0.131251,0.2406776,-47.89361,-1.40686,8.878286
0.205145359,5.667225,-6.978438,-1.148472,0.950579,0.127688,0.2301131,-47.89429,-1.784919,8.883591
0.215031624,4.734703,-7.390336,-0.5986494,0.9549158,0.1229033,0.2363942,-47.89429,-1.784919,8.883591
0.224918366,4.237358,-7.390336,-0.4153753,0.9592667,0.1145447,0.2316321,-47.89429,-1.784919,8.883591
0.234805107,4.299526,-7.272651,-0.1710097,0.9602215,0.113648,0.2369279,-47.89429,-1.784919,8.883591
0.244691849,4.423862,-7.154966,-0.1099183,0.9611754,0.1087766,0.2369536,-47.89429,-1.784919,8.883591
0.254578114,4.361694,-7.154966,-0.1099183,0.9621774,0.1120611,0.2287625,-47.51802,-2.168504,8.897474
0.264464378,4.299526,-7.096123,0.25663,0.964125,0.1135109,0.2282764,-47.51802,-2.168504,8.897474
0.274350643,4.050853,-7.213809,0.562087,0.9636527,0.1179087,0.2292155,-47.51802,-2.168504,8.897474
0.284237385,3.615676,-7.213809,0.4399042,0.9636585,0.1138909,0.2210602,-47.51802,-2.168504,8.897474
0.294124127,2.869658,-7.566864,0.9286354,0.9626793,0.1124536,0.2225091,-47.51802,-2.168504,8.897474
0.304010868,2.683153,-7.390336,1.11191,0.9685192,0.1098563,0.2124295,-47.5311,-1.396873,9.729953
0.31636858,3.304835,-7.096123,1.417367,0.9743682,0.1111834,0.2042538,-47.5311,-1.396873,9.729953
0.326255322,3.615676,-6.919596,1.295184,0.9704649,0.1043522,0.2028411,-47.5311,-1.396873,9.729953
0.336142063,4.423862,-6.743068,1.417367,0.968538,0.107249,0.2009006,-47.5311,-1.396873,9.729953
