Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
5.228180409,19.15772,-29.92701,9.17597399999999,-0.7371264,0.09759834,0.4029205,24.66852,-36.28075,-32.66852
5.238068581,24.13117,-35.16399,11.00872,-0.7300639,0.06761109,0.4502103,25.81521,-35.55673,-33.49648
5.247956276,30.9075,-39.93023,13.02473,-0.717088,0.05347301,0.4834801,25.81521,-35.55673,-33.49648
5.257844448,37.9325,-44.81416,15.59057,-0.70057,0.05682745,0.4820392,25.81521,-35.55673,-33.49648
5.267732143,45.39268,-50.58072,18.46186,-0.6873823,0.074195,0.4728289,25.81521,-35.55673,-33.49648
5.277620316,52.23118,-58.8186600000001,20.78334,-0.6504415,0.09817668,0.4857346,25.81521,-35.55673,-33.49648
5.287508011,55.77477,-62.9964800000002,24.20446,-0.5989932,0.1110233,0.5049649,24.28446,-35.88882,-32.22844
5.297395706,60.0643700000002,-65.9974499999999,26.46484,-0.5886995,0.1262906,0.4851818,24.28446,-35.88882,-32.22844
5.307283402,65.2864899999998,-69.4103100000003,29.88596,-0.552169,0.1692066,0.4941439,24.28446,-35.88882,-32.22844
5.317171574,67.95972,-71.4697999999998,34.16235,-0.5049885,0.2197438,0.525683,24.28446,-35.88882,-32.22844
5.327059269,70.0734400000003,-74.17655,40.33258,-0.4937403,0.2769123,0.5725372,24.28446,-35.88882,-32.22844
5.336947441,71.5654799999999,-78.29552,46.44172,-0.5116073,0.3231451,0.6006576,22.8146,-37.29299,-30.94393
5.346835136,72.6223299999998,-85.5920000000002,51.93995,-0.5187346,0.3515513,0.5779027,22.8146,-37.29299,-30.94393
5.356722355,74.0521999999997,-94.6537400000001,57.01053,-0.4944452,0.3473921,0.5635237,22.8146,-37.29299,-30.94393
5.366610527,72.4979899999998,-99.65535,61.7145700000002,-0.4376527,0.3258593,0.5314752,22.8146,-37.29299,-30.94393
5.376498222,73.3683499999999,-103.3036,62.4476700000002,-0.3754359,0.2943232,0.4499488,22.8146,-37.29299,-30.94393
5.388858318,78.5283100000001,-104.1862,64.0360499999997,-0.4073749,0.2723835,0.3788471,20.52501,-40.95475,-29.71105
5.398746491,84.6829499999999,-108.2464,67.2738900000001,-0.4029865,0.2861819,0.3903244,20.52501,-40.95475,-29.71105
5.408634186,88.1022000000001,-109.5409,73.9939399999998,-0.3830542,0.3362016,0.4487667,20.52501,-40.95475,-29.71105
5.418521404,90.8997700000002,-111.0119,81.2027299999997,-0.3471698,0.3861055,0.5341592,20.52501,-40.95475,-29.71105
5.428409577,93.6973399999998,-110.8354,87.4340500000001,-0.3030083,0.4283651,0.5979584,15.72192,-44.20041,-28.47583
5.438297272,97.7382700000001,-113.4833,92.99337,-0.2670067,0.4621021,0.6117756,15.72192,-44.20041,-28.47583
5.448185444,94.0081799999998,-114.366,97.2086700000002,-0.2121197,0.4522886,0.5815895,15.72192,-44.20041,-28.47583
5.458073616,90.5267599999999,-120.8386,99.9577899999998,-0.2418426,0.3669834,0.5069632,15.72192,-44.20041,-28.47583
5.467961311,93.6351700000001,-125.8403,105.9447,-0.1791111,0.3029937,0.567473,15.72192,-44.20041,-28.47583
