Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
7.332455158,27.37292,-1.117681,37.83164,0.8825377,0.7223579,-0.08952868,-32.02038,-6.891052,33.86163
7.344778061,33.27393,-3.43853,27.65534,0.8828453,0.7315868,-0.09472637,-30.92015,-3.658266,33.37444
7.354636669,36.81454,-4.807235,19.13422,0.8833056,0.7856409,-0.08517195,-30.92015,-3.658266,33.37444
7.364496231,33.33605,-5.342815,11.83917,0.8822879,0.8455377,-0.07123438,-30.92015,-3.658266,33.37444
7.374354839,22.40364,-5.64036,5.034534,0.8734751,0.9039095,-0.05624016,-30.92015,-3.658266,33.37444
7.384213448,4.700608,-7.18759300000001,-0.2375236,0.8572137,0.9146091,-0.01949894,-30.92015,-3.658266,33.37444
7.394072533,-17.03996,-9.68696799999999,-4.038309,0.8322395,0.856064,-0.0009483059,-30.56323,-1.090895,32.96202
7.403931141,-32.38259,-10.5796,-7.71648900000002,0.8404232,0.7315193,-0.01265841,-30.56323,-1.090895,32.96202
7.413789749,-37.84879,-9.21089600000002,-11.21076,0.8834102,0.5897263,-0.0345941,-30.56323,-1.090895,32.96202
7.423648357,-32.8174,-6.71152099999998,-14.27591,0.8931215,0.483141,-0.061988,-30.56323,-1.090895,32.96202
7.433507443,-21.13961,-2.90295,-18.07669,0.9026182,0.4325054,-0.09178185,-30.56323,-1.090895,32.96202
7.443366051,-6.10756099999998,3.583524,-21.81618,0.9219803,0.4501963,-0.09142931,-30.55926,-0.711165,33.79044
7.453224659,3.209827,10.12951,-23.83918,0.926533,0.528124,-0.08364853,-30.55926,-0.711165,33.79044
7.463084221,5.445999,16.67549,-25.37175,0.9152613,0.6079525,-0.05070783,-30.55926,-0.711165,33.79044
7.472942829,-2.629069,22.50737,-25.67827,0.9061977,0.6725999,-0.04859546,-30.55926,-0.711165,33.79044
7.482801437,-14.18263,27.08955,-26.16869,0.8909377,0.6851323,-0.04443861,-30.55926,-0.711165,33.79044
7.492660523,-24.05906,30.00549,-27.82387,0.8865123,0.6518874,-0.07532487,-30.55646,-1.821844,33.35365
7.502519131,-31.38874,28.93433,-29.29514,0.8700621,0.6284924,-0.04653589,-30.55646,-1.821844,33.35365
7.51484251,-36.60647,24.11411,-30.70511,0.8513189,0.6141253,-0.07034996,-30.55646,-1.821844,33.35365
7.524701595,-34.43242,21.73375,-30.95033,0.8780273,0.5864785,-0.1092999,-30.55646,-1.821844,33.35365
7.534560204,-26.85428,21.91228,-32.5442,0.899047,0.6089837,-0.1266607,-30.55646,-1.821844,33.35365
7.544418812,-21.32596,24.53067,-34.07678,0.9175243,0.6797741,-0.1085963,-31.30864,-2.566435,32.14879
7.554278374,-20.45634,27.3871,-35.67065,0.8983105,0.74743,-0.05887312,-31.30864,-2.566435,32.14879
7.564136982,-24.18329,28.22022,-39.90056,0.8478657,0.8055543,-0.01166048,-31.30864,-2.566435,32.14879
