Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
6.576318264,-3.871388,-4.450181,-0.1762206,-0.4763426,0.1132067,0.2874519,25.21644,-64.85457,-18.28244
6.586177349,-1.200403,-7.84219100000002,4.54411,-0.4839565,0.1233157,0.2761449,25.21644,-64.85457,-18.28244
6.596037388,3.085595,-12.66241,9.01922900000002,-0.4940094,0.09497038,0.2674234,26.7106,-65.24533,-18.67048
6.605896473,9.66988199999998,-16.53049,14.84301,-0.4953426,0.1106189,0.2910552,26.7106,-65.24533,-18.67048
6.615756512,15.57089,-20.16054,19.25683,-0.4680729,0.1659956,0.3304283,26.7106,-65.24533,-18.67048
6.625616074,19.54631,-23.49304,22.7511,-0.4608453,0.2027813,0.3905357,26.7106,-65.24533,-18.67048
6.635475635,21.4719,-25.57585,25.38713,-0.474571,0.2426865,0.4236536,26.7106,-65.24533,-18.67048
6.645335197,22.46576,-28.07523,26.98101,-0.491202,0.2586511,0.4379221,26.70813,-64.87807,-18.73826
6.655195236,22.65211,-30.5746,28.63619,-0.474921,0.2529746,0.4429134,26.70813,-64.87807,-18.73826
6.665054321,23.83231,-33.66907,30.47528,-0.4551688,0.2444125,0.4487892,26.70813,-64.87807,-18.73826
6.67491436,26.19271,-36.40648,34.52127,-0.439123,0.2816329,0.4742722,26.70813,-64.87807,-18.73826
6.687238216,26.75176,-39.02487,37.89294,-0.4127174,0.3124869,0.4645723,25.60464,-66.31901,-17.3731
6.697098255,26.31695,-42.05983,40.59027,-0.4009207,0.3082129,0.4648473,25.60464,-66.31901,-17.3731
6.70695734,26.56541,-45.33282,44.32976,-0.3853361,0.3293255,0.4782209,25.60464,-66.31901,-17.3731
6.716817379,25.69579,-47.23711,46.72057,-0.3790212,0.3824507,0.4857672,25.60464,-66.31901,-17.3731
6.726676464,24.14289,-49.55795,47.76272,-0.3709669,0.3956318,0.4780965,25.60464,-66.31901,-17.3731
6.736536503,24.70193,-52.47389,49.90833,-0.3652025,0.3699127,0.4835477,25.60464,-66.31901,-17.3731
6.746395588,27.49715,-54.25916,52.54436,-0.3449634,0.3939303,0.4820243,22.24262,-66.6492,-17.41595
6.756255627,30.47871,-56.46099,52.11524,-0.3025668,0.4297661,0.4654297,22.24262,-66.6492,-17.41595
6.766115189,34.3299,-59.9125100000001,50.70527,-0.2673808,0.4198152,0.4538226,22.24262,-66.6492,-17.41595
6.77597475,37.93262,-62.94746,52.85087,-0.2314373,0.4499797,0.4971721,22.24262,-66.6492,-17.41595
6.785834312,38.86436,-63.1259900000003,55.18039,-0.1790626,0.5040221,0.5107784,22.24262,-66.6492,-17.41595
6.795694351,37.99474,-62.1738500000002,55.4869,-0.1389583,0.4863103,0.4942439,19.32232,-67.34544,-16.94518
6.805553436,40.1688,-62.7094300000001,58.8585700000001,-0.1683219,0.4782352,0.4864478,19.32232,-67.34544,-16.94518
6.815413475,42.96401,-64.8517499999999,61.9237199999998,-0.1934649,0.5354344,0.4868097,19.32232,-67.34544,-16.94518
6.82527256,42.83978,-66.5180000000001,62.4141399999998,-0.1524572,0.5416331,0.4857983,19.32232,-67.34544,-16.94518
6.835132599,46.38039,-68.8388500000001,60.8815699999998,-0.1288815,0.5169685,0.4708782,19.32232,-67.34544,-16.94518
6.844991684,51.90871,-70.7431300000002,61.4332900000001,-0.1051457,0.5420135,0.4755432,15.22573,-67.64206,-15.19179
6.854851723,54.02065,-72.4093900000002,62.5980500000002,-0.07039708,0.5963837,0.4884452,15.22573,-67.64206,-15.19179
6.867175579,50.85273,-72.4093900000002,69.6478899999998,-0.008803474,0.6540396,0.5354947,15.22573,-67.64206,-15.19179
6.877035618,45.69711,-69.4934499999998,74.6134299999999,0.0281182,0.6835892,0.5424058,15.22573,-67.64206,-15.19179
6.886894703,42.40497,-67.58916,75.9007900000002,0.03169352,0.619705,0.4972502,12.26312,-69.78702,-13.04126
6.896754742,47.06366,-68.3032700000002,77.8011900000002,0.02289405,0.562153,0.4829931,12.26312,-69.78702,-13.04126
6.906614304,56.07047,-70.6241099999999,78.1076999999997,0.03395586,0.614792,0.4794461,12.26312,-69.78702,-13.04126
6.916473865,60.9155099999999,-72.3498800000003,75.71689,0.07607899,0.6983961,0.4848225,12.26312,-69.78702,-13.04126
6.926333427,61.3503200000001,-73.1234900000001,72.4065199999997,0.1380298,0.6990313,0.5079048,12.26312,-69.78702,-13.04126
6.936193466,60.8534000000002,-73.0639800000002,76.1460100000001,0.1479106,0.68694,0.5043076,7.050115,-70.43348,-10.89422
6.946052551,59.4868500000001,-73.2425099999999,80.00809,0.1588328,0.6991515,0.4908374,7.050115,-70.43348,-10.89422
6.95591259,57.5612500000002,-74.01613,81.78588,0.1996442,0.6966412,0.5036521,7.050115,-70.43348,-10.89422
6.965771675,59.9837799999997,-72.6474200000001,82.0923999999998,0.2406294,0.6536577,0.4936005,7.050115,-70.43348,-10.89422
6.975631714,64.2076599999999,-71.6357700000001,82.2150000000001,0.2413538,0.6573645,0.4423471,7.050115,-70.43348,-10.89422
6.985490799,69.1148099999999,-74.0756399999999,81.4793699999999,0.2101631,0.7162789,0.3953689,7.050115,-70.43348,-10.89422
6.995350838,70.48136,-78.1817599999999,79.2724599999998,0.2612971,0.7347324,0.3943166,2.599037,-72.54869,-7.839768
7.0052104,70.6056000000001,-80.62162,81.29546,0.3018256,0.730812,0.4210203,2.599037,-72.54869,-7.839768
7.015069962,71.2267499999999,-81.6927799999998,84.5445200000002,0.3103832,0.7758713,0.4783033,2.599037,-72.54869,-7.839768
7.024929523,67.4998000000001,-81.0381800000001,88.7744199999997,0.3574108,0.8090171,0.5119359,2.599037,-72.54869,-7.839768
7.037253857,62.9032200000001,-76.81305,90.9813299999999,0.4301682,0.8215605,0.4410417,-2.239071,-71.70907,-4.429466
7.047113895,61.72302,-75.9204100000001,89.38746,0.4393817,0.8369726,0.3768277,-2.239071,-71.70907,-4.429466
7.056972981,60.5428199999998,-77.7056800000002,86.99664,0.4236307,0.808354,0.3087644,-2.239071,-71.70907,-4.429466
7.066833019,62.28206,-81.6332699999999,85.7705800000001,0.4382509,0.7386517,0.2432759,-2.239071,-71.70907,-4.429466
7.076692581,66.87864,-84.9657699999999,87.48706,0.4737285,0.7284309,0.2886871,-2.239071,-71.70907,-4.429466
7.086551666,68.5557699999998,-85.0252799999998,92.5139100000002,0.4654482,0.7903723,0.3458734,-7.38339,-71.22777,-0.5656872
7.096411705,66.94076,-86.0369299999997,97.4794500000002,0.4753324,0.8720214,0.4250103,-7.38339,-71.22777,-0.5656872
7.10627079,63.1516900000001,-82.2283599999998,100.7285,0.5091311,0.9278557,0.4412926,-7.38339,-71.22777,-0.5656872
7.116130829,58.8035699999999,-78.6578200000002,99.3798399999999,0.5369885,0.93466,0.3733858,-7.38339,-71.22777,-0.5656872
7.125989914,59.8595400000002,-77.5866599999998,95.5177499999998,0.5500683,0.9023823,0.2996095,-7.38339,-71.22777,-0.5656872
7.135849953,64.0213099999999,-80.3835799999998,91.5943599999998,0.5410724,0.8985621,0.2105744,-12.21225,-71.48634,3.304023
7.145709515,66.3817100000003,-85.38233,86.2610000000001,0.5835925,0.8777989,0.1532476,-12.21225,-71.48634,3.304023
7.155569077,68.1209600000002,-89.0718800000002,83.7475799999998,0.6381732,0.8471134,0.1464603,-12.21225,-71.48634,3.304023
7.165428638,69.1769299999999,-89.1313900000001,87.3644599999997,0.667671,0.8280212,0.1760683,-12.21225,-71.48634,3.304023
7.175288677,71.1025200000001,-87.8221999999998,92.5139100000002,0.6533358,0.8477352,0.1467287,-12.21225,-71.48634,3.304023
7.185147762,75.9475599999997,-90.97617,97.1729400000001,0.6557233,0.8916806,0.1810887,-17.41689,-70.25643,7.992762
7.195007801,79.4881699999999,-90.2620599999998,101.9546,0.70475,0.9751432,0.262079,-17.41689,-70.25643,7.992762
7.204866886,76.7550699999998,-85.9179200000002,100.6059,0.7358431,1.048458,0.2747138,-17.41689,-70.25643,7.992762
7.217191696,71.1025200000001,-83.1804999999998,92.6978099999997,0.7537746,1.007424,0.190252,-17.41689,-70.25643,7.992762
7.227051258,67.68615,-83.6565699999998,90.79742,0.7277235,0.9641951,0.1432969,-17.41689,-70.25643,7.992762
7.23691082,65.4499699999998,-84.72774,88.65182,0.7325831,0.9514001,0.09376212,-21.87454,-69.03605,12.61362
7.246770859,66.5680600000002,-84.72774,86.8127300000002,0.7575074,0.9257382,0.06923034,-21.87454,-69.03605,12.61362
7.256629944,69.1148099999999,-83.5375500000001,89.38746,0.7830274,0.9059696,0.0576782,-21.87454,-69.03605,12.61362
7.266489983,71.3509900000001,-83.7160799999997,94.1077899999998,0.7639225,0.9500865,0.05880201,-21.87454,-69.03605,12.61362
7.276349068,70.1086699999998,-84.1326399999999,99.1959399999998,0.7731229,1.062434,0.1506669,-21.87454,-69.03605,12.61362
7.286209107,62.4063000000002,-76.99157,102.9967,0.7936549,1.134381,0.2127982,-25.58183,-67.07463,18.18329
7.296068192,54.45546,-67.2916200000002,104.0389,0.7974324,1.143519,0.1749647,-25.58183,-67.07463,18.18329
7.30592823,50.97697,-61.5787599999998,102.1385,0.7864534,1.147973,0.09129889,-25.58183,-67.07463,18.18329
7.315787792,53.64795,-58.8413500000003,96.8051100000001,0.7605811,1.153348,0.02845866,-25.58183,-67.07463,18.18329
7.325647354,55.07662,-58.8413500000003,91.2878500000003,0.7621299,1.085385,-0.06126807,-25.58183,-67.07463,18.18329
7.335506916,57.6854899999998,-58.2462599999999,87.8548800000003,0.7927352,1.055815,-0.103165,-29.67855,-64.02318,22.39928
7.345366955,61.72302,-57.8892100000002,84.7284199999998,0.7872224,1.075747,-0.09525099,-29.67855,-64.02318,22.39928
7.35522604,64.2076599999999,-56.63952,85.46407,0.8040346,1.133068,-0.03175253,-29.67855,-64.02318,22.39928
7.365086079,64.08343,-54.67572,82.5215199999999,0.8325333,1.216842,0.0509706,-29.67855,-64.02318,22.39928
7.374945164,61.5987900000001,-50.03403,77.0042499999998,0.8360399,1.208378,0.1212915,-29.67855,-64.02318,22.39928
7.387269974,58.6172300000002,-40.75063,70.8126400000002,0.8005813,1.189093,0.1230717,-33.40509,-60.23884,26.66982
7.397129059,56.62952,-35.39483,66.5214400000002,0.7507178,1.177785,0.08007982,-33.40509,-60.23884,26.66982
7.406989098,56.87798,-31.40773,61.9237199999998,0.7352939,1.159024,0.04468056,-33.40509,-60.23884,26.66982
7.416848183,56.75375,-28.43228,57.26469,0.7559084,1.133838,0.02740221,-33.40509,-60.23884,26.66982
7.426708222,55.63566,-24.74273,52.05393,0.7598171,1.10946,0.005576792,-33.40509,-60.23884,26.66982
7.436567307,55.3872,-20.99367,46.65927,0.7458996,1.090723,-0.02696854,-36.31799,-57.26241,30.88032
7.446427345,54.89027,-18.19674,41.32591,0.7331108,1.085708,-0.03641257,-36.31799,-57.26241,30.88032
7.456286907,54.14488,-16.17344,35.31821,0.7303782,1.051076,-0.05200029,-36.31799,-57.26241,30.88032
7.466146469,52.40563,-14.80474,31.94655,0.7375625,0.9986389,-0.03769003,-36.31799,-57.26241,30.88032
7.476006031,49.5483,-12.48389,31.51743,0.7481445,0.9550127,-0.01760346,-36.31799,-57.26241,30.88032
7.48586607,45.75923,-9.03236999999999,33.17261,0.7708442,0.9420861,-0.01468168,-37.80856,-54.63247,33.42221
7.495725155,42.09439,-5.699869,34.76649,0.8089581,0.9145829,-0.04229217,-37.80856,-54.63247,33.42221
7.505585194,40.04457,-3.557548,35.073,0.8565848,0.8944125,-0.08339395,-37.80856,-54.63247,33.42221
7.515444279,38.80225,-1.712771,33.54043,0.8851855,0.8804349,-0.1150675,-37.80856,-54.63247,33.42221
7.525304318,37.31147,-0.998663500000001,31.08831,0.8939736,0.8614671,-0.1330832,-37.80856,-54.63247,33.42221
7.535163403,36.37973,-0.582100999999999,28.02316,0.8753059,0.8330981,-0.1277854,-38.55766,-52.02275,35.12805
7.545023441,35.13741,-0.998663500000001,24.8354,0.8376629,0.8011719,-0.1179343,-38.55766,-52.02275,35.12805
7.554883003,34.39202,-1.17719,22.19937,0.8004225,0.7556903,-0.09047302,-38.55766,-52.02275,35.12805
