Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
4.801213264,19.17362,-7.54464599999999,20.11507,-0.148091,-0.2183197,-0.006106486,17.63943,-77.93922,0.7795048
4.811071873,24.32924,-12.18634,33.29522,-0.1272682,-0.1527715,0.03584028,17.63943,-77.93922,0.7795048
4.820930481,25.88214,-15.28081,46.04624,-0.1122663,-0.107902,0.02737954,17.63943,-77.93922,0.7795048
4.830790043,27.18657,-19.44643,57.9390200000003,-0.1097617,-0.07772873,0.0223273,17.63943,-77.93922,0.7795048
4.840648651,31.5968,-23.85009,69.6478899999998,-0.1248882,-0.03684105,0.06122391,17.63943,-77.93922,0.7795048
4.850507259,36.31761,-27.30161,80.9889499999999,-0.1112649,0.03684624,0.08465319,17.27214,-77.92242,1.67763
4.860365868,40.54149,-29.14639,91.0426299999997,-0.08498129,0.1290469,0.0840983,17.27214,-77.92242,1.67763
4.870224953,44.76537,-30.69362,98.3376899999999,-0.05344428,0.1808711,0.0745022,17.27214,-77.92242,1.67763
4.880083561,50.97697,-34.08563,104.0389,-0.0385781,0.2437664,0.07194592,17.27214,-77.92242,1.67763
4.89240694,57.8097200000002,-37.77518,109.5561,0.009266491,0.3294681,0.1040937,17.27214,-77.92242,1.67763
4.902266026,61.4745600000003,-39.44144,112.1922,0.046901,0.3687153,0.1000549,13.92134,-78.60295,2.918818
4.912124634,65.8847899999997,-42.65492,115.0121,0.05106463,0.4053031,0.1146803,13.92134,-78.60295,2.918818
4.921983242,70.1707800000002,-44.97577,119.4872,0.08419999,0.5143002,0.1649647,13.92134,-78.60295,2.918818
4.931842804,70.6056000000001,-46.34447,124.6367,0.1144613,0.650006,0.207369,13.92134,-78.60295,2.918818
4.941701412,65.2636300000002,-47.53465,129.2957,0.1392824,0.7286599,0.2311598,13.92134,-78.60295,2.918818
4.95156002,59.6731899999997,-48.48679,131.7478,0.1997327,0.723767,0.211089,8.342551,-78.48563,6.724608
4.961418629,59.6731899999997,-49.02237,132.9739,0.2662338,0.7310481,0.1790546,8.342551,-78.48563,6.724608
4.971277714,59.9216600000003,-50.39108,134.4452,0.3240565,0.7776986,0.1551434,8.342551,-78.48563,6.724608
4.981136322,59.3626099999999,-50.45059,135.6712,0.4025425,0.8268706,0.1060407,8.342551,-78.48563,6.724608
4.99099493,57.4370199999998,-52.5334,137.5716,0.4295864,0.8654479,0.07818721,8.342551,-78.48563,6.724608
5.000854015,54.82815,-56.5205,139.472,0.4412828,0.8811625,0.08869552,2.81806,-78.01248,9.694124
5.010712624,50.60427,-59.13889,139.9624,0.4724836,0.8581096,0.09620267,2.81806,-78.01248,9.694124
5.020571232,48.55445,-60.6861199999999,141.3111,0.5054165,0.7952456,0.1239547,2.81806,-78.01248,9.694124
5.03042984,52.40563,-60.8051399999997,144.8667,0.5423914,0.8088341,0.1566072,2.81806,-78.01248,9.694124
5.040289402,58.3066400000002,-58.0677300000002,148.6675,0.5797336,0.8963324,0.1735854,2.81806,-78.01248,9.694124
