Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
72.823732376,-2.292794,-1.745815,-1.503177,0.9854127,-0.1611333,0.06175717,-53.73733,-9.250466,-18.85139
72.833643913,-2.230856,-1.862319,-1.625903,0.985845,-0.1596933,0.0579215,-53.73733,-9.250466,-18.85139
72.843554497,-1.79729,-2.270082,-1.687266,0.993784,-0.1673401,0.06019792,-53.73733,-9.250466,-18.85139
72.85346508,-0.806281,-2.79435,-1.625903,0.9898758,-0.1688507,0.05878353,-53.73733,-9.250466,-18.85139
72.863375664,0.2466658,-3.08561,-1.319088,0.9888762,-0.1649717,0.06121941,-53.73733,-9.250466,-18.85139
72.873286247,1.237675,-3.260366,-0.950910899999997,0.9883326,-0.1591526,0.06270367,-54.11158,-9.250496,-18.84944
72.883197784,2.414498,-3.726381,-0.5213705,0.9921857,-0.1542561,0.06270066,-54.11158,-9.250496,-18.84944
72.893108368,2.786126,-4.075893,-0.03046724,0.9920828,-0.1489438,0.05889574,-54.11158,-9.250496,-18.84944
72.903018951,2.724188,-4.075893,-0.1531931,0.992008,-0.1402022,0.06183562,-54.11158,-9.250496,-18.84944
72.912929535,2.042869,-4.367153,-0.214556,0.9914029,-0.1329517,0.05900856,-54.11158,-9.250496,-18.84944
72.922840118,1.361551,-4.600161,-0.3372818,0.9876121,-0.139767,0.06283948,-54.12128,-8.501306,-18.85175
72.932751656,0.742170199999999,-4.658412,-0.214556,0.9826571,-0.1383988,0.05809285,-54.12128,-8.501306,-18.85175
72.942662239,0.5563561,-4.600161,-0.1531931,0.981207,-0.1393841,0.05857985,-54.12128,-8.501306,-18.85175
72.955050945,0.680232200000002,-4.483657,0.03089567,0.984109,-0.1383882,0.05663901,-54.12128,-8.501306,-18.85175
72.964961529,0.927984400000002,-4.483657,-0.03046724,0.9817542,-0.1417867,0.06143973,-54.12128,-8.501306,-18.85175
72.974872112,1.05186,-4.658412,0.03089567,0.9787232,-0.1365082,0.05814183,-53.73329,-9.56263,-18.85043
72.984782696,0.927984400000002,-4.600161,0.0922585699999997,0.9768434,-0.1403956,0.06101426,-53.73329,-9.56263,-18.85043
72.994693279,0.804108299999999,-4.541909,0.2763473,0.9811897,-0.1432955,0.05231189,-53.73329,-9.56263,-18.85043
73.004603863,0.927984400000002,-4.541909,0.2763473,0.9914234,-0.1441605,0.04789006,-53.73329,-9.56263,-18.85043
73.0145154,1.299613,-4.192397,0.583161800000002,0.9929693,-0.1499547,0.04879748,-53.73329,-9.56263,-18.85043
73.024425983,1.857055,-3.493374,1.135428,0.9914532,-0.1470718,0.04739023,-54.10108,-9.935424,-18.39761
73.034336567,2.538374,-3.318618,1.503605,0.9909212,-0.1422223,0.04886793,-54.10108,-9.935424,-18.39761
73.04424715,3.033878,-2.736098,1.994509,0.9981588,-0.1382784,0.0440257,-54.10108,-9.935424,-18.39761
73.054158211,3.467444,-2.444838,2.301323,1.003903,-0.1358299,0.03486587,-54.10108,-9.935424,-18.39761
73.064068794,3.095816,-2.095326,2.792227,1.002772,-0.1217755,0.03641044,-54.10108,-9.935424,-18.39761
73.073979855,2.228683,-1.629311,3.160404,1.003869,-0.1221895,0.04744118,-54.47534,-9.935454,-18.39567
73.083890438,0.742170199999999,-1.338051,3.835396,0.9993876,-0.1208229,0.04124967,-54.47534,-9.935454,-18.39567
73.093801022,-0.806281,-0.8720351,4.203574,1.006118,-0.1095775,0.04318297,-54.47534,-9.935454,-18.39567
73.103712082,-2.850237,-0.2895156,4.75584,1.005745,-0.1109869,0.0527802,-54.47534,-9.935454,-18.39567
73.113622665,-4.460626,0.1765001,4.939929,1.007341,-0.1201696,0.0546249,-54.47534,-9.935454,-18.39567
73.123533249,-5.82326300000003,0.700767799999999,4.817203,1.010344,-0.1235114,0.05745582,-54.48019,-9.56086,-18.39682
73.133444309,-6.50458200000001,1.225035,4.633114,1.005594,-0.1352072,0.05742183,-54.48019,-9.56086,-18.39682
73.143354893,-6.62845799999998,1.225035,4.203574,1.002288,-0.1478721,0.05400691,-54.48019,-9.56086,-18.39682
73.153265953,-6.50458200000001,1.108532,3.589944,0.9984033,-0.1513219,0.05257939,-54.48019,-9.56086,-18.39682
73.163176537,-5.699387,0.700767799999999,3.037678,0.991268,-0.1630175,0.05832936,-54.48019,-9.56086,-18.39682
73.17308712,-5.080007,0.409508,2.669501,0.9829221,-0.1626512,0.05552803,-54.12314,-8.123311,-18.01772
73.182997704,-4.088998,-0.1730116,2.730864,0.9845476,-0.1664527,0.06653131,-54.12314,-8.123311,-18.01772
73.192908764,-2.850237,-0.4060195,3.037678,0.9874309,-0.1605886,0.06846435,-54.12314,-8.123311,-18.01772
73.202819824,-1.673414,-0.813783199999999,3.099041,0.9908615,-0.157127,0.07325726,-54.12314,-8.123311,-18.01772
73.212730408,-0.744343000000003,-0.639027300000002,2.914952,0.9863948,-0.1528262,0.07188675,-54.12314,-8.123311,-18.01772
73.225119114,0.0608516599999998,-0.1147597,2.485412,0.9853824,-0.1499296,0.07191541,-54.48908,-8.874102,-18.39894
73.235029697,0.3086039,0.409508,2.178597,0.992296,-0.1556621,0.07181329,-54.48908,-8.874102,-18.39894
73.244940281,0.5563561,0.2347521,1.81042,0.9937274,-0.1551744,0.06892234,-54.48908,-8.874102,-18.39894
73.254850864,0.804108299999999,-0.1147597,1.564968,0.9956562,-0.1619932,0.0582956,-54.48908,-8.874102,-18.39894
73.264761448,1.237675,-0.3477675,1.871783,0.9908499,-0.1615233,0.06698602,-54.48908,-8.874102,-18.39894
73.274672985,1.918993,-0.639027300000002,2.362686,0.9931861,-0.1586224,0.05978137,-53.74218,-8.875872,-18.85254
73.284583569,2.228683,-0.6972793,2.608138,0.9970212,-0.1493449,0.06316882,-53.74218,-8.875872,-18.85254
73.294494152,2.166745,-0.4642715,2.914952,0.9989682,-0.142008,0.07088222,-53.74218,-8.875872,-18.85254
73.304404736,1.671241,-0.05650773,2.976315,0.9958929,-0.1367524,0.06326314,-53.74218,-8.875872,-18.85254
73.314315319,0.618294100000002,0.293004,2.792227,0.993848,-0.1334087,0.05850276,-53.74218,-8.875872,-18.85254
73.324226856,-0.6204669,0.817271699999998,2.914952,0.9894705,-0.1349151,0.05901335,-53.74889,-8.123281,-18.01967
73.33413744,-1.611476,0.9920276,2.914952,0.986122,-0.1402853,0.05996886,-53.74889,-8.123281,-18.01967
73.344048023,-2.045042,1.108532,3.099041,0.9885557,-0.1451385,0.05319181,-53.74889,-8.123281,-18.01967
