Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
8.30088377,-6.56652,-9.26031799999999,-13.59167,0.1553418,-0.6501222,0.511763,-18.93988,23.49804,-42.19996
8.31079483,-8.98210400000001,-12.40592,-15.18711,0.1497622,-0.6729727,0.5131029,-18.93988,23.49804,-42.19996
8.320706368,-9.29179500000003,-13.10495,-16.59845,0.0993443,-0.6916807,0.4860755,-18.93988,23.49804,-42.19996
8.330618382,-8.11497100000001,-14.15348,-19.78932,0.06641009,-0.6819375,0.4806831,-18.93503,23.12344,-42.19881
8.340529442,-8.053034,-17.00783,-23.65519,0.06501153,-0.6421686,0.4862427,-18.93503,23.12344,-42.19881
8.350441456,-10.65443,-20.6777,-28.62558,0.09102543,-0.6083824,0.4876677,-18.93503,23.12344,-42.19881
8.362830639,-15.79529,-25.22136,-34.63915,0.1355446,-0.6122031,0.4853099,-18.93503,23.12344,-42.19881
8.372742176,-19.82126,-28.65822,-39.11864,0.1682878,-0.642773,0.4953669,-18.93503,23.12344,-42.19881
8.38265419,-22.4846,-32.5611,-41.69588,0.2215997,-0.6869669,0.5401945,-19.3047,23.12864,-40.91197
8.39256525,-23.7853,-33.60964,-41.75724,0.2621594,-0.7459747,0.5639143,-19.3047,23.12864,-40.91197
8.402476788,-21.36971,-32.03683,-42.06406,0.2443062,-0.7807113,0.5465623,-19.3047,23.12864,-40.91197
8.412388802,-16.29079,-32.03683,-43.84358,0.1833804,-0.7772337,0.5221807,-19.3047,23.12864,-40.91197
8.422299862,-12.63645,-33.20187,-46.91173,0.1719665,-0.7386858,0.5033367,-19.3047,23.12864,-40.91197
8.432211399,-12.51257,-35.12419,-50.96168,0.2050734,-0.6942016,0.4937238,-20.41964,22.75735,-40.0698
8.442123413,-15.23785,-36.05622,-56.30025,0.2436365,-0.6525365,0.488363,-20.41964,22.75735,-40.0698
8.452034474,-19.51157,-36.23098,-63.0501699999998,0.2786731,-0.6414515,0.4847517,-20.41964,22.75735,-40.0698
8.461946488,-24.46662,-38.91056,-69.8614499999999,0.3200457,-0.6432202,0.5117263,-20.41964,22.75735,-40.0698
8.471857548,-30.84624,-44.79401,-73.1136899999998,0.3939674,-0.6551719,0.5536971,-20.41964,22.75735,-40.0698
8.481769085,-35.6774,-47.70661,-71.7023399999999,0.4416424,-0.7210311,0.5480158,-23.34188,22.38775,-38.76851
8.491681099,-35.1819,-44.4445,-67.3455700000001,0.3879887,-0.8033389,0.512432,-23.34188,22.38775,-38.76851
8.501592159,-29.35972,-39.78434,-65.3205899999998,0.2832385,-0.8334883,0.4666246,-23.34188,22.38775,-38.76851
8.511504173,-20.87421,-38.44455,-66.7319399999997,0.2596623,-0.8140858,0.4314401,-23.34188,22.38775,-38.76851
8.521415711,-15.9811,-40.83288,-70.4750800000003,0.3016892,-0.7577222,0.4472722,-23.34188,22.38775,-38.76851
8.531326771,-17.40568,-42.17268,-76.1204700000001,0.3664653,-0.7072847,0.4811004,-25.57314,21.64361,-37.46963
8.541238785,-22.9801,-42.11442,-83.54538,0.4367119,-0.6620979,0.517724,-25.57314,21.64361,-37.46963
8.551150322,-30.7843,-41.82316,-90.3566699999997,0.5307575,-0.6515681,0.5457338,-25.57314,21.64361,-37.46963
8.561061382,-37.34973,-43.45422,-92.3816399999997,0.6087353,-0.6685221,0.5482609,-25.57314,21.64361,-37.46963
8.570973396,-41.80927,-45.20178,-89.0066800000002,0.6697224,-0.7187972,0.523834,-25.57314,21.64361,-37.46963
8.580884933,-41.31377,-45.95905,-83.6067399999998,0.6488895,-0.7896922,0.4596934,-28.17056,20.14841,-36.61621
8.590796471,-34.87221,-46.89108,-80.6613199999999,0.5273813,-0.8176801,0.4034919,-28.17056,20.14841,-36.61621
8.600708008,-26.20088,-47.59011,-82.6249399999998,0.4161185,-0.7921411,0.3600363,-28.17056,20.14841,-36.61621
8.610619068,-21.43165,-49.62893,-86.2453499999999,0.3825168,-0.757131,0.3668223,-28.17056,20.14841,-36.61621
8.620531082,-23.7853,-52.71628,-90.5407599999999,0.4144588,-0.6954349,0.4067911,-28.17056,20.14841,-36.61621
8.630442619,-32.39468,-54.11433,-97.0452199999999,0.5063841,-0.6537956,0.4551945,-30.76178,18.66028,-34.02818
8.642831802,-43.54353,-52.36677,-103.9179,0.679477,-0.6252862,0.4878749,-30.76178,18.66028,-34.02818
8.652743816,-49.11796,-47.18234,-104.4701,0.8029921,-0.6333447,0.5068455,-30.76178,18.66028,-34.02818
