Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
6.083502293,11.16633,0.1229023,38.97114,-0.3938669,-0.2950147,0.1788489,-3.607178,37.26909,-25.73485
6.093499661,5.44374,0.1229023,31.65465,-0.4045914,-0.3203508,0.1946672,-3.607178,37.26909,-25.73485
6.103497505,0.2134152,-0.1738595,24.58204,-0.4226354,-0.3454684,0.197098,-3.607178,37.26909,-25.73485
6.113494873,-6.001441,1.547359,16.77778,-0.4413911,-0.3280658,0.3866423,-3.607178,37.26909,-25.73485
6.123492718,-5.75530800000001,-2.666659,13.60731,-0.4491091,-0.4135802,0.2454979,-1.714075,36.51535,-26.55539
6.133490086,-4.216978,-4.269173,6.59566799999998,-0.4792955,-0.4688749,0.162771,-1.714075,36.51535,-26.55539
6.143487453,-3.170913,-4.031764,1.230241,-0.4430897,-0.4762715,0.1789814,-1.714075,36.51535,-26.55539
6.153485298,-3.109379,-4.328525,-3.464507,-0.4382919,-0.472298,0.1780149,-1.714075,36.51535,-26.55539
6.163482666,-5.632242,-5.218811,-7.244694,-0.4365556,-0.4611572,0.1703518,-1.714075,36.51535,-26.55539
6.173480511,-12.0317,-5.574925,-10.90294,-0.4248255,-0.4627771,0.1803818,-1.349169,36.90234,-26.10314
6.183477879,-19.66182,-5.75298199999998,-15.17089,-0.4320621,-0.4925449,0.1823164,-1.349169,36.90234,-26.10314
6.193475246,-25.38441,-5.99039199999999,-19.37788,-0.4263904,-0.5352659,0.1746603,-1.349169,36.90234,-26.10314
6.203473091,-29.4456,-6.46521000000002,-22.91418,-0.4275344,-0.5780032,0.1799376,-1.349169,36.90234,-26.10314
6.213470459,-30.79933,-7.17743899999998,-26.38951,-0.4289026,-0.6348897,0.1794761,-1.349169,36.90234,-26.10314
6.223468304,-28.8918,-8.12707699999999,-29.37708,-0.4199277,-0.6716221,0.1818628,-1.725605,36.90279,-25.71892
6.233465672,-25.07674,-8.77995300000002,-31.99882,-0.4137397,-0.6893173,0.1995639,-1.725605,36.90279,-25.71892
6.243463039,-21.26168,-8.66124800000001,-35.23027,-0.397949,-0.6739763,0.1957038,-1.725605,36.90279,-25.71892
6.253461361,-20.52328,-8.66124800000001,-39.37629,-0.4154697,-0.6489745,0.2043423,-1.725605,36.90279,-25.71892
6.263458252,-20.89248,-8.72059999999997,-40.29085,-0.3666382,-0.6806731,0.1927795,-1.725605,36.90279,-25.71892
