Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
12.966938972,2.736278,-25.33926,-10.23226,-0.2981468,-0.07234378,0.1963321,-3.038233,14.6861,-49.93215
12.976936817,-8.89350299999999,-34.89499,-18.52429,-0.3112012,-0.1021379,0.2609702,-3.038233,14.6861,-49.93215
12.986934185,-13.5085,-42.72951,-24.49942,-0.3214975,-0.226487,0.3418996,-3.038233,14.6861,-49.93215
12.99693203,-8.33970399999999,-48.72409,-29.37708,-0.3148369,-0.3200183,0.4084341,-3.019121,13.91885,-50.7021
13.006930351,0.8287475,-53.17552,-32.60853,-0.2984051,-0.3378261,0.4447818,-3.019121,13.91885,-50.7021
13.016927719,7.16667,-57.3895400000002,-34.68154,-0.2707936,-0.3025594,0.4686534,-3.019121,13.91885,-50.7021
13.026925564,7.41280299999999,-60.9506899999998,-34.86445,-0.2189237,-0.2364931,0.4604101,-3.019121,13.91885,-50.7021
13.036922932,0.5210813,-64.5711799999999,-35.04736,-0.1564159,-0.1672667,0.4028542,-3.019121,13.91885,-50.7021
13.046920776,-11.53943,-70.6844799999999,-36.99842,-0.1205407,-0.1323719,0.3683253,-4.535509,14.67158,-50.33028
13.056918144,-28.8918,-78.2815799999998,-43.64424,-0.09925938,-0.2012788,0.3860132,-4.535509,14.67158,-50.33028
13.066915989,-39.84472,-83.2078200000001,-51.4485,-0.08710901,-0.3277983,0.4468038,-4.535509,14.67158,-50.33028
13.07691431,-41.56765,-84.27617,-57.8504299999998,-0.07641862,-0.4014746,0.5501765,-4.535509,14.67158,-50.33028
13.086911201,-40.52159,-81.9020800000002,-62.3622600000001,-0.03524313,-0.4646904,0.6156859,-4.535509,14.67158,-50.33028
13.096909523,-41.07539,-79.4686299999999,-63.33779,-0.009745983,-0.4207712,0.6338161,-8.27426,13.89636,-48.74152
13.106906891,-46.24417,-78.81575,-62.1793500000002,0.02074132,-0.3574122,0.6414038,-8.27426,13.89636,-48.74152
13.116904736,-56.76636,-80.0621500000001,-61.81353,0.06093528,-0.2934291,0.5901096,-8.27426,13.89636,-48.74152
13.126902103,-74.9801900000002,-85.0477399999999,-63.0329399999997,0.09549268,-0.3192426,0.5091767,-8.27426,13.89636,-48.74152
13.136899948,-90.7327000000001,-90.0927000000003,-66.93507,0.1259995,-0.4409499,0.4191826,-8.27426,13.89636,-48.74152
13.146897793,-92.2710299999998,-96.2653400000001,-72.3004899999997,0.1763365,-0.6025431,0.4942729,-12.05232,15.02293,-47.1629
13.156895161,-79.3490500000002,-97.7491500000003,-76.0197100000001,0.2280876,-0.7353149,0.5827534,-12.05232,15.02293,-47.1629
13.166893482,-61.5659499999998,-92.4074400000001,-76.6903899999998,0.241981,-0.7463688,0.6722257,-12.05232,15.02293,-47.1629
13.176890373,-53.99736,-86.5315599999998,-74.19059,0.18503,-0.6964778,0.724477,-12.05232,15.02293,-47.1629
13.186888695,-54.9819,-80.8337300000002,-69.3738900000001,0.1648404,-0.6331307,0.7340673,-12.05232,15.02293,-47.1629
13.196886063,-63.2888800000001,-77.8661099999999,-65.9595300000003,0.1810639,-0.5643328,0.6765922,-16.62624,18.05926,-43.98748
13.206883907,-78.1183899999998,-78.9344599999998,-65.2278800000001,0.2473717,-0.5167637,0.5807492,-16.62624,18.05926,-43.98748
13.216881752,-96.9475599999998,-82.3175399999998,-68.9470999999999,0.2921173,-0.5662178,0.4964545,-16.62624,18.05926,-43.98748
13.22687912,-109.9926,-90.8049299999997,-74.9832100000002,0.1409117,-0.7155096,0.439806,-16.62624,18.05926,-43.98748
13.236876965,-104.3315,-104.2779,-82.1777600000003,0.2650864,-0.9139876,0.6258067,-16.62624,18.05926,-43.98748
13.246874332,-76.0877900000002,-113.0621,-89.0674499999998,0.2768918,-1.151755,0.6909338,-22.22092,19.18258,-41.19679
13.256872654,-37.50646,-111.2221,-92.2379299999998,0.3575264,-1.189212,0.7247818,-22.22092,19.18258,-41.19679
13.266869545,-9.63190200000001,-100.4794,-89.4942500000003,0.4725448,-0.9814291,0.7728639,-22.22092,19.18258,-41.19679
13.276867867,0.2749484,-86.2347899999999,-82.48261,0.5246677,-0.7215722,0.7530844,-22.22092,19.18258,-41.19679
13.286865711,-6.30910700000001,-76.2042500000001,-76.5684400000002,0.4464369,-0.5288835,0.6316129,-26.41759,21.85173,-36.79105
13.296863079,-28.95334,-75.1952599999999,-73.9467,0.3581835,-0.4502425,0.5479957,-26.41759,21.85173,-36.79105
13.306860924,-63.2888800000001,-80.1808500000003,-75.5319400000002,0.3682007,-0.5174116,0.5144952,-26.41759,21.85173,-36.79105
13.316858292,-91.5941699999997,-85.0477399999999,-78.39757,0.4388345,-0.6985073,0.4857042,-26.41759,21.85173,-36.79105
13.326856136,-106.8544,-89.1430600000002,-82.9703799999998,0.4972931,-0.930284,0.5205981,-26.41759,21.85173,-36.79105
13.336853504,-104.4546,-94.3067200000002,-89.9210399999999,0.477997,-1.173311,0.5561088,-31.27359,20.32425,-33.20707
13.346851826,-80.4566500000003,-100.3013,-96.44492,0.4432237,-1.343981,0.619864,-31.27359,20.32425,-33.20707
13.35684967,-45.19811,-99.52972,-98.5179199999999,0.488418,-1.309981,0.6795985,-31.27359,20.32425,-33.20707
13.366847038,-19.84642,-90.9829900000002,-95.2255,0.5808144,-1.065215,0.7291463,-31.27359,20.32425,-33.20707
13.376844883,-10.24723,-78.1035199999999,-90.2258999999999,0.6609886,-0.7677056,0.7274942,-31.27359,20.32425,-33.20707
13.386842251,-15.60063,-67.4201000000001,-85.2872600000001,0.6330813,-0.5552146,0.6432588,-35.41353,20.32764,-29.17414
13.396840096,-31.4762,-63.5028400000002,-82.7264899999998,0.6081091,-0.4471607,0.5571308,-35.41353,20.32764,-29.17414
13.40683794,-53.38203,-65.75823,-81.4461100000001,0.6344112,-0.4738811,0.5010984,-35.41353,20.32764,-29.17414
13.416835308,-72.9496000000003,-69.4380700000001,-82.7874599999997,0.7151703,-0.6487744,0.4909526,-35.41353,20.32764,-29.17414
13.42683363,-81.1950499999999,-71.8715199999997,-84.8604699999999,0.7512094,-0.8813846,0.4832924,-35.41353,20.32764,-29.17414
