Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
14.919093609,-3.601645,1.07254,-16.75613,-0.1289949,-0.05331858,0.05150229,3.725683,57.59768,-12.62634
14.929090977,-11.6625,2.675054,-26.6334,-0.1410339,-0.1136167,0.01995279,3.725683,57.59768,-12.62634
14.939088821,-14.24689,3.802749,-35.90095,-0.1321241,-0.1726335,0.03000255,3.725683,57.59768,-12.62634
14.949086666,-12.7701,5.523968,-46.0221,-0.1333227,-0.1860354,0.05489404,3.725683,57.59768,-12.62634
14.959084511,-12.83163,7.423244,-55.65548,-0.1168038,-0.2080614,0.1079929,4.100426,57.60049,-12.62356
14.969081879,-17.32355,10.33151,-61.6306200000001,-0.07040193,-0.2403992,0.08494864,4.100426,57.60049,-12.62356
14.9790802,-28.338,12.05273,-65.2888599999997,-0.06718193,-0.2316159,0.02894737,4.100426,57.60049,-12.62356
14.989078045,-44.52124,13.35848,-70.2274899999999,-0.0531875,-0.2510754,-0.003615188,4.100426,57.60049,-12.62356
14.99907589,-59.1661499999998,14.48618,-77.7878600000002,-0.05693908,-0.4143513,0.004569187,4.100426,57.60049,-12.62356
15.009073257,-62.4274200000001,16.91962,-83.7629899999997,-0.1343999,-0.415444,-0.0005598332,2.58823,57.97994,-11.4112
15.019071102,-59.5353500000002,17.45379,-89.6161900000002,-0.08634413,-0.5869117,0.009450641,2.58823,57.97994,-11.4112
15.029069424,-50.98223,16.74156,-94.9816099999999,-0.1043257,-0.6411144,0.01954604,2.58823,57.97994,-11.4112
15.039067268,-40.33699,17.39444,-101.5665,-0.09939386,-0.6693892,0.0520879,2.58823,57.97994,-11.4112
15.049064636,-31.59927,19.11566,-107.5416,-0.05242867,-0.6806284,-0.003027329,2.58823,57.97994,-11.4112
15.059062481,-31.41467,19.53113,-111.8095,0.002585112,-0.6548174,-0.1155953,-0.8030338,58.3557,-8.987246
15.069060326,-44.89045,18.46278,-115.041,0.03427272,-0.6300609,-0.1338428,-0.8030338,58.3557,-8.987246
15.079058647,-66.0578799999999,17.86926,-120.5284,0.01236591,-0.7077882,-0.08401264,-0.8030338,58.3557,-8.987246
15.089056015,-76.45699,19.11566,-123.8208,0.008649115,-0.9002471,-0.1318142,-0.8030338,58.3557,-8.987246
15.09905386,-72.2112,20.12465,-121.9307,0.06481312,-1.037426,-0.1625057,-0.8030338,58.3557,-8.987246
15.109051704,-58.9815600000002,20.24335,-119.7967,0.04505955,-1.050285,-0.197404,-5.987854,57.95332,-7.024172
