Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-2.352468,-8.449501,-1.51502,0.9942904,0.1412821,0.03772568,-54.91618,-12.54947,14.19804
0.027179241,-4.65269,-7.213809,-1.698295,1.010216,0.1333679,0.06423444,-55.66275,-12.16752,13.78646
0.029649735,-4.528353,-7.272651,-1.637203,1.011177,0.1314398,0.06568804,-55.66275,-12.16752,13.78646
0.039533138,-4.279681,-7.154966,-1.392838,1.014578,0.1289264,0.06089539,-55.66275,-12.16752,13.78646
0.049416542,-4.466185,-6.743068,-1.637203,1.002461,0.134314,0.06133531,-55.66275,-12.16752,13.78646
0.059299946,-4.714858,-6.978438,-1.51502,0.9985858,0.1263076,0.04646281,-55.30648,-12.52963,14.96769
0.069182873,-4.528353,-6.860754,-2.492483,1.004364,0.1146453,0.04893292,-55.30648,-12.52963,14.96769
0.081537247,-2.165963,-5.683904,-3.103397,1.016962,0.1127661,0.05520872,-55.30648,-12.52963,14.96769
0.091420174,0.1964268,-3.977472,-3.653219,1.022312,0.1231396,0.06574264,-55.30648,-12.52963,14.96769
0.101303577,1.43979,-1.388402,-4.203042,1.02526,0.1398267,0.07479917,-54.92285,-12.54232,14.58715
0.111186981,0.1964268,0.2003446,-5.058321,1.01856,0.160635,0.06506798,-54.92285,-12.54232,14.58715
0.121070385,-2.352468,0.4945571,-5.852509,1.019081,0.1743477,0.07028941,-54.92285,-12.54232,14.58715
0.130953312,-6.33123,1.024139,-6.219058,1.006944,0.1733906,0.06979952,-54.92285,-12.54232,14.58715
0.140836716,-9.688311,1.024139,-6.402331,0.9982225,0.172813,0.06257871,-54.92285,-12.54232,14.58715
0.15072012,-11.05601,-0.1527103,-6.34124,1.010336,0.1515195,0.04057772,-55.30092,-12.53559,14.64343
0.160603523,-10.37216,-0.2703952,-7.501976,1.015653,0.1407026,0.03438645,-55.30092,-12.53559,14.64343
0.17048645,-8.569283,1.318352,-8.235073,1.015162,0.1347667,0.02816392,-55.30092,-12.53559,14.64343
0.180369854,-5.833885,2.554044,-9.334719,1.003982,0.1329058,0.0324889,-55.30092,-12.53559,14.64343
0.190253258,-4.093176,2.377517,-10.12891,0.9995852,0.122144,0.02869091,-55.30092,-12.53559,14.64343
0.200137138,-3.098486,1.024139,-9.334719,1.000543,0.1212257,0.03254401,-54.99482,-13.28916,15.0503
0.210020542,-3.471495,1.082982,-9.151444,1.012151,0.1209675,0.04939075,-54.99482,-13.28916,15.0503
0.219903469,-4.217513,2.083304,-9.212536,1.016958,0.1127949,0.05713225,-54.99482,-13.28916,15.0503
0.229786873,-5.212203,3.024784,-9.029262,1.004422,0.1282151,0.04453613,-54.99482,-13.28916,15.0503
0.239670277,-6.33123,1.906777,-8.479439,0.9908745,0.1279687,0.02624697,-54.99482,-13.28916,15.0503
0.24955368,-6.206894,0.4357146,-7.929616,0.9971762,0.1319884,0.03537132,-54.98273,-13.99659,14.28179
0.259437084,-5.64738,0.4945571,-7.563068,1.00352,0.1476877,0.04395578,-54.98273,-13.99659,14.28179
0.269320011,-5.460876,1.024139,-7.624159,1.004058,0.1622808,0.0429208,-54.98273,-13.99659,14.28179
0.279203415,-6.020389,0.4945571,-7.685251,1.011861,0.1704932,0.03952173,-54.98273,-13.99659,14.28179
0.291557312,-7.761098,-0.1527103,-7.379794,1.016675,0.1672476,0.05108571,-54.98273,-13.99659,14.28179
0.301440716,-8.693621,0.4945571,-6.891063,1.018023,0.1470302,0.06705981,-54.59911,-14.00927,13.90125
0.31132412,-8.507115,1.318352,-6.280149,1.002942,0.1368269,0.06661329,-54.59911,-14.00927,13.90125
0.321207047,-7.01508,2.083304,-5.302687,0.9873315,0.1159548,0.06910563,-54.59911,-14.00927,13.90125
0.33109045,-5.025699,3.260154,-4.386316,0.9732354,0.1081484,0.06624352,-54.59911,-14.00927,13.90125
0.340973854,-2.974149,4.260476,-3.164488,0.9490185,0.121802,0.0642233,-54.59911,-14.00927,13.90125
0.350857258,-1.419945,4.907743,-1.820477,0.9398865,0.1481226,0.06456083,-54.9841,-14.75271,14.2924
0.360740185,-1.917291,4.790059,-0.843015,0.9458722,0.1978516,0.06912556,-54.9841,-14.75271,14.2924
