Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
8.168341637,4.48603,-7.39033600000002,10.45889,-0.2236558,0.3933755,0.4505827,19.57193,-55.37992,-23.10501
8.178227902,9.33514699999999,-10.50899,12.23054,-0.2245115,0.5363877,0.4070571,20.63331,-55.38842,-22.69159
8.188113689,16.91966,-15.68713,13.69674,-0.1848921,0.6214754,0.4033057,20.63331,-55.38842,-22.69159
8.197999477,22.76347,-20.10031,16.14039,-0.1969996,0.6332723,0.4090033,20.63331,-55.38842,-22.69159
8.207885742,26.74223,-27.2791,19.50042,-0.1907306,0.6315278,0.4234469,20.63331,-55.38842,-22.69159
8.217772484,29.10462,-33.16334,24.6321,-0.1496198,0.6124647,0.4567735,20.63331,-55.38842,-22.69159
8.227658272,30.34799,-36.45852,31.04669,-0.1167023,0.5890692,0.4598148,20.62485,-55.75812,-22.23231
8.23754406,31.34268,-38.81222,37.52238,-0.1297565,0.5967351,0.4496618,20.62485,-55.75812,-22.23231
8.247430325,34.32675,-45.04952,43.38715,-0.1564228,0.6045647,0.4486301,20.62485,-55.75812,-22.23231
8.257316113,37.37299,-56.70034,44.91444,-0.1148503,0.5756969,0.4776785,20.62485,-55.75812,-22.23231
8.267202854,37.80817,-62.8199499999999,43.87589,-0.100374,0.5448538,0.4687133,20.62485,-55.75812,-22.23231
8.277088642,37.31082,-65.7620799999998,45.58644,-0.07206438,0.5587306,0.4234688,18.78911,-55.33784,-21.436
8.28697443,41.22741,-65.9974499999999,48.7021,-0.02376577,0.5953969,0.3742845,18.78911,-55.33784,-21.436
8.296860695,47.5064,-66.46819,53.52832,-0.0007402427,0.6482493,0.3620206,18.78911,-55.33784,-21.436
8.306746483,53.10153,-69.4103100000003,60.0651000000002,0.007119661,0.683968,0.374353,18.78911,-55.33784,-21.436
8.316633225,57.6398099999998,-72.8820200000001,66.11315,0.02840779,0.6873438,0.4075437,18.78911,-55.33784,-21.436
8.326519013,60.62388,-79.0016399999998,70.6950100000002,0.03848335,0.6726382,0.4350419,16.18133,-57.5386,-19.84149
