Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
10.892957211,10.26767,-3.447889,16.0793,-0.215873,0.5459481,0.4613627,26.59893,-53.38942,-22.19579
10.902843952,14.61944,-7.74339099999999,18.64514,-0.2331211,0.6142271,0.4658073,26.59893,-53.38942,-22.19579
10.912731171,16.29798,-12.33311,20.23351,-0.2392998,0.659691,0.4766316,26.59893,-53.38942,-22.19579
10.922618389,18.10086,-17.09935,22.73826,-0.2262903,0.6428521,0.492121,26.59893,-53.38942,-22.19579
10.932505131,19.90373,-21.336,25.73174,-0.1997628,0.6154965,0.5225875,25.53213,-52.68066,-22.22983
10.942392349,20.58758,-23.98392,28.78631,-0.171329,0.5699474,0.5416058,25.53213,-52.68066,-22.22983
10.952279091,22.14179,-25.33729,31.90197,-0.174322,0.5500602,0.5465121,25.53213,-52.68066,-22.22983
10.962166309,22.7013,-25.80803,35.13982,-0.161571,0.5750833,0.5281252,25.53213,-52.68066,-22.22983
10.972053528,25.12586,-26.33762,37.95002,-0.1735063,0.6136602,0.5009851,25.53213,-52.68066,-22.22983
10.981940269,29.29113,-29.51511,40.69913,-0.1825476,0.6687682,0.5050247,25.13811,-54.10884,-21.37499
10.991827488,29.22896,-30.69196,42.89842,-0.1600867,0.7256054,0.5312136,25.13811,-54.10884,-21.37499
11.00171423,25.56104,-28.51479,45.40317,-0.1406191,0.7550931,0.5517663,25.13811,-54.10884,-21.37499
11.011601448,20.09024,-25.51382,49.06865,-0.1129536,0.7500683,0.5450903,25.13811,-54.10884,-21.37499
11.021488667,16.42232,-24.27813,53.7116,-0.1193498,0.7262419,0.5466462,25.13811,-54.10884,-21.37499
11.033847332,22.32829,-33.1045,56.64399,-0.1000908,0.6749375,0.5377899,22.53861,-54.80334,-20.12595
11.043734074,28.29644,-39.28296,55.05561,-0.08863956,0.6149553,0.5337777,22.53861,-54.80334,-20.12595
11.053621292,29.5398,-38.81222,53.95596,-0.04497125,0.5846115,0.4969498,22.53861,-54.80334,-20.12595
11.063508511,33.33206,-37.98843,56.58289,-0.01378542,0.6031886,0.4733262,22.53861,-54.80334,-20.12595
11.073395252,39.48671,-35.69357,60.3094699999997,-0.006310211,0.6755948,0.4965339,22.53861,-54.80334,-20.12595
11.083282471,42.15993,-33.1045,61.2869300000001,-0.004751605,0.727196,0.5280157,19.20088,-55.44048,-19.8029
11.093169212,40.73007,-28.98553,63.1807700000001,-0.02013766,0.7715892,0.5311404,19.20088,-55.44048,-19.8029
11.103056431,37.31082,-26.57299,64.7080500000002,-0.0238084,0.8249955,0.5198051,19.20088,-55.44048,-19.8029
11.112943649,32.58604,-25.86688,67.0295299999997,-0.01244147,0.8744479,0.5065833,19.20088,-55.44048,-19.8029
11.122830391,26.30705,-27.33794,68.2513499999999,0.03711285,0.8959556,0.518554,19.20088,-55.44048,-19.8029
11.132717609,23.50949,-29.10321,68.9233600000001,0.07001363,0.8627133,0.5144311,16.59199,-57.64005,-18.14354
11.142604351,24.44201,-32.63376,70.6339199999998,0.102368,0.8333408,0.5410669,16.59199,-57.64005,-18.14354
11.15249157,26.05838,-35.81125,69.2899099999998,0.09244331,0.7909401,0.5701252,16.59199,-57.64005,-18.14354
11.162378788,27.36391,-35.34052,67.1517099999999,0.0782808,0.7586712,0.5596918,16.59199,-57.64005,-18.14354
11.17226553,26.8044,-30.98617,65.0135100000001,0.07613783,0.7971909,0.497456,16.59199,-57.64005,-18.14354
11.182152748,24.00683,-30.80964,63.2418599999999,0.0551537,0.8615635,0.4355489,12.49786,-59.02105,-17.76218
11.19203949,22.39046,-35.92894,60.5538300000001,0.05294305,0.8806053,0.3734114,12.49786,-59.02105,-17.76218
11.201926708,21.83095,-39.04759,57.6214500000002,0.1132043,0.8959394,0.3647459,12.49786,-59.02105,-17.76218
11.211813927,23.63382,-41.51897,56.39962,0.1194168,0.8816133,0.3845431,12.49786,-59.02105,-17.76218
11.221700668,26.12055,-45.57911,55.66652,0.1520386,0.8152987,0.4483968,12.49786,-59.02105,-17.76218
11.231587887,35.1971,-41.40129,58.59891,0.1763011,0.8342007,0.478146,8.775269,-59.70732,-16.99286
11.241474629,43.58981,-40.87171,57.3159899999997,0.1961498,0.8474261,0.5184991,8.775269,-59.70732,-16.99286
11.253833771,46.1387,-40.81287,52.3065,0.2190358,0.8688138,0.518898,8.775269,-59.70732,-16.99286
11.263720512,39.17587,-37.4,46.93045,0.2165286,0.942896,0.4574438,8.775269,-59.70732,-16.99286
11.273607731,28.3586,-37.4,41.31005,0.1964551,0.9852534,0.3889161,8.775269,-59.70732,-16.99286
