Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
177.382708073,0.789059599999997,-0.002337579,-0.9500259,0.9850911,0.06998098,0.1837083,-51.90157,-5.95962,8.998386
177.392839909,0.291252,0.05656894,-0.888966700000001,0.9840805,0.0733827,0.1861258,-51.17001,-6.313496,9.832569
177.402971268,-0.3310075,-0.1790571,-0.8279076,0.9772305,0.0786351,0.1841892,-51.17001,-6.313496,9.832569
177.413103104,-1.202171,0.05656894,-0.5226117,0.9855037,0.07632386,0.1890311,-51.17001,-6.313496,9.832569
177.423235417,-2.44669,0.174382,-0.2783751,0.9810553,0.08262879,0.1943412,-51.17001,-6.313496,9.832569
177.433366776,-4.873502,0.645634099999999,-0.1562568,0.984515,0.07683962,0.1933726,-51.17001,-6.313496,9.832569
177.443498612,-8.91818900000002,0.940166700000002,0.4543349,0.9825357,0.08069137,0.1928932,-51.1664,-6.319678,9.453466
177.453630447,-13.0251,1.234699,0.4543349,0.9815665,0.07692201,0.2049463,-51.1664,-6.319678,9.453466
177.463761807,-14.26962,1.941577,0.759630700000001,0.9826453,0.06250858,0.2155342,-51.1664,-6.319678,9.453466
177.473893643,-15.45191,2.589549,1.5534,0.9759128,0.05424206,0.2169467,-51.1664,-6.319678,9.453466
177.484025955,-15.8875,3.41424,3.201997,0.9808972,0.0379277,0.2280231,-51.1664,-6.319678,9.453466
177.494157314,-14.89188,4.121119,5.705423,0.9814517,0.03020202,0.2294556,-51.14983,-6.991511,9.021877
177.50428915,-14.08294,4.592371,8.208849,0.9921749,0.02831478,0.2256188,-51.14983,-6.991511,9.021877
177.51188755,-14.14517,4.886903,10.10168,0.9932207,0.02292044,0.216924,-51.14983,-6.991511,9.021877
177.522019863,-15.26524,5.063623,12.66617,0.9971149,0.02058819,0.2232022,-51.14983,-6.991511,9.021877
177.532151699,-15.94972,5.240342,14.559,0.9918194,0.01709333,0.2159428,-51.14983,-6.991511,9.021877
177.542283058,-15.8875,5.593781,16.2076,0.9995353,0.02486161,0.212119,-51.15605,-6.68838,9.080198
177.552414894,-15.57637,6.00612699999997,17.18455,1.00482,0.03073661,0.2150405,-51.15605,-6.68838,9.080198
177.56254673,-14.82965,7.53769600000003,17.18455,1.007239,0.03079502,0.2193898,-51.15605,-6.68838,9.080198
177.572678089,-12.83842,10.01177,16.75713,1.013575,0.02891306,0.2198847,-51.15605,-6.68838,9.080198
177.582810402,-10.10048,12.72147,16.57395,1.007274,0.024583,0.2280624,-51.15605,-6.68838,9.080198
177.592942238,-7.67366999999998,15.07773,16.57395,0.9989784,0.02649797,0.2328707,-51.5249,-6.330697,8.628595
177.603073597,-6.304699,17.31618,17.06243,1.004238,0.03339338,0.2415849,-51.5249,-6.330697,8.628595
177.613205433,-5.682439,18.90665,17.48984,1.004666,0.03593504,0.2546203,-51.5249,-6.330697,8.628595
177.623337269,-6.180247,20.73276,18.28361,1.01625,0.04286225,0.2614208,-51.5249,-6.330697,8.628595
177.633468628,-6.98918399999998,22.61776,18.83314,1.023438,0.04842186,0.2812357,-51.5249,-6.330697,8.628595
177.643600941,-8.10925100000002,24.50277,19.44374,1.036653,0.03650095,0.2894475,-51.5441,-4.894008,7.783871
177.653732777,-9.10486700000003,26.91794,20.97021,1.045464,0.02464228,0.3082642,-51.5441,-4.894008,7.783871
177.663864613,-10.34939,29.21529,21.51975,1.051848,0.0183832,0.306337,-51.5441,-4.894008,7.783871
177.673995972,-12.40284,31.86609,22.00822,1.042112,0.02210414,0.2981166,-51.5441,-4.894008,7.783871
177.684127808,-15.57637,33.57438,21.5808,1.0179,0.01222738,0.2970678,-51.5441,-4.894008,7.783871
177.69426012,-19.18547,35.22376,20.72598,1.009105,0.01934331,0.2888571,-51.53268,-4.913584,6.583378
177.70185852,-21.05225,36.28408,20.2375,0.9935098,0.02498066,0.2835209,-51.53268,-4.913584,6.583378
177.711990833,-22.23454,37.22658,19.38268,0.98474,0.02966825,0.2743399,-51.53268,-4.913584,6.583378
177.722121715,-21.61228,37.87455,18.03937,0.9716112,0.02957895,0.2757535,-51.53268,-4.913584,6.583378
177.732254028,-19.68328,38.58143,16.94031,0.9740867,0.02382162,0.2791254,-51.53268,-4.913584,6.583378
177.742385864,-17.25647,39.81847,15.84124,0.9778416,0.03554916,0.2883287,-51.90002,-3.856617,4.540512
177.752517223,-15.32746,40.52534,14.74218,0.9818085,0.02875653,0.2830163,-51.90002,-3.856617,4.540512
177.762649059,-14.39407,41.23222,13.27676,0.9705644,0.03450689,0.2863775,-51.90002,-3.856617,4.540512
177.772780895,-14.20739,41.11441,11.93346,0.9635973,0.04718014,0.3023109,-51.90002,-3.856617,4.540512
177.782912254,-16.19863,40.58425,10.5291,0.9450302,0.05954323,0.2940863,-51.90002,-3.856617,4.540512
177.793044567,-19.12325,39.52393,9.36897399999999,0.9285038,0.0561276,0.3051349,-51.53723,-2.858638,2.884684
177.803176403,-21.05225,38.05127,7.90355299999998,0.9116274,0.03912792,0.3127756,-51.53723,-2.858638,2.884684
177.813307762,-22.42122,36.87314,7.47613899999998,0.9062741,0.03394716,0.3330177,-51.53723,-2.858638,2.884684
177.823439598,-23.41684,36.69642,5.88860100000002,0.905355,0.02344682,0.349882,-51.53723,-2.858638,2.884684
177.833571434,-24.5369,37.52111,4.117885,0.9140667,0.01988919,0.3769195,-52.26833,-2.154604,1.286458
177.843702793,-26.65259,38.3458,2.591406,0.9246905,0.02489505,0.3861261,-52.26833,-2.154604,1.286458
177.853835106,-29.51498,39.75956,1.309163,0.9338543,0.03130184,0.390989,-52.26833,-2.154604,1.286458
