Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
30.23,-1.697331,-2.248351,-1.463584,0.8817191,0.4439926,0.03608001,-50.93579,-35.7787,23.75818
30.24,-1.510983,-2.248351,-1.034463,0.8815889,0.4483495,0.03036824,-50.93579,-35.7787,23.75818
30.25,-1.262519,-2.010315,-0.727947499999999,0.8839621,0.4566503,0.03232127,-50.93579,-35.7787,23.75818
30.26,-1.200403,-1.891297,-0.6666446,0.8839303,0.4571294,0.03040897,-50.93579,-35.7787,23.75818
30.27,-1.573099,-1.712771,-0.3601296,0.8829833,0.4605473,0.03572251,-50.18633,-36.15548,23.75809
30.28,-1.883678,-1.77228,-0.2988266,0.8863866,0.4600834,0.03375328,-50.18633,-36.15548,23.75809
30.29,-2.00791,-1.534244,-0.3601296,0.8805015,0.4536803,0.02707433,-50.18633,-36.15548,23.75809
30.3,-1.510983,-1.653262,-0.2988266,0.8848571,0.4532176,0.02317476,-50.18633,-36.15548,23.75809
30.31,-1.262519,-1.712771,-0.2988266,0.8799068,0.4526694,0.01844869,-50.18633,-36.15548,23.75809
30.32,-0.4550124,-1.77228,-0.2988266,0.8774881,0.4487496,0.01701248,-50.55805,-36.51931,23.76379
30.33,0.1040308,-2.010315,-0.1149176,0.8804668,0.4478116,0.01935811,-50.55805,-36.51931,23.76379
30.34,0.911537699999999,-2.069824,0.007688423,0.8770692,0.452183,0.02519382,-50.55805,-36.51931,23.76379
30.35,1.160001,-2.30786,0.2529004,0.874011,0.46091,0.02387346,-50.55805,-36.51931,23.76379
30.36,0.4767263,-2.129333,0.3755064,0.8730504,0.4682298,0.03161611,-50.55805,-36.51931,23.76379
30.37,-0.579244300000001,-1.77228,0.4981124,0.871021,0.4716093,0.02927756,-50.93579,-35.7787,23.75818
30.38,-1.324635,-1.653262,0.3755064,0.8798897,0.4673113,0.03007329,-50.93579,-35.7787,23.75818
30.39,-1.759447,-1.474735,0.2529004,0.8773451,0.466285,0.0219545,-50.93579,-35.7787,23.75818
30.4,-1.697331,-1.117681,0.1302944,0.8760231,0.4589902,0.02622458,-50.93579,-35.7787,23.75818
30.41,-1.510983,-1.117681,-0.2988266,0.8725474,0.4589452,0.02244014,-50.93579,-35.7787,23.75818
30.42,-1.635215,-1.117681,-0.2375236,0.8779852,0.4541268,0.02232197,-50.55684,-36.14493,24.20812
30.43,-1.262519,-1.236699,-0.2988266,0.8849185,0.4463999,0.02167875,-50.55684,-36.14493,24.20812
30.44,-0.5171283,-1.117681,-0.2988266,0.8854814,0.44789,0.02839209,-50.55684,-36.14493,24.20812
30.45,-0.1444329,-1.474735,-0.1762206,0.8849047,0.4503018,0.02410787,-50.55684,-36.14493,24.20812
30.46,-0.0823169599999999,-1.355717,0.007688423,0.8897581,0.4557047,0.02600109,-50.55684,-36.14493,24.20812
30.47,-0.3928965,-1.355717,0.3755064,0.8936563,0.4547585,0.02402075,-50.55283,-36.88123,24.21566
30.48,-0.641360199999998,-1.058172,0.3755064,0.88822,0.4605538,0.02510554,-50.55283,-36.88123,24.21566
30.49,-0.827707900000002,-1.236699,0.1302944,0.8868597,0.4581303,0.03085487,-50.55283,-36.88123,24.21566
30.5,-0.765591999999998,-1.117681,0.0689914200000002,0.889876,0.4562265,0.0351086,-50.55283,-36.88123,24.21566
30.51,-1.014056,-0.939154599999998,0.1915974,0.8855436,0.4547429,0.03899142,-50.55283,-36.88123,24.21566
30.52,-1.014056,-0.701118900000002,0.4368094,0.8880795,0.454302,0.04518115,-50.93257,-35.77246,24.20628
30.53,-1.386751,-0.2250474,0.620718400000002,0.8850921,0.4493788,0.03703579,-50.93257,-35.77246,24.20628
30.54,-1.573099,-0.1655384,0.743324399999998,0.8816128,0.4512857,0.03470547,-50.93257,-35.77246,24.20628
30.55,-1.324635,0.1915152,0.620718400000002,0.8863945,0.452274,0.02745767,-50.93257,-35.77246,24.20628
30.56,-0.641360199999998,0.310533,0.682021400000003,0.882057,0.4473714,0.02795732,-50.93257,-35.77246,24.20628
30.57,-0.02020105,0.370042,0.743324399999998,0.8889599,0.4454946,0.03023909,-49.80537,-36.88986,24.2118
30.58,0.663074000000001,0.4890598,0.682021400000003,0.8874442,0.443515,0.0249728,-49.80537,-36.88986,24.2118
30.59,0.973653600000002,0.965131299999997,0.682021400000003,0.8902928,0.4513279,0.02547733,-49.80537,-36.88986,24.2118
30.6,1.160001,1.500712,0.3755064,0.8864574,0.4508273,0.03079897,-49.80537,-36.88986,24.2118
30.61,1.532697,1.679239,0.1915974,0.8850313,0.4478968,0.03127376,-49.80537,-36.88986,24.2118
30.62,1.719045,1.738747,0.1302944,0.8801237,0.4454079,0.0279683,-50.93579,-35.7787,23.75818
30.63,2.029624,1.560221,0.1915974,0.8824752,0.4522378,0.02703403,-50.93579,-35.7787,23.75818
30.64,2.09174,1.441203,0.007688423,0.8863301,0.4527439,0.02314976,-50.93579,-35.7787,23.75818
30.65,2.09174,1.61973,-0.1149176,0.8867186,0.4551607,0.01789343,-50.93579,-35.7787,23.75818
30.66,2.09174,1.679239,-0.1762206,0.8799596,0.4575667,0.02663566,-50.93579,-35.7787,23.75818
30.67,2.153856,1.679239,-0.1762206,0.8799741,0.4541533,0.02468984,-50.56006,-36.15117,23.76002
30.68,2.340204,2.036292,-0.3601296,0.881393,0.4609876,0.0271233,-50.56006,-36.15117,23.76002
30.69,2.215972,2.214819,-0.6666446,0.8785872,0.4556279,0.03191005,-50.56006,-36.15117,23.76002
30.7,2.153856,2.214819,-0.911856500000002,0.8703529,0.4526483,0.03535666,-50.56006,-36.15117,23.76002
30.71,2.09174,2.036292,-0.850553500000001,0.8733098,0.4502394,0.03481498,-50.56006,-36.15117,23.76002
30.72,2.09174,1.917274,-0.727947499999999,0.8791029,0.44734,0.02656156,-51.31429,-35.41158,23.37226
30.73,2.278088,1.798256,-0.6053416,0.875217,0.4521954,0.03288751,-51.31429,-35.41158,23.37226
30.74,2.464436,1.560221,-0.6053416,0.8726443,0.4540906,0.02527298,-51.31429,-35.41158,23.37226
30.75,1.843277,1.02464,-0.4214326,0.8764724,0.4584949,0.0228596,-51.31429,-35.41158,23.37226
30.76,1.967508,0.786604499999998,-0.05361458,0.876065,0.456561,0.02716188,-51.31429,-35.41158,23.37226
30.77,2.09174,0.608077699999999,0.1302944,0.878606,0.4551451,0.0328641,-50.93056,-36.14061,24.21005
30.78,2.278088,0.5485688,0.2529004,0.8766757,0.4551353,0.03480833,-50.93056,-36.14061,24.21005
30.79,2.340204,0.310533,0.0689914200000002,0.8712501,0.459469,0.03540143,-50.93056,-36.14061,24.21005
30.8,1.967508,0.370042,0.0689914200000002,0.8770353,0.4599849,0.02957294,-50.93056,-36.14061,24.21005
30.81,1.470581,0.07249729,-0.05361458,0.8780069,0.4599917,0.02907995,-50.93056,-36.14061,24.21005
30.82,1.160001,-0.1060295,0.1915974,0.8784803,0.4624326,0.0300522,-50.55483,-36.51308,24.21189
30.83,0.849421699999999,-0.04652058,0.1302944,0.8795068,0.4556198,0.02758408,-50.55483,-36.51308,24.21189
30.84,0.973653600000002,-0.1060295,0.007688423,0.87512,0.452656,0.02618399,-50.55483,-36.51308,24.21189
30.85,1.284233,-0.4035742,-0.1149176,0.8731384,0.4531198,0.02477855,-50.55483,-36.51308,24.21189
30.86,0.787305800000002,-0.5225921,-0.1762206,0.8746651,0.458032,0.03342383,-50.55483,-36.51308,24.21189
30.87,0.3524944,-0.879645599999998,0.1302944,0.869832,0.4531232,0.03345129,-50.55885,-35.77678,24.20435
30.88,0.5388422,-0.760627799999999,0.0689914200000002,0.8824679,0.4473534,0.02220092,-50.55885,-35.77678,24.20435
30.89,0.911537699999999,-0.879645599999998,0.2529004,0.8814746,0.4502698,0.02367729,-50.55885,-35.77678,24.20435
30.9,0.973653600000002,-0.820136700000001,0.1302944,0.8760881,0.4546147,0.02714512,-50.55885,-35.77678,24.20435
30.91,1.408465,-0.939154599999998,0.1302944,0.8775995,0.4492697,0.02564087,-50.55885,-35.77678,24.20435
30.92,1.097885,-0.998663500000001,-0.1762206,0.8829629,0.4512652,0.02606047,-50.56006,-36.15117,23.76002
30.93,1.03577,-0.701118900000002,-0.1149176,0.8767256,0.4536848,0.03719138,-50.56006,-36.15117,23.76002
30.94,1.097885,-0.760627799999999,-0.2375236,0.8800493,0.4522218,0.02850607,-50.56006,-36.15117,23.76002
30.95,1.284233,-0.820136700000001,-0.4827355,0.8801448,0.4507844,0.03424297,-50.56006,-36.15117,23.76002
30.96,1.346349,-0.641609900000002,-0.5440385,0.8816077,0.4478666,0.0313223,-50.56006,-36.15117,23.76002
30.97,1.594813,-0.582100999999999,-0.6053416,0.8771206,0.4517094,0.02854349,-51.30429,-36.1363,24.21198
