Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,5.697214,-4.367153,-1.073637,1.011829,-0.1244502,0.1534675,-41.3151,-11.39283,-23.98473
0.017342091,5.697214,-3.202114,-1.441814,1.008102,-0.1312324,0.1635401,-42.06175,-11.77089,-24.81486
0.022296906,6.130781,-3.318618,-1.135,1.007595,-0.1263701,0.1674184,-42.06175,-11.77089,-24.81486
0.032206535,5.325586,-2.969106,-0.4600076,1.012842,-0.1195417,0.1626138,-42.06175,-11.77089,-24.81486
0.042116165,3.529382,-2.153579,-0.3986447,1.008361,-0.1074434,0.1689779,-42.06175,-11.77089,-24.81486
0.052025795,1.485427,-1.338051,-0.03046724,0.9969246,-0.1013419,0.1576005,-42.06175,-11.77089,-24.81486
0.061935902,-0.4346527,-2.21183,0.1536215,0.9894957,-0.1078245,0.1408205,-41.68451,-11.76746,-23.98163
0.071845055,-1.363724,-3.027358,0.1536215,1.002121,-0.1145403,0.1243336,-41.68451,-11.76746,-23.98163
0.081755161,0.06085166,-2.037075,0.7672505,1.012825,-0.1419899,0.1346152,-41.68451,-11.76746,-23.98163
0.091665268,1.795117,-1.105043,1.626331,0.9983059,-0.1503881,0.1394951,-41.68451,-11.76746,-23.98163
0.101574421,2.476436,-0.8137832,1.81042,0.9968089,-0.1392026,0.1496668,-41.68451,-11.76746,-23.98163
0.111484528,2.35256,-1.221547,1.933146,0.9909738,-0.134869,0.1579124,-41.68878,-11.45556,-24.04683
0.121393681,1.795117,-1.221547,2.301323,0.9898776,-0.1290891,0.1531594,-41.68878,-11.45556,-24.04683
0.131303787,1.361551,-0.8137832,2.362686,0.9907075,-0.1179344,0.1517856,-41.68878,-11.45556,-24.04683
0.141213417,0.1227897,-0.6972793,2.178597,0.9924805,-0.1092246,0.1441447,-41.68878,-11.45556,-24.04683
0.151123047,-1.239847,-0.5225234,2.546775,0.9931229,-0.1208459,0.1455018,-41.68878,-11.45556,-24.04683
0.161032677,-1.859228,-0.4060195,2.853589,0.9961345,-0.1368662,0.1343236,-42.06304,-11.45559,-24.04489
0.170942783,-1.983104,-0.2312636,3.344493,1.001278,-0.1503313,0.1433093,-42.06304,-11.45559,-24.04489
0.180851936,0.6182941,0.7007678,3.28313,1.003408,-0.1599723,0.1489873,-42.06304,-11.45559,-24.04489
