Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
10.022858143,6.19271900000002,11.82689,1.564968,-0.1892903,-0.2147132,0.2211132,-13.07436,1.104752,-52.69643
10.035247803,13.50141,-8.50304200000002,-6.90311299999998,-0.2548427,-0.1911599,0.2458843,-6.311347,-1.525503,-54.84345
10.045158863,18.08482,-23.18254,-12.36441,-0.2709076,-0.1486466,0.2549589,-6.311347,-1.525503,-54.84345
10.055070877,15.17374,-38.03679,-14.45075,-0.2882517,-0.04800509,0.350381,-6.311347,-1.525503,-54.84345
10.064982414,4.334577,-51.78425,-15.43256,-0.2760084,0.02118692,0.4808516,-6.311347,-1.525503,-54.84345
10.074893475,-10.96412,-63.3763900000001,-15.8621,-0.2497307,0.02194857,0.5646413,-6.311347,-1.525503,-54.84345
10.084805012,-27.56352,-73.1044700000001,-17.39617,-0.2428581,-0.05574328,0.6192784,-5.62684,-1.147192,-53.94875
10.094716072,-38.65043,-83.9975899999998,-20.95522,-0.1902332,-0.2044279,0.6178011,-5.62684,-1.147192,-53.94875
10.104627609,-37.96911,-93.1431399999999,-24.14609,-0.09842741,-0.2855206,0.6538641,-5.62684,-1.147192,-53.94875
10.114539146,-30.04104,-97.8615599999999,-26.53924,-0.01346125,-0.3898623,0.7109625,-5.62684,-1.147192,-53.94875
10.124450684,-22.54654,-97.4537899999997,-29.11649,0.006058369,-0.3230565,0.7376358,-5.62684,-1.147192,-53.94875
10.134361744,-20.37871,-99.5508599999999,-32.61417,0.01808832,-0.2771507,0.7724018,-7.797328,-1.893159,-53.09991
10.144273281,-21.61747,-102.347,-34.63915,0.06539344,-0.2534461,0.8355031,-7.797328,-1.893159,-53.09991
10.154184341,-24.96212,-103.8615,-34.70051,0.09608394,-0.2677451,0.9028263,-7.797328,-1.893159,-53.09991
10.164095879,-30.47461,-106.1916,-33.84143,0.0834021,-0.3203227,0.8920298,-7.797328,-1.893159,-53.09991
10.174007893,-34.93415,-109.3372,-34.20961,0.07996499,-0.3857301,0.9093918,-7.797328,-1.893159,-53.09991
10.183918953,-36.1729,-111.4925,-35.19141,0.1256347,-0.4511517,0.8994105,-11.92573,-0.7663045,-52.24678
10.19383049,-34.81027,-111.2013,-36.35731,0.1851439,-0.471207,0.9092901,-11.92573,-0.7663045,-52.24678
10.20374155,-32.5805,-110.9682,-36.35731,0.2458721,-0.468446,0.921711,-11.92573,-0.7663045,-52.24678
10.213653088,-30.59848,-110.8517,-34.70051,0.2778476,-0.4330738,0.9341352,-11.92573,-0.7663045,-52.24678
10.223564148,-31.15593,-109.4537,-34.3937,0.2749508,-0.3894372,0.9411749,-11.92573,-0.7663045,-52.24678
10.233476162,-31.71337,-108.6382,-36.11186,0.273668,-0.36473,0.9403909,-15.67689,0.3639789,-50.56042
10.243387699,-31.52756,-107.5896,-38.32092,0.2639768,-0.3248155,0.9004133,-15.67689,0.3639789,-50.56042
