Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
28.593553066,-4.088998,-0.813783199999999,2.301323,1.006504,0.009142107,0.02908542,-52.59425,-12.20484,-23.79502
28.60346365,-3.221865,-0.5225234,2.362686,1.011481,0.0009562579,0.02802453,-52.59425,-12.20484,-23.79502
28.613373756,-2.41667,-0.3477675,2.301323,1.00948,0.007249563,0.03096592,-52.59425,-12.20484,-23.79502
28.62328434,-1.4876,-0.05650773,2.23996,1.012933,0.01121118,0.0386429,-52.59425,-12.20484,-23.79502
28.633194923,-1.177909,0.1182482,2.424049,1.015725,0.01897882,0.03386725,-51.85544,-11.45559,-23.80123
28.64310503,-0.682404900000003,0.46776,2.546775,1.012829,0.0174982,0.0358048,-51.85544,-11.45559,-23.80123
28.653015613,-0.6204669,0.759019800000003,2.23996,1.010858,0.02331945,0.04114355,-51.85544,-11.45559,-23.80123
28.662926197,-0.6204669,0.759019800000003,2.117234,1.011835,0.01845309,0.0353402,-51.85544,-11.45559,-23.80123
28.675314426,-0.2488386,0.5842639,1.564968,1.01335,0.01069169,0.03095306,-51.85544,-11.45559,-23.80123
28.68522501,0.0608516599999998,0.5842639,1.319517,1.013445,0.006838828,0.03572809,-52.25208,-9.960633,-24.63907
28.69513464,0.1847278,0.351256,1.074065,1.016769,0.009756972,0.02947473,-52.25208,-9.960633,-24.63907
28.7050457,0.742170199999999,-0.1147597,1.135428,1.019259,0.005908992,0.02942606,-52.25208,-9.960633,-24.63907
28.714956284,0.866046300000002,-0.2895156,1.074065,1.024983,0.01420041,0.02510694,-52.25208,-9.960633,-24.63907
28.724866867,0.804108299999999,-0.580775400000001,1.196791,1.020545,0.01656463,0.02420342,-52.25208,-9.960633,-24.63907
28.734776497,0.804108299999999,-0.580775400000001,1.503605,1.023929,0.02390451,0.02902261,-52.60534,-11.45721,-24.1828
28.744687557,0.3705419,-0.639027300000002,1.687694,1.022913,0.02875048,0.03098492,-52.60534,-11.45721,-24.1828
28.754598141,0.1227897,-0.4642715,1.687694,1.015589,0.02622524,0.0291152,-52.60534,-11.45721,-24.1828
28.76450777,-0.2488386,-0.2895156,1.442243,1.011253,0.02376445,0.03250001,-52.60534,-11.45721,-24.1828
28.774418354,-0.5585288,0.293004,1.319517,1.009364,0.02231126,0.03730939,-52.60534,-11.45721,-24.1828
28.784329414,-0.4965908,0.46776,0.951339199999998,1.005979,0.01545872,0.03297361,-51.85891,-11.07942,-23.41691
28.794239998,-0.2488386,0.700767799999999,0.705887599999999,1.007079,0.00724213,0.03530949,-51.85891,-11.07942,-23.41691
28.804149628,0.1847278,0.759019800000003,0.583161800000002,1.006063,0.0120881,0.0372718,-51.85891,-11.07942,-23.41691
28.814060211,0.804108299999999,0.759019800000003,0.5217989,1.010993,0.008267941,0.0367206,-51.85891,-11.07942,-23.41691
28.823971271,1.361551,0.700767799999999,0.3377102,1.004497,0.01299361,0.02864947,-51.85891,-11.07942,-23.41691
28.833880901,1.237675,0.409508,0.2149844,0.9986016,0.02071055,0.03499746,-52.61365,-10.70646,-23.79964
28.843791485,0.742170199999999,-0.4060195,0.2149844,1.003391,0.021695,0.02631688,-52.61365,-10.70646,-23.79964
28.853702545,0.1227897,-0.580775400000001,0.1536215,1.011668,0.02909815,0.03157138,-52.61365,-10.70646,-23.79964
28.863613129,-0.2488386,-0.639027300000002,0.0922585699999997,1.012331,0.01699969,0.03436561,-52.61365,-10.70646,-23.79964
28.873522758,-0.6204669,-0.4060195,-0.1531931,1.006458,0.01789895,0.03490607,-52.61365,-10.70646,-23.79964
28.883433342,-0.3727147,-0.2312636,-0.3372818,1.002614,0.01593413,0.03924995,-52.61041,-11.08288,-24.2482
28.893344402,-0.1869005,0.001744238,-0.09183015,0.9967236,0.01584852,0.03690307,-52.61041,-11.08288,-24.2482
28.903254986,-0.1869005,0.0599961999999999,-0.03046724,0.9999421,0.02798028,0.03119223,-52.61041,-11.08288,-24.2482
28.913164616,-0.1249625,0.0599961999999999,-0.03046724,1.005235,0.02897844,0.02394756,-52.61041,-11.08288,-24.2482
28.923075199,-0.6204669,0.0599961999999999,-0.09183015,1.011056,0.03244232,0.02343665,-52.61041,-11.08288,-24.2482
28.932986259,-1.301785,-0.1147597,-0.2759189,1.016008,0.02960957,0.02625292,-52.24424,-10.33183,-23.80274
28.945374012,-2.354732,-0.6972793,-0.5213705,1.015176,0.01991686,0.029077,-52.24424,-10.33183,-23.80274
28.955284595,-2.41667,-0.988539100000001,-0.828185100000001,1.014866,0.01024805,0.0352575,-52.24424,-10.33183,-23.80274
28.965194702,-1.425662,-1.396303,-1.073637,1.018882,0.004009609,0.03805975,-52.24424,-10.33183,-23.80274
28.975105286,-0.5585288,-1.396303,-1.196362,1.015528,0.001563518,0.04191574,-52.24424,-10.33183,-23.80274
28.985015869,0.1227897,-1.163295,-0.950910899999997,1.017924,0.006446907,0.04288643,-52.2394,-10.70643,-23.80159
28.994925976,0.2466658,-0.580775400000001,-0.5213705,1.020798,0.01230595,0.0438592,-52.2394,-10.70643,-23.80159
29.004836559,0.43248,0.1182482,-0.3372818,1.018751,0.01662442,0.04006563,-52.2394,-10.70643,-23.80159
