Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,8.828068,-2.488602,-0.8427644,0.9641615,-0.2200928,-0.03746127,-60.69437,-3.317139,-21.30614
0.024991512,-0.3403839,-2.369897,-1.208589,1.010022,-0.2230874,-0.03897618,-60.69409,-3.317684,-21.37064
0.029989243,-1.140316,-2.666659,-1.025677,1.005038,-0.2431007,-0.03800518,-60.69409,-3.317684,-21.37064
0.039986134,-0.8326498,-3.378887,-0.2330568,1.014726,-0.2656257,-0.02461614,-60.69409,-3.317684,-21.37064
0.049982071,1.44408,-3.141478,0.8644169,1.014128,-0.2598589,-0.0303595,-60.69409,-3.317684,-21.37064
0.059978962,3.966942,-1.835726,1.474125,1.000477,-0.2340896,-0.05235684,-60.69409,-3.317684,-21.37064
0.069975376,5.013007,-1.835726,1.535095,0.9684348,-0.2149832,-0.07240609,-60.69409,-3.317684,-21.37064
0.079971313,4.397675,-3.022773,0.8644169,0.9677932,-0.2067174,-0.0704928,-61.07053,-3.317228,-20.98642
0.089968205,2.859344,-4.091116,-0.1111153,0.9767981,-0.2191827,-0.07146244,-61.07053,-3.317228,-20.98642
0.099964619,1.874812,-4.328525,-0.5988814,1.000963,-0.2341238,-0.05714344,-61.07053,-3.317228,-20.98642
0.109960556,2.490145,-4.387877,-0.7817937,1.006273,-0.257309,-0.05331811,-61.07053,-3.317228,-20.98642
0.119957447,5.382206,-4.565935,-0.5988814,1.001962,-0.2612686,-0.05187385,-61.07053,-3.317228,-20.98642
0.129953384,8.089669,-4.506582,-0.1111153,0.9869722,-0.2417245,-0.0609457,-60.75179,-3.692515,-20.65957
0.139949799,9.320333,-4.862697,0.1937385,0.987,-0.2175233,-0.07148065,-60.75179,-3.692515,-20.65957
0.14994669,9.381866,-5.337515,0.1937385,0.9879186,-0.2146158,-0.07435445,-60.75179,-3.692515,-20.65957
0.159942627,8.335802,-5.515573,0.31568,0.9756854,-0.2119682,-0.07720527,-60.75179,-3.692515,-20.65957
0.169939041,6.920537,-6.109096,0.9253877,0.9882856,-0.2083396,-0.07962105,-61.12653,-3.695328,-20.66235
0.179935932,4.213075,-6.524563,1.474125,0.9954277,-0.1994603,-0.08059293,-61.12653,-3.695328,-20.66235
0.18993187,1.813279,-6.880677,2.144803,1.003289,-0.2026057,-0.06959858,-61.12653,-3.695328,-20.66235
0.199928284,-0.1557842,-7.058734,2.510627,1.00863,-0.2014757,-0.06386527,-61.12653,-3.695328,-20.66235
0.209925175,-1.201849,-7.355496,3.059364,1.003485,-0.2126619,-0.05380333,-61.12653,-3.695328,-20.66235
0.219921112,-0.094251,-7.355496,2.75451,0.9978487,-0.2239674,-0.0557049,-61.87154,-4.074771,-19.89188
0.229917526,2.797811,-7.770963,2.144803,0.9926465,-0.2323049,-0.05282222,-61.87154,-4.074771,-19.89188
0.239914417,5.566806,-7.770963,1.352183,0.9970418,-0.2326338,-0.04517258,-61.87154,-4.074771,-19.89188
0.249910355,8.028135,-7.474201,0.8034461,0.9974252,-0.2273861,-0.05666043,-61.87154,-4.074771,-19.89188
0.259907246,8.889601,-7.177439,0.5595631,1.011814,-0.2148568,-0.04616006,-61.87154,-4.074771,-19.89188
0.26990366,8.151202,-6.643268,0.3766508,1.018435,-0.2039651,-0.03851719,-61.88698,-3.314604,-19.96044
0.279899597,6.612871,-6.227801,0.8644169,1.023702,-0.1989753,-0.03565621,-61.88698,-3.314604,-19.96044
0.289896488,5.44374,-5.574925,1.474125,1.017851,-0.1985129,-0.02559602,-61.88698,-3.314604,-19.96044
0.299892902,3.720809,-4.981401,2.083832,1.023026,-0.1886918,-0.02560757,-61.88698,-3.314604,-19.96044
0.30988884,0.8902807,-4.031764,2.388686,1.042385,-0.1814579,-0.02037885,-61.88698,-3.314604,-19.96044
0.319885731,-2.801713,-2.963421,3.242276,1.023948,-0.1856834,-0.01747417,-62.26341,-3.314148,-19.57622
