Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
12.631514072,2.059412,4.040159,-2.06218,0.991858,0.04939879,0.1983591,-58.00706,-25.08491,-3.56346
12.641511917,2.428612,4.158864,-2.91577,0.9876398,0.04061675,0.203633,-58.00706,-25.08491,-3.56346
12.651509285,2.182479,4.811739,-3.037712,0.9848176,0.03522003,0.2041179,-57.24775,-25.46346,-4.007373
12.661506653,2.674744,4.930444,-3.281595,0.9836233,0.04682393,0.2002884,-57.24775,-25.46346,-4.007373
12.671504021,3.905409,5.167854,-3.586449,0.9856332,0.04338749,0.19215,-57.24775,-25.46346,-4.007373
12.681501388,4.766874,5.049149,-3.281595,0.9789651,0.03487631,0.1792422,-57.24775,-25.46346,-4.007373
12.691498756,4.397675,4.633682,-2.793829,0.9699276,0.04863653,0.1625043,-57.24775,-25.46346,-4.007373
12.701495647,2.551678,3.505987,-1.879267,0.9770092,0.06102148,0.1730174,-57.61462,-25.84662,-4.008125
12.711493015,0.0903486900000002,2.675054,-2.367033,0.985498,0.04995552,0.166784,-57.61462,-25.84662,-4.008125
12.721490383,-1.878715,2.437645,-1.696355,0.9901012,0.03838825,0.1672575,-57.61462,-25.84662,-4.008125
12.731487751,-1.940248,2.081531,-1.574414,0.984639,0.01787079,0.1672723,-57.61462,-25.84662,-4.008125
12.741485119,0.02881546,1.962826,-1.330531,0.9763334,0.01924347,0.1759008,-57.61462,-25.84662,-4.008125
12.751482487,1.751746,2.140883,-1.025677,0.9840617,0.0227495,0.1706221,-57.25391,-25.08637,-4.396402
12.761479855,1.936346,1.784769,0.1327677,0.9762558,0.04940102,0.1792432,-57.25391,-25.08637,-4.396402
12.771477222,-0.4634504,1.131893,0.5595631,0.9769217,0.06599322,0.1854593,-57.25391,-25.08637,-4.396402
12.78147459,-3.909311,0.5383689,0.864416900000002,0.9826784,0.07104971,0.1945409,-57.25391,-25.08637,-4.396402
12.791471481,-5.509175,0.3603118,1.352183,0.9853141,0.06039791,0.1931033,-57.25391,-25.08637,-4.396402
12.801468849,-4.955376,0.4196641,1.047329,0.9831079,0.04824087,0.1969389,-57.23819,-25.84708,-4.392346
12.811466217,-4.093911,0.3603118,0.4985923,0.990844,0.02557639,0.1993241,-57.23819,-25.84708,-4.392346
12.821463585,-2.92478,0.3009594,0.803446099999999,0.9943761,0.01944737,0.2122411,-57.23819,-25.84708,-4.392346
12.831460953,-1.878715,0.3009594,0.31568,0.9852393,0.01293645,0.210823,-57.23819,-25.84708,-4.392346
12.841458321,-0.7711166,0.3603118,0.01082622,0.980203,0.0215532,0.2074795,-57.23819,-25.84708,-4.392346
12.851455688,-0.3403839,0.3009594,-0.4159691,0.9754667,0.040521,0.2194473,-57.62865,-25.08918,-4.399183
12.861453056,-1.263382,0.1822547,-0.598881400000002,0.9886746,0.03790578,0.2237321,-57.62865,-25.08918,-4.399183
12.871450424,-1.878715,0.2416071,0.1327677,0.9871108,0.04315444,0.2165548,-57.62865,-25.08918,-4.399183
12.881447315,-2.309447,0.775778400000001,0.620533899999998,0.9962076,0.05149429,0.2055296,-57.62865,-25.08918,-4.399183
12.891444683,-2.309447,0.657073599999999,1.047329,0.9879468,0.05041622,0.2117657,-57.62865,-25.08918,-4.399183
12.901442051,-2.001781,0.657073599999999,1.657037,0.9953755,0.04435541,0.2237187,-57.24606,-25.46672,-4.394375
12.911439419,-0.7711166,0.4790165,2.083832,0.9967324,0.04960037,0.2098363,-57.24606,-25.46672,-4.394375
12.921437263,0.3980148,0.657073599999999,1.657037,0.9991148,0.05260695,0.2146171,-57.24606,-25.46672,-4.394375
12.931434631,0.4595481,0.657073599999999,1.474125,0.988529,0.07133198,0.2127165,-57.24606,-25.46672,-4.394375
12.941431999,-0.6480501,0.4196641,1.291212,0.9878944,0.0534054,0.2199008,-57.24606,-25.46672,-4.394375
12.951429367,-0.4634504,0.4196641,0.7424754,0.9809729,0.03292052,0.2266183,-58.00509,-25.08872,-4.014962
12.961426735,0.644147799999998,0.8351307,-0.05014454,0.9987014,0.02309233,0.2294614,-58.00509,-25.08872,-4.014962
12.971424103,2.120945,0.953835399999999,-0.5379106,0.9911211,0.0375252,0.2299494,-58.00509,-25.08872,-4.014962
12.981421471,2.490145,0.8351307,-1.513443,0.9862167,0.06511381,0.2285151,-58.00509,-25.08872,-4.014962
12.991418838,2.182479,1.013188,-1.757326,0.9871071,0.06945223,0.2227696,-58.00509,-25.08872,-4.014962
13.001416206,1.690213,1.428654,-1.330531,0.9842023,0.06840981,0.2213392,-57.24436,-25.46999,-4.781377
13.011413097,1.751746,1.903473,-0.4159691,0.995974,0.0642382,0.2179697,-57.24436,-25.46999,-4.781377
13.021410465,1.567146,1.962826,0.31568,0.9895761,0.06746514,0.2127157,-57.24436,-25.46999,-4.781377
13.031407833,0.5210813,1.725416,-0.1111153,0.9885254,0.04557701,0.2127231,-57.24436,-25.46999,-4.781377
13.041405201,-0.3403839,1.606712,0.3766508,0.9882917,0.03190023,0.2055484,-57.24436,-25.46999,-4.781377
13.051402569,-1.140316,1.666064,0.681504599999997,0.9892203,0.03434829,0.2055462,-57.63652,-24.70882,-4.401212
13.061399937,-1.447982,1.07254,0.5595631,0.9767896,0.02137171,0.1950425,-57.63652,-24.70882,-4.401212
13.071397305,-0.7711166,0.8351307,0.986358399999998,0.9765064,0.03641714,0.1936034,-57.63652,-24.70882,-4.401212
13.081394672,-0.2173175,0.775778400000001,0.3766508,0.977731,0.04909337,0.1955123,-57.63652,-24.70882,-4.401212
13.09139204,-0.709583300000001,0.8351307,-0.2330568,0.9689569,0.04949807,0.2055776,-57.63652,-24.70882,-4.401212
13.101388931,-1.386449,0.1822547,-0.2330568,0.9648656,0.05953428,0.1960106,-57.62865,-25.08918,-4.399183
13.111386299,-2.801713,-0.411269,-0.1111153,0.9849659,0.05316331,0.1998058,-57.62865,-25.08918,-4.399183
13.121383667,-3.293979,-0.5299737,0.1937385,0.9838313,0.03559437,0.1940694,-57.62865,-25.08918,-4.399183
13.131381035,-3.417045,-1.123497,0.2547093,0.991354,0.05040458,0.2031454,-57.62865,-25.08918,-4.399183
13.141378403,-4.216978,-1.657669,0.2547093,0.996217,0.0510173,0.2064868,-57.62865,-25.08918,-4.399183
13.151375771,-4.709243,-2.073135,0.2547093,0.9949296,0.04177652,0.2084057,-57.62865,-25.08918,-4.399183
13.161373615,-4.155444,-2.19184,0.5595631,0.9980812,0.02971657,0.2112748,-57.62865,-25.08918,-4.399183
13.171370983,-2.617113,-2.369897,0.681504599999997,0.9913445,0.02523632,0.2141592,-57.62865,-25.08918,-4.399183
13.181368351,-0.955716300000001,-2.19184,0.4985923,0.9957523,0.05016783,0.2208451,-57.62865,-25.08918,-4.399183
13.191365719,-0.955716300000001,-1.95443,0.3766508,0.9936817,0.05710556,0.23999,-57.62865,-25.08918,-4.399183
13.201363087,-2.063314,-1.657669,0.7424754,0.9854339,0.05488918,0.2280406,-57.98598,-25.85597,-4.78491
13.211360455,-2.801713,-0.767383199999997,1.047329,0.9880188,0.04727046,0.2395238,-57.98598,-25.85597,-4.78491
13.221357822,-2.370981,-0.589326100000003,0.620533899999998,0.9805493,0.05514264,0.2132131,-57.98598,-25.85597,-4.78491
13.231354713,-2.309447,-1.657669,-0.3549984,1.020646,0.07480855,0.2576458,-57.98598,-25.85597,-4.78491
13.241352081,-8.46277000000003,0.894483100000001,0.620533899999998,0.9458866,0.0589541,0.2266727,-57.25222,-25.08964,-4.783404
13.251349449,-5.386109,-0.1738595,0.620533899999998,0.9967902,-0.005279182,0.2132004,-57.25222,-25.08964,-4.783404
13.261346817,-0.586516899999998,1.013188,0.1327677,1.009286,0.004327789,0.2270548,-57.25222,-25.08964,-4.783404
13.271344185,3.720809,0.1229023,-0.8427644,0.996967,0.01124194,0.2127172,-57.25222,-25.08964,-4.783404
13.281341553,3.53621,1.013188,-0.7817937,0.990302,0.05489325,0.217982,-57.25222,-25.08964,-4.783404
13.291338921,2.674744,0.4196641,-0.659852100000001,0.9838664,0.06002373,0.2084203,-58.0017,-25.09526,-4.788966
13.301336289,1.197947,0.1229023,-0.4769399,0.9756034,0.05887105,0.2065207,-58.0017,-25.09526,-4.788966
13.311333656,-0.2788507,0.004197581,-0.1720861,0.9799248,0.06240188,0.211298,-58.0017,-25.09526,-4.788966
13.321330547,-1.447982,0.06354995,-0.1720861,0.9771851,0.05264208,0.2127411,-58.0017,-25.09526,-4.788966
13.331327915,-1.571049,0.2416071,0.1327677,0.9896784,0.03576691,0.2002807,-58.0017,-25.09526,-4.788966
13.341325283,-0.955716300000001,0.2416071,0.31568,0.9976105,0.02867837,0.2050544,-58.00788,-24.71817,-5.177995
13.351322651,-1.078783,-0.1738595,0.1327677,0.9992393,0.02006449,0.216061,-58.00788,-24.71817,-5.177995
13.361320019,-1.017249,-0.05515479,-0.3549984,1.000361,0.012373,0.2227611,-58.00788,-24.71817,-5.177995
13.371317387,-0.6480501,0.3603118,-0.659852100000001,0.9968326,0.01860736,0.22133,-58.00788,-24.71817,-5.177995
13.381314755,0.767214200000001,0.716426,-1.086647,0.9937086,0.02921442,0.2189398,-58.00788,-24.71817,-5.177995
13.391312599,1.997879,1.013188,-1.208589,0.9880585,0.04465731,0.2194242,-58.00957,-24.7149,-4.790994
13.401309967,1.25948,1.07254,-0.5379106,0.9847969,0.06252884,0.2146396,-58.00957,-24.7149,-4.790994
13.411307335,0.2749484,1.013188,-0.1111153,0.973675,0.05791809,0.2127458,-58.00957,-24.7149,-4.790994
13.421304703,-0.2788507,0.8351307,0.31568,0.9757594,0.05064383,0.2098726,-58.00957,-24.7149,-4.790994
13.431302071,-0.3403839,0.597721199999998,-0.1111153,0.9799834,0.03319391,0.2055626,-58.00957,-24.7149,-4.790994
13.441298962,0.2749484,0.06354995,-0.1111153,0.9744639,0.01550762,0.1964838,-58.01126,-24.71164,-4.403992
13.45129633,1.44408,-0.1145072,-0.2330568,0.9751208,0.03258996,0.2031783,-58.01126,-24.71164,-4.403992
13.461293697,1.628679,-0.708030899999999,-0.2940276,0.9691026,0.04171711,0.2046222,-58.01126,-24.71164,-4.403992
13.471291065,0.951813900000003,-0.767383199999997,-0.1720861,0.9832844,0.03911236,0.2079482,-58.01126,-24.71164,-4.403992
13.481288433,1.07488,-0.589326100000003,-0.05014454,0.9903386,0.02653829,0.1993247,-58.01126,-24.71164,-4.403992
13.491285801,1.321013,-0.411269,0.1327677,0.9811102,0.02487621,0.1969484,-57.99216,-25.47889,-5.173939
13.501283169,1.690213,-0.708030899999999,0.7424754,0.9764478,0.0392132,0.1806812,-57.99216,-25.47889,-5.173939
13.511280537,0.951813900000003,-1.717021,0.31568,0.9766454,0.05484181,0.1888126,-57.99216,-25.47889,-5.173939
13.521277905,-0.1557842,-2.547954,0.01082622,0.9773517,0.04320194,0.1897716,-57.99216,-25.47889,-5.173939
13.531274796,-0.832649800000001,-3.022773,0.2547093,0.9783229,0.04312462,0.1792412,-57.99216,-25.47889,-5.173939
13.541272164,-0.7711166,-3.616297,0.620533899999998,0.9871769,0.03905328,0.1931055,-57.64439,-24.32847,-4.403239
13.551269531,-0.2788507,-3.675649,0.5595631,0.990157,0.03627985,0.202194,-57.64439,-24.32847,-4.403239
13.561266899,-0.586516899999998,-3.43824,0.2547093,0.9925563,0.0382798,0.2031465,-57.64439,-24.32847,-4.403239
13.571264267,-0.2788507,-3.556944,-0.2940276,0.987925,0.02563277,0.2117722,-57.64439,-24.32847,-4.403239
13.581261635,0.705681,-2.904068,-0.659852100000001,0.9883094,0.03091115,0.2036343,-57.64439,-24.32847,-4.403239
13.591259003,1.013347,-3.022773,-0.1720861,0.9839548,0.05507834,0.1988499,-57.99723,-25.46908,-4.012934
13.601256848,-0.1557842,-3.378887,0.681504599999997,0.9749584,0.06703597,0.1974268,-57.99723,-25.46908,-4.012934
13.611254215,-1.755648,-4.269173,1.413154,0.975981,0.06470981,0.2065186,-57.99723,-25.46908,-4.012934
13.621251583,-1.509515,-4.44723,1.596066,0.9956474,0.05537076,0.2055296,-57.99723,-25.46908,-4.012934
13.631248951,-1.017249,-3.913059,0.7424754,0.980131,0.05111525,0.1988576,-57.99723,-25.46908,-4.012934
13.641246319,-0.4019172,-3.972411,-0.1720861,0.9719358,0.04668953,0.2108375,-58.0034,-25.09199,-4.401964
13.651243687,0.2134152,-3.913059,-0.7817937,0.9754071,0.04328195,0.2026965,-58.0034,-25.09199,-4.401964
