Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
29.761564732,-5.263042,-0.05515479,2.510627,0.9649346,-0.3391595,-0.04030342,-57.61037,13.39343,-19.88604
29.771562099,-4.955376,-0.05515479,2.449656,0.961065,-0.3406982,-0.04077486,-57.61037,13.39343,-19.88604
29.781559467,-4.278511,-0.1738595,2.449656,0.9636178,-0.3470045,-0.04508487,-57.61037,13.39343,-19.88604
29.791556835,-3.355512,-0.2332119,2.205774,0.9616509,-0.3460802,-0.04603883,-57.61037,13.39343,-19.88604
29.801554203,-2.001781,-0.886087999999999,2.144803,0.9646089,-0.3480007,-0.0498721,-57.61037,13.39343,-19.88604
29.811552048,-0.586516899999998,-1.123497,1.839949,0.9650853,-0.3475536,-0.05513738,-57.60448,13.01689,-19.43251
29.821549416,0.705681,-1.420259,1.839949,0.9630762,-0.3440952,-0.04460609,-57.60448,13.01689,-19.43251
29.831546783,1.997879,-1.420259,1.718008,0.9708693,-0.3439587,-0.04653402,-57.60448,13.01689,-19.43251
29.841544151,2.613211,-1.479612,1.657037,0.974535,-0.3318343,-0.05707221,-57.60448,13.01689,-19.43251
29.851541519,2.490145,-1.360907,1.839949,0.9768915,-0.3273221,-0.04702738,-57.60448,13.01689,-19.43251
29.86153841,1.936346,-1.242202,1.90092,0.9778193,-0.324896,-0.0494225,-57.98511,13.39062,-19.88882
29.871535778,1.25948,-0.767383199999997,2.144803,0.9734523,-0.3259937,-0.05372179,-57.98511,13.39062,-19.88882
29.881533146,0.644147799999998,-0.5299737,2.205774,0.9818446,-0.3315977,-0.04703491,-57.98511,13.39062,-19.88882
29.891530514,0.5826145,-0.411269,1.96189,0.9779756,-0.3331144,-0.04511347,-57.98511,13.39062,-19.88882
29.901527882,0.951813900000003,-0.2332119,1.596066,0.9766147,-0.3384867,-0.04510972,-57.98511,13.39062,-19.88882
29.911525249,1.751746,-0.3519166,1.169271,0.9713389,-0.3429556,-0.04414222,-57.60082,13.00981,-20.27101
29.921522617,2.490145,-0.1738595,1.047329,0.9678675,-0.3395524,-0.03647982,-57.60082,13.00981,-20.27101
29.931519985,2.982411,-0.2332119,0.925387699999998,0.970204,-0.3341214,-0.03217811,-57.60082,13.00981,-20.27101
29.941517353,3.043944,-0.05515479,0.864416900000002,0.9656832,-0.3269173,-0.03169351,-57.60082,13.00981,-20.27101
29.951514244,2.551678,0.1229023,0.7424754,0.9675568,-0.3230497,-0.03791926,-57.97725,13.01026,-19.88679
29.961511612,2.059412,0.06354995,0.864416900000002,0.9572357,-0.3184161,-0.04029534,-57.97725,13.01026,-19.88679
29.97150898,1.136414,-0.05515479,0.803446099999999,0.9631099,-0.3197097,-0.03504091,-57.97725,13.01026,-19.88679
29.981506348,0.5210813,-0.05515479,0.864416900000002,0.964515,-0.3168101,-0.03982987,-57.97725,13.01026,-19.88679
29.991503716,0.0903486900000002,0.1229023,0.925387699999998,0.9617096,-0.3232267,-0.04460908,-57.97725,13.01026,-19.88679
30.00150156,0.02881546,0.597721199999998,0.620533899999998,0.9710009,-0.3249956,-0.04558198,-57.61234,13.39725,-19.43453
30.011498928,0.2134152,0.8351307,0.3766508,0.9685115,-0.3221029,-0.04270693,-57.61234,13.39725,-19.43453
30.021496296,0.0903486900000002,0.657073599999999,0.01082622,0.9670308,-0.3211953,-0.04653319,-57.61234,13.39725,-19.43453
30.031493664,0.4595481,0.4196641,-0.3549984,0.963685,-0.3246586,-0.04604788,-57.61234,13.39725,-19.43453
30.041491032,0.4595481,0.3603118,-0.659852100000001,0.9608541,-0.3295608,-0.04460596,-57.61234,13.39725,-19.43453
30.0514884,0.3364816,-0.1145072,-0.7817937,0.9567493,-0.3184038,-0.03790161,-57.62609,14.15415,-19.89009
30.061485767,-0.4019172,0.004197581,-0.659852100000001,0.9562268,-0.3164353,-0.0340726,-57.62609,14.15415,-19.89009
30.071482658,-1.632582,0.06354995,-0.4769399,0.9581374,-0.3144976,-0.03886219,-57.62609,14.15415,-19.89009
30.081480026,-2.92478,-0.05515479,-0.4769399,0.9620047,-0.3130292,-0.04604795,-57.62609,14.15415,-19.89009
30.091477394,-4.032378,-0.05515479,-0.4769399,0.9728386,-0.3191675,-0.04989387,-57.62609,14.15415,-19.89009
30.101474762,-4.216978,0.004197581,-0.2330568,0.9709814,-0.3240636,-0.04988937,-57.60868,13.39016,-20.27304
30.11147213,-4.093911,-0.1145072,-0.5379106,0.9800311,-0.3389841,-0.05372991,-57.60868,13.39016,-20.27304
30.121469498,-3.293979,0.004197581,-0.598881400000002,0.9727361,-0.3395352,-0.04510269,-57.60868,13.39016,-20.27304
30.131466866,-2.55558,0.004197581,-0.903735200000002,0.9766067,-0.3379658,-0.04128123,-57.60868,13.39016,-20.27304
30.141464233,-2.247914,-0.05515479,-0.964705900000002,0.9678213,-0.3371412,-0.03839467,-57.60868,13.39016,-20.27304
30.151461601,-2.063314,0.06354995,-1.086647,0.9625095,-0.3396539,-0.03599188,-57.99129,13.76771,-20.27785
30.161458492,-2.001781,0.004197581,-1.391501,0.9625818,-0.3435619,-0.03838388,-57.99129,13.76771,-20.27785
30.17145586,-2.370981,-0.1738595,-1.26956,0.9664334,-0.341043,-0.03695552,-57.99129,13.76771,-20.27785
30.181453228,-2.432514,0.1822547,-1.391501,0.9635919,-0.3455033,-0.04029945,-57.99129,13.76771,-20.27785
30.19145155,-2.124848,0.2416071,-1.452472,0.9641422,-0.348916,-0.04269241,-57.99129,13.76771,-20.27785
30.201448441,-1.447982,0.004197581,-1.513443,0.964197,-0.3518262,-0.04221318,-57.98511,13.39062,-19.88882
30.211445808,-1.017249,0.3009594,-1.147618,0.9616075,-0.3435856,-0.03886075,-57.98511,13.39062,-19.88882
30.221443176,-0.709583300000001,0.3603118,-1.025677,0.9650815,-0.346901,-0.03695165,-57.98511,13.39062,-19.88882
30.231440544,-0.709583300000001,0.5383689,-0.598881400000002,0.9670276,-0.3469371,-0.04509083,-57.98511,13.39062,-19.88882
30.241437912,-0.709583300000001,0.3009594,-0.3549984,0.9630318,-0.3416269,-0.04029947,-57.98511,13.39062,-19.88882
30.25143528,-0.6480501,0.3009594,0.01082622,0.9664507,-0.3420452,-0.04030532,-57.62021,13.7776,-19.43656
30.261432648,-0.3403839,0.4196641,0.3766508,0.9678304,-0.337627,-0.03839456,-57.62021,13.7776,-19.43656
30.271430016,-0.709583300000001,0.716426,0.620533899999998,0.9722503,-0.3395009,-0.04031609,-57.62021,13.7776,-19.43656
30.281427383,-0.894183000000003,0.8351307,0.803446099999999,0.9761906,-0.341923,-0.04797955,-57.62021,13.7776,-19.43656
30.291424275,-0.832649800000001,0.894483100000001,1.169271,0.9697111,-0.334311,-0.05179882,-57.62021,13.7776,-19.43656
30.301421642,-0.709583300000001,0.657073599999999,0.864416900000002,0.9669645,-0.3435148,-0.04269872,-57.61234,13.39725,-19.43453
30.31141901,-0.955716300000001,0.716426,0.864416900000002,0.9650529,-0.3454832,-0.04125915,-57.61234,13.39725,-19.43453
30.321416378,-1.017249,0.657073599999999,0.925387699999998,0.9609745,-0.3358186,-0.03838307,-57.61234,13.39725,-19.43453
30.331413746,-1.263382,0.4790165,0.864416900000002,0.9569681,-0.3300665,-0.03837757,-57.61234,13.39725,-19.43453
30.341411114,-1.632582,0.4196641,0.925387699999998,0.955671,-0.3388391,-0.03837305,-57.61234,13.39725,-19.43453
30.351408482,-1.817181,0.1822547,0.925387699999998,0.9605599,-0.3397275,-0.03981707,-57.61065,13.39398,-19.82154
30.36140585,-1.571049,-0.05515479,0.925387699999998,0.9605136,-0.3373207,-0.04221049,-57.61065,13.39398,-19.82154
30.371403694,-1.263382,-0.1145072,0.620533899999998,0.9660253,-0.345521,-0.04748233,-57.61065,13.39398,-19.82154
30.381401062,-0.03271778,0.004197581,0.5595631,0.9617053,-0.3490079,-0.0474739,-57.61065,13.39398,-19.82154
30.39139843,0.890280700000001,-0.2925643,0.3766508,0.9650891,-0.347435,-0.04221586,-57.61065,13.39398,-19.82154
30.401395798,1.874812,-0.2332119,0.1937385,0.9656227,-0.3498279,-0.03934472,-57.61823,13.77379,-19.88807
30.411392689,2.736278,-0.1738595,0.01082622,0.9640141,-0.3421285,-0.04412966,-57.61823,13.77379,-19.88807
30.421390057,3.290077,0.004197581,-0.1111153,0.9736468,-0.3361025,-0.04366943,-57.61823,13.77379,-19.88807
30.431387425,3.228544,-0.1145072,-0.3549984,0.9653568,-0.3357847,-0.04413363,-57.61823,13.77379,-19.88807
30.441384792,2.982411,-0.05515479,-0.2330568,0.9622961,-0.3285912,-0.04795876,-57.61823,13.77379,-19.88807
30.45138216,2.490145,-0.05515479,-0.3549984,0.9613862,-0.3319975,-0.04652057,-57.25134,14.15696,-19.88731
30.461379528,1.813279,-0.1738595,-0.4769399,0.9593735,-0.3286489,-0.04795365,-57.25134,14.15696,-19.88731
30.471376896,1.567146,-0.1738595,-0.720822899999998,0.9584993,-0.3340203,-0.04890789,-57.25134,14.15696,-19.88731
30.481374264,1.874812,-0.05515479,-0.964705900000002,0.9634255,-0.3368254,-0.04748003,-57.25134,14.15696,-19.88731
30.491371632,2.674744,-0.1145072,-1.26956,0.9616324,-0.3451175,-0.0469962,-57.25134,14.15696,-19.88731
30.501368523,3.474676,0.004197581,-1.391501,0.9591334,-0.3417521,-0.04555698,-57.61234,13.39725,-19.43453
30.511365891,4.028476,-0.2925643,-1.513443,0.9610181,-0.3383089,-0.04508257,-57.61234,13.39725,-19.43453
30.521363258,4.336142,-0.826735599999998,-1.818297,0.9647062,-0.3270243,-0.0412633,-57.61234,13.39725,-19.43453
30.531360626,3.720809,-1.004793,-1.818297,0.9623073,-0.3290111,-0.04078003,-57.61234,13.39725,-19.43453
30.541357994,3.16701,-0.886087999999999,-1.574414,0.967629,-0.3269621,-0.04078984,-57.99297,13.77098,-19.89084
30.551355839,2.367078,-0.648678499999998,-1.147618,0.9676099,-0.326017,-0.0436615,-57.99297,13.77098,-19.89084
30.561353207,1.628679,-0.767383199999997,-1.025677,0.9657151,-0.3290051,-0.04748604,-57.99297,13.77098,-19.89084
30.571350575,1.197947,-0.826735599999998,-0.8427644,0.9691444,-0.3298698,-0.04318461,-57.99297,13.77098,-19.89084
30.581347942,1.136414,-0.4706214,-0.903735200000002,0.9711571,-0.3332185,-0.04175153,-57.99297,13.77098,-19.89084
30.59134531,1.136414,-0.411269,-0.964705900000002,0.9696495,-0.3308405,-0.04414239,-57.61823,13.77379,-19.88807
30.601342678,1.136414,-0.411269,-1.26956,0.9716175,-0.3317296,-0.03935983,-57.61823,13.77379,-19.88807
30.611340046,1.136414,-0.3519166,-1.452472,0.9732055,-0.3385365,-0.04318945,-57.61823,13.77379,-19.88807
30.621337414,1.874812,-0.708030899999999,-1.513443,0.9620768,-0.3425869,-0.03694753,-57.61823,13.77379,-19.88807
30.631334305,2.490145,-0.767383199999997,-1.757326,0.9570681,-0.3354231,-0.03981209,-57.61823,13.77379,-19.88807
30.641331673,2.736278,-1.242202,-1.574414,0.9535313,-0.3286678,-0.03741479,-57.61823,13.77379,-19.88807
30.65132904,1.874812,-1.420259,-1.452472,0.9435972,-0.3186681,-0.03835719,-57.61823,13.77379,-19.88807
30.661326408,0.890280700000001,-2.013783,-1.147618,0.9568229,-0.3222724,-0.03598644,-57.61823,13.77379,-19.88807
30.671323776,0.02881546,-1.835726,-0.903735200000002,0.9700736,-0.3274042,-0.04127256,-57.61823,13.77379,-19.88807
30.681321144,-0.586516899999998,-1.420259,-0.8427644,0.979298,-0.325865,-0.05229628,-57.61823,13.77379,-19.88807
30.691318512,-0.4634504,-1.123497,-1.086647,0.9800583,-0.3404458,-0.05420816,-57.22187,12.63935,-19.4277
30.70131588,0.02881546,-0.589326100000003,-1.635384,0.9776035,-0.3395531,-0.05755414,-57.22187,12.63935,-19.4277
30.711313724,1.382547,-0.3519166,-1.940238,0.9722378,-0.3391205,-0.05180199,-57.22187,12.63935,-19.4277
30.721311092,2.428612,0.1229023,-2.245092,0.9713829,-0.3454371,-0.04988457,-57.22187,12.63935,-19.4277
30.73130846,2.797811,0.004197581,-2.367033,0.9702286,-0.3356665,-0.04174928,-57.22187,12.63935,-19.4277
30.741305828,3.043944,-0.05515479,-2.732858,0.9580331,-0.3349224,-0.04029248,-57.97923,13.01408,-19.43529
30.751303196,3.105477,-0.411269,-3.037712,0.957059,-0.3349373,-0.0398122,-57.97923,13.01408,-19.43529
30.761300087,3.597743,-0.886087999999999,-2.732858,0.9531983,-0.3369661,-0.0407621,-57.97923,13.01408,-19.43529
30.771297455,3.720809,-1.18285,-2.488975,0.9540156,-0.328746,-0.04698713,-57.97923,13.01408,-19.43529
30.781294823,3.782343,-1.776374,-1.879267,0.9539437,-0.3248248,-0.04315941,-57.97923,13.01408,-19.43529
30.791292191,3.474676,-2.251192,-1.391501,0.9627098,-0.3247086,-0.04939621,-57.97725,13.01026,-19.88679
