Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
33.528223515,-2.663309,0.3768721,0.928635399999997,0.9764981,0.07266643,0.07123574,-51.72416,-22.50195,6.752495
33.53811121,-2.476804,0.4357146,0.806452599999999,0.9789143,0.06825035,0.06933712,-51.72416,-22.50195,6.752495
33.547998428,-2.476804,0.4945571,0.989726799999999,0.9808479,0.06929232,0.07414326,-51.72416,-22.50195,6.752495
33.5578866,-2.165963,0.612241999999999,0.989726799999999,0.9764813,0.06381509,0.06550939,-50.97758,-22.8839,7.164076
33.567773819,-2.228132,0.3768721,0.928635399999997,0.9740482,0.06336171,0.0674326,-50.97758,-22.8839,7.164076
33.577661991,-2.165963,0.2591871,0.928635399999997,0.9779522,0.06670512,0.06357278,-50.97758,-22.8839,7.164076
33.587549209,-2.165963,0.0826596800000002,1.11191,0.9730934,0.06525388,0.06357459,-50.97758,-22.8839,7.164076
33.597436428,-1.979459,0.2591871,1.11191,0.9784239,0.06679047,0.06934394,-50.97758,-22.8839,7.164076
33.607324123,-2.041627,0.02381719,0.989726799999999,0.9818261,0.06675499,0.0674243,-50.59327,-22.51853,6.778234
33.617211819,-2.041627,0.2003446,0.867544000000001,0.9769768,0.06972222,0.0698084,-50.59327,-22.51853,6.778234
33.627099514,-2.165963,0.3180296,0.623178399999998,0.9735705,0.07127608,0.07556772,-50.59327,-22.51853,6.778234
33.636986732,-2.352468,0.02381719,0.806452599999999,0.9760033,0.0652625,0.06453969,-50.59327,-22.51853,6.778234
33.646873951,-2.352468,-0.3292377,0.867544000000001,0.9730895,0.06279037,0.06166335,-50.59327,-22.51853,6.778234
33.656762123,-2.228132,-0.5646076,0.928635399999997,0.9764718,0.05840114,0.06168937,-51.35523,-23.25643,7.1608
33.666649342,-1.419945,-0.4469227,0.928635399999997,0.9788811,0.05601915,0.06555152,-51.35523,-23.25643,7.1608
33.676537514,-0.673927500000001,-0.6234501,0.928635399999997,0.975496,0.05893315,0.0645711,-51.35523,-23.25643,7.1608
33.686424732,-0.114414,-0.682292600000002,0.989726799999999,0.9803552,0.06585589,0.07223639,-51.35523,-23.25643,7.1608
