Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-5.610633,0.7270955,-3.8544,0.9481722,0.2255863,0.1607567,-45.51942,-10.04133,8.163129
0.017250061,-4.678895,-0.2250474,-3.363976,0.957998,0.2203145,0.1591346,-45.89993,-9.306068,7.773437
0.024642468,-4.368315,-0.5225921,-3.24137,0.9614275,0.2242521,0.1629525,-45.89993,-9.306068,7.773437
0.034499168,-4.181968,-0.5225921,-3.057462,0.9711919,0.230192,0.1666971,-45.89993,-9.306068,7.773437
0.044356346,-4.430431,-0.5225921,-2.689644,0.9664422,0.2287245,0.1758572,-45.89993,-9.306068,7.773437
0.054213047,-4.057736,-0.5225921,-2.383129,0.9650977,0.2194703,0.1767567,-45.89993,-9.306068,7.773437
0.064070225,-3.436576,-0.2845563,-2.015311,0.961216,0.2140742,0.1743705,-45.89993,-9.306068,7.773437
0.073926926,-2.256374,-0.04652058,-1.831402,0.9611806,0.2121112,0.1700416,-45.89391,-10.41051,7.784748
0.083784103,-0.765592,0.07249729,-1.831402,0.9592727,0.2096666,0.1714858,-45.89391,-10.41051,7.784748
0.093640804,0.7251899,0.1915152,-1.647493,0.9583856,0.209684,0.1782073,-45.89391,-10.41051,7.784748
0.103497982,1.594813,0.5485688,-1.954008,0.9602429,0.2130906,0.1738968,-45.89391,-10.41051,7.784748
0.113354683,2.526551,0.4890598,-1.831402,0.9577303,0.2247673,0.1793024,-45.89391,-10.41051,7.784748
0.123211384,2.650783,0.5485688,-1.770099,0.9557669,0.2330479,0.186109,-45.52017,-10.41483,7.782817
0.133068562,1.781161,0.1320062,-1.647493,0.9605791,0.2457625,0.1914189,-45.52017,-10.41483,7.782817
0.142925262,0.2903785,-0.1655384,-1.463584,0.9611283,0.2467604,0.1966907,-45.52017,-10.41483,7.782817
0.15278244,-1.510983,-0.2250474,-0.9118565,0.9639355,0.2487028,0.1889999,-45.52017,-10.41483,7.782817
0.162639141,-2.566953,0.01298836,-0.2375236,0.9664416,0.2414182,0.1869859,-45.52017,-10.41483,7.782817
0.172496319,-2.753301,0.2510241,-0.05361458,0.9645648,0.2424001,0.1937298,-45.58247,-10.41411,7.783139
0.184816837,-3.063881,0.6080777,0.3142034,0.9645351,0.2399505,0.1893967,-45.58247,-10.41411,7.783139
0.194674015,-2.877533,0.8461134,0.9272334,0.9661101,0.2336472,0.1917171,-45.58247,-10.41411,7.783139
0.204530716,-3.001765,1.381694,1.540263,0.9646724,0.2360839,0.1960709,-45.58247,-10.41411,7.783139
0.214387894,-2.566953,2.036292,2.214596,0.9653193,0.2327156,0.2046589,-45.58247,-10.41411,7.783139
0.224244595,-2.256374,2.631382,2.766323,0.9662982,0.2332126,0.2051283,-45.21195,-10.42466,7.333111
