Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
10.11,14.39069,2.69089,-0.911856500000002,0.951625,-0.1522405,0.225086,-52.13664,-10.35747,-19.84176
10.12,13.76953,2.571872,0.4368094,0.9443089,-0.151811,0.2271107,-52.8841,-10.34884,-19.8379
10.13,12.27875,2.631382,0.682021400000003,0.940846,-0.1606404,0.2165432,-52.8821,-10.71698,-19.83413
10.14,11.71971,2.512363,0.5594154,0.9296111,-0.1861232,0.1954034,-52.8821,-10.71698,-19.83413
10.15,10.60162,2.214819,-1.157069,0.9304697,-0.2007955,0.1737034,-52.8821,-10.71698,-19.83413
10.16,10.60162,1.798256,-2.689644,0.9317033,-0.2431898,0.1551185,-52.8821,-10.71698,-19.83413
10.17,11.03643,1.381694,-4.038309,0.9277024,-0.2412965,0.1503995,-52.88531,-10.72322,-20.28222
10.18,11.90605,0.2510241,-4.283521,0.9408401,-0.2167882,0.1667119,-52.88531,-10.72322,-20.28222
10.19,12.65145,-0.820136700000001,-4.590036,0.9567796,-0.1722747,0.1908203,-52.88531,-10.72322,-20.28222
10.2,11.09855,-1.296208,-4.896551,0.9783947,-0.1432528,0.2228635,-52.88531,-10.72322,-20.28222
10.21,9.73199700000002,-1.653262,-4.099612,0.9782423,-0.1314437,0.2579469,-52.88531,-10.72322,-20.28222
10.22,8.241216,-1.236699,-2.812249,0.9639246,-0.1466066,0.2709614,-52.13062,-11.46191,-19.83045
10.23,7.185245,-1.296208,-0.850553500000001,0.9556333,-0.1870608,0.2731342,-52.13062,-11.46191,-19.83045
10.24,8.241216,-1.891297,0.2529004,0.9488658,-0.2163919,0.2533359,-52.13062,-11.46191,-19.83045
10.25,8.80025999999999,-1.296208,0.988536299999999,0.9515591,-0.2421757,0.2487671,-52.13062,-11.46191,-19.83045
10.26,9.483534,-0.701118900000002,0.743324399999998,0.9566582,-0.2514847,0.2198639,-52.13062,-11.46191,-19.83045
10.27,10.22893,0.01298836,0.2529004,0.9572021,-0.2583,0.2178819,-52.87486,-11.44704,-19.37849
10.28,8.86237499999997,1.441203,-1.034463,0.968134,-0.2353448,0.2145654,-52.87486,-11.44704,-19.37849
10.29,6.874665,2.036292,-2.321826,0.9658452,-0.2095808,0.2128986,-52.87486,-11.44704,-19.37849
10.3,5.259652,2.214819,-2.260523,0.9579369,-0.1911207,0.2232303,-52.87486,-11.44704,-19.37849
10.31,3.76887,3.404998,-1.58619,0.9598666,-0.1872053,0.2246735,-52.87486,-11.44704,-19.37849
