Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
37.78,1.161401,-2.334053,-2.116121,0.9867946,-0.2091948,0.1401702,-48.82923,8.245656,-30.68912
37.79,2.709852,-2.508809,-0.3365963,0.9944227,-0.1916374,0.1416571,-49.20372,8.245364,-30.75142
37.8,3.391171,-1.635029,1.872468,0.9986091,-0.1741327,0.1412548,-49.20372,8.245364,-30.75142
37.81,4.010551,-0.06222646,4.265622,0.9901735,-0.1674718,0.1370558,-49.20372,8.245364,-30.75142
37.82,4.629931,0.9863089,6.53604900000001,0.9807639,-0.1603331,0.1338292,-49.20372,8.245364,-30.75142
37.83,4.567994,1.277569,8.00875900000003,0.9752653,-0.1531459,0.1305669,-49.20372,8.245364,-30.75142
37.84,3.948613,1.277569,8.80647799999999,0.9766245,-0.1453786,0.1291656,-48.83431,8.619989,-30.75452
37.85,3.267295,1.335821,9.113292,0.9805848,-0.1428653,0.1368282,-48.83431,8.619989,-30.75452
37.86,2.090472,1.801836,8.80647799999999,0.9810999,-0.1438212,0.1382575,-48.83431,8.619989,-30.75452
37.87,1.533029,2.675616,8.00875900000003,0.987518,-0.1485876,0.1386466,-48.83431,8.619989,-30.75452
37.88,1.285277,3.432891,6.90422700000003,0.983286,-0.1627013,0.1385917,-48.83431,8.619989,-30.75452
37.89,1.161401,4.015411,5.124702,0.9803321,-0.1700657,0.1280065,-48.46628,8.993046,-31.14308
37.9,0.851710599999999,4.364923,3.222452,0.9755453,-0.1749514,0.1323396,-48.46628,8.993046,-31.14308
37.91,0.2323301,4.656183,1.013388,0.9844655,-0.1845354,0.1326734,-48.46628,8.993046,-31.14308
37.92,-0.6967406,4.714435,-1.747943,0.9854816,-0.1947472,0.1244333,-48.46628,8.993046,-31.14308
37.93,-1.811625,4.423175,-4.263823,0.9841762,-0.2078523,0.1248382,-48.46628,8.993046,-31.14308
37.94,-2.369068,3.957159,-6.47288699999999,0.9931735,-0.2247133,0.1241626,-48.84054,8.993016,-31.14114
37.95,-1.811625,2.966876,-7.82287099999998,1.003192,-0.2439784,0.1249019,-48.84054,8.993016,-31.14114
37.96,-0.4489884,2.093096,-8.25241100000001,1.002357,-0.2522091,0.1291762,-48.84054,8.993016,-31.14114
37.97,0.975586700000002,1.161065,-7.70014500000001,0.9983484,-0.2498694,0.1225066,-48.84054,8.993016,-31.14114
37.98,2.338224,0.2290334,-6.47288699999999,1.003111,-0.2371913,0.1249478,-48.84054,8.993016,-31.14114
37.99,3.576985,-0.5282421,-5.306992,0.9886677,-0.2204328,0.118951,-48.09041,8.994906,-30.69532
