Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
43.64,2.01722,0.8701172,1.01966,0.9696309,-0.01433067,0.1728374,-50.72784,-16.70062,-23.98332
43.65,1.150087,0.753613199999998,1.081022,0.9720734,-0.01332562,0.1737818,-50.72784,-16.70062,-23.98332
43.66,0.0971398800000001,0.4041015,0.896933799999999,0.9676496,-0.01095376,0.1743187,-50.71628,-17.8278,-24.81504
43.67,-1.079683,0.1128416,0.2833047,0.968752,-0.0147792,0.1819655,-50.71628,-17.8278,-24.81504
43.68,-2.070692,-0.411426,-0.3303244,0.9654181,-0.02550753,0.1780836,-50.71628,-17.8278,-24.81504
43.69,-2.566196,-0.7609378,-0.882590499999999,0.974694,-0.02393522,0.1784885,-50.71628,-17.8278,-24.81504
43.7,-2.813948,-1.168702,-1.434857,0.9796259,-0.02873007,0.1769704,-50.71628,-17.8278,-24.81504
43.71,-2.875886,-1.11045,-1.49622,0.9847385,-0.04123574,0.1840422,-50.35705,-16.32443,-23.60095
43.72,-2.999763,-0.993945600000003,-2.048486,0.9803351,-0.04470687,0.1797384,-50.35705,-16.32443,-23.60095
43.73,-2.690072,-0.935693599999999,-2.600752,0.9857194,-0.04561221,0.1792024,-50.35705,-16.32443,-23.60095
43.74,-2.75201,-0.993945600000003,-2.96893,0.9867972,-0.04945038,0.1844486,-50.35705,-16.32443,-23.60095
43.75,-2.690072,-0.877441699999998,-2.907567,0.9927273,-0.05471024,0.1843587,-50.35705,-16.32443,-23.60095
43.76,-2.13263,-0.877441699999998,-2.784841,0.9917251,-0.04936927,0.1882448,-50.34873,-17.07519,-23.98411
43.77,-1.389373,-0.8191897,-2.478026,0.9843338,-0.05241753,0.1791699,-50.34873,-17.07519,-23.98411
43.78,-0.5222406,-0.2949221,-1.92576,0.9858975,-0.05722686,0.1829646,-50.34873,-17.07519,-23.98411
43.79,0.221016,0.1710936,-1.557583,0.9810003,-0.06070661,0.1781852,-50.34873,-17.07519,-23.98411
43.8,1.088149,0.578857399999999,-1.189405,0.9779764,-0.05932689,0.1710199,-50.34873,-17.07519,-23.98411
