Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
11.405107021,-14.30843,4.455625,-33.64503,-0.4279704,0.066223,0.1132504,16.56575,52.75521,-11.73143
11.415104866,-17.63122,9.26316700000002,-44.37589,-0.4382437,0.04285713,0.1309817,16.56575,52.75521,-11.73143
11.425102711,-23.16921,14.42682,-54.31412,-0.416435,0.02342142,0.1371702,16.56575,52.75521,-11.73143
11.435101032,-29.261,19.59048,-63.70362,-0.3827158,-0.008181921,0.1155836,16.96211,51.62078,-11.27106
11.445098877,-34.2452,24.75414,-73.1540799999998,-0.3397948,-0.03741062,0.06813727,16.96211,51.62078,-11.27106
11.455096722,-39.16785,28.37463,-81.20222,-0.3106452,-0.05948191,0.03602753,16.96211,51.62078,-11.27106
11.465094566,-43.78285,31.46095,-89.4332700000001,-0.267226,-0.08835863,0.02590918,16.96211,51.62078,-11.27106
11.475092888,-47.96711,35.43756,-98.8837400000001,-0.2737185,-0.1837271,0.02642363,16.96211,51.62078,-11.27106
11.485090733,-49.50544,38.58324,-108.5781,-0.2765226,-0.2429323,-0.01184232,15.80385,52.77356,-8.898977
11.495088577,-50.79763,40.24511,-117.053,-0.2606074,-0.2865456,-0.03291618,15.80385,52.77356,-8.898977
11.505086899,-50.98223,41.07604,-123.7598,-0.2410279,-0.3437279,-0.05782154,15.80385,52.77356,-8.898977
11.515084744,-46.98257,41.90697,-129.9788,-0.1858018,-0.3531136,-0.08758712,15.80385,52.77356,-8.898977
11.525082111,-42.73678,43.09402,-136.5637,-0.1098022,-0.325629,-0.06284072,11.26844,54.27486,-7.327948
11.535079956,-43.10598,45.94293,-141.9901,-0.03481265,-0.2969743,-0.06728601,11.26844,54.27486,-7.327948
11.545077801,-48.39784,48.67314,-149.0627,-0.01920748,-0.1935367,-0.05537546,11.26844,54.27486,-7.327948
11.555076122,-55.59723,51.87817,-155.7695,0.02785785,-0.4168189,-0.07645734,11.26844,54.27486,-7.327948
11.565073967,-59.5968899999998,54.96449,-161.7446,0.02872676,-0.5164997,-0.1381695,11.26844,54.27486,-7.327948
11.575071812,-59.4738199999998,57.8727599999998,-167.9026,0.07712457,-0.5791247,-0.2358673,5.256481,54.26091,-3.695921
11.585070133,-58.7354200000001,59.5346200000002,-170.9512,0.1498842,-0.5882385,-0.2737992,5.256481,54.26091,-3.695921
11.595067978,-59.8430200000002,60.2468500000002,-172.1096,0.2218294,-0.579064,-0.2763199,5.256481,54.26091,-3.695921
11.605065823,-62.1197500000001,60.2468500000002,-172.1706,0.2906753,-0.560052,-0.2592161,5.256481,54.26091,-3.695921
11.615063667,-64.7656799999999,61.2558399999998,-175.585,0.2112874,-0.5620582,-0.2538128,5.256481,54.26091,-3.695921
11.625061989,-64.0888100000002,62.50224,-181.6821,0.3423498,-0.6913651,-0.2765011,-2.258642,54.60899,-0.9155483
11.635059833,-61.0121500000001,63.9267,-187.6572,0.3582575,-0.7608606,-0.311447,-2.258642,54.60899,-0.9155483
11.645057678,-58.1816199999998,65.1731000000002,-193.3275,0.3805727,-0.8091771,-0.3823027,-2.258642,54.60899,-0.9155483
11.655056,-54.36656,65.5292099999998,-198.51,0.4569115,-0.8275759,-0.4336387,-2.258642,54.60899,-0.9155483
11.665053844,-51.8437,66.4788400000002,-201.1927,0.5405824,-0.8201573,-0.4409651,-2.258642,54.60899,-0.9155483
11.675051689,-53.99736,67.25043,-201.4975,0.5906172,-0.837538,-0.4305192,-10.43132,53.4343,2.319342
11.685049534,-58.4277599999999,66.77561,-199.5465,0.650619,-0.8669713,-0.4310948,-10.43132,53.4343,2.319342
11.695047855,-63.9042100000003,68.4968300000001,-196.9857,0.7079959,-0.8869525,-0.4551184,-10.43132,53.4343,2.319342
11.7050457,-68.2730700000003,69.0310000000002,-195.4005,0.7289627,-0.9153765,-0.5264556,-10.43132,53.4343,2.319342
11.715043545,-69.8114,70.6928600000001,-194.7298,0.7847772,-0.9308406,-0.5844566,-10.43132,53.4343,2.319342
11.725041866,-68.3961399999997,73.1263099999997,-196.437,0.8610256,-0.9699962,-0.6204726,-18.99991,50.35074,5.109625
11.735039711,-64.8272099999998,75.61911,-199.4245,0.9019539,-0.9960195,-0.6320231,-18.99991,50.35074,5.109625
11.745037556,-64.4580200000003,78.8834899999999,-200.8269,0.9284971,-1.007293,-0.5937804,-18.99991,50.35074,5.109625
11.7550354,-69.6883399999997,81.8511100000002,-201.4366,0.9005895,-0.9999596,-0.5817692,-18.99991,50.35074,5.109625
11.765033722,-79.2259899999999,84.1065,-201.8024,0.8996469,-1.002071,-0.5980386,-18.99991,50.35074,5.109625
11.775031567,-89.74817,86.0651300000002,-201.1317,0.9215505,-1.027797,-0.6420992,-27.53954,46.11576,6.680486
11.785029411,-97.9936200000002,87.6082899999998,-200.0342,0.9631488,-1.064284,-0.6833199,-27.53954,46.11576,6.680486
11.795027733,-101.0088,91.5255399999999,-200.0952,1.038547,-1.136028,-0.7207617,-27.53954,46.11576,6.680486
11.805025577,-93.9939699999997,97.3420799999999,-201.8634,1.104153,-1.232092,-0.7926378,-27.53954,46.11576,6.680486
11.815023422,-79.7797900000002,102.0903,-203.3267,1.106241,-1.292829,-0.8495763,-27.53954,46.11576,6.680486
11.825021267,-68.2115399999998,104.8205,-200.8878,1.075705,-1.302574,-0.8925924,-35.21968,39.66486,7.8822
11.835019588,-62.6735499999999,104.1676,-195.7663,1.056282,-1.30646,-0.9035648,-35.21968,39.66486,7.8822
