Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
15.678336143,-0.955716300000001,0.1822547,-0.1720861,0.932556,-0.3510267,0.06025705,-49.2463,23.68912,-24.39232
15.688333511,-0.7711166,-0.1145072,-0.2330568,0.9320237,-0.3485943,0.06169308,-49.2463,23.68912,-24.39232
15.698330402,-0.3403839,0.004197581,-0.4159691,0.9325988,-0.3535433,0.05068611,-49.2463,23.68912,-24.39232
15.708328724,-0.2173175,-0.2925643,-0.3549984,0.9384189,-0.3519002,0.05833275,-49.98453,23.2966,-25.16986
15.718326092,-0.0942510000000003,-0.2332119,-0.5379106,0.9408103,-0.3493794,0.0631137,-49.98453,23.2966,-25.16986
15.728322983,-0.832649800000001,0.004197581,-0.659852100000001,0.9402322,-0.3445227,0.06407061,-49.98453,23.2966,-25.16986
15.738320351,-1.817181,-0.05515479,-0.598881400000002,0.9449841,-0.3381291,0.06214637,-49.98453,23.2966,-25.16986
15.748317718,-3.293979,-0.1738595,-0.903735200000002,0.9459117,-0.3357117,0.0587941,-49.98453,23.2966,-25.16986
15.75831604,-3.601645,-0.05515479,-1.208589,0.9377952,-0.3446147,0.05928912,-49.60532,22.92559,-24.39105
15.768312931,-2.494047,-0.2332119,-1.086647,0.9405953,-0.3640102,0.0578535,-49.60532,22.92559,-24.39105
15.778310299,-1.140316,-0.589326100000003,-1.086647,0.9375161,-0.3558538,0.05307101,-49.60532,22.92559,-24.39105
15.788307667,0.2749484,-0.589326100000003,-1.086647,0.9359736,-0.3514846,0.05594403,-49.60532,22.92559,-24.39105
15.798305511,0.644147799999998,-0.767383199999997,-0.964705900000002,0.9348893,-0.3456922,0.05403012,-49.60532,22.92559,-24.39105
15.808302879,0.767214200000001,-1.18285,-1.391501,0.9339333,-0.346683,0.05403204,-49.63507,24.44375,-24.78616
15.818300247,0.4595481,-1.123497,-1.26956,0.9389166,-0.3523281,0.06359634,-49.63507,24.44375,-24.78616
15.828297615,-0.2788507,-0.9454404,-1.391501,0.9411622,-0.3420307,0.06885411,-49.63507,24.44375,-24.78616
15.838294983,-0.709583300000001,-1.004793,-1.513443,0.9374802,-0.3538932,0.05498487,-49.63507,24.44375,-24.78616
15.848292828,-0.2788507,-1.004793,-1.513443,0.9389333,-0.3533479,0.05833223,-49.63507,24.44375,-24.78616
15.858290195,-0.2788507,-0.9454404,-1.635384,0.9432721,-0.3508193,0.05975975,-49.61148,23.30268,-24.78008
15.868287563,0.644147799999998,-1.064145,-1.879267,0.9422408,-0.3479986,0.05162502,-49.61148,23.30268,-24.78008
15.878284931,0.890280700000001,-1.18285,-1.757326,0.9413241,-0.3508447,0.06119888,-49.61148,23.30268,-24.78008
15.888282299,0.890280700000001,-1.420259,-1.635384,0.9398802,-0.3518713,0.0583302,-49.61148,23.30268,-24.78008
15.898280144,0.951813900000003,-1.598316,-1.635384,0.9422271,-0.3468866,0.0669392,-49.61148,23.30268,-24.78008
15.908277512,0.890280700000001,-1.598316,-1.635384,0.9413139,-0.350394,0.05737016,-49.58958,22.16488,-24.38699
15.918274879,0.890280700000001,-1.598316,-1.391501,0.9454033,-0.3604873,0.06071567,-49.58958,22.16488,-24.38699
15.928272247,1.197947,-1.420259,-1.330531,0.946822,-0.3579374,0.07076264,-49.58958,22.16488,-24.38699
15.938270092,0.5210813,-1.301555,-1.452472,0.9451692,-0.3477653,0.0707629,-49.58958,22.16488,-24.38699
15.94826746,-0.1557842,-1.18285,-1.452472,0.943346,-0.3546791,0.06263207,-49.58958,22.16488,-24.38699
15.958264828,0.644147799999998,-0.826735599999998,-1.574414,0.9492839,-0.3593773,0.06740869,-50.0132,24.44747,-24.01494
15.968262196,1.25948,-0.886087999999999,-1.635384,0.9453844,-0.3595377,0.05832258,-50.0132,24.44747,-24.01494
15.978259563,2.490145,-1.064145,-1.696355,0.9440059,-0.3639165,0.06071899,-50.0132,24.44747,-24.01494
15.988257408,3.043944,-1.123497,-1.635384,0.9428703,-0.3551042,0.07029023,-50.0132,24.44747,-24.01494
15.998254776,2.736278,-1.18285,-1.26956,0.9426517,-0.3434328,0.07172333,-50.0132,24.44747,-24.01494
16.008252144,1.382547,-0.9454404,-0.720822899999998,0.9469368,-0.3379545,0.07697879,-49.21484,22.1677,-24.38421
16.018249512,0.0903486900000002,-0.767383199999997,-0.2940276,0.946088,-0.344849,0.06884625,-49.21484,22.1677,-24.38421
16.028247356,-0.4019172,-0.708030899999999,-0.2940276,0.9467393,-0.3535831,0.06884736,-49.21484,22.1677,-24.38421
16.038244724,0.4595481,-0.5299737,-0.2940276,0.9474239,-0.3643612,0.05784168,-49.21484,22.1677,-24.38421
16.048242092,1.936346,-0.767383199999997,-0.3549984,0.9500042,-0.3721247,0.053532,-49.21484,22.1677,-24.38421
16.05823946,3.597743,-0.767383199999997,-0.659852100000001,0.9498595,-0.3643131,0.05783743,-49.96432,22.16207,-24.38977
16.068236351,4.274609,-1.064145,-0.720822899999998,0.9487648,-0.3580745,0.05161624,-49.96432,22.16207,-24.38977
16.078234673,3.782343,-1.242202,-0.4159691,0.9467376,-0.3536358,0.06310446,-49.96432,22.16207,-24.38977
16.08823204,3.290077,-1.479612,0.0717969800000001,0.9379681,-0.3538573,0.05785546,-49.96432,22.16207,-24.38977
16.098229408,3.043944,-1.538964,0.3766508,0.9360822,-0.35734,0.05307389,-49.96432,22.16207,-24.38977
16.108226299,3.105477,-1.895078,0.925387699999998,0.9361094,-0.3588017,0.05259564,-49.9705,22.53916,-24.7788
16.118224621,2.859344,-2.132488,1.839949,0.9389668,-0.3553875,0.04780402,-49.9705,22.53916,-24.7788
16.128221989,1.567146,-2.369897,2.632569,0.9388232,-0.3475407,0.05593805,-49.9705,22.53916,-24.7788
16.13821888,-0.5249836,-2.19184,3.364218,0.9400939,-0.3372802,0.05928322,-49.9705,22.53916,-24.7788
16.148216248,-3.047846,-2.369897,3.608101,0.9402121,-0.3436082,0.05784892,-49.9705,22.53916,-24.7788
16.158213615,-4.401577,-2.42925,3.912955,0.939466,-0.3557715,0.05785335,-49.62273,23.68958,-24.0081
16.168211937,-3.724712,-2.251192,4.27878,0.9423004,-0.3771758,0.04923955,-49.62273,23.68958,-24.0081
16.178208828,-0.894183000000003,-2.666659,4.766546,0.9426256,-0.3947642,0.03823626,-49.62273,23.68958,-24.0081
16.188206196,1.382547,-3.378887,5.742078,0.9429553,-0.3865713,0.03009778,-49.62273,23.68958,-24.0081
16.198203564,2.244012,-4.387877,6.96149300000002,0.9462026,-0.3777031,0.03631132,-49.62273,23.68958,-24.0081
16.208201885,1.25948,-5.396868,8.42479100000002,0.9481434,-0.377135,0.04109356,-49.97586,22.54951,-23.5533
16.218198776,0.1518819,-6.64326800000002,10.19294,0.9541594,-0.386328,0.03247107,-49.97586,22.54951,-23.5533
16.228196144,-0.709583300000001,-7.71161000000001,12.02207,0.9505805,-0.4034505,0.02769596,-49.97586,22.54951,-23.5533
16.238193512,-1.140316,-8.60189500000002,13.97313,0.9467589,-0.4073433,0.03536084,-49.97586,22.54951,-23.5533
16.24819088,-1.447982,-9.43282899999999,15.74128,0.9413707,-0.4060753,0.02627696,-49.97586,22.54951,-23.5533
16.258188725,-1.694115,-10.32311,17.32652,0.9390439,-0.4119745,0.02388965,-49.63846,24.45029,-24.01216
16.268186092,-1.263382,-11.03534,18.424,0.9382324,-0.4207857,0.018629,-49.63846,24.45029,-24.01216
16.27818346,-0.832649800000001,-11.80692,19.4605,0.9314581,-0.4233625,0.01720575,-49.63846,24.45029,-24.01216
16.288180828,-0.832649800000001,-12.22239,20.86283,0.9307148,-0.4354379,0.02678167,-49.63846,24.45029,-24.01216
16.298178673,-1.632582,-12.69721,22.14321,0.9296833,-0.4326216,0.01816838,-49.61684,23.31303,-23.55457
16.308176041,-2.863246,-13.05332,23.48457,0.9327505,-0.4403799,0.01337927,-49.61684,23.31303,-23.55457
16.318173409,-4.46311,-13.46879,24.76495,0.9308416,-0.4422693,0.02343318,-49.61684,23.31303,-23.55457
16.328170776,-5.01691,-13.76555,25.9234,0.9315292,-0.4529508,0.02295616,-49.61684,23.31303,-23.55457
16.338168144,-4.586177,-13.94361,26.83796,0.9314049,-0.4724568,0.01578275,-49.61684,23.31303,-23.55457
16.348165989,-3.232446,-14.65584,28.91097,0.9360713,-0.487442,0.01434275,-49.25952,24.07983,-23.16884
16.358163357,-2.55558,-15.66483,31.59368,0.9283685,-0.4924623,0.01340032,-49.25952,24.07983,-23.16884
16.368160725,-2.001781,-16.61447,34.4593,0.9264652,-0.4949472,0.01148997,-49.25952,24.07983,-23.16884
16.378158093,-1.755648,-17.4454,37.26396,0.9368694,-0.5039263,0.01673848,-49.25952,24.07983,-23.16884
16.388155937,-2.063314,-18.51374,40.12959,0.9317378,-0.51622,0.01196483,-49.25952,24.07983,-23.16884
16.398153305,-2.001781,-19.22597,43.48298,0.9324347,-0.5273873,0.01148792,-49.38826,27.12874,-22.41153
16.408150673,-1.509515,-19.76014,46.22666,0.9272727,-0.5119041,0.01532154,-49.38826,27.12874,-22.41153
16.418148041,-2.55558,-20.53172,48.36064,0.9302761,-0.516262,0.01053166,-49.38826,27.12874,-22.41153
16.428145886,-3.478579,-21.12525,50.18976,0.9239524,-0.5168861,0.00910712,-49.38826,27.12874,-22.41153
16.438143253,-5.75530800000001,-21.77812,52.2018,0.9269032,-0.5182594,0.01197379,-49.38826,27.12874,-22.41153
16.448140621,-8.955036,-22.19359,54.33577,0.9252815,-0.5358423,0.005759651,-48.3057,28.98265,-21.57449
16.458137989,-11.2933,-22.37165,56.59169,0.9266707,-0.558313,-0.01002999,-48.3057,28.98265,-21.57449
16.468135357,-12.70856,-22.5497,58.9695499999999,0.9219874,-0.5687286,-0.0229407,-48.3057,28.98265,-21.57449
16.478133202,-14.12383,-23.26193,61.10353,0.922682,-0.5799662,-0.03107481,-48.3057,28.98265,-21.57449
16.48813057,-14.49303,-23.91481,63.6643000000002,0.9118601,-0.6006421,-0.03679354,-48.3057,28.98265,-21.57449
16.498127937,-14.18536,-24.98315,65.7373099999998,0.9014696,-0.6184202,-0.04538521,-48.36779,31.65876,-19.97617
16.508125305,-12.7701,-26.34826,67.9932299999998,0.8993141,-0.6336148,-0.05494907,-48.36779,31.65876,-19.97617
16.51812315,-10.80103,-27.71336,70.3101200000003,0.8912238,-0.6440101,-0.05828232,-48.36779,31.65876,-19.97617
16.528120518,-9.69343500000003,-28.95976,72.1392399999998,0.8893203,-0.6465037,-0.06114981,-48.36779,31.65876,-19.97617
16.538117886,-10.0011,-30.26551,75.00487,0.8913682,-0.651835,-0.06402346,-48.36779,31.65876,-19.97617
16.548115254,-12.0317,-31.63061,78.1143699999998,0.8924954,-0.6601395,-0.07120194,-46.14999,32.83032,-18.35307
16.558112145,-13.63156,-33.17377,81.0409700000001,0.8831069,-0.6793424,-0.07835926,-46.14999,32.83032,-18.35307
16.568110466,-14.55456,-34.59823,83.8456299999998,0.8752326,-0.7014927,-0.09221853,-46.14999,32.83032,-18.35307
16.578107834,-14.18536,-36.14139,86.9551300000002,0.8701622,-0.7172746,-0.1065629,-46.14999,32.83032,-18.35307
16.588104725,-13.8777,-37.44715,89.69882,0.8664095,-0.7251807,-0.1127758,-46.14999,32.83032,-18.35307
16.598102093,-14.98529,-39.10901,92.6254099999999,0.8564892,-0.7419338,-0.1165828,-44.36981,37.04192,-16.74896
