Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
4.892005444,13.31391,-13.27458,5.327216,-0.5069643,0.2936136,0.6455377,13.62722,-39.48205,-34.17041
4.901893139,14.86811,-18.2762,6.42686099999998,-0.5093672,0.3088935,0.6574808,13.62722,-39.48205,-34.17041
4.911781311,15.55196,-23.21896,6.61013499999998,-0.5146838,0.3177195,0.6607966,13.62722,-39.48205,-34.17041
4.921669006,16.29798,-28.16173,6.42686099999998,-0.5214914,0.3108438,0.6560144,13.62722,-39.48205,-34.17041
4.931557178,17.91435,-33.69292,6.48795199999999,-0.5331737,0.3006265,0.655091,13.62722,-39.48205,-34.17041
4.941445351,19.9659,-38.2238,6.79340899999997,-0.5122625,0.3117779,0.6545774,13.63389,-39.48921,-34.55952
4.95380497,23.19865,-42.99004,7.95414600000001,-0.5000927,0.3269571,0.6617284,13.63389,-39.48921,-34.55952
4.963692188,25.93405,-47.10901,9.237065,-0.478243,0.3308455,0.6641382,13.63389,-39.48921,-34.55952
4.97358036,27.17741,-50.87493,11.61963,-0.4592477,0.3423366,0.6535215,13.63389,-39.48921,-34.55952
4.983468056,28.54511,-56.11191,14.36874,-0.4641234,0.3350204,0.6521101,13.63389,-39.48921,-34.55952
4.993356228,31.34268,-62.9376399999998,15.28511,-0.4472707,0.3000129,0.6580772,12.10966,-40.52276,-33.73573
5.0032444,35.25927,-67.2919799999998,17.54549,-0.4196551,0.2853499,0.6581827,12.10966,-40.52276,-33.73573
5.013132095,38.42985,-69.1749400000002,19.56151,-0.4162109,0.2910211,0.6470968,12.10966,-40.52276,-33.73573
5.023020267,41.66259,-71.9405399999999,22.79935,-0.4078745,0.3178372,0.6503372,12.10966,-40.52276,-33.73573
5.032907963,46.88472,-75.4710799999999,24.26555,-0.393742,0.3284,0.6421242,12.10966,-40.52276,-33.73573
